accession	taxon	is_human	is_lung	is_ici	likely_response_labels	status	submission_date	last_update_date	types	pubmed	n_samples	gpl	n_suppl_files	suppl_total_size	suppl_total_bytes	title
GSE114300	Mus musculus	False	True	True	True	Public on Jul 26 2018	May 10 2018	Oct 19 2023	Expression profiling by high throughput sequencing	37790365	62	21103	3	7.1M	7454309	Systematic immune reprogramming via PD-1 inhibition enhances early-stage lung cancer survival.
GSE114601	Mus musculus	False	True	True	True	Public on Aug 14 2018	May 17 2018	Mar 25 2019	Expression profiling by high throughput sequencing	30087114	8	19057	3	929.0K	951296	Therapeutic efficacy of BET bromodomain protein inhhibitor and PD-1 blockade in genetically engineered mouse model of non-small cell lung cancer
GSE115305	Homo sapiens	True	True	True	True	Public on Dec 26 2018	Jun 04 2018	Mar 26 2019	Expression profiling by high throughput sequencing	30130255	12	18573	2	582.8K	596787	Self-associated molecular patterns mediate cancer immune evasion by engagement of Siglec receptors
GSE117712	Mus musculus	False	False	True	True	Public on Jul 27 2018	Jul 26 2018	Mar 25 2019	Expression profiling by high throughput sequencing	30139814	10	19057	2	865.6K	886374	Inhibition of casein kinase 2 disrupts differentiation of myeloid cells in cancer and enhances the efficacy of immunotherapy in mice
GSE120545	Homo sapiens	True	False	True	False	Public on Sep 28 2018	Sep 27 2018	Feb 01 2019	Expression profiling by array		4	23159	3	5.0M	5241270	Expression date from endothelial cells stimulated with anti-HLA class I and anti-A antibody
GSE121682	Homo sapiens	True	True	True	True	Public on Dec 11 2018	Oct 23 2018	Dec 13 2018	Expression profiling by array	30486888	12	25714	9	213.0K	218112	Immunotherapy Utilizing NK cells and ADCC Mediating Agents with Poly (ADP-ribose) polymerase (PARP) Inhibition
GSE124199	Homo sapiens	True	True	True	False	Public on Dec 21 2018	Dec 20 2018	Apr 03 2019	Expression profiling by high throughput sequencing	30926812	14	16791	2	325.9K	333721	Wnt1 silences CC/CXC motif chemokine genes in dendritic cells and induces adaptive immune resistance in lung adenocarcinoma
GSE43453	Mus musculus	False	True	True	True	Public on Jan 03 2016	Jan 11 2013	Jan 03 2016	Expression profiling by array		16	16499	3	31.5M	33031372	Silica-mediated airway chronic inflammation promotes lung carcinogenesis through the activation of preneoplastic lesions in the context of an immunosuppressive microenvirontment
GSE54781	Homo sapiens	True	False	True	False	Public on Jan 21 2017	Feb 07 2014	Jan 21 2017	Expression profiling by RT-PCR		41	18153	1	16.0K	16384	Expression of putative targets of immunotherapy in acute myeloid leukemia and healthy tissues
GSE57133	Mus musculus	False	True	False	False	Public on Mar 05 2015	Apr 28 2014	Feb 11 2019	Expression profiling by array	25753424	15	1261	3	56.9M	59665202	ErbB2 Pathway Activation upon Smad4 Loss Promotes Lung Tumor Growth and Metastasis [expression]
GSE65041	Homo sapiens	True	False	True	True	Public on May 01 2015	Jan 16 2015	Dec 22 2017	Expression profiling by array	25944800	11	14951	3	2.8M	2983526	Expression data in PD-L1 positive and PD-L1 negative human melanoma samples
GSE67501	Homo sapiens	True	False	True	True	Public on Aug 04 2016	Apr 01 2015	Dec 22 2017	Expression profiling by array	27491898	11	14951	2	2.8M	2936012	Expression data in human renal cell carcinoma samples from patients who did or did not respond to anti-PD-1 (Nivolumab) immunotherapy
GSE72094	Homo sapiens	True	True	True	True	Public on Oct 21 2015	Aug 14 2015	May 07 2018	Expression profiling by array	26477306	442	15048	3	2.2G	2360804966	KRAS mutation-associated gene expression, p53 and STK11 mutations, proliferation and immune surveillance in lung adenocarcinoma
GSE76340	Homo sapiens	True	False	True	True	Public on Sep 01 2016	Dec 24 2015	Mar 31 2020	Expression profiling by array	32218783	166	6947;10558	5	107.0M	112197974	Gene expression analysis of hematological malignancies and healthy (non-)hematopoietic cell types
GSE76356	Mus musculus	False	False	True	True	Public on Jun 13 2016	Dec 28 2015	May 15 2019	Expression profiling by high throughput sequencing	27295554	7	17021	3	5.1M	5351569	DICER controls macrophage polarization and tumor response to immunotherapy
GSE78220	Homo sapiens	True	False	True	True	Public on Mar 18 2016	Feb 23 2016	Dec 03 2024	Expression profiling by high throughput sequencing	26997480	28	11154	2	6.8M	7134514	mRNA expressions in pre-treatment melanomas undergoing anti-PD-1 checkpoint inhibition therapy
GSE81089	Homo sapiens	True	True	True	False	Public on Jun 01 2016	May 04 2016	Mar 11 2026	Expression profiling by high throughput sequencing	41540507	218	16791	3	33.0M	34616320	Next Generation Sequencing (RNAseq) of non-small cell lung cancer
GSE81258	Homo sapiens; Mus musculus	True	False	False	False	Public on May 10 2016	May 09 2016	May 15 2019	Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing	27374332	91	17021;16417;16791	3	13.1K	13413	Nfib promotes Metastasis through a Widespread Increase in Chromatin Accessibility
GSE84789	Homo sapiens	True	True	True	True	Public on Oct 11 2016	Jul 25 2016	May 15 2019	Expression profiling by high throughput sequencing	27699239	192	11154	2	4.6M	4832767	Single-cell profiling of non small cell lung cancer associated B-cells.
GSE84797	Homo sapiens	True	True	True	True	Public on Oct 11 2016	Jul 25 2016	Jan 10 2017	Expression profiling by array	27699239	29	19965	3	342.3K	350515	Multi-parametric profiling of non-small cell lung cancers reveals distinct immunophenotypes [Nanostring]
GSE85044	Mus musculus	False	True	True	True	Public on Jan 01 2017	Aug 01 2016	Mar 04 2019	Expression profiling by array	28197369	16	6246	3	68.5M	71828582	Specific myelomonocytic cells heavily infiltrate orthotopic lung tumors and display a hypoxia-driven micro-RNA expression signature that directs tumor-supporting functions and negatively impacts on clinical outcome
GSE85131	Mus musculus	False	True	True	True	Public on Aug 03 2016	Aug 03 2016	May 15 2019	Expression profiling by high throughput sequencing	27565342	18	13112;17021	4	1.9M	1949695	T cell oxygen-sensing proteins establish an immunologically tolerant metastatic niche
GSE85507	Mus musculus	False	False	True	True	Public on Dec 07 2016	Aug 11 2016	Mar 06 2018	Expression profiling by array	27923825	283	6096	3	5.7G	6133979340	Rational selection of syngeneic preclinical tumor models for immunotherapeutic drug discovery [exon array]
GSE85508	Mus musculus	False	False	True	True	Public on Dec 07 2016	Aug 11 2016	Jan 12 2017	Genome variation profiling by genome tiling array	27923825	16	4092	3	425.8M	446484888	Rational selection of syngeneic preclinical tumor models for immunotherapeutic drug discovery [aCGH]
GSE87681	Mus musculus	False	True	True	True	Public on Nov 07 2017	Oct 06 2016	May 15 2019	Expression profiling by high throughput sequencing	29241546	12	19057	5	4.6M	4778779	Analysis of gene expression from CD45neg cells of lung tumors upon neutrophil depletion or not
GSE87879	Homo sapiens	True	True	False	True	Public on Mar 07 2017	Oct 12 2016	Oct 29 2018	Expression profiling by array	27923835	6	17586	3	147.7M	154875200	Re-activating pRB via PD 0332991 treatment in NSCLC H1299 Cells
GSE89477	Mus musculus	False	False	True	True	Public on Nov 26 2017	Nov 03 2016	May 15 2019	Expression profiling by high throughput sequencing	29101163	384	19057	4	25.1M	26270720	Single-cell profiling of tumor infiltrating T cells
GSE90728	Homo sapiens	True	True	True	True	Public on Jun 19 2017	Dec 01 2016	May 15 2019	Expression profiling by high throughput sequencing	28628092	68	16791	2	6.8M	7137893	Tissue-resident memory features are linked to the magnitude of cytotoxic T cell responses in human lung cancer [NSCLC]
GSE90729	Homo sapiens	True	True	True	True	Public on Jun 19 2017	Dec 01 2016	May 15 2019	Expression profiling by high throughput sequencing	28628092	41	16791	2	4.2M	4410163	Tissue-resident memory features are linked to the magnitude of cytotoxic T cell responses in human lung cancer [HNSCC]
GSE91061	Homo sapiens	True	True	True	True	Public on Jan 23 2018	Dec 08 2016	May 15 2019	Expression profiling by high throughput sequencing	29033130	109	9052	5	37.4M	39224319	Molecular portraits of tumor mutational and micro-environmental sculpting by immune checkpoint blockade therapy
GSE93157	Homo sapiens	True	True	True	True	Public on May 15 2017	Jan 04 2017	Aug 15 2017	Expression profiling by array	28487385	65	19965	2	322.0K	329728	Programmed death 1 receptor blockade and immune-related gene expression profiling in non-small cell lung carcinoma, head and neck squamous cell carcinoma and melanoma
GSE94609	Mus musculus	False	False	True	True	Public on May 04 2017	Feb 07 2017	Feb 21 2018	Expression profiling by array	28490441	6	16570	3	50.4M	52848697	PD-1 regulates KLRG1+ group 2 innate lymphoid cells
GSE99254	Homo sapiens	True	True	True	True	Public on Jun 25 2018	May 24 2017	Mar 27 2019	Expression profiling by high throughput sequencing	29942094	14	16791;20301	5	737.0M	772809010	T cell landscape of non-small cell lung cancer revealed by deep single-cell RNA sequencing
GSE99531	Homo sapiens	True	True	True	True	Public on May 22 2018	May 31 2017	Jul 25 2021	Expression profiling by high throughput sequencing	29892065	37	20301	3	4.6M	4831128	A transcriptionally und functionally distinct PD-1+ CD8+ T cell pool with predictive potential in non-small cell lung cancer treated with PD-1 blockade
