module	gene	in_logcpm
IFN	HLA-C	True
IFN	HLA-DMA	True
IFN	HLA-DQA1	True
IFN	HLA-DRB1	True
IFN	HLA-G	True
IFN	ICAM1	True
IFN	IDO1	True
IFN	IFI27	True
IFN	IFI30	True
IFN	IFI35	True
IFN	IFI44	True
IFN	IFI44L	True
IFN	IFIH1	True
IFN	IFIT1	True
IFN	IFIT2	True
IFN	IFIT3	True
IFN	IFITM1	True
IFN	IFITM2	True
IFN	IFITM3	True
IFN	IFNAR2	True
IFN	IL10RA	True
IFN	IL15	True
IFN	IL15RA	True
IFN	IL18BP	True
IFN	IL2RB	True
IFN	IL4R	True
IFN	IL6	True
IFN	IL7	True
IFN	IRF1	True
IFN	IRF2	True
IFN	IRF4	True
IFN	IRF5	True
IFN	IRF7	True
IFN	IRF8	True
IFN	IRF9	True
IFN	ISG15	True
IFN	ISG20	True
IFN	ISOC1	True
IFN	ITGB7	True
IFN	JAK2	True
IFN	KLRK1	True
IFN	LAMP3	True
IFN	LAP3	True
IFN	LATS2	True
IFN	LCP2	True
IFN	LGALS3BP	True
IFN	LPAR6	True
IFN	LY6E	True
IFN	LYSMD2	True
IFN	METTL7B	True
IFN	MOV10	True
IFN	MT2A	True
IFN	MTHFD2	True
IFN	MVB12A	True
IFN	MVP	True
IFN	MX1	True
IFN	MX2	True
IFN	MYD88	True
IFN	NAMPT	True
IFN	NCOA3	True
IFN	NCOA7	True
IFN	NFKB1	True
IFN	NFKBIA	True
IFN	NLRC5	True
IFN	NMI	True
IFN	NOD1	True
IFN	NUB1	True
IFN	NUP93	True
IFN	OAS1	True
IFN	OAS2	True
IFN	OAS3	True
IFN	OASL	True
IFN	OGFR	True
IFN	P2RY14	True
IFN	PARP12	True
IFN	PARP14	True
IFN	PARP9	True
IFN	PDE4B	True
IFN	PELI1	True
IFN	PFKP	True
IFN	PIM1	True
IFN	PLA2G4A	True
IFN	PLSCR1	True
IFN	PML	True
IFN	PNP	True
IFN	PNPT1	True
IFN	PROCR	True
IFN	PSMA2	True
IFN	PSMA3	True
IFN	PSMB10	True
IFN	PSMB2	True
IFN	PSMB8	True
IFN	PSMB9	True
IFN	PSME1	True
IFN	PSME2	True
IFN	PTGS2	True
IFN	PTPN1	True
IFN	PTPN2	True
IFN	PTPN6	True
IFN	RAPGEF6	True
IFN	RBCK1	True
IFN	RIPK1	True
IFN	RIPK2	True
IFN	RNF213	True
IFN	RNF31	True
IFN	RSAD2	True
IFN	RTP4	True
IFN	SAMD9	True
IFN	SAMD9L	True
IFN	SAMHD1	True
IFN	SECTM1	True
IFN	SELL	True
IFN	SELP	True
IFN	SERPING1	True
IFN	SLAMF7	True
IFN	SLC25A28	True
IFN	SOCS1	True
IFN	SOCS3	True
IFN	SOD2	True
IFN	SP110	True
IFN	SPPL2A	True
IFN	SRI	True
IFN	SSPN	True
IFN	ST3GAL5	True
IFN	ST8SIA4	True
IFN	STAT1	True
IFN	STAT2	True
IFN	STAT3	True
IFN	STAT4	True
IFN	TAP1	True
IFN	TAPBP	True
IFN	TDRD7	True
IFN	TMEM140	True
IFN	TNFAIP2	True
IFN	TNFAIP3	True
IFN	TNFAIP6	True
IFN	TNFSF10	True
IFN	TOR1B	True
IFN	TRAFD1	True
IFN	TRIM14	True
IFN	TRIM21	True
IFN	TRIM25	True
IFN	TRIM26	True
IFN	TRIM5	True
IFN	TXNIP	True
IFN	UBA7	True
IFN	UBE2L6	True
IFN	UPP1	True
IFN	USP18	True
IFN	VAMP5	True
IFN	VAMP8	True
IFN	VCAM1	True
IFN	XAF1	True
IFN	XCL1	True
IFN	ZBP1	True
IFN	ZNFX1	True
IFN	MARCHF1	False
IFN	TENT5A	False
IFN	WARS1	False
APM	HLA-A	True
APM	HLA-B	True
APM	HLA-C	True
APM	HLA-E	True
APM	HLA-F	True
APM	HLA-G	True
APM	B2M	True
APM	TAP1	True
APM	TAP2	True
APM	TAPBP	True
APM	TAPBPL	True
APM	NLRC5	True
APM	PSMB8	True
APM	PSMB9	True
APM	PSMB10	True
APM	ERAP1	True
APM	ERAP2	True
APM	CALR	True
APM	CANX	True
APM	PDIA3	True
APM	IRF1	True
proliferation	MKI67	True
proliferation	PCNA	True
proliferation	TOP2A	True
proliferation	MCM2	True
proliferation	CDK1	True
proliferation	CCNB1	True
proliferation	BIRC5	True
proliferation	UBE2C	True
