n_a	n_b	mean_a	mean_b	median_a	median_b	log2fc	welch_p	mwu_p	feature	design	group_a	group_b	n	cliff_delta	note
8	8	11.024656332327712	11.678473933039776	11.08273728208485	11.5970090902894	0.6538176007120633	0.0003357235793930552	0.0003108003108003108	H2-D1	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	vehicle	triplet	8/8	0.96875	triple combo; still no aPD-1 monotherapy
8	8	6.179416406709093	7.132281560560662	6.26474514467089	7.19450708050641	0.9528651538515689	0.00032617539510698505	0.0006216006216006216	H2-Q4	Poly I:C + anti-PD-1 vs vehicle	vehicle	polyIC_aPD1	8/8	0.9375	primary contrast; no aPD-1 monotherapy arm; Poly I:C on every treated sample
8	8	6.179416406709093	8.028189257188501	6.26474514467089	8.086102916201849	1.848772850479408	0.00035087240590508397	0.0003108003108003108	H2-Q4	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	vehicle	triplet	8/8	0.96875	triple combo; still no aPD-1 monotherapy
8	8	10.662425756895686	11.276065279188536	10.78512454859605	11.29517321258205	0.6136395222928499	0.0010708923706048703	0.0010878010878010878	B2m	Poly I:C + anti-PD-1 vs vehicle	vehicle	polyIC_aPD1	8/8	0.90625	primary contrast; no aPD-1 monotherapy arm; Poly I:C on every treated sample
8	8	10.662425756895686	11.665449228695875	10.78512454859605	11.56810934339695	1.003023471800189	3.418818892669378e-05	0.0001554001554001554	B2m	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	vehicle	triplet	8/8	1.0	triple combo; still no aPD-1 monotherapy
8	8	6.547548506028788	7.142443547216807	6.735741304390745	7.2526900727597	0.5948950411880194	0.011953194504442042	0.020668220668220667	Tap1	Poly I:C + anti-PD-1 vs vehicle	vehicle	polyIC_aPD1	8/8	0.6875	primary contrast; no aPD-1 monotherapy arm; Poly I:C on every treated sample
8	8	6.547548506028788	7.893528639356985	6.735741304390745	7.93432324125059	1.3459801333281973	5.932523571413211e-05	0.0001554001554001554	Tap1	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	vehicle	triplet	8/8	1.0	triple combo; still no aPD-1 monotherapy
8	8	6.800045533902068	6.7556233377987525	6.874753642545655	6.782865431116615	-0.04442219610331577	0.6461246105443184	0.4418026418026417	Tap2	Poly I:C + anti-PD-1 vs vehicle	vehicle	polyIC_aPD1	8/8	-0.25	primary contrast; no aPD-1 monotherapy arm; Poly I:C on every treated sample
8	8	6.800045533902068	7.323763381365051	6.874753642545655	7.401601960254055	0.5237178474629829	0.0016034772848147487	0.006993006993006993	Tap2	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	vehicle	triplet	8/8	0.78125	triple combo; still no aPD-1 monotherapy
8	8	2.3586544265125777	2.733499535362686	2.34928965382268	2.806059540204135	0.37484510885010813	0.3193229340126966	0.4418026418026417	Cd8a	Poly I:C + anti-PD-1 vs vehicle	vehicle	polyIC_aPD1	8/8	0.25	primary contrast; no aPD-1 monotherapy arm; Poly I:C on every treated sample
8	8	2.3586544265125777	4.177370200609813	2.34928965382268	4.340791161994311	1.8187157740972353	0.0004670007414039536	0.0010878010878010878	Cd8a	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	vehicle	triplet	8/8	0.90625	triple combo; still no aPD-1 monotherapy
8	8	5.153580320068545	7.09546117546069	5.30237162017007	7.251596630014266	1.941880855392145	1.917698771288302e-06	0.0001554001554001554	Cd274	Poly I:C + anti-PD-1 vs vehicle	vehicle	polyIC_aPD1	8/8	1.0	primary contrast; no aPD-1 monotherapy arm; Poly I:C on every treated sample
8	8	5.153580320068545	7.684949892721255	5.30237162017007	7.78736783206881	2.53136957265271	1.6357486491298917e-06	0.0001554001554001554	Cd274	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	vehicle	triplet	8/8	1.0	triple combo; still no aPD-1 monotherapy
8	8	7.150939832840468	7.049571558253935	7.31980367367855	7.06532757453099	-0.10136827458653297	0.5069958160714555	0.4418026418026417	Ptprc	Poly I:C + anti-PD-1 vs vehicle	vehicle	polyIC_aPD1	8/8	-0.25	primary contrast; no aPD-1 monotherapy arm; Poly I:C on every treated sample
8	8	7.150939832840468	8.196190891237775	7.31980367367855	8.3919131223949	1.045251058397307	0.015424883160037355	0.014763014763014764	Ptprc	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	vehicle	triplet	8/8	0.71875	triple combo; still no aPD-1 monotherapy
8	8	-0.357937923172143	-0.12256006775153651	-0.17049659216027008	0.08845411678827049	0.23537785542060652	0.487583549517546	0.5737373737373737	IFN	Poly I:C + anti-PD-1 vs vehicle	vehicle	polyIC_aPD1	8/8	0.1875	primary contrast; no aPD-1 monotherapy arm; Poly I:C on every treated sample
8	8	-0.357937923172143	0.4804979909236793	-0.17049659216027008	0.5560396132049992	0.8384359140958223	0.03418813970556561	0.06495726495726495	IFN	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	vehicle	triplet	8/8	0.5625	triple combo; still no aPD-1 monotherapy
8	8	-0.8929184336110149	-0.08106650925952122	-0.695021328687959	0.05590695025736589	0.8118519243514937	0.006849877213086256	0.006993006993006993	MHC	Poly I:C + anti-PD-1 vs vehicle	vehicle	polyIC_aPD1	8/8	0.78125	primary contrast; no aPD-1 monotherapy arm; Poly I:C on every treated sample
8	8	-0.8929184336110149	0.9739849428705384	-0.695021328687959	0.8362387779870302	1.8669033764815532	0.00012122246193292777	0.0003108003108003108	MHC	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	vehicle	triplet	8/8	0.96875	triple combo; still no aPD-1 monotherapy
