cohort	annotation	contrast	celltype	compartment	method	effect	se	p_value	n	n_celltypes	reference	precision	converged	fdr_family	note	n_input	n_high	n_low	binary	p_perm	n_mpr	n_nmpr	q_bh	n_tests_in_family	bonferroni_primary	n_primary_grid	recovery
GSE207422	drmref	tacstd2_z	Mono/Macro	Mono/Macro	dm_glm	0.9338424403772402		0.0016012794341014934	7	10.0	B cells	24.59273561674638	True	diagnostic_dm_lrt_secondary_tacstd2_continuous	p_from_LRT	12.0			False				0.02161727236037016	135		52	not_primary
GSE207422	drmref	tacstd2_z	NK cells	NK cells	dm_glm	0.11418684101619554		0.5491003328774896	7	10.0	B cells	24.59273561674638	True	diagnostic_dm_lrt_secondary_tacstd2_continuous	p_from_LRT	12.0			False				0.8298245542522625	135		52	not_primary
GSE207422	drmref	tacstd2_z	Neutrophils	Neutrophils	dm_glm	-0.25780897887181187		1.0	7	10.0	B cells	24.59273561674638	True	diagnostic_dm_lrt_secondary_tacstd2_continuous	p_from_LRT	12.0			False				1.0	135		52	not_primary
GSE207422	drmref	tacstd2_z	Plasma cells	Plasma cells	dm_glm	0.2731680430024293		0.19686784582839498	7	10.0	B cells	24.59273561674638	True	diagnostic_dm_lrt_secondary_tacstd2_continuous	p_from_LRT	12.0			False				0.5507813615757118	135		52	not_primary
GSE207422	drmref	tacstd2_z	pDCs	pDCs	dm_glm	0.5204812670602184		0.10274334988115612	7	10.0	B cells	24.59273561674638	True	diagnostic_dm_lrt_secondary_tacstd2_continuous	p_from_LRT	12.0			False				0.48741620968114663	135		52	not_primary
GSE207422	drmref	tacstd2_z	B cells	B cells	alr_lm	0.0	0.0	1.0	7		B cells		True	companion_alr	reference								1.0	306		52	not_primary
GSE207422	drmref	tacstd2_z	CD4+ T cells	CD4+ T cells	alr_lm	0.7910938813238659	0.4837621887697475	0.10198722433132174	7		B cells		True	companion_alr	HC3								0.921599137129095	306		52	not_primary
GSE207422	drmref	tacstd2_z	CD8+ T cells	CD8+ T cells	alr_lm	1.3297710803047527	0.39240666445966077	0.0007021003770527765	7		B cells		True	companion_alr	HC3								0.030691816482592803	306		52	not_primary
GSE207422	drmref	tacstd2_z	Fibroblasts	Fibroblasts	alr_lm	2.649437603978095	0.4913023279786214	6.94134322973617e-08	7		B cells		True	companion_alr	HC3								7.080170094330893e-06	306		52	not_primary
GSE207422	drmref	tacstd2_z	Malignant cells	Malignant cells	alr_lm	1.4066113958069177	0.6374938319979153	0.027351066786820134	7		B cells		True	companion_alr	HC3								0.7388247292210043	306		52	not_primary
GSE207422	drmref	tacstd2_z	Mono/Macro	Mono/Macro	alr_lm	1.8548128288697947	0.19789686071139498	7.075142131189174e-21	7		B cells		True	companion_alr	HC3								2.1649934921438873e-18	306		52	not_primary
GSE207422	drmref	tacstd2_z	NK cells	NK cells	alr_lm	0.5788251755073379	0.28101845198675646	0.03942332523801731	7		B cells		True	companion_alr	HC3								0.8616812516309498	306		52	not_primary
GSE207422	drmref	tacstd2_z	Neutrophils	Neutrophils	alr_lm	0.003047727077948925	0.8094435634276986	0.9969958021223387	7		B cells		True	companion_alr	HC3								1.0	306		52	not_primary
GSE207422	drmref	tacstd2_z	Plasma cells	Plasma cells	alr_lm	1.0614714283570028	0.6796021543411696	0.11831126299534389	7		B cells		True	companion_alr	HC3								0.921599137129095	306		52	not_primary
GSE207422	drmref	tacstd2_z	pDCs	pDCs	alr_lm	1.6481670577940941	0.5459183039465612	0.0025354966517330316	7		B cells		True	companion_alr	HC3								0.09698274692878846	306		52	not_primary
GSE207422	drmref	tacstd2_z	B cells	B cells	fraction_spearman	-0.9642857142857145		0.00045414916919416935	7				True	companion_fraction_naive	spearman_on_fraction								0.18150723853071246	464		52	not_primary
GSE207422	drmref	tacstd2_z	CD4+ T cells	CD4+ T cells	fraction_spearman	-0.39285714285714296		0.3833168704269727	7				True	companion_fraction_naive	spearman_on_fraction								0.9781548294479937	464		52	not_primary
GSE207422	drmref	tacstd2_z	CD8+ T cells	CD8+ T cells	fraction_spearman	0.3571428571428572		0.431611352038328	7				True	companion_fraction_naive	spearman_on_fraction								0.9781548294479937	464		52	not_primary
GSE207422	drmref	tacstd2_z	Fibroblasts	Fibroblasts	fraction_spearman	0.8928571428571429		0.006807187408935393	7				True	companion_fraction_naive	spearman_on_fraction								0.7365079365079364	464		52	not_primary
GSE207422	drmref	tacstd2_z	Malignant cells	Malignant cells	fraction_spearman	0.07142857142857144		0.879048193148154	7				True	companion_fraction_naive	spearman_on_fraction								0.9931741293077159	464		52	not_primary
GSE207422	drmref	tacstd2_z	Mono/Macro	Mono/Macro	fraction_spearman	0.7857142857142859		0.03623846267982715	7				True	companion_fraction_naive	spearman_on_fraction								0.8693208430913348	464		52	not_primary
GSE207422	drmref	tacstd2_z	NK cells	NK cells	fraction_spearman	-0.7142857142857144		0.07134356146753766	7				True	companion_fraction_naive	spearman_on_fraction								0.8693208430913348	464		52	not_primary
GSE207422	drmref	tacstd2_z	Neutrophils	Neutrophils	fraction_spearman	-0.7500000000000002		0.0521814004570578	7				True	companion_fraction_naive	spearman_on_fraction								0.8693208430913348	464		52	not_primary
GSE207422	drmref	tacstd2_z	Plasma cells	Plasma cells	fraction_spearman	-0.10714285714285716		0.8191508555699912	7				True	companion_fraction_naive	spearman_on_fraction								0.9872363558038335	464		52	not_primary
GSE207422	drmref	tacstd2_z	pDCs	pDCs	fraction_spearman	0.3571428571428572		0.431611352038328	7				True	companion_fraction_naive	spearman_on_fraction								0.9781548294479937	464		52	not_primary
GSE207422	drmref	mpr	B cells	B cells	dm_glm	0.0			12	10.0	B cells	10.05416209918647	True	diagnostic_dm_lrt_mpr	p_from_LRT	12.0			True		4.0	8.0		128		52	not_primary
GSE207422	drmref	mpr	CD4+ T cells	CD4+ T cells	dm_glm	0.14678402688838907		0.7689826072145701	12	10.0	B cells	10.05416209918647	True	diagnostic_dm_lrt_mpr	p_from_LRT	12.0			True		4.0	8.0	0.9774936358403231	128		52	not_primary
GSE207422	drmref	mpr	CD8+ T cells	CD8+ T cells	dm_glm	0.12097572715072809		0.8086471328435028	12	10.0	B cells	10.05416209918647	True	diagnostic_dm_lrt_mpr	p_from_LRT	12.0			True		4.0	8.0	0.9774936358403231	128		52	not_primary
GSE207422	drmref	mpr	Fibroblasts	Fibroblasts	dm_glm	-0.1581470640048443		0.7687512440821327	12	10.0	B cells	10.05416209918647	True	diagnostic_dm_lrt_mpr	p_from_LRT	12.0			True		4.0	8.0	0.9774936358403231	128		52	not_primary
GSE207422	drmref	mpr	Malignant cells	Malignant cells	dm_glm	0.12785662599484174		0.8134200472836347	12	10.0	B cells	10.05416209918647	True	diagnostic_dm_lrt_mpr	p_from_LRT	12.0			True		4.0	8.0	0.9774936358403231	128		52	not_primary
GSE207422	drmref	mpr	Mono/Macro	Mono/Macro	dm_glm	-0.6554567795972368		0.18284571465999272	12	10.0	B cells	10.05416209918647	True	diagnostic_dm_lrt_mpr	p_from_LRT	12.0			True		4.0	8.0	0.9774936358403231	128		52	not_primary
GSE207422	drmref	mpr	NK cells	NK cells	dm_glm	0.39170463449808945		0.4574280863068293	12	10.0	B cells	10.05416209918647	True	diagnostic_dm_lrt_mpr	p_from_LRT	12.0			True		4.0	8.0	0.9774936358403231	128		52	not_primary
GSE207422	drmref	mpr	Neutrophils	Neutrophils	dm_glm	0.2915533144293062		0.5487470468557172	12	10.0	B cells	10.05416209918647	True	diagnostic_dm_lrt_mpr	p_from_LRT	12.0			True		4.0	8.0	0.9774936358403231	128		52	not_primary
GSE207422	drmref	mpr	Plasma cells	Plasma cells	dm_glm	-0.33232267335217497		0.526655939160253	12	10.0	B cells	10.05416209918647	True	diagnostic_dm_lrt_mpr	p_from_LRT	12.0			True		4.0	8.0	0.9774936358403231	128		52	not_primary
GSE207422	drmref	mpr	pDCs	pDCs	dm_glm	0.22935216072206943		0.6652675037113529	12	10.0	B cells	10.05416209918647	True	diagnostic_dm_lrt_mpr	p_from_LRT	12.0			True		4.0	8.0	0.9774936358403231	128		52	not_primary
GSE207422	drmref	mpr	B cells	B cells	alr_lm	0.0	0.0	1.0	12		B cells		True	companion_alr	reference								1.0	306		52	not_primary
GSE207422	drmref	mpr	CD4+ T cells	CD4+ T cells	alr_lm	-0.27686948191976124	1.0749581331826428	0.7967441592381792	12		B cells		True	companion_alr	HC3								1.0	306		52	not_primary
GSE207422	drmref	mpr	CD8+ T cells	CD8+ T cells	alr_lm	-0.32783898630174146	1.3153069524558807	0.8031681529110897	12		B cells		True	companion_alr	HC3								1.0	306		52	not_primary
GSE207422	drmref	mpr	Fibroblasts	Fibroblasts	alr_lm	-0.7927631097660691	1.4871140493140096	0.5939724534317524	12		B cells		True	companion_alr	HC3								1.0	306		52	not_primary
GSE207422	drmref	mpr	Malignant cells	Malignant cells	alr_lm	-0.24540593396709665	1.370725845126124	0.8579113468182659	12		B cells		True	companion_alr	HC3								1.0	306		52	not_primary
GSE207422	drmref	mpr	Mono/Macro	Mono/Macro	alr_lm	-1.584480161648754	1.6461504931857744	0.33578010819798065	12		B cells		True	companion_alr	HC3								1.0	306		52	not_primary
GSE207422	drmref	mpr	NK cells	NK cells	alr_lm	0.9018845706608213	1.8236141099180683	0.620911526884939	12		B cells		True	companion_alr	HC3								1.0	306		52	not_primary
GSE207422	drmref	mpr	Neutrophils	Neutrophils	alr_lm	-0.05178840224518222	2.067493261886382	0.980015970735994	12		B cells		True	companion_alr	HC3								1.0	306		52	not_primary
GSE207422	drmref	mpr	Plasma cells	Plasma cells	alr_lm	-1.1281427576837144	1.392726987930093	0.41792618738819565	12		B cells		True	companion_alr	HC3								1.0	306		52	not_primary
GSE207422	drmref	mpr	pDCs	pDCs	alr_lm	0.20663140374846745	1.5479156586651737	0.8938057995496758	12		B cells		True	companion_alr	HC3								1.0	306		52	not_primary
GSE207422	drmref	mpr	B cells	B cells	fraction_mwu	0.012256794257712448		0.6828282828282828	12				True	companion_fraction_naive	U=19.0; median_high-low								0.9781548294479937	464		52	not_primary
GSE207422	drmref	mpr	CD4+ T cells	CD4+ T cells	fraction_mwu	0.02736776856903156		0.8080808080808081	12				True	companion_fraction_naive	U=18.0; median_high-low								0.9781548294479937	464		52	not_primary
GSE207422	drmref	mpr	CD8+ T cells	CD8+ T cells	fraction_mwu	0.0030848704262771143		0.9333333333333333	12				True	companion_fraction_naive	U=17.0; median_high-low								0.9931741293077159	464		52	not_primary
GSE207422	drmref	mpr	Fibroblasts	Fibroblasts	fraction_mwu	-0.0015722184147873197		0.8649006171360114	12				True	companion_fraction_naive	U=14.5; median_high-low								0.9931741293077159	464		52	not_primary
GSE207422	drmref	mpr	Malignant cells	Malignant cells	fraction_mwu	0.02441842231653632		0.6828282828282828	12				True	companion_fraction_naive	U=19.0; median_high-low								0.9781548294479937	464		52	not_primary
GSE207422	drmref	mpr	Mono/Macro	Mono/Macro	fraction_mwu	-0.10972909591431486		0.04848484848484849	12				True	companion_fraction_naive	U=4.0; median_high-low								0.8693208430913348	464		52	not_primary
GSE207422	drmref	mpr	NK cells	NK cells	fraction_mwu	0.017301583763637402		0.1090909090909091	12				True	companion_fraction_naive	U=26.0; median_high-low								0.8693208430913348	464		52	not_primary
GSE207422	drmref	mpr	Neutrophils	Neutrophils	fraction_mwu	0.055951535081856185		0.5696969696969697	12				True	companion_fraction_naive	U=20.0; median_high-low								0.9781548294479937	464		52	not_primary
GSE207422	drmref	mpr	Plasma cells	Plasma cells	fraction_mwu	-0.0126165512427008		0.5696969696969697	12				True	companion_fraction_naive	U=12.0; median_high-low								0.9781548294479937	464		52	not_primary
GSE207422	drmref	mpr	pDCs	pDCs	fraction_mwu	0.005409538076716392		0.46060606060606063	12				True	companion_fraction_naive	U=21.0; median_high-low								0.9781548294479937	464		52	not_primary
GSE207422	drmref_collapsed	tacstd2_high	TLS	TLS	dm_glm	-0.8174804510590478		0.08982980071959354	7	5.0	myeloid	14.672635559959271	True	diagnostic_dm_lrt	p_from_LRT	12.0	3.0	4.0	True				0.6170120918443073	135		52	not_recovered
GSE207422	drmref_collapsed	tacstd2_high	TNK	TNK	dm_glm	0.030063034468297722		0.9517053418051588	7	5.0	myeloid	14.672635559959271	True	diagnostic_dm_lrt	p_from_LRT	12.0	3.0	4.0	True				0.9959707065402825	135		52	not_recovered
GSE207422	drmref_collapsed	tacstd2_high	epithelial	epithelial	dm_glm	-0.0018780108922636129		0.9795436995446868	7	5.0	myeloid	14.672635559959271	True	diagnostic_dm_lrt	p_from_LRT	12.0	3.0	4.0	True				1.0	135		52	not_primary
GSE207422	drmref_collapsed	tacstd2_high	myeloid	myeloid	dm_glm	0.0			7	5.0	myeloid	14.672635559959271	True	diagnostic_dm_lrt	p_from_LRT	12.0	3.0	4.0	True					135		52	not_primary
GSE207422	drmref_collapsed	tacstd2_high	stromal	stromal	dm_glm	0.4405365607224127		0.3952216042568488	7	5.0	myeloid	14.672635559959271	True	diagnostic_dm_lrt	p_from_LRT	12.0	3.0	4.0	True				0.9794957186143313	135		52	not_primary
GSE207422	drmref_collapsed	tacstd2_high	TLS	TLS	alr_perm	-1.4596967739944984	0.953919321892101	0.2	7		myeloid		True	primary_tacstd2	HC3;p_patient_perm					0.2			0.8666666666666667	52	1.0	52	not_recovered
GSE207422	drmref_collapsed	tacstd2_high	TNK	TNK	alr_perm	0.005965392592254148	0.921979221560067	1.0	7		myeloid		True	primary_tacstd2	HC3;p_patient_perm					1.0			1.0	52	1.0	52	not_recovered
GSE207422	drmref_collapsed	tacstd2_high	epithelial	epithelial	alr_perm	0.0140980102858691	1.0028891161766753	0.9887841894963438	7		myeloid		True	secondary_tacstd2_other_types	HC3								1.0	106		52	not_primary
GSE207422	drmref_collapsed	tacstd2_high	myeloid	myeloid	alr_perm	0.0	0.0	1.0	7		myeloid		True	secondary_tacstd2_other_types	reference								1.0	106		52	not_primary
GSE207422	drmref_collapsed	tacstd2_high	stromal	stromal	alr_perm	1.9909444931093183	1.2736429100048552	0.11800816397332423	7		myeloid		True	secondary_tacstd2_other_types	HC3								0.6254432690586185	106		52	not_primary
GSE207422	drmref_collapsed	tacstd2_high	TLS	TLS	fraction_mwu	-0.09228277303333862		0.05714285714285714	7				True	companion_fraction_naive	U=0.0; median_high-low								0.8693208430913348	464		52	not_recovered
GSE207422	drmref_collapsed	tacstd2_high	TNK	TNK	fraction_mwu	0.15165290884125882		0.6285714285714286	7				True	companion_fraction_naive	U=8.0; median_high-low								0.9781548294479937	464		52	not_recovered
GSE207422	drmref_collapsed	tacstd2_high	epithelial	epithelial	fraction_mwu	-0.011320499928977941		1.0	7				True	companion_fraction_naive	U=6.0; median_high-low								1.0	464		52	not_primary
GSE207422	drmref_collapsed	tacstd2_high	myeloid	myeloid	fraction_mwu	-0.04983635266677172		1.0	7				True	companion_fraction_naive	U=6.0; median_high-low								1.0	464		52	not_primary
GSE207422	drmref_collapsed	tacstd2_high	stromal	stromal	fraction_mwu	0.005529961224327385		0.11428571428571428	7				True	companion_fraction_naive	U=11.0; median_high-low								0.8693208430913348	464		52	not_primary
GSE207422	drmref_collapsed	tacstd2_z	TLS	TLS	dm_glm	-0.42416427686188984		0.10132724606552018	7	5.0	myeloid	15.251905249954026	True	diagnostic_dm_lrt_secondary_tacstd2_continuous	p_from_LRT	12.0			False				0.48741620968114663	135		52	not_recovered
GSE207422	drmref_collapsed	tacstd2_z	TNK	TNK	dm_glm	-0.16267786969304573		0.41839568720312326	7	5.0	myeloid	15.251905249954026	True	diagnostic_dm_lrt_secondary_tacstd2_continuous	p_from_LRT	12.0			False				0.7576101652407385	135		52	not_recovered
GSE207422	drmref_collapsed	tacstd2_z	epithelial	epithelial	dm_glm	0.10056189172601872		0.7579572428188841	7	5.0	myeloid	15.251905249954026	True	diagnostic_dm_lrt_secondary_tacstd2_continuous	p_from_LRT	12.0			False				0.8821054119012876	135		52	not_primary
GSE207422	drmref_collapsed	tacstd2_z	myeloid	myeloid	dm_glm	0.0			7	5.0	myeloid	15.251905249954026	True	diagnostic_dm_lrt_secondary_tacstd2_continuous	p_from_LRT	12.0			False					135		52	not_primary
GSE207422	drmref_collapsed	tacstd2_z	stromal	stromal	dm_glm	0.3844838302756946		0.3021756778413693	7	5.0	myeloid	15.251905249954026	True	diagnostic_dm_lrt_secondary_tacstd2_continuous	p_from_LRT	12.0			False				0.7042898233572359	135		52	not_primary
GSE207422	drmref_collapsed	tacstd2_z	TLS	TLS	alr_lm	-0.7009851886656873	0.410487693607012	0.08769412323937867	7		myeloid		True	companion_alr	HC3								0.921599137129095	306		52	not_recovered
GSE207422	drmref_collapsed	tacstd2_z	TNK	TNK	alr_lm	-0.19618584403599662	0.454670240938838	0.6661118315725627	7		myeloid		True	companion_alr	HC3								1.0	306		52	not_recovered
GSE207422	drmref_collapsed	tacstd2_z	epithelial	epithelial	alr_lm	0.08799812487794374	0.5529489427378197	0.8735559667464821	7		myeloid		True	companion_alr	HC3								1.0	306		52	not_primary
GSE207422	drmref_collapsed	tacstd2_z	myeloid	myeloid	alr_lm	0.0	0.0	1.0	7		myeloid		True	companion_alr	reference								1.0	306		52	not_primary
GSE207422	drmref_collapsed	tacstd2_z	stromal	stromal	alr_lm	1.0004800440357107	0.7823641425271793	0.2009707451717101	7		myeloid		True	companion_alr	HC3								1.0	306		52	not_primary
GSE207422	drmref_collapsed	tacstd2_z	TLS	TLS	fraction_spearman	-0.8571428571428573		0.013697326615325618	7				True	companion_fraction_naive	spearman_on_fraction								0.7365079365079364	464		52	not_recovered
GSE207422	drmref_collapsed	tacstd2_z	TNK	TNK	fraction_spearman	0.0		1.0	7				True	companion_fraction_naive	spearman_on_fraction								1.0	464		52	not_recovered
GSE207422	drmref_collapsed	tacstd2_z	epithelial	epithelial	fraction_spearman	0.07142857142857144		0.879048193148154	7				True	companion_fraction_naive	spearman_on_fraction								0.9931741293077159	464		52	not_primary
GSE207422	drmref_collapsed	tacstd2_z	myeloid	myeloid	fraction_spearman	0.14285714285714288		0.7599453002180927	7				True	companion_fraction_naive	spearman_on_fraction								0.9781548294479937	464		52	not_primary
GSE207422	drmref_collapsed	tacstd2_z	stromal	stromal	fraction_spearman	0.8571428571428573		0.013697326615325618	7				True	companion_fraction_naive	spearman_on_fraction								0.7365079365079364	464		52	not_primary
GSE207422	drmref_collapsed	mpr	TLS	TLS	dm_glm	0.10679172880765879		0.7619124876998575	12	5.0	myeloid	7.690933921601115	True	diagnostic_dm_lrt_mpr	p_from_LRT	12.0			True		4.0	8.0	0.9774936358403231	128		52	not_recovered
GSE207422	drmref_collapsed	mpr	TNK	TNK	dm_glm	0.36648280047692877		0.30722569032449065	12	5.0	myeloid	7.690933921601115	True	diagnostic_dm_lrt_mpr	p_from_LRT	12.0			True		4.0	8.0	0.9774936358403231	128		52	not_recovered
GSE207422	drmref_collapsed	mpr	epithelial	epithelial	dm_glm	0.29526297538507734		0.4815491930213953	12	5.0	myeloid	7.690933921601115	True	diagnostic_dm_lrt_mpr	p_from_LRT	12.0			True		4.0	8.0	0.9774936358403231	128		52	not_primary
GSE207422	drmref_collapsed	mpr	myeloid	myeloid	dm_glm	0.0			12	5.0	myeloid	7.690933921601115	True	diagnostic_dm_lrt_mpr	p_from_LRT	12.0			True		4.0	8.0		128		52	not_primary
GSE207422	drmref_collapsed	mpr	stromal	stromal	dm_glm	-0.13701310471157263		0.8773802006231862	12	5.0	myeloid	7.690933921601115	True	diagnostic_dm_lrt_mpr	p_from_LRT	12.0			True		4.0	8.0	0.9774936358403231	128		52	not_primary
