cohort	sample_id	annotation	celltype	n
GSE207422	BD_immune04	hu_markers	myeloid	1323
GSE207422	BD_immune04	hu_markers	NK	883
GSE207422	BD_immune04	hu_markers	neutrophil	584
GSE207422	BD_immune04	hu_markers	B	458
GSE207422	BD_immune04	hu_markers	other	276
GSE207422	BD_immune04	hu_markers	plasma	152
GSE207422	BD_immune04	hu_markers	epithelial	129
GSE207422	BD_immune04	hu_markers	mast	62
GSE207422	BD_immune04	hu_markers	fibroblast	35
GSE207422	BD_immune04	hu_markers	endothelial	34
GSE207422	BD_immune04	hu_collapsed	other	276
GSE207422	BD_immune04	hu_collapsed	myeloid	1907
GSE207422	BD_immune04	hu_collapsed	TNK	5345
GSE207422	BD_immune04	hu_collapsed	epithelial	129
GSE207422	BD_immune04	hu_collapsed	stromal	69
GSE207422	BD_immune04	hu_collapsed	TLS	610
GSE207422	BD_immune04	hu_collapsed	mast	62
GSE207422	BD_immune04	marker_coarse	TNK	5345
GSE207422	BD_immune04	marker_coarse	TLS	610
GSE207422	BD_immune04	marker_coarse	epithelial	129
GSE207422	BD_immune04	marker_coarse	other	2314
GSE207422	BD_immune06	hu_markers	T	2294
GSE207422	BD_immune06	hu_markers	myeloid	830
GSE207422	BD_immune06	hu_markers	neutrophil	605
GSE207422	BD_immune06	hu_markers	NK	515
GSE207422	BD_immune06	hu_markers	other	116
GSE207422	BD_immune06	hu_markers	B	94
GSE207422	BD_immune06	hu_markers	mast	87
GSE207422	BD_immune06	hu_markers	endothelial	45
GSE207422	BD_immune06	hu_markers	epithelial	43
GSE207422	BD_immune06	hu_markers	plasma	16
GSE207422	BD_immune06	hu_markers	fibroblast	4
GSE207422	BD_immune06	hu_collapsed	other	116
GSE207422	BD_immune06	hu_collapsed	myeloid	1435
GSE207422	BD_immune06	hu_collapsed	TNK	2809
GSE207422	BD_immune06	hu_collapsed	epithelial	43
GSE207422	BD_immune06	hu_collapsed	stromal	49
GSE207422	BD_immune06	hu_collapsed	TLS	110
GSE207422	BD_immune06	hu_collapsed	mast	87
GSE207422	BD_immune06	marker_coarse	TNK	2809
GSE207422	BD_immune06	marker_coarse	TLS	110
GSE207422	BD_immune06	marker_coarse	epithelial	43
GSE207422	BD_immune06	marker_coarse	other	1687
GSE207422	BD_immune07	hu_markers	epithelial	5295
GSE207422	BD_immune07	hu_markers	myeloid	1751
GSE207422	BD_immune07	hu_markers	T	760
GSE207422	BD_immune07	hu_markers	fibroblast	297
GSE207422	BD_immune07	hu_markers	other	229
GSE207422	BD_immune07	hu_markers	NK	224
GSE207422	BD_immune07	hu_markers	neutrophil	156
GSE207422	BD_immune07	hu_markers	mast	149
GSE207422	BD_immune07	hu_markers	endothelial	141
GSE207422	BD_immune07	hu_markers	B	72
GSE207422	BD_immune07	hu_markers	plasma	57
GSE207422	BD_immune07	hu_collapsed	other	229
GSE207422	BD_immune07	hu_collapsed	myeloid	1907
GSE207422	BD_immune07	hu_collapsed	TNK	984
GSE207422	BD_immune07	hu_collapsed	TLS	129
GSE207422	BD_immune07	hu_collapsed	stromal	438
GSE207422	BD_immune07	hu_collapsed	epithelial	5295
GSE207422	BD_immune07	hu_collapsed	mast	149
GSE207422	BD_immune07	marker_coarse	TNK	984
GSE207422	BD_immune07	marker_coarse	TLS	129
GSE207422	BD_immune07	marker_coarse	epithelial	5295
GSE207422	BD_immune07	marker_coarse	other	2723
GSE207422	BD_immune05	hu_markers	epithelial	1474
GSE207422	BD_immune05	hu_markers	T	652
GSE207422	BD_immune05	hu_markers	B	241
GSE207422	BD_immune05	hu_markers	plasma	224
GSE207422	BD_immune05	hu_markers	myeloid	219
GSE207422	BD_immune05	hu_markers	NK	129
GSE207422	BD_immune05	hu_markers	neutrophil	90
GSE207422	BD_immune05	hu_markers	other	44
GSE207422	BD_immune05	hu_markers	fibroblast	20
GSE207422	BD_immune05	hu_markers	mast	12
GSE207422	BD_immune05	hu_markers	endothelial	8
GSE207422	BD_immune05	hu_collapsed	other	44
GSE207422	BD_immune05	hu_collapsed	myeloid	309
GSE207422	BD_immune05	hu_collapsed	TNK	781
GSE207422	BD_immune05	hu_collapsed	TLS	465
GSE207422	BD_immune05	hu_collapsed	stromal	28
GSE207422	BD_immune05	hu_collapsed	epithelial	1474
GSE207422	BD_immune05	hu_collapsed	mast	12
GSE207422	BD_immune05	marker_coarse	TNK	781
GSE207422	BD_immune05	marker_coarse	TLS	465
GSE207422	BD_immune05	marker_coarse	epithelial	1474
GSE207422	BD_immune05	marker_coarse	other	393
GSE207422	BD_immune08	hu_markers	T	2756
GSE207422	BD_immune08	hu_markers	plasma	674
GSE207422	BD_immune08	hu_markers	myeloid	566
GSE207422	BD_immune08	hu_markers	fibroblast	497
GSE207422	BD_immune08	hu_markers	B	236
GSE207422	BD_immune08	hu_markers	NK	234
GSE207422	BD_immune08	hu_markers	other	211
GSE207422	BD_immune08	hu_markers	neutrophil	205
GSE207422	BD_immune08	hu_markers	mast	186
GSE207422	BD_immune08	hu_markers	epithelial	182
GSE207422	BD_immune08	hu_markers	endothelial	78
GSE207422	BD_immune08	hu_collapsed	other	211
GSE207422	BD_immune08	hu_collapsed	myeloid	771
GSE207422	BD_immune08	hu_collapsed	TNK	2990
GSE207422	BD_immune08	hu_collapsed	epithelial	182
GSE207422	BD_immune08	hu_collapsed	stromal	575
GSE207422	BD_immune08	hu_collapsed	TLS	910
GSE207422	BD_immune08	hu_collapsed	mast	186
GSE207422	BD_immune08	marker_coarse	TNK	2990
GSE207422	BD_immune08	marker_coarse	TLS	910
GSE207422	BD_immune08	marker_coarse	epithelial	182
GSE207422	BD_immune08	marker_coarse	other	1743
GSE207422	BD_immune09	hu_markers	T	2144
GSE207422	BD_immune09	hu_markers	NK	989
GSE207422	BD_immune09	hu_markers	myeloid	881
GSE207422	BD_immune09	hu_markers	epithelial	278
GSE207422	BD_immune09	hu_markers	other	164
GSE207422	BD_immune09	hu_markers	B	141
GSE207422	BD_immune09	hu_markers	plasma	134
GSE207422	BD_immune09	hu_markers	neutrophil	75
GSE207422	BD_immune09	hu_markers	fibroblast	23
GSE207422	BD_immune09	hu_markers	mast	12
GSE207422	BD_immune09	hu_markers	endothelial	8
GSE207422	BD_immune09	hu_collapsed	other	164
GSE207422	BD_immune09	hu_collapsed	myeloid	956
GSE207422	BD_immune09	hu_collapsed	TNK	3133
GSE207422	BD_immune09	hu_collapsed	TLS	275
GSE207422	BD_immune09	hu_collapsed	stromal	31
GSE207422	BD_immune09	hu_collapsed	epithelial	278
GSE207422	BD_immune09	hu_collapsed	mast	12
GSE207422	BD_immune09	marker_coarse	TNK	3133
GSE207422	BD_immune09	marker_coarse	TLS	275
GSE207422	BD_immune09	marker_coarse	epithelial	278
GSE207422	BD_immune09	marker_coarse	other	1163
GSE207422	BD_immune10	hu_markers	T	2267
GSE207422	BD_immune10	hu_markers	NK	1609
GSE207422	BD_immune10	hu_markers	myeloid	1267
GSE207422	BD_immune10	hu_markers	neutrophil	436
GSE207422	BD_immune10	hu_markers	other	319
GSE207422	BD_immune10	hu_markers	plasma	282
GSE207422	BD_immune10	hu_markers	epithelial	243
GSE207422	BD_immune10	hu_markers	B	90
GSE207422	BD_immune10	hu_markers	fibroblast	82
GSE207422	BD_immune10	hu_markers	mast	27
GSE207422	BD_immune10	hu_markers	endothelial	21
GSE207422	BD_immune10	hu_collapsed	other	319
GSE207422	BD_immune10	hu_collapsed	myeloid	1703
GSE207422	BD_immune10	hu_collapsed	TNK	3876
GSE207422	BD_immune10	hu_collapsed	TLS	372
GSE207422	BD_immune10	hu_collapsed	stromal	103
GSE207422	BD_immune10	hu_collapsed	epithelial	243
GSE207422	BD_immune10	hu_collapsed	mast	27
GSE207422	BD_immune10	marker_coarse	TNK	3876
GSE207422	BD_immune10	marker_coarse	TLS	372
GSE207422	BD_immune10	marker_coarse	epithelial	243
GSE207422	BD_immune10	marker_coarse	other	2152
GSE207422	BD_immune11	hu_markers	T	1246
GSE207422	BD_immune11	hu_markers	myeloid	950
GSE207422	BD_immune11	hu_markers	epithelial	425
GSE207422	BD_immune11	hu_markers	NK	391
GSE207422	BD_immune11	hu_markers	neutrophil	347
GSE207422	BD_immune11	hu_markers	B	255
GSE207422	BD_immune11	hu_markers	other	68
GSE207422	BD_immune11	hu_markers	endothelial	36
GSE207422	BD_immune11	hu_markers	mast	32
GSE207422	BD_immune11	hu_markers	fibroblast	5
GSE207422	BD_immune11	hu_markers	plasma	4
GSE207422	BD_immune11	hu_collapsed	other	68
GSE207422	BD_immune11	hu_collapsed	myeloid	1297
GSE207422	BD_immune11	hu_collapsed	TNK	1637
GSE207422	BD_immune11	hu_collapsed	TLS	259
GSE207422	BD_immune11	hu_collapsed	stromal	41
GSE207422	BD_immune11	hu_collapsed	epithelial	425
GSE207422	BD_immune11	hu_collapsed	mast	32
GSE207422	BD_immune11	marker_coarse	TNK	1637
GSE207422	BD_immune11	marker_coarse	TLS	259
GSE207422	BD_immune11	marker_coarse	epithelial	425
GSE207422	BD_immune11	marker_coarse	other	1438
GSE207422	BD_immune12	hu_markers	neutrophil	2143
GSE207422	BD_immune12	hu_markers	B	1233
GSE207422	BD_immune12	hu_markers	T	1124
GSE207422	BD_immune12	hu_markers	myeloid	706
GSE207422	BD_immune12	hu_markers	epithelial	436
GSE207422	BD_immune12	hu_markers	plasma	219
GSE207422	BD_immune12	hu_markers	NK	148
GSE207422	BD_immune12	hu_markers	other	129
GSE207422	BD_immune12	hu_markers	mast	77
GSE207422	BD_immune12	hu_markers	endothelial	14
GSE207422	BD_immune12	hu_markers	fibroblast	4
GSE207422	BD_immune12	hu_collapsed	other	129
GSE207422	BD_immune12	hu_collapsed	myeloid	2849
GSE207422	BD_immune12	hu_collapsed	TNK	1272
GSE207422	BD_immune12	hu_collapsed	epithelial	436
GSE207422	BD_immune12	hu_collapsed	stromal	18
GSE207422	BD_immune12	hu_collapsed	TLS	1452
GSE207422	BD_immune12	hu_collapsed	mast	77
GSE207422	BD_immune12	marker_coarse	TNK	1272
GSE207422	BD_immune12	marker_coarse	TLS	1452
GSE207422	BD_immune12	marker_coarse	epithelial	436
GSE207422	BD_immune12	marker_coarse	other	3073
GSE207422	BD_immune13	hu_markers	myeloid	3129
GSE207422	BD_immune13	hu_markers	neutrophil	1894
GSE207422	BD_immune13	hu_markers	T	1159
GSE207422	BD_immune13	hu_markers	other	205
GSE207422	BD_immune13	hu_markers	NK	127
GSE207422	BD_immune13	hu_markers	B	117
GSE207422	BD_immune13	hu_markers	plasma	46
GSE207422	BD_immune13	hu_markers	epithelial	28
GSE207422	BD_immune13	hu_markers	endothelial	25
GSE207422	BD_immune13	hu_markers	mast	13
GSE207422	BD_immune13	hu_markers	fibroblast	10
GSE207422	BD_immune13	hu_collapsed	other	205
GSE207422	BD_immune13	hu_collapsed	myeloid	5023
GSE207422	BD_immune13	hu_collapsed	TNK	1286
GSE207422	BD_immune13	hu_collapsed	epithelial	28
GSE207422	BD_immune13	hu_collapsed	stromal	35
GSE207422	BD_immune13	hu_collapsed	TLS	163
GSE207422	BD_immune13	hu_collapsed	mast	13
GSE207422	BD_immune13	marker_coarse	TNK	1286
GSE207422	BD_immune13	marker_coarse	TLS	163
GSE207422	BD_immune13	marker_coarse	epithelial	28
GSE207422	BD_immune13	marker_coarse	other	5276
GSE207422	BD_immune14	hu_markers	T	2341
GSE207422	BD_immune14	hu_markers	B	1712
GSE207422	BD_immune14	hu_markers	myeloid	377
GSE207422	BD_immune14	hu_markers	NK	345
GSE207422	BD_immune14	hu_markers	neutrophil	204
GSE207422	BD_immune14	hu_markers	epithelial	174
GSE207422	BD_immune14	hu_markers	other	164
GSE207422	BD_immune14	hu_markers	plasma	92
GSE207422	BD_immune14	hu_markers	mast	63
GSE207422	BD_immune14	hu_markers	endothelial	55
GSE207422	BD_immune14	hu_markers	fibroblast	19
GSE207422	BD_immune14	hu_collapsed	other	164
GSE207422	BD_immune14	hu_collapsed	myeloid	581
GSE207422	BD_immune14	hu_collapsed	TNK	2686
GSE207422	BD_immune14	hu_collapsed	epithelial	174
GSE207422	BD_immune14	hu_collapsed	stromal	74
GSE207422	BD_immune14	hu_collapsed	TLS	1804
GSE207422	BD_immune14	hu_collapsed	mast	63
GSE207422	BD_immune14	marker_coarse	TNK	2686
GSE207422	BD_immune14	marker_coarse	TLS	1804
GSE207422	BD_immune14	marker_coarse	epithelial	174
GSE207422	BD_immune14	marker_coarse	other	882
GSE207422	BD_immune15	hu_markers	myeloid	3741
GSE207422	BD_immune15	hu_markers	neutrophil	1691
GSE207422	BD_immune15	hu_markers	T	892
GSE207422	BD_immune15	hu_markers	NK	528
GSE207422	BD_immune15	hu_markers	epithelial	522
GSE207422	BD_immune15	hu_markers	B	376
GSE207422	BD_immune15	hu_markers	other	178
GSE207422	BD_immune15	hu_markers	endothelial	67
GSE207422	BD_immune15	hu_markers	mast	58
GSE207422	BD_immune15	hu_markers	plasma	17
GSE207422	BD_immune15	hu_markers	fibroblast	16
GSE207422	BD_immune15	hu_collapsed	other	178
GSE207422	BD_immune15	hu_collapsed	myeloid	5432
GSE207422	BD_immune15	hu_collapsed	TNK	1420
GSE207422	BD_immune15	hu_collapsed	TLS	393
GSE207422	BD_immune15	hu_collapsed	stromal	83
GSE207422	BD_immune15	hu_collapsed	epithelial	522
GSE207422	BD_immune15	hu_collapsed	mast	58
GSE207422	BD_immune15	marker_coarse	TNK	1420
GSE207422	BD_immune15	marker_coarse	TLS	393
GSE207422	BD_immune15	marker_coarse	epithelial	522
GSE207422	BD_immune15	marker_coarse	other	5751
GSE207422	BD_immune02	drmref	B cells	127
GSE207422	BD_immune02	drmref	CD4+ T cells	404
GSE207422	BD_immune02	drmref	CD8+ T cells	261
GSE207422	BD_immune02	drmref	Endothelial cells	2
GSE207422	BD_immune02	drmref	Malignant cells	100
GSE207422	BD_immune02	drmref	Mono/Macro	39
GSE207422	BD_immune02	drmref	NK cells	7
GSE207422	BD_immune02	drmref	Neutrophils	206
GSE207422	BD_immune02	drmref	Plasma cells	31
GSE207422	BD_immune02	drmref	pDCs	4
GSE207422	BD_immune02	drmref_collapsed	TLS	158
GSE207422	BD_immune02	drmref_collapsed	TNK	672
GSE207422	BD_immune02	drmref_collapsed	stromal	2
GSE207422	BD_immune02	drmref_collapsed	epithelial	100
GSE207422	BD_immune02	drmref_collapsed	myeloid	249
GSE207422	BD_immune03	drmref	B cells	86
GSE207422	BD_immune03	drmref	CD4+ T cells	614
GSE207422	BD_immune03	drmref	CD8+ T cells	939
GSE207422	BD_immune03	drmref	Endothelial cells	3
GSE207422	BD_immune03	drmref	Fibroblasts	5
GSE207422	BD_immune03	drmref	Malignant cells	440
GSE207422	BD_immune03	drmref	Mast cells	4
GSE207422	BD_immune03	drmref	Mono/Macro	162
GSE207422	BD_immune03	drmref	NK cells	10
GSE207422	BD_immune03	drmref	Neutrophils	127
GSE207422	BD_immune03	drmref	Plasma cells	793
GSE207422	BD_immune03	drmref	pDCs	22
GSE207422	BD_immune03	drmref_collapsed	TLS	879
GSE207422	BD_immune03	drmref_collapsed	TNK	1563
GSE207422	BD_immune03	drmref_collapsed	stromal	8
GSE207422	BD_immune03	drmref_collapsed	epithelial	440
GSE207422	BD_immune03	drmref_collapsed	mast	4
GSE207422	BD_immune03	drmref_collapsed	myeloid	311
GSE207422	BD_immune04	drmref	B cells	11
GSE207422	BD_immune04	drmref	CD4+ T cells	281
GSE207422	BD_immune04	drmref	CD8+ T cells	446
GSE207422	BD_immune04	drmref	Endothelial cells	2
GSE207422	BD_immune04	drmref	Fibroblasts	9
GSE207422	BD_immune04	drmref	Malignant cells	71
GSE207422	BD_immune04	drmref	Mast cells	3
GSE207422	BD_immune04	drmref	Mono/Macro	221
GSE207422	BD_immune04	drmref	NK cells	15
GSE207422	BD_immune04	drmref	Neutrophils	543
GSE207422	BD_immune04	drmref	Plasma cells	122
GSE207422	BD_immune04	drmref	pDCs	14
GSE207422	BD_immune04	drmref_collapsed	TLS	133
GSE207422	BD_immune04	drmref_collapsed	TNK	742
GSE207422	BD_immune04	drmref_collapsed	stromal	11
GSE207422	BD_immune04	drmref_collapsed	epithelial	71
GSE207422	BD_immune04	drmref_collapsed	mast	3
GSE207422	BD_immune04	drmref_collapsed	myeloid	778
GSE207422	BD_immune06	drmref	CD4+ T cells	37
GSE207422	BD_immune06	drmref	CD8+ T cells	89
GSE207422	BD_immune06	drmref	Malignant cells	15
GSE207422	BD_immune06	drmref	Mast cells	1
GSE207422	BD_immune06	drmref	Mono/Macro	38
GSE207422	BD_immune06	drmref	NK cells	14
GSE207422	BD_immune06	drmref	Neutrophils	380
GSE207422	BD_immune06	drmref	Plasma cells	2
GSE207422	BD_immune06	drmref	pDCs	9
GSE207422	BD_immune06	drmref_collapsed	TNK	140
GSE207422	BD_immune06	drmref_collapsed	epithelial	15
GSE207422	BD_immune06	drmref_collapsed	mast	1
GSE207422	BD_immune06	drmref_collapsed	myeloid	427
GSE207422	BD_immune06	drmref_collapsed	TLS	2
GSE207422	BD_immune07	drmref	B cells	3
GSE207422	BD_immune07	drmref	CD4+ T cells	70
GSE207422	BD_immune07	drmref	CD8+ T cells	359
GSE207422	BD_immune07	drmref	Endothelial cells	34
GSE207422	BD_immune07	drmref	Fibroblasts	116
GSE207422	BD_immune07	drmref	Malignant cells	516
GSE207422	BD_immune07	drmref	Mast cells	31
GSE207422	BD_immune07	drmref	Mono/Macro	732
GSE207422	BD_immune07	drmref	NK cells	1
GSE207422	BD_immune07	drmref	Neutrophils	6
GSE207422	BD_immune07	drmref	Plasma cells	33
GSE207422	BD_immune07	drmref	pDCs	80
GSE207422	BD_immune07	drmref_collapsed	TLS	36
GSE207422	BD_immune07	drmref_collapsed	TNK	430
GSE207422	BD_immune07	drmref_collapsed	stromal	150
GSE207422	BD_immune07	drmref_collapsed	epithelial	516
GSE207422	BD_immune07	drmref_collapsed	mast	31
GSE207422	BD_immune07	drmref_collapsed	myeloid	818
GSE207422	BD_immune09	drmref	B cells	16
GSE207422	BD_immune09	drmref	CD4+ T cells	680
GSE207422	BD_immune09	drmref	CD8+ T cells	1104
GSE207422	BD_immune09	drmref	Fibroblasts	13
GSE207422	BD_immune09	drmref	Malignant cells	69
GSE207422	BD_immune09	drmref	Mast cells	3
GSE207422	BD_immune09	drmref	Mono/Macro	474
GSE207422	BD_immune09	drmref	NK cells	4
GSE207422	BD_immune09	drmref	Neutrophils	54
GSE207422	BD_immune09	drmref	Plasma cells	109
GSE207422	BD_immune09	drmref	pDCs	7
GSE207422	BD_immune09	drmref_collapsed	TLS	125
GSE207422	BD_immune09	drmref_collapsed	TNK	1788
GSE207422	BD_immune09	drmref_collapsed	stromal	13
GSE207422	BD_immune09	drmref_collapsed	epithelial	69
GSE207422	BD_immune09	drmref_collapsed	mast	3
GSE207422	BD_immune09	drmref_collapsed	myeloid	535
GSE207422	BD_immune10	drmref	B cells	10
GSE207422	BD_immune10	drmref	CD4+ T cells	744
GSE207422	BD_immune10	drmref	CD8+ T cells	1810
GSE207422	BD_immune10	drmref	Fibroblasts	32
GSE207422	BD_immune10	drmref	Malignant cells	216
GSE207422	BD_immune10	drmref	Mast cells	22
GSE207422	BD_immune10	drmref	Mono/Macro	630
GSE207422	BD_immune10	drmref	NK cells	4
GSE207422	BD_immune10	drmref	Neutrophils	507
GSE207422	BD_immune10	drmref	Plasma cells	206
GSE207422	BD_immune10	drmref	pDCs	37
GSE207422	BD_immune10	drmref_collapsed	TLS	216
GSE207422	BD_immune10	drmref_collapsed	TNK	2558
GSE207422	BD_immune10	drmref_collapsed	stromal	32
GSE207422	BD_immune10	drmref_collapsed	epithelial	216
GSE207422	BD_immune10	drmref_collapsed	mast	22
GSE207422	BD_immune10	drmref_collapsed	myeloid	1174
GSE207422	BD_immune11	drmref	B cells	4
GSE207422	BD_immune11	drmref	CD4+ T cells	102
GSE207422	BD_immune11	drmref	CD8+ T cells	61
GSE207422	BD_immune11	drmref	Fibroblasts	1
GSE207422	BD_immune11	drmref	Malignant cells	54
GSE207422	BD_immune11	drmref	Mast cells	1
GSE207422	BD_immune11	drmref	Mono/Macro	66
GSE207422	BD_immune11	drmref	NK cells	39
GSE207422	BD_immune11	drmref	Neutrophils	303
GSE207422	BD_immune11	drmref	pDCs	2
GSE207422	BD_immune11	drmref_collapsed	TLS	4
GSE207422	BD_immune11	drmref_collapsed	TNK	202
GSE207422	BD_immune11	drmref_collapsed	stromal	1
GSE207422	BD_immune11	drmref_collapsed	epithelial	54
GSE207422	BD_immune11	drmref_collapsed	mast	1
GSE207422	BD_immune11	drmref_collapsed	myeloid	371
GSE207422	BD_immune12	drmref	B cells	514
GSE207422	BD_immune12	drmref	CD4+ T cells	657
GSE207422	BD_immune12	drmref	CD8+ T cells	532
GSE207422	BD_immune12	drmref	Fibroblasts	1
GSE207422	BD_immune12	drmref	Malignant cells	181
GSE207422	BD_immune12	drmref	Mast cells	48
GSE207422	BD_immune12	drmref	Mono/Macro	755
GSE207422	BD_immune12	drmref	NK cells	30
GSE207422	BD_immune12	drmref	Neutrophils	1898
GSE207422	BD_immune12	drmref	Plasma cells	206
GSE207422	BD_immune12	drmref	pDCs	39
GSE207422	BD_immune12	drmref_collapsed	TLS	720
GSE207422	BD_immune12	drmref_collapsed	TNK	1219
GSE207422	BD_immune12	drmref_collapsed	stromal	1
GSE207422	BD_immune12	drmref_collapsed	epithelial	181
GSE207422	BD_immune12	drmref_collapsed	mast	48
GSE207422	BD_immune12	drmref_collapsed	myeloid	2692
GSE207422	BD_immune13	drmref	B cells	11
GSE207422	BD_immune13	drmref	CD4+ T cells	374
GSE207422	BD_immune13	drmref	CD8+ T cells	236
GSE207422	BD_immune13	drmref	Fibroblasts	6
GSE207422	BD_immune13	drmref	Malignant cells	25
GSE207422	BD_immune13	drmref	Mast cells	4
GSE207422	BD_immune13	drmref	Mono/Macro	2924
GSE207422	BD_immune13	drmref	NK cells	14
GSE207422	BD_immune13	drmref	Neutrophils	1566
GSE207422	BD_immune13	drmref	Plasma cells	41
GSE207422	BD_immune13	drmref	pDCs	12
GSE207422	BD_immune13	drmref_collapsed	TLS	52
GSE207422	BD_immune13	drmref_collapsed	TNK	624
GSE207422	BD_immune13	drmref_collapsed	stromal	6
GSE207422	BD_immune13	drmref_collapsed	epithelial	25
GSE207422	BD_immune13	drmref_collapsed	mast	4
GSE207422	BD_immune13	drmref_collapsed	myeloid	4502
GSE207422	BD_immune14	drmref	B cells	256
GSE207422	BD_immune14	drmref	CD4+ T cells	417
GSE207422	BD_immune14	drmref	CD8+ T cells	409
GSE207422	BD_immune14	drmref	Fibroblasts	9
GSE207422	BD_immune14	drmref	Malignant cells	87
GSE207422	BD_immune14	drmref	Mast cells	27
GSE207422	BD_immune14	drmref	Mono/Macro	93
GSE207422	BD_immune14	drmref	NK cells	30
GSE207422	BD_immune14	drmref	Neutrophils	168
GSE207422	BD_immune14	drmref	Plasma cells	63
GSE207422	BD_immune14	drmref	pDCs	26
GSE207422	BD_immune14	drmref_collapsed	TLS	319
GSE207422	BD_immune14	drmref_collapsed	TNK	856
GSE207422	BD_immune14	drmref_collapsed	stromal	9
GSE207422	BD_immune14	drmref_collapsed	epithelial	87
GSE207422	BD_immune14	drmref_collapsed	mast	27
GSE207422	BD_immune14	drmref_collapsed	myeloid	287
GSE207422	BD_immune15	drmref	B cells	4
GSE207422	BD_immune15	drmref	CD4+ T cells	84
GSE207422	BD_immune15	drmref	CD8+ T cells	55
GSE207422	BD_immune15	drmref	Fibroblasts	3
GSE207422	BD_immune15	drmref	Malignant cells	277
GSE207422	BD_immune15	drmref	Mono/Macro	1085
GSE207422	BD_immune15	drmref	NK cells	150
GSE207422	BD_immune15	drmref	Neutrophils	1474
GSE207422	BD_immune15	drmref	Plasma cells	12
GSE207422	BD_immune15	drmref_collapsed	TLS	16
GSE207422	BD_immune15	drmref_collapsed	TNK	289
GSE207422	BD_immune15	drmref_collapsed	stromal	3
GSE207422	BD_immune15	drmref_collapsed	epithelial	277
GSE207422	BD_immune15	drmref_collapsed	myeloid	2559
GSE241934_IIT	P343	author_major	T	3123
GSE241934_IIT	P343	author_major	fibroblast	1176
GSE241934_IIT	P343	author_major	myeloid	752
GSE241934_IIT	P343	author_major	B	725
