sample	patient	fov	n_qc	n_epi	n_cd8	in_module_universe	in_spatial_universe	cldn4_ac_z	cldn4_ac_fdr	n_sig_genes	median_nn_um	rho_samecell_cldn4_cd8tx	delta_cd8_domain	domain_epi_purity	domain_max_frac	hs_fine_sign_agrees	hs_program_sign_agrees	rho_cldn4_50	rho_hs_fine_50	rho_keratin_50	rho_resid_50	rho_adhesion_50	rho_adhesion_wo_50	rho_hs_program_50	rho_hmrf_fine_50	rho_hmrf_program_50	rho_cldn4_100
Lung5_Rep1	Lung5	24	2562	257	142	True	True	3.160726753115868	0.0029740357258191	324	9.290511288406035	-0.0291861579540209	-0.0381711694914752	0.3006134969325153	0.284543325526932	1.0	1.0	-0.0083446138413391	-0.1309434205974542	-0.0438146715797513	0.0205406519658487	-0.0481496658097167	-0.0373480929599716	-0.1309434205974542			0.0088755716072888
Lung5_Rep1	Lung5	25	4272	289	314	True	True	-0.2955054363654668	0.7652629443382664	389	7.342588099573609	0.0001151266374821	0.0888194044835481	0.0900514579759862	0.2780898876404494			-0.0098219869175564		0.0563942266264104	-0.0295379773683379	-0.0391742489653476	-0.0483757679959905				-0.0252843885884991
Lung5_Rep1	Lung5	26	3579	1249	132	True	True	27.3247215211747	1.150533115659718e-163	634	8.31124539404294	0.055536533113021	-0.0482279868469126	0.998812351543943	0.3076278290025147	1.0	1.0	-0.1893490867801197	-0.5332797161566848	-0.2862224956671372	-0.0784229234775693	-0.2953627123167144	-0.3053070704270736	-0.5248209802918947	-0.3529840130106415	-0.3529840130106415	-0.1103413212409915
Lung5_Rep1	Lung5	27	3680	2273	90	True	True	46.73533714927614	0.0	521	8.05990074380572	0.0642878462596731	-0.0445986124876114	1.0	0.4516304347826086	1.0	1.0	-0.1805075951486545	-0.4069971666203837	-0.272997902176909	-0.1123246105037589	-0.2348071184352976	-0.2103355745109771	-0.4313865289860764	-0.1897149063512775	-0.1897149063512775	-0.2020275504260788
Lung5_Rep1	Lung5	28	3753	1482	150	True	True	51.49759911357116	0.0	642	8.287822391919363	0.0331814252880442	-0.0563274502440856	0.9963302752293578	0.3088196109778843	1.0	1.0	-0.2312435990207435	-0.4178057345291582	-0.3662650417902484	-0.101281427593909	-0.3405298989493966	-0.3377590208482003	-0.6620220720604288	-0.5282047717083329	-0.5282047717083329	-0.1418294023957598
Lung5_Rep1	Lung5	29	3082	884	69	True	True	25.84245366230784	3.5495569127535764e-146	476	8.776730550054786	0.0627927951363919	-0.0272189349112426	0.9890310786106032	0.4068786502271252	1.0	1.0	-0.0154092939808114	-0.3687820360893947	-0.1436459841812578	0.0827769017755973	-0.1258452053035637	-0.1375920456290771	-0.3452590371495809	-0.2068357343644145	-0.2068357343644145	0.0125812305831141
Lung5_Rep1	Lung5	30	4714	339	385	True	True	0.1848448531482162	0.5785428652711608	430	7.409574160814698	-0.011001252021618	-0.0094984537877081	0.0036363636363636	0.2991090369113279			0.0206346989498685		0.0106894360456173	0.0433759700181701	0.0833634829586417	0.0815943538445229				0.0241021474904883
Lung5_Rep2	Lung5	1	2275	557	129	True	True	19.485555137420697	2.2543252421978307e-83	306	8.967541469098428	-0.0100486368327178	-0.0617520344662518	1.0	0.4967032967032967	1.0	1.0	-0.2605217239853512	-0.481522858157089	-0.3601630601014262	-0.0061693798064752	-0.3724179389670857	-0.357497002861699	-0.549922403626957			-0.1731903076148485
Lung5_Rep2	Lung5	2	3657	1474	238	True	True	35.743821545837	4.2139184140927946e-279	607	7.989242767621973	0.0052522524821273	-0.0934432665881429	0.9990990990990992	0.3300519551544982	1.0	1.0	-0.2266542824376112	-0.6940193555756368	-0.5326540115640912	-0.0771345889943996	-0.4105900346276763	-0.3952525921997527	-0.6803342810344958	-0.5318690649862192	-0.5318690649862192	-0.1926911483592463
Lung5_Rep2	Lung5	3	2918	1769	135	True	True	23.344172849225373	8.518092672926016e-120	584	8.461914676951075	0.0060346932153593	-0.0762281197063805	1.0	0.3930774503084304	1.0	1.0	-0.1961253321458214	-0.5928661932006277	-0.4137142415913316	-0.0377740390925176	-0.3216613728113095	-0.3154344226500927	-0.6702346032570415	-0.4858428632034968	-0.4858428632034968	-0.1625791419504189
Lung5_Rep2	Lung5	4	3795	1037	390	True	True	20.772240917923423	3.85863000102522e-95	545	7.97097233717443	0.0225538646572984	-0.1038738170347003	0.8816	0.3204216073781291	1.0	1.0	-0.2082330550145176	-0.5608107234702799	-0.2835313482382763	-0.103036035257452	-0.3060559631743004	-0.2841654887074169	-0.5847808481922333			-0.1231493480122557
Lung5_Rep2	Lung5	5	3795	1685	228	True	True	37.86248896127732	0.0	596	7.903619424036053	0.0364203613917343	-0.088201160541586	0.9991735537190084	0.3591567852437418	1.0	1.0	-0.2249986881867834	-0.7346581045303218	-0.4861058043656813	-0.0859631328848778	-0.4333799583300893	-0.4315564664809498	-0.7316116186620507	-0.5787819054267571	-0.5787819054267571	-0.1573335723762398
Lung5_Rep2	Lung5	7	3866	2198	158	True	True	35.89523955966647	1.7935628884552326e-281	627	7.773416237408106	0.0337036987229074	-0.0765503875968992	0.9994450610432852	0.4661148473874806	1.0	1.0	-0.1511091059960701	-0.4334735425287024	-0.2509887773631628	-0.0748182548801526	-0.2521650117365904	-0.2403979034773024	-0.5059981192907828	-0.3103168677217151	-0.3103168677217151	-0.0977200335281762
Lung5_Rep2	Lung5	8	3271	2290	116	True	True	33.334898937713035	8.038639656318573e-243	604	8.121970204328504	0.0185612848434377	-0.077127659574468	1.0	0.5402017731580556	1.0	1.0	-0.211105458700351	-0.5158568220677708	-0.3135120836868456	-0.1097536200044827	-0.3611401239000416	-0.3493936314938878	-0.6287384861515761	-0.4019489280938144	-0.4019489280938144	-0.1878158627347058
Lung5_Rep2	Lung5	9	3110	790	326	True	True	4.846155697981339	2.7715980168531103e-06	406	8.92407978449319	0.0503445557815826	-0.0808097165991902	0.8153846153846154	0.3189710610932476	1.0	1.0	-0.0238974534718996	-0.3563948836160513	-0.0929853179725854	0.0203718917421559	-0.080323575453301	-0.0880951412673457	-0.2538959078091974			0.0354444676613565
Lung5_Rep2	Lung5	10	2995	1286	186	True	True	29.04137795359181	1.8251964084703377e-184	592	8.836515150216176	0.0530576229958236	-0.0780856423173803	1.0	0.29449081803005	1.0	1.0	-0.348645913365427	-0.6003210672592822	-0.4869457271493868	-0.1584964269008257	-0.4360199196464028	-0.4047744193117501	-0.6625426376135506	-0.5562588884772526	-0.5562588884772526	-0.3500112145336677
Lung5_Rep2	Lung5	11	4109	1273	342	True	True	42.66502279845634	0.0	547	7.689603370785777	0.0284463274857293	-0.1017857142857142	1.0	0.4366025797030908	1.0	1.0	-0.2254133200390379	-0.7853011554488175	-0.5629188659207304	-0.0039920626906893	-0.4798238809413039	-0.5033052688047872	-0.8009650816390702	-0.6574479026808558	-0.6574479026808558	-0.1918075383960704
Lung5_Rep2	Lung5	12	3781	1604	238	True	True	25.13743334983996	8.46237747415803e-139	580	7.928177596396286	0.053586869946981	-0.0882789317507418	0.9990783410138248	0.2869611213964559	1.0	1.0	-0.2036887997674419	-0.6455200557580775	-0.3934396166846641	-0.0601293068246772	-0.3879174208348366	-0.3810877133595201	-0.648131154362168	-0.4857162125933621	-0.4857162125933621	-0.2044574384257717
Lung5_Rep2	Lung5	13	3203	925	283	True	True	34.14661499791251	3.792374033428638e-254	449	9.178235124467012	0.013303282946285	-0.09449081803005	1.0	0.3665313768342179	1.0	1.0	-0.2799344254632014	-0.4997746942406494	-0.2509965066123724	-0.1764438203000621	-0.3023392484944727	-0.2951294587725702	-0.5164627185871797			-0.1915645063402582
Lung5_Rep2	Lung5	14	2789	753	251	True	True	6.932529145410769	1.8719200467762208e-11	335	9.449571418852814	0.0135762821828479	-0.0791456507999454	0.9301075268817204	0.3750448189315167	1.0		0.0182899062968502	-0.0761732400589369	0.0071275047286691	0.0222206547713269	-0.0241865494758123	-0.0193991791135777				-0.0055821299884818
Lung5_Rep2	Lung5	15	3182	795	298	True	True	11.712799863075858	4.496391756113473e-31	474	8.703515734575262	0.0340603934576185	-0.0934792521659826	0.9728682170542636	0.2677561282212445	1.0	1.0	-0.1111765326029131	-0.2580491072769363	-0.076705039356154	-0.0730641929122559	-0.131811482306238	-0.1118393457631446	-0.2679810137883455			-0.050516110732828
Lung5_Rep2	Lung5	16	4700	1557	355	True	True	33.13965119966689	4.789905311521783e-240	579	7.657937059025754	0.0100982504147258	-0.0942741390029445	0.9969543147208122	0.3461702127659574	1.0	1.0	-0.1515740540274224	-0.6602945265207312	-0.4951926062351652	0.0529229281630177	-0.4487934295993941	-0.4782528827986894	-0.730137906798512			-0.1080413246765691
Lung5_Rep2	Lung5	17	3530	1463	187	True	True	30.75776338823228	7.22122716015848e-207	600	8.362731998783948	0.0292823784559776	-0.0732758620689655	0.9979550102249488	0.2770538243626062	1.0	1.0	-0.0956816628500854	-0.3794511496540018	-0.3896427739185636	0.0642482742757539	-0.3183444436158203	-0.3580358955840013	-0.6977895341932328			-0.033765027297543
Lung5_Rep2	Lung5	18	3480	779	298	True	True	3.363710190428232	0.001268490748126	410	8.604301249956325	0.0440748570882335	-0.0376828074165324	0.4699453551912568	0.3704022988505747	1.0	1.0	-0.0532339862311601	-0.4115858893526222	-0.0856520565600016	-0.0003839759816644	-0.1096452436836583	-0.1021077863739579	-0.3521796954275952			0.0099497326183916
Lung5_Rep2	Lung5	19	2834	764	216	True	True	20.3324903742964	1.326962257869593e-90	361	9.087772004182323	0.0612680275316376	-0.0820668693009118	0.9603960396039604	0.3712067748764996	1.0	1.0	-0.1951174122695526	-0.2785516135930603	-0.1173644409602983	-0.1573849906513216	-0.1377133744669457	-0.1196351849030112	-0.2785516135930603			-0.0337836104303057
Lung5_Rep2	Lung5	20	4283	570	312	True	True	3.5631573024478858	0.000584325777024	432	7.353611357693578	0.0059697333736596	-0.0469130607141768	0.2611764705882353	0.4641606350688769	1.0	1.0	-0.0995346854049681	-0.5615534617082552	-0.1997346998578389	0.0245751710083968	-0.1429137284503518	-0.1460455555134749	-0.6160681586587669			-0.1294036832508605
Lung5_Rep2	Lung5	21	3228	358	205	True	True	0.011383266169344	0.6652314386475103	365	8.338489071768338	-0.007705028110758	-0.0024880401773464	0.2168905950095969	0.2815985130111524			-0.0840489749929406		-0.0455408422337409	-0.0851256048011998	-0.0434982557968258	-0.0392757269928115				-0.0131719057072118
Lung5_Rep2	Lung5	22	2770	438	187	True	True	19.683118950387406	3.438881150380006e-85	380	8.74344203069804	-0.026453322097091	-0.0729329173166926	0.970873786407767	0.479783393501805	1.0	1.0	-0.3612923557207962	-0.6339673758223991	-0.5520307444574576	-0.0729766540765423	-0.4757421152085574	-0.4429661998207399	-0.6534728355588305			-0.3162830845690738
Lung5_Rep2	Lung5	23	3164	573	215	True	True	16.94722518295321	1.5619646453285616e-63	433	8.461914676951075	0.0163417820759334	-0.0724881995954147	0.98989898989899	0.4453223767383059	1.0	1.0	-0.3318235797007016	-0.579669547215632	-0.4568803557249453	-0.1035179331689177	-0.3691850790154607	-0.2923102194091779	-0.5838810320807863			-0.3292126166568647
Lung5_Rep2	Lung5	24	2544	270	164	True	True	2.053227826763084	0.0614192769230444	297	9.141979705439992	0.0140324468346021	-0.0075262803546556	0.0840543881334981	0.3180031446540881			0.0233051791708656		-0.2355687402099891	0.1625039224234851	-0.0213786656512625	-0.0662292619480523				-0.1066716369681287
Lung5_Rep2	Lung5	25	4055	380	263	True	True	-0.8030985022696564	0.8953657853467308	331	7.570706704132712	0.0301507716227022	-0.0146048906048905	0.018018018018018	0.4			-0.0396732785275296		0.0352824401334231	-0.046941326514705	-0.035877396582391	0.0130165916036531				0.0586970942880578
Lung5_Rep2	Lung5	26	3543	790	211	True	True	13.37088013428575	2.9825267924366958e-40	520	8.133928939940402	0.0081976544089664	-0.0662688442211055	1.0	0.3607112616426757	1.0	1.0	-0.2051198530961183	-0.5301634662857893	-0.4248177466720224	0.0026229530155953	-0.3168444972272701	-0.3472081282837213	-0.5522384749400139			-0.1510497492887604
Lung5_Rep2	Lung5	27	3815	2284	96	True	True	22.676840085420466	4.1844890746467945e-113	510	7.97097233717443	0.0342462005091001	-0.048435923309788	0.9994544462629568	0.4804718217562254	1.0	1.0	-0.1593445379923138	-0.3282534478386976	-0.3336005515910323	-0.0533953803593873	-0.2896960475259674	-0.2830379624695951	-0.2213019979532996	-0.3665598103492296	-0.3665598103492296	-0.1473438799950133
Lung5_Rep2	Lung5	28	4029	1948	215	True	True	48.61120094068366	0.0	633	8.035745142797897	0.0321572965069264	-0.0859982392948869	0.991661321359846	0.3869446512782328	1.0	1.0	-0.1892083547630456	-0.5138198903780047	-0.3110164444404448	-0.0914462317370517	-0.3077519274859192	-0.2932686204579118	-0.612260608289776	-0.466489804616918	-0.466489804616918	-0.147593398959274
Lung5_Rep2	Lung5	29	3572	1680	164	True	True	46.7527897849131	0.0	557	8.197414226449704	0.0646009263911821	-0.0645669291338582	0.993217054263566	0.2889137737961926	1.0	1.0	-0.1555508524861566	-0.475766382769402	-0.1874508252804129	-0.0918423402878721	-0.1946771473592763	-0.1573576218711888	-0.4906205230035116	-0.1945516630498803	-0.1945516630498803	-0.1224481052499661
Lung5_Rep2	Lung5	30	4144	522	352	True	True	16.692263700157707	6.2276682706201126e-62	497	7.889258520292006	0.0209591476184644	-0.0804817339531185	0.9380530973451328	0.4749034749034749	1.0	1.0	-0.2771250249418149	-0.6507949104354377	-0.3752165590416406	-0.0967697736818655	-0.453864069120185	-0.4597712950790792	-0.6510170230573327			-0.2561485184702958
Lung5_Rep3	Lung5	1	2354	575	56	True	True	28.29629182574841	1.0236634421303604e-174	368	8.891344105364498	0.0318134079668831	-0.0252707581227436	1.0	0.461767204757859	1.0	1.0	-0.3116371750562949	-0.3985357394665274	-0.2942542031350965	-0.1922748635847436	-0.2902589530615097	-0.2702776663553501	-0.3856917123188991	-0.3384749332053474		-0.2537629211026539
Lung5_Rep3	Lung5	2	3354	998	125	True	True	12.851818570616372	2.386131619070578e-37	548	8.461914676951075	0.0405398785265217	-0.0459896983075791	0.9952830188679244	0.5468097793679189	1.0	1.0	-0.1877034407709397	-0.6522080435274095	-0.4941410347694726	0.0446246282493262	-0.402721981571546	-0.3940404365409425	-0.6567661381635043			-0.192407010840236
Lung5_Rep3	Lung5	3	2471	1372	60	True	True	21.28372519741388	1.2641851702647008e-99	516	8.849338958362935	0.0456298336842689	-0.0348837209302325	1.0	0.3350870093079724	1.0	1.0	-0.1132842513731562	-0.3932884915487534	-0.217379707115441	-0.0121002964121311	-0.1836108200099244	-0.1765772870782268	-0.4778566888627228	-0.3269967958026605	-0.3269967958026605	-0.1589254321760516
Lung5_Rep3	Lung5	4	3417	1265	147	True	True	26.31205835834864	8.170544518237889e-152	552	8.242742262135824	0.0167268404800736	-0.0526504297994269	1.0	0.270119988293825	1.0	1.0	-0.2438499976157514	-0.6774352289387271	-0.3711248961134975	-0.1065324696115692	-0.4054041677173312	-0.4100939213485597	-0.6845180630992287	-0.5396955373049573	-0.5396955373049573	-0.2789933025228014
Lung5_Rep3	Lung5	5	3110	1343	70	True	True	32.38594693391081	4.517164579631411e-229	536	8.50773765462946	0.0257935038130001	-0.0313339301700984	0.9988584474885844	0.3012861736334405	1.0	1.0	-0.1439159866483456	-0.5307734674233102	-0.3227481099439601	0.0001887264276005	-0.2799040986611943	-0.2772058882480654	-0.5631456066621692	-0.4776544444993136	-0.4776544444993136	-0.219305519800892
Lung5_Rep3	Lung5	6	4961	799	140	True	True	7.734375865034781	3.9273680755857445e-14	343	7.421590126111789	-0.0168286878140985	-0.0271701502428475	0.6182170542635659	0.4622052005644023	1.0	1.0	-0.0993861516329925	-0.413521041508384	-0.211637268365143	0.0580661754199503	-0.1958715123288687	-0.2191481965265064	-0.3952769893225195			-0.1002141358982723
Lung5_Rep3	Lung5	7	3627	1836	82	True	True	27.49388826441128	9.680978316325201e-166	571	8.131937038615092	0.0355087524350262	-0.0386427898209236	1.0	0.4149434794596084	1.0	1.0	-0.1126894477925727	-0.3888376386001009	-0.1933384534034286	-0.0340593892936982	-0.1733055055741824	-0.1499542137955865	-0.3959486954149981	-0.1898950983141434	-0.1898950983141434	-0.1263547692359017
Lung5_Rep3	Lung5	8	2881	2142	41	True	True	22.16478535636327	3.308357783720648e-108	537	8.197414226449704	0.0380651339807963	-0.0365093499554764	1.0	0.610204790003471	1.0	1.0	-0.1327415419927972	-0.3713971209945436	-0.167629538005237	-0.0765241898431189	-0.1852665621839199	-0.165981123671419	-0.4427102175108823	-0.2404205431188676	-0.2404205431188676	-0.0703456390284028
Lung5_Rep3	Lung5	9	3130	735	164	True	True	9.443790911327218	9.861422477633295e-21	522	8.714677274575347	-0.0020061030167657	-0.0586762075134168	0.9343283582089552	0.2651757188498402	1.0	1.0	-0.059383239054866	-0.2066918718462153	-0.0244164368886195	-0.0567280828857478	-0.0588244448738736	-0.0549063833886316	-0.1432408955142017			0.0364378873754295
Lung5_Rep3	Lung5	10	3064	1295	105	True	True	29.06852906101601	5.1907041832081805e-185	612	8.538149682454623	0.0486904313624948	-0.0472334682860998	1.0	0.3400783289817232	1.0	1.0	-0.2104750204234517	-0.6424175367963247	-0.4094494262454624	-0.0681932456330505	-0.3792462181500331	-0.3861852247382526	-0.6629436611489983	-0.5551322128322884	-0.5551322128322884	-0.2355792862809264
Lung5_Rep3	Lung5	11	4051	1028	183	True	True	30.03586823401887	2.0037961801152648e-197	589	7.841887527885107	0.03335089896066	-0.0525258323765786	1.0	0.447543816341644	1.0	1.0	-0.2305064193843777	-0.6758846947070566	-0.5359625848388582	0.0217653466244813	-0.4769764069691355	-0.500602999396222	-0.7508322229008358			-0.2104150183180606
Lung5_Rep3	Lung5	12	3240	1410	43	True	True	11.36738099770466	1.7576132050115427e-29	512	8.287822391919363	0.0552812138081355	-0.0183525394793	1.0	0.3271604938271605	1.0	1.0	0.0002425837988064	-0.4038365018753891	-0.2125400645491667	0.1505031059203719	-0.1542346432401958	-0.1694890597488216	-0.424555018070673			0.0122236271899196
Lung5_Rep3	Lung5	13	2755	923	51	True	True	23.475597929214103	7.900961216195171e-121	478	9.2660671268883	0.0441308836846471	-0.0213657310431504	0.9972826086956522	0.3393829401088929	1.0	1.0	-0.2082148140420825	-0.4355968751293581	-0.2789723914267297	-0.0860519196711172	-0.3013454579782912	-0.291190448278022	-0.4537580213624969	-0.3577402550142098	-0.3577402550142098	-0.2589886812188399
Lung5_Rep3	Lung5	14	2640	662	106	True	True	2.4741087855299257	0.0208837553046615	353	9.544243999274888	0.0090996560170502	-0.0436034553681612	0.9186602870813396	0.3609848484848484	1.0		0.0087402500191014	-0.2232042115856298	-0.0470177301082264	0.0360480229758711	-0.0494443292819046	-0.0499802206802831				-0.0004540501830557
