spec	patient_mean_rho	n_patients_neg	n_fov	rho_Lung5	rho_Lung6	rho_Lung9	rho_Lung12	rho_Lung13
cldn4_smooth25_highlow|all|count_30	-0.09165254816989268	4	225	-0.1866078801256197	0.007390558377827094	-0.06451033279168418	-0.1464212180303807	-0.06811386827960583
keratin|all|count_20	-0.0886451235460421	5	225	-0.19978326092344637	-0.015038551668534959	-0.03774045886226721	-0.14371654561196073	-0.046946800664001274
bin_keratin|epi50|count_60	-0.08811559591734457	5	189	-0.18295422863811997	-0.028310153634489157	-0.11004824187986788	-0.10779882296464643	-0.011466532469599392
cldn4_smooth25|all|count_20	-0.08806482725157813	5	225	-0.1779327887037911	-0.0022248852461395283	-0.05361842988986446	-0.13524800896512085	-0.07130002345297477
bin_keratin|epi50|count_40	-0.0837705190516593	5	145	-0.1464410332135993	-0.020152575151733753	-0.09052488184178795	-0.13342211152872804	-0.028311993522447468
cldn4_smooth25_highlow|all|count_20	-0.07562301368731612	5	225	-0.14881384412333368	-0.002902863629317712	-0.04641757750515443	-0.12411225298987749	-0.05586853018889727
bin_cldn4|epi50|count_60	-0.07345233950399355	4	189	-0.1643936937777429	0.02970628012270443	-0.07899768787640914	-0.0973523578703122	-0.056224238118207946
cldn4|tertile|count_30	-0.07146646370479084	4	225	-0.1492564289921131	0.006562452784383542	-0.04423289963362599	-0.10778051589703577	-0.06262492678556283
bin_program|epi50|count_80	-0.0698402174907381	3	178	-0.15957801067817992	0.0026090623437662465	-0.12628217040451548	-0.15710400980917705	0.09115404109441574
cldn4|tertile|count_50	-0.06926137459419084	4	225	-0.15583677186294806	0.02268947665706405	-0.05089428802169068	-0.12142543091198742	-0.04083985883139208
cldn4|all|count_30	-0.06782050774672325	4	225	-0.14635783305420041	0.006440579669574747	-0.037896225550468995	-0.10958513053235738	-0.05170392926616431
cldn4|all|count_50	-0.06536219910977079	4	225	-0.15171297421483676	0.022525974229631675	-0.04214393954117484	-0.12171799195458402	-0.03376206406789001
cldn4|tertile|count_20	-0.06303133018212694	5	225	-0.125623068553225	-0.0019777639755226705	-0.03421078009141688	-0.09092852870160992	-0.06241650958886019
bin_keratin|epi50|count_80	-0.061402631037299316	4	178	-0.13786138897119096	-0.00795807370603793	-0.12496737440900889	-0.11106933619553526	0.07484301809527649
cldn4|all|count_20	-0.06051368900951393	5	225	-0.12474122003391545	-0.0020470640351796837	-0.02939129987952922	-0.09300072199338594	-0.05338813910555932
bin_cldn4|epi50|count_40	-0.057143287039448966	5	145	-0.05558216723372451	-0.03499191354052049	-0.07552439462044339	-0.09986814331172056	-0.019749816490835893
bin_cldn4|epi50|count_80	-0.04294178433923145	4	178	-0.08008707175013888	0.09357076215580844	-0.08025599550942726	-0.138794647342731	-0.009141969249668569
