spec	geneset	smooth	score	subset	radius_um	patient_mean_rho	n_patients_neg	n_samples_neg	n_samples	n_fov	rho_Lung5	rho_Lung6	rho_Lung9	rho_Lung12	rho_Lung13
keratin|hs60|pc1|tertile|count50	keratin	hs60	pc1	tertile	50	-0.2198877470207367	5	8	8	225	-0.42485273779909016	-0.16101259810472404	-0.16042239839378578	-0.32159894413191775	-0.031552056674165746
keratin|hs60|pc1|tertile|count75	keratin	hs60	pc1	tertile	75	-0.21974090616348657	4	7	8	225	-0.4352451867068357	-0.168988609137587	-0.1873292401174447	-0.3131937539097319	0.006052259054166438
keratin|hs15|pc1|quartile|count50	keratin	hs15	pc1	quartile	50	-0.21787486542915319	5	8	8	225	-0.4318428263723872	-0.1622878811753452	-0.14626113261855533	-0.31369489389198846	-0.03528759308748972
program_ceacam|hs30|pc1|quartile|count40	program_ceacam	hs30	pc1	quartile	40	-0.21779985079728076	4	7	8	225	-0.45459329893140765	0.011879780685110327	-0.176037928617788	-0.3345110962728501	-0.13573671084946837
program_ceacam|ball60|mean|quartile|count50	program_ceacam	ball60	mean	quartile	50	-0.2177962441145788	5	8	8	225	-0.43814479113515253	-0.0479274012766245	-0.19924496633526376	-0.3483871258706244	-0.05527693595522877
keratin|hs30|pc1|tertile|count50	keratin	hs30	pc1	tertile	50	-0.21697134475827803	5	8	8	225	-0.42491235522729326	-0.15851468821332676	-0.1541002486674912	-0.31585731237990794	-0.03147211930337114
program_ceacam|hs30|mean|quartile|count40	program_ceacam	hs30	mean	quartile	40	-0.21665645602927355	5	8	8	225	-0.41974376210602893	-0.056215950984881406	-0.17413965554719632	-0.33951978594397253	-0.09366312556428862
program|hs60|mean|quartile|count50	program	hs60	mean	quartile	50	-0.21660896283741243	5	8	8	225	-0.43432654726575726	-0.0671985105235675	-0.2023009372448223	-0.3439396570463035	-0.035279162106611535
program_ceacam|hs60|pc1|quartile|count40	program_ceacam	hs60	pc1	quartile	40	-0.21575131854343788	4	7	8	225	-0.45337562003466353	0.01979233786646104	-0.17891754126865664	-0.33855896761565724	-0.12769680166467312
program_ceacam|hs60|mean|tertile|count50	program_ceacam	hs60	mean	tertile	50	-0.21569491242330674	5	8	8	225	-0.42680635577378884	-0.05640877898653285	-0.18734537156658293	-0.34241069311155287	-0.065503362678076
program_ceacam|ball60|pc1|quartile|count50	program_ceacam	ball60	pc1	quartile	50	-0.21560871569464024	4	7	8	225	-0.4739104544094582	0.0554897583733564	-0.1940825132063102	-0.3493876089765874	-0.11615276025420171
program_ceacam|hs60|pc1|tertile|count50	program_ceacam	hs60	pc1	tertile	50	-0.21464967640823143	4	7	8	225	-0.45554821433263304	0.02502894065380787	-0.18758165036910898	-0.3404111010025754	-0.1147363569906477
keratin|ball60|pc1|tertile|count75	keratin	ball60	pc1	tertile	75	-0.21442356919692024	4	7	8	225	-0.41954242499899486	-0.1601008755146508	-0.19467454382497815	-0.31082352414513365	0.013023522499156195
keratin|ball40|pc1|quartile|count50	keratin	ball40	pc1	quartile	50	-0.21416860126542106	5	8	8	225	-0.4260597187881458	-0.16089281466792207	-0.15750048751102774	-0.2956691516894793	-0.030720833670530245
program_ceacam|hs15|pc1|quartile|count50	program_ceacam	hs15	pc1	quartile	50	-0.21373670550748297	4	7	8	225	-0.46947369143899176	0.01801087546247414	-0.18416477560098235	-0.3336568431402032	-0.0993990928197117
adhesion|hs60|mean|quartile|count50	adhesion	hs60	mean	quartile	50	-0.2132598964564373	5	8	8	225	-0.45594974542554345	-0.07986139672692985	-0.1515645536532637	-0.34931390485337444	-0.029609881623075245
program_ceacam|hs60|pc1|tertile|count75	program_ceacam	hs60	pc1	tertile	75	-0.21324975152527909	4	7	8	225	-0.4752141833984009	0.040757048777934166	-0.19921019045417984	-0.3352929916470576	-0.09728844090469144
keratin|hs30|pc1|tertile|count75	keratin	hs30	pc1	tertile	75	-0.21290533625747754	4	7	8	225	-0.4278946740021518	-0.16479340111679963	-0.17575759498638255	-0.30270531171709136	0.006624300535037805
keratin|ball60|pc1|tertile|count50	keratin	ball60	pc1	tertile	50	-0.21275460135033483	5	8	8	225	-0.4121441174082855	-0.15298688553943512	-0.1611265121319077	-0.31208386973910546	-0.02543162193294035
keratin|hs60|mean|quartile|count50	keratin	hs60	mean	quartile	50	-0.2125490166790624	5	8	8	225	-0.42725868147287516	-0.07434342741897901	-0.21230031071863822	-0.32393068524751717	-0.024911978537302502
program_ceacam|hs30|pc1|tertile|count50	program_ceacam	hs30	pc1	tertile	50	-0.2125159060373663	4	7	8	225	-0.4561445177520657	0.019291853419625846	-0.18280838188280257	-0.33449517593332284	-0.10842330803826619
keratin|ball60|pc1|quartile|count100	keratin	ball60	pc1	quartile	100	-0.21232647800133614	4	7	8	225	-0.41680261749345143	-0.16736345297364935	-0.21507816215009629	-0.30980383404141115	0.04741567665192754
keratin|ball60|pc1|quartile|count40	keratin	ball60	pc1	quartile	40	-0.2116699961692441	5	8	8	225	-0.4065151129444921	-0.14641898653933097	-0.14805474600129578	-0.31210562796499614	-0.04525550739610536
program_ceacam|hs30|pc1|quartile|count75	program_ceacam	hs30	pc1	quartile	75	-0.21164562972334527	4	7	8	225	-0.4870970089711789	0.04242189325950637	-0.19818042116018253	-0.33740206878676343	-0.077970542958108
program|hs60|mean|quartile|count40	program	hs60	mean	quartile	40	-0.2111363841834743	5	8	8	225	-0.41386554808058273	-0.0681283637484693	-0.18133638235290525	-0.3310328522238645	-0.061318774511549844
program|hs30|mean|quartile|count50	program	hs30	mean	quartile	50	-0.2107479371222564	5	8	8	225	-0.42251236449825585	-0.06184513901762154	-0.19170524245451076	-0.33258658079417414	-0.04509035884671965
program_ceacam|hs15|mean|quartile|count50	program_ceacam	hs15	mean	quartile	50	-0.2105339934149139	5	8	8	225	-0.4254704513748283	-0.04757279921314259	-0.1736706477941921	-0.3372319497281174	-0.06872411896428943
program_ceacam|hs30|mean|tertile|count50	program_ceacam	hs30	mean	tertile	50	-0.21042313209414615	5	8	8	225	-0.4166330282254228	-0.05157627572725214	-0.1790418942517362	-0.33758536369416364	-0.06727909857215587
program_ceacam|hs15|pc1|quartile|count40	program_ceacam	hs15	pc1	quartile	40	-0.21017663308129517	4	7	8	225	-0.44778221416419517	0.012920449046173952	-0.16822664040343596	-0.3223687374043935	-0.12542602248062523
program_ceacam|hs60|mean|quartile|count75	program_ceacam	hs60	mean	quartile	75	-0.21003739784005493	5	8	8	225	-0.45676089272506915	-0.025965341326381463	-0.21413085767040638	-0.34757112572302507	-0.0057587717553925595
keratin|hs30|pc1|quartile|count100	keratin	hs30	pc1	quartile	100	-0.20986278745197234	4	7	8	225	-0.4343283420345636	-0.1748206457347163	-0.19752265077422013	-0.2898944436260634	0.047252144909701796
keratin|hs15|pc1|quartile|count40	keratin	hs15	pc1	quartile	40	-0.20966995174325556	5	8	8	225	-0.4089514403618371	-0.14864535206934978	-0.13225850881397053	-0.30306009367161624	-0.05543436379950424
program_ceacam|hs15|mean|quartile|count40	program_ceacam	hs15	mean	quartile	40	-0.20959821884270663	5	8	8	225	-0.410898273512017	-0.05093605793880069	-0.15932500539689767	-0.3296898298252361	-0.09714192754058162
keratin|hs15|pc1|quartile|count75	keratin	hs15	pc1	quartile	75	-0.209186696381262	4	7	8	225	-0.4265000872815359	-0.170338553682967	-0.16406773815724968	-0.29347959361503484	0.00845249083047758
program|hs30|mean|quartile|count40	program	hs30	mean	quartile	40	-0.20902123570364822	5	8	8	225	-0.4068449876355397	-0.06483525661588259	-0.17480958215271467	-0.3252488151830124	-0.07336753693109188
program_ceacam|ball60|mean|tertile|count50	program_ceacam	ball60	mean	tertile	50	-0.20871288853862274	5	8	8	225	-0.4196258624516435	-0.0491931315257205	-0.1860210733330131	-0.3309136955644632	-0.05781067981827328
adhesion|hs30|mean|quartile|count50	adhesion	hs30	mean	quartile	50	-0.2082546449213178	5	8	8	225	-0.4450706849180766	-0.08582199903891137	-0.14412035795953201	-0.32796776651409	-0.038292416175978936
keratin|hs60|pc1|tertile|count100	keratin	hs60	pc1	tertile	100	-0.20822946494717148	4	7	8	225	-0.42447644808803525	-0.16910365091841956	-0.19772384816482688	-0.2909579038226927	0.041114526258116985
program_ceacam|ball60|pc1|quartile|count75	program_ceacam	ball60	pc1	quartile	75	-0.2081621134726337	4	7	8	225	-0.48467873345751417	0.09682812233853257	-0.21213620144687428	-0.3555239051185254	-0.0852998496787873
program_ceacam|ball60|mean|quartile|count40	program_ceacam	ball60	mean	quartile	40	-0.2079243555309373	5	8	8	225	-0.4136928713235796	-0.04749060812506111	-0.17464926198768477	-0.33315389385016153	-0.07063514236819944
adhesion|hs60|mean|quartile|count40	adhesion	hs60	mean	quartile	40	-0.20791372206194078	5	8	8	225	-0.4329568339046393	-0.07667551076192762	-0.13923256726247646	-0.33292670631780064	-0.057776992062859835
program_ceacam|hs60|mean|tertile|count40	program_ceacam	hs60	mean	tertile	40	-0.2075348272360094	5	8	8	225	-0.40161018850255276	-0.057226420490927535	-0.168801601155347	-0.3263147000091967	-0.08372122602202295
program_ceacam|ball40|mean|quartile|count50	program_ceacam	ball40	mean	quartile	50	-0.20742348092683582	5	8	8	225	-0.42350442105471825	-0.04255751747733359	-0.18975523425600105	-0.31958342184293553	-0.061716810003190695
keratin|ball40|pc1|quartile|count40	keratin	ball40	pc1	quartile	40	-0.2073747342937753	5	8	8	225	-0.4089911710234836	-0.14811006890588238	-0.13929229402052712	-0.28848046262952615	-0.05199967488945715
keratin|ball40|pc1|quartile|count75	keratin	ball40	pc1	quartile	75	-0.20720714792570155	4	7	8	225	-0.41536354476246834	-0.16822688214566384	-0.18164168191171282	-0.2826088164404929	0.011805185631830126
keratin|hs30|pc1|tertile|count40	keratin	hs30	pc1	tertile	40	-0.20716447381600572	5	8	8	225	-0.39794984494792424	-0.14520492094330306	-0.1384425527551569	-0.3046303061390104	-0.04959474429463414
keratin|hs60|pc1|tertile|count40	keratin	hs60	pc1	tertile	40	-0.20696516795599268	5	8	8	225	-0.3955209910436996	-0.1452926735818641	-0.14276405953718163	-0.30583411659817844	-0.04541399901903956
program_ceacam|hs30|mean|tertile|count40	program_ceacam	hs30	mean	tertile	40	-0.20656879660541505	5	8	8	225	-0.39679081380986286	-0.055245547803607124	-0.16396250547050642	-0.3267168558075317	-0.09012826013556716
program_ceacam|ball40|mean|quartile|count40	program_ceacam	ball40	mean	quartile	40	-0.20626503700977866	5	8	8	225	-0.41150268242295707	-0.04844215558870811	-0.16945195025120047	-0.3130246638671071	-0.08890373291892065
adhesion|hs60|pc1|quartile|count50	adhesion	hs60	pc1	quartile	50	-0.2062317111350996	5	8	8	224	-0.4626202770565185	-0.034714833315231175	-0.14568544139739317	-0.3542105667813576	-0.03392743712499761
program_ceacam|hs30|pc1|tertile|count40	program_ceacam	hs30	pc1	tertile	40	-0.20618934781355294	4	7	8	225	-0.4295452013417845	0.012603822780414345	-0.16751685105371195	-0.3205569453329848	-0.1259315641196978
keratin|hs15|pc1|tertile|count50	keratin	hs15	pc1	tertile	50	-0.20608070938335782	5	8	8	225	-0.4104760475244361	-0.15282624424862556	-0.13567005893601117	-0.3028673697149147	-0.02856382649280164
program_ceacam|ball60|pc1|tertile|count50	program_ceacam	ball60	pc1	tertile	50	-0.20604473241660776	4	7	8	225	-0.4525441420249169	0.04693312528589812	-0.18543795353850046	-0.3332052370000871	-0.10596945480543234
adhesion|hs30|mean|quartile|count40	adhesion	hs30	mean	quartile	40	-0.205345947507063	5	8	8	225	-0.4247282380737343	-0.0825202161056649	-0.13392323559920016	-0.3186019833323157	-0.06695606442439994
program|ball60|mean|quartile|count50	program	ball60	mean	quartile	50	-0.20509447955763943	5	8	8	225	-0.4170050396826702	-0.057143108672587865	-0.19999952896821635	-0.32696982444734235	-0.024354896017380577
program|hs60|mean|tertile|count50	program	hs60	mean	tertile	50	-0.20502979731976345	5	8	8	225	-0.40947789948013097	-0.06455906858961	-0.188136284558167	-0.3285802228960127	-0.03439551107489665
program_ceacam|ball60|pc1|quartile|count40	program_ceacam	ball60	pc1	quartile	40	-0.2049146449869041	4	7	8	225	-0.44162387259256386	0.04066084269594114	-0.17342940156721895	-0.329700659948895	-0.12048013352178377
keratin|hs60|mean|quartile|count75	keratin	hs60	mean	quartile	75	-0.2045203458112696	4	7	8	225	-0.42792084198697217	-0.058258720089577276	-0.24640479461289944	-0.307438941036835	0.017421568669935782
program_ceacam|ball60|mean|quartile|count75	program_ceacam	ball60	mean	quartile	75	-0.20395858456000546	4	7	8	225	-0.43728249635550603	-0.01746461608129862	-0.2181788402973878	-0.34792484830378395	0.0010578782379491094
program_ceacam|hs60|pc1|tertile|count40	program_ceacam	hs60	pc1	tertile	40	-0.20391364074969207	4	7	8	225	-0.4250839541326187	0.016271421792679396	-0.17033022092159156	-0.3215360964396909	-0.11888935404723858
program|hs60|pc1|quartile|count50	program	hs60	pc1	quartile	50	-0.2038889780819078	4	7	8	225	-0.46603585244040907	0.02779258658009493	-0.1970860031230785	-0.3463725133165881	-0.03774310810955823
program_ceacam|ball40|pc1|quartile|count50	program_ceacam	ball40	pc1	quartile	50	-0.20357938231353917	4	7	8	225	-0.4569261326226534	0.05418343593039953	-0.1913729259383762	-0.31712276119663924	-0.1066585277404267
keratin|hs30|mean|quartile|count50	keratin	hs30	mean	quartile	50	-0.20342222020582387	5	8	8	225	-0.41886400913011834	-0.06765487669649817	-0.19575199886825795	-0.31004807907188475	-0.02479213726236021
keratin|ball40|pc1|tertile|count50	keratin	ball40	pc1	tertile	50	-0.2032822881780822	5	8	8	225	-0.4050063086668085	-0.15113236590432294	-0.1475912541333106	-0.28910251165572937	-0.023579000530239626
program_ceacam|hs15|pc1|tertile|count50	program_ceacam	hs15	pc1	tertile	50	-0.20327423627742838	4	7	8	225	-0.4473548156898384	0.01832834640711043	-0.17359148942296523	-0.3221201025917269	-0.09163312008972187
program|hs30|pc1|quartile|count50	program	hs30	pc1	quartile	50	-0.20326167904991638	4	7	8	225	-0.4632185592530085	0.019707509718416293	-0.19278784965573814	-0.333824598542937	-0.046184897516314515
program_ceacam|hs30|pc1|tertile|count75	program_ceacam	hs30	pc1	tertile	75	-0.20317139522490368	4	7	8	225	-0.46554675277404467	0.03519467639690649	-0.1886699955290566	-0.3240703589035747	-0.07276454531474894
keratin|ball60|mean|quartile|count50	keratin	ball60	mean	quartile	50	-0.20279319290730125	5	8	8	225	-0.40794172373085613	-0.06804543415339932	-0.21307165123930022	-0.30700228700353316	-0.017904868409417327
program_ceacam|hs60|mean|tertile|count75	program_ceacam	hs60	mean	tertile	75	-0.20270816540648764	5	8	8	225	-0.4350117387869469	-0.03221328835571257	-0.200748252537417	-0.3318122735998748	-0.01375527375248681
keratin|hs60|mean|quartile|count40	keratin	hs60	mean	quartile	40	-0.20265000182120843	5	8	8	225	-0.4040830348383505	-0.06904600240345761	-0.18723039243312298	-0.3100178817882426	-0.042872697642868364
program_ceacam|hs60|pc1|quartile|count100	program_ceacam	hs60	pc1	quartile	100	-0.20246312087443102	4	7	8	225	-0.49062939683398676	0.07200690843592401	-0.1953527740368764	-0.32883297369585274	-0.06950736824136312
adhesion|hs60|mean|tertile|count50	adhesion	hs60	mean	tertile	50	-0.20215200139065956	5	8	8	225	-0.4318631938221296	-0.07818348137139901	-0.14283615438181455	-0.32517104069838637	-0.032706136679568336
program_ceacam|hs15|mean|tertile|count50	program_ceacam	hs15	mean	tertile	50	-0.2017089545053111	5	8	8	225	-0.40631405902564216	-0.04678353900032862	-0.16451012768230772	-0.3237527245959302	-0.06718432222234685
program|hs15|mean|quartile|count40	program	hs15	mean	quartile	40	-0.20117252431243599	5	8	8	225	-0.39707159067050246	-0.05930148276916786	-0.16075401688655072	-0.31108618084966844	-0.07764935038629059
keratin|ball60|pc1|tertile|count100	keratin	ball60	pc1	tertile	100	-0.20113996489316013	4	7	8	225	-0.4035077595576551	-0.1553024107755368	-0.20404709528934192	-0.2899086980205614	0.04706613917729456
program_ceacam|ball60|pc1|tertile|count75	program_ceacam	ball60	pc1	tertile	75	-0.200887611109398	4	7	8	225	-0.4677784524196134	0.08168243312387885	-0.20287868778738768	-0.33580275201585247	-0.07966059644801524
adhesion_ezr|hs60|mean|quartile|count50	adhesion_ezr	hs60	mean	quartile	50	-0.20071155911167224	5	8	8	225	-0.41926780167806244	-0.05244030056050253	-0.15764751732347013	-0.343428112082029	-0.03077406391429708
program|hs15|mean|quartile|count50	program	hs15	mean	quartile	50	-0.20042328355915853	5	8	8	225	-0.4082704618102255	-0.0566217135156388	-0.17551206200825595	-0.3158771640144345	-0.045835016447237864
program_ceacam|hs15|mean|tertile|count40	program_ceacam	hs15	mean	tertile	40	-0.20040734547748934	5	8	8	225	-0.3909959496244902	-0.04922884859239863	-0.15218282570551958	-0.3153278452983784	-0.09430125816665975
program|hs30|mean|tertile|count50	program	hs30	mean	tertile	50	-0.20039114604246397	5	8	8	225	-0.40056176895991025	-0.060407393520614285	-0.18001209611549854	-0.3205334185031243	-0.040441053113172566
program|hs30|pc1|quartile|count40	program	hs30	pc1	quartile	40	-0.20018578317584232	4	7	8	225	-0.43944546749122826	0.011760248828971141	-0.17615271877062416	-0.32282906858884486	-0.07426190985748543
program_ceacam|ball40|pc1|quartile|count40	program_ceacam	ball40	pc1	quartile	40	-0.19983188534190136	4	7	8	225	-0.4366353092739966	0.043275310363605914	-0.17140965887504825	-0.30673950654959775	-0.12765026237447014
adhesion|ball60|mean|quartile|count50	adhesion	ball60	mean	quartile	50	-0.19955133349983373	5	8	8	225	-0.4299101790610191	-0.07481285324567732	-0.15325986193544644	-0.31188183548839715	-0.027891937768628566
program_ceacam|ball40|mean|tertile|count50	program_ceacam	ball40	mean	tertile	50	-0.199496365060985	5	8	8	225	-0.40473187884609524	-0.043334473947916306	-0.17836890177337045	-0.3115560445052976	-0.05949052623224545
keratin|hs15|pc1|tertile|count75	keratin	hs15	pc1	tertile	75	-0.19946956967026583	4	7	8	225	-0.4081888201598284	-0.1572008938119862	-0.1524142551986479	-0.28484284026024176	0.005298961079374983
program_ceacam|hs15|pc1|tertile|count40	program_ceacam	hs15	pc1	tertile	40	-0.1994538728334641	4	7	8	225	-0.42535973469334865	0.013427331220601491	-0.15929519243476473	-0.31048002353851134	-0.11556174472129728
adhesion|hs60|pc1|quartile|count40	adhesion	hs60	pc1	quartile	40	-0.19942247976878594	5	8	8	224	-0.43772649034052513	-0.030111638803573613	-0.13448386019452527	-0.3329005029638812	-0.061889906541424414
keratin|ball60|pc1|tertile|count40	keratin	ball60	pc1	tertile	40	-0.19912682836787335	5	8	8	225	-0.38507055964744685	-0.13603286497725556	-0.13967058437445443	-0.2974214624810979	-0.03743867035911197
adhesion_ezr|hs30|mean|quartile|count40	adhesion_ezr	hs30	mean	quartile	40	-0.19907517508868328	5	8	8	225	-0.3941829332401827	-0.06090450190526167	-0.1400139646010149	-0.32360360942904753	-0.07667086626790952
keratin|hs30|pc1|tertile|count100	keratin	hs30	pc1	tertile	100	-0.19903102705560444	4	7	8	225	-0.4122668345523319	-0.16135627622239743	-0.1843432504788932	-0.278062700682869	0.04087392665846942
program|hs60|mean|tertile|count40	program	hs60	mean	tertile	40	-0.1989772405112785	5	8	8	225	-0.3878326780277558	-0.06462063519341872	-0.16958682168226002	-0.3144129094022666	-0.05843315825069134
program_ceacam|hs30|mean|quartile|count75	program_ceacam	hs30	mean	quartile	75	-0.19886878216746665	5	8	8	225	-0.43226687853687285	-0.02372673210515476	-0.199149020629306	-0.3349395486982011	-0.004261730867798557
program_ceacam|hs60|mean|quartile|count30	program_ceacam	hs60	mean	quartile	30	-0.19886454326181435	5	8	8	225	-0.37960103061459705	-0.05685537819029814	-0.1522338337020433	-0.3073884895796088	-0.0982439842225245
program_ceacam|ball60|mean|tertile|count75	program_ceacam	ball60	mean	tertile	75	-0.19875006139527757	5	8	8	225	-0.4241672708816904	-0.025015240238657185	-0.20548094288718205	-0.32764953281747106	-0.011437320151387254
program_ceacam|hs30|mean|quartile|count30	program_ceacam	hs30	mean	quartile	30	-0.19872152699707663	5	8	8	225	-0.37483719548898425	-0.05847678423523346	-0.1505611438561437	-0.3050544762592719	-0.10467803514574985
adhesion_ezr|hs30|mean|quartile|count50	adhesion_ezr	hs30	mean	quartile	50	-0.19871973129236314	5	8	8	225	-0.4091214224009633	-0.0574036562441673	-0.1501915333745496	-0.3311967251041185	-0.045685319338017116
keratin|hs60|mean|tertile|count50	keratin	hs60	mean	tertile	50	-0.19850033432126835	5	8	8	225	-0.40082989090391113	-0.0736713900235879	-0.1933864374868139	-0.30833845448450514	-0.01627549870752367
program|hs30|mean|tertile|count40	program	hs30	mean	tertile	40	-0.19844819423962637	5	8	8	225	-0.3840095647303159	-0.0633395280228458	-0.1650469440179144	-0.3129270233446464	-0.0669179110824093
keratin|hs15|pc1|tertile|count40	keratin	hs15	pc1	tertile	40	-0.19841942204035795	5	8	8	225	-0.38812571081772645	-0.13896603504680727	-0.12321711853100245	-0.2941192646806665	-0.04766898112558714
adhesion_ezr|hs60|mean|quartile|count40	adhesion_ezr	hs60	mean	quartile	40	-0.19831400163811289	5	8	8	225	-0.40106098636620097	-0.05589863632841137	-0.1452946346587134	-0.32852114605450833	-0.060794604782730396
adhesion|hs30|pc1|quartile|count50	adhesion	hs30	pc1	quartile	50	-0.1982097882946385	5	8	8	225	-0.4517266460244482	-0.02948020459660695	-0.13621394921764857	-0.32960382346819417	-0.0440243181662947
program_ceacam|ball60|mean|tertile|count40	program_ceacam	ball60	mean	tertile	40	-0.19820954247416486	5	8	8	225	-0.3947081955242223	-0.0479114122238409	-0.16287301940529578	-0.3137607886610133	-0.07179429655645209
keratin|hs30|pc1|quartile|count30	keratin	hs30	pc1	quartile	30	-0.1980168057471215	5	8	8	225	-0.37069847596286803	-0.13539832496227597	-0.12430753422746642	-0.29010446043518334	-0.06957523314781362
program|hs15|pc1|quartile|count50	program	hs15	pc1	quartile	50	-0.19793682585072264	4	7	8	225	-0.4518361605714347	0.017695276307594415	-0.18409551370809474	-0.31788319978274526	-0.05356453149893294
keratin|hs30|mean|quartile|count40	keratin	hs30	mean	quartile	40	-0.19772775290933226	5	8	8	225	-0.40027811952521064	-0.06427308137050833	-0.17505783333337543	-0.303040086667408	-0.045989643650158826
adhesion|hs60|mean|quartile|count75	adhesion	hs60	mean	quartile	75	-0.19769588125737736	4	7	8	225	-0.4614182775756024	-0.07818099349470027	-0.14925698258111192	-0.34843155987870217	0.04880840724323013
keratin|ball40|pc1|tertile|count75	keratin	ball40	pc1	tertile	75	-0.1974742902284609	4	7	8	225	-0.3979314736907144	-0.15457256293911736	-0.17139360563612088	-0.2769115321782297	0.013437723301877822
adhesion|hs30|mean|tertile|count50	adhesion	hs30	mean	tertile	50	-0.19734638199935567	5	8	8	225	-0.42234729498122925	-0.07799976470991568	-0.1353419749663959	-0.31106187882208164	-0.03998099651715587
program|ball40|mean|quartile|count40	program	ball40	mean	quartile	40	-0.19731976559624714	5	8	8	225	-0.39365758704711645	-0.05724383002664379	-0.17145207560717574	-0.2980656058889764	-0.06617972941132336
program|ball60|mean|tertile|count50	program	ball60	mean	tertile	50	-0.19708717323430713	5	8	8	225	-0.40070919405304184	-0.056584125513977256	-0.18589871873567643	-0.3142497123365278	-0.02799411553231247
program|ball40|mean|quartile|count50	program	ball40	mean	quartile	50	-0.1970624814485636	5	8	8	225	-0.4028730620807189	-0.05314686786090104	-0.19165474222271311	-0.30139643988202086	-0.03624129519646404
program_ceacam|ball40|mean|tertile|count40	program_ceacam	ball40	mean	tertile	40	-0.19699838817527088	5	8	8	225	-0.39057044796561147	-0.04632954412182113	-0.160071194291354	-0.30429061742426783	-0.08373013707330001
program_ceacam|hs15|pc1|quartile|count75	program_ceacam	hs15	pc1	quartile	75	-0.19695176819239452	4	7	8	225	-0.4679070570870771	0.038630183891266476	-0.18816039373461302	-0.31828557933107915	-0.04903599470046995
program|ball60|mean|quartile|count40	program	ball60	mean	quartile	40	-0.1969049485257697	5	8	8	225	-0.39569056922049417	-0.055668693367531566	-0.17553217468863383	-0.3135728262605016	-0.044060479091687296
program_ceacam|ball25|mean|quartile|count40	program_ceacam	ball25	mean	quartile	40	-0.19684918697419831	5	8	8	225	-0.38712824438828725	-0.05094829096802386	-0.15112966183627394	-0.30011850660244627	-0.09492123107596014
