spec	predictor	subset	outcome	patient_mean_rho	n_patients_neg	n_fov	rho_Lung5	rho_Lung6	rho_Lung9	rho_Lung12	rho_Lung13
keratin|edge30|count_50	keratin	edge30	count_50	-0.08081202906242113	4	225	-0.21144599286652205	-0.009698253795044642	-0.050281677777211535	-0.1362834981600138	0.003649277286686408
adhesion|quartile_extremes|count_15	adhesion	quartile_extremes	count_15	-0.07978024962008959	5	224	-0.15739442226530945	-0.038050027674980544	-0.03327265484859267	-0.08315263955516969	-0.0870315037563956
keratin|edge30|count_30	keratin	edge30	count_30	-0.07972612025950923	5	225	-0.19375518764665078	-0.012469034357185436	-0.03872495577454142	-0.12438064347033248	-0.029300780048835996
keratin|near_cd8_80|frac_100	keratin	near_cd8_80	frac_100	-0.07948506023768415	5	225	-0.22731519070437428	-0.07216398408761644	-0.03605263376936443	-0.04979152742830688	-0.012101965198758726
adhesion|all|frac_75	adhesion	all	frac_75	-0.07891236411674035	5	225	-0.22216139425894676	-0.031350641627849084	-0.05270298335348777	-0.08151982684894651	-0.006826974494471621
adhesion|quartile_extremes|frac_15	adhesion	quartile_extremes	frac_15	-0.07861658324763166	5	224	-0.15558675942175254	-0.037924318081928594	-0.032911467622654234	-0.08101704784481324	-0.08564332326700969
adhesion|tertile_extremes|count_15	adhesion	tertile_extremes	count_15	-0.07852525756577569	5	224	-0.15969469633788233	-0.03818703508042376	-0.03392311358161636	-0.08596051380893692	-0.07486092902001903
adhesion|edge_tertile|count_30	adhesion	edge_tertile	count_30	-0.0775883816064115	5	225	-0.18195934054333388	-0.02869700167241794	-0.037426812673660874	-0.07949517455013617	-0.06036357859250868
adhesion|tertile_extremes|frac_15	adhesion	tertile_extremes	frac_15	-0.0773674480163482	5	224	-0.15789351247862077	-0.038061604976229096	-0.03356173200038847	-0.08370255994255986	-0.07361783068394284
keratin|tertile_extremes|count_15	keratin	tertile_extremes	count_15	-0.07722430001402981	5	224	-0.16854927607898434	-0.018713790154300625	-0.02872001300923386	-0.11864595256336709	-0.051492468264263104
keratin|quartile_extremes|count_15	keratin	quartile_extremes	count_15	-0.07664595977786963	5	224	-0.16737667837017006	-0.018795354117536366	-0.027856079727462818	-0.1161581899472949	-0.05304349672688404
keratin|all|count_15	keratin	all	count_15	-0.07627882148233602	5	224	-0.16465263535205	-0.018625552760912	-0.02874518651233862	-0.12042426497557628	-0.04894646781080321
keratin|tertile_extremes|frac_15	keratin	tertile_extremes	frac_15	-0.07592174887574357	5	224	-0.16623107899696818	-0.01895538802089662	-0.028374016076376136	-0.11649721333220776	-0.04955104795226918
adhesion|edge_tertile|count_20	adhesion	edge_tertile	count_20	-0.0757035888428503	5	225	-0.16331163244082236	-0.04025693847402543	-0.03270780392381709	-0.07496280963622613	-0.06727875973936054
adhesion|all|count_15	adhesion	all	count_15	-0.07558361730287404	5	224	-0.15705434267631485	-0.03814317178093543	-0.032166595009159575	-0.08737565734550122	-0.0631783197024591
keratin|edge_tertile|count_20	keratin	edge_tertile	count_20	-0.07558036748929804	5	225	-0.17822153091441892	-0.014891352822144046	-0.028899519881411373	-0.10951570312384618	-0.04637373070466966
keratin|quartile_extremes|frac_15	keratin	quartile_extremes	frac_15	-0.07531923224065977	5	224	-0.1649996928395534	-0.019036324529929597	-0.027515421701346805	-0.11413571062451404	-0.050909011507955015
keratin|all|frac_15	keratin	all	frac_15	-0.07511083619879548	5	224	-0.16239558413180055	-0.01886737494464828	-0.02846931257950523	-0.11833068285036277	-0.04749122648766058
keratin|edge_tertile|count_75	keratin	edge_tertile	count_75	-0.07491893363449861	3	225	-0.20643684969016055	0.0012961893984312408	-0.05356094911376436	-0.1255854252325323	0.009692366465532941
keratin|edge30|count_20	keratin	edge30	count_20	-0.07485818345408207	5	225	-0.1781316573741108	-0.01384691904839123	-0.029409974700933938	-0.11166073025773075	-0.041241635889243664
adhesion|edge30|count_30	adhesion	edge30	count_30	-0.07478647726483166	5	225	-0.180825441599716	-0.028778256937816243	-0.034690338133590515	-0.08126369226442055	-0.048374657388615024
adhesion|all|frac_15	adhesion	all	frac_15	-0.07448927765498893	5	224	-0.1552567045551253	-0.038018084275886495	-0.03179240009766439	-0.08517524028201785	-0.06220395906425065
adhesion|edge30|count_20	adhesion	edge30	count_20	-0.07399697019360192	5	225	-0.16445747656493592	-0.03955917792284134	-0.0314359290713657	-0.07725072361799658	-0.05728154379087007
adhesion|quartile_extremes|frac_100	adhesion	quartile_extremes	frac_100	-0.07344558536169807	4	225	-0.22357881388105252	-0.02739818842604911	-0.05091947953420626	-0.07061754540842526	0.005286100441242758
keratin|edge30|count_75	keratin	edge30	count_75	-0.07304296527754417	3	225	-0.20652002847020157	0.0013940029848768646	-0.055340594590319404	-0.121871534267925	0.017123327955848328
adhesion|quartile_extremes|count_100	adhesion	quartile_extremes	count_100	-0.0724794317121503	4	225	-0.2163119823017095	-0.02537343448257039	-0.050340041109237024	-0.10770792858848892	0.03733622792125433
adhesion|tertile_extremes|frac_100	adhesion	tertile_extremes	frac_100	-0.07216130737870823	4	225	-0.22410511777068212	-0.026733082241727178	-0.049520403841010335	-0.06886297080005255	0.008415037759931018
adhesion|edge_tertile|frac_20	adhesion	edge_tertile	frac_20	-0.071852255633013	5	225	-0.15642916190906012	-0.039955495028754874	-0.03163004521905828	-0.06786807922963635	-0.06337849677855545
cldn4|quartile_extremes|count_30	cldn4	quartile_extremes	count_30	-0.07179368684647476	4	225	-0.14636323431021947	0.007383688788348504	-0.04694923052698921	-0.10448655958106325	-0.06855309860245035
cldn4|tertile_extremes|count_30	cldn4	tertile_extremes	count_30	-0.07146646370479084	4	225	-0.1492564289921131	0.006562452784383542	-0.04423289963362599	-0.10778051589703577	-0.06262492678556283
adhesion|tertile_extremes|count_100	adhesion	tertile_extremes	count_100	-0.07129017869206064	4	225	-0.2160148658044098	-0.02473428390576024	-0.04877757754851984	-0.10641118374358857	0.03948701754197529
cldn4|near_cd8_80|count_30	cldn4	near_cd8_80	count_30	-0.07124380999017364	5	225	-0.14548569693434654	-0.005814277345975307	-0.0415592107212447	-0.09873938493875287	-0.06462048001054883
adhesion|edge_tertile|count_50	adhesion	edge_tertile	count_50	-0.07120857746535741	5	225	-0.19100826224240489	-0.007607942517752164	-0.042719161942953936	-0.08832699652696818	-0.026380524096707946
keratin|edge_tertile|frac_20	keratin	edge_tertile	frac_20	-0.07113399985270909	5	225	-0.17041525667927906	-0.014680992001812956	-0.028097658570929013	-0.10096170241869558	-0.04151438959282875
keratin|edge30|frac_20	keratin	edge30	frac_20	-0.07062907947286497	5	225	-0.1705841521334981	-0.01363739117769881	-0.02883149103444513	-0.10281390962091952	-0.03727845339776328
adhesion|edge_tertile|count_15	adhesion	edge_tertile	count_15	-0.07043805814486823	5	224	-0.14341039696136273	-0.04463376829072738	-0.02585033539093917	-0.06568977413185675	-0.07260601594945518
adhesion|edge30|frac_20	adhesion	edge30	frac_20	-0.07026262158876993	5	225	-0.15768583454977336	-0.0392670701225978	-0.030357917791186694	-0.07000703993854022	-0.05399524554175161
cldn4|quartile_extremes|count_50	cldn4	quartile_extremes	count_50	-0.07017356026874345	4	225	-0.15375313362659926	0.023674635197664252	-0.05584713333912371	-0.11869715901977378	-0.04624501055588475
keratin|edge_tertile|frac_30	keratin	edge_tertile	frac_30	-0.06989483928906651	5	225	-0.1794143989225289	-0.012778885312742558	-0.03660537982682942	-0.09521733169524091	-0.025458200687990817
adhesion|near_cd8_80|frac_100	adhesion	near_cd8_80	frac_100	-0.06950144031117331	5	225	-0.2084357894673017	-0.05560721327717928	-0.044556861930386514	-0.031374699846121325	-0.007532637034877743
adhesion|all|count_100	adhesion	all	count_100	-0.06948186314012662	4	225	-0.21101556357574902	-0.02460542489556025	-0.04665878969375659	-0.10461906133806316	0.03948952380249594
adhesion|all|frac_100	adhesion	all	frac_100	-0.0693629829636028	4	225	-0.21856041404751939	-0.026600734245850678	-0.046538584425424384	-0.06694918947019758	0.011834007370978058
adhesion|keratin_high_tertile|count_30	adhesion	keratin_high_tertile	count_30	-0.06935773225313487	5	225	-0.11318068733201078	-0.029618438687056256	-0.05590934727165223	-0.11821171601132581	-0.02986847196362926
adhesion|edge30|count_50	adhesion	edge30	count_50	-0.06933981659309216	5	225	-0.1909347983488234	-0.007190842715443234	-0.0404248274802011	-0.0892535309260595	-0.01889508349493351
cldn4|tertile_extremes|count_50	cldn4	tertile_extremes	count_50	-0.06926137459419084	4	225	-0.15583677186294806	0.02268947665706405	-0.05089428802169068	-0.12142543091198742	-0.04083985883139208
adhesion|keratin_high_tertile|count_50	adhesion	keratin_high_tertile	count_50	-0.06924597558626691	5	225	-0.11428161796770647	-0.012993365332139373	-0.05686375756281231	-0.13270625069328051	-0.029384886375395807
adhesion|edge_tertile|frac_15	adhesion	edge_tertile	frac_15	-0.06896274849711108	5	224	-0.14097006978816431	-0.04446103358590563	-0.025454934664540865	-0.06278706273262298	-0.07114064171432163
keratin|edge30|count_15	keratin	edge30	count_15	-0.0689319964658085	5	224	-0.15193738194223702	-0.025464289877209504	-0.02301080484060704	-0.09830541829329768	-0.04594208737569123
keratin|edge30|frac_30	keratin	edge30	frac_30	-0.06886147632600981	5	225	-0.17831781536260427	-0.01278642805646148	-0.03699687777168449	-0.09476784950689443	-0.021438410932404357
keratin|edge_tertile|count_15	keratin	edge_tertile	count_15	-0.06875384587078716	5	224	-0.15179356215173814	-0.025483103669547067	-0.02264448069491296	-0.09561463694331253	-0.04823344589442506
adhesion|edge30|count_15	adhesion	edge30	count_15	-0.06871391918544172	5	224	-0.14426318099523006	-0.044740388979213334	-0.02507880154054011	-0.06792291827262084	-0.0615643061396043
adhesion|edge_tertile|frac_30	adhesion	edge_tertile	frac_30	-0.06856353129497345	5	225	-0.1667427191604034	-0.02834752548030798	-0.03518904656527589	-0.059596641038823284	-0.052941724230056664
adhesion|keratin_high|count_50	adhesion	keratin_high	count_50	-0.06828746648869669	5	225	-0.11711109714667314	-0.01252563903007085	-0.053947250003553826	-0.13346817461125163	-0.024385171651934018
keratin|edge_tertile|frac_50	keratin	edge_tertile	frac_50	-0.06806911064912459	4	225	-0.20197505880717395	-0.014243375552326852	-0.0448010271652337	-0.08218222308895995	0.002856131368071505
cldn4|all|count_30	cldn4	all	count_30	-0.06782050774672325	4	225	-0.14635783305420041	0.006440579669574747	-0.037896225550468995	-0.10958513053235738	-0.05170392926616431
adhesion|keratin_high|count_30	adhesion	keratin_high	count_30	-0.06771511136028185	5	225	-0.11251047093135755	-0.029139716458495224	-0.050828144043151904	-0.11738345390574649	-0.028713771462658078
keratin|edge_tertile|count_100	keratin	edge_tertile	count_100	-0.06767738239651755	3	225	-0.19668261134266868	0.0028168612893082604	-0.053280349613507236	-0.1121441005894053	0.020903288273685237
keratin|edge30|frac_15	keratin	edge30	frac_15	-0.06740680523158092	5	224	-0.14886038148305772	-0.025611760282992335	-0.022701363445254516	-0.0956235278765422	-0.04423699307005785
adhesion|edge30|frac_15	adhesion	edge30	frac_15	-0.06729989912737441	5	224	-0.14179347988285998	-0.044569671269753246	-0.024660490080706553	-0.06507358992695658	-0.060402264476595635
keratin|edge_tertile|frac_15	keratin	edge_tertile	frac_15	-0.06708723154181419	5	224	-0.14866068735150473	-0.025629349445453843	-0.022262083195882132	-0.09290819270425606	-0.04597584501197417
keratin|edge30|count_100	keratin	edge30	count_100	-0.06666873475126499	3	225	-0.19754762035485715	0.0026737581373681846	-0.05629655951524013	-0.10772307621350992	0.025549824189914066
keratin|edge30|frac_50	keratin	edge30	frac_50	-0.06595929380274565	4	225	-0.20051223307136815	-0.014068888980145114	-0.045700345457920344	-0.07853919260861288	0.00902419110431825
adhesion|edge30|frac_30	adhesion	edge30	frac_30	-0.06592658098095514	5	225	-0.166070123892845	-0.02843776098537699	-0.032515048393099384	-0.060829069675057044	-0.04178090195839725
cldn4|near_cd8_80|count_50	cldn4	near_cd8_80	count_50	-0.06584033319755005	4	225	-0.14543528148495935	0.013402442226528144	-0.043670622883150136	-0.10313596812728819	-0.050362235718880696
cldn4|quartile_extremes|frac_30	cldn4	quartile_extremes	frac_30	-0.06583756172718862	4	225	-0.13705156314809624	0.007283537140257916	-0.04550501044910987	-0.0921508848708802	-0.06176388730811474
adhesion|near_cd8_80|count_100	adhesion	near_cd8_80	count_100	-0.0657548926429091	4	225	-0.197271391844483	-0.03571718434413972	-0.04184502086211809	-0.07690797014074317	0.022967103976938595
cldn4|near_cd8_80|count_20	cldn4	near_cd8_80	count_20	-0.06568542794645736	5	225	-0.12712630196003774	-0.017771409065908163	-0.03242865474801668	-0.08796428756343104	-0.06313648639489322
cldn4|tertile_extremes|frac_30	cldn4	tertile_extremes	frac_30	-0.0654718251146907	4	225	-0.14008572701172897	0.006471170469067521	-0.04274204980164854	-0.09483007956155691	-0.056172439667586546
cldn4|all|count_50	cldn4	all	count_50	-0.06536219910977079	4	225	-0.15171297421483676	0.022525974229631675	-0.04214393954117484	-0.12171799195458402	-0.03376206406789001
cldn4|near_cd8_80|frac_30	cldn4	near_cd8_80	frac_30	-0.06418828517010129	5	225	-0.13458337754317898	-0.006577283900864773	-0.039441352516299086	-0.08189142836011969	-0.058447983530043934
