sample_id	accession	database	source_url	verified_at_utc	verification_evidence	file_name	bytes	decision	refusal_reason	sha256
UC-GENOME	blca_bcan_hcrn_2022	cBioPortal	https://www.cbioportal.org/api/molecular-profiles/blca_bcan_hcrn_2022_rna_seq_v2_mrna_median_Zscores/molecular-data?entrezGeneId=925&sampleListId=blca_bcan_hcrn_2022_all	2026-08-16T20:30:23.619810+00:00	HTTP 200; 59521 bytes retrieved	CD8A_zscore.json	59521	accepted		5e62a7779384b5a8fe0865e7a297dae5dba341e147c671c1fc773173fac2c7bc
UC-GENOME	blca_bcan_hcrn_2022	cBioPortal	https://www.cbioportal.org/api/molecular-profiles/blca_bcan_hcrn_2022_rna_seq_v2_mrna_median_Zscores/molecular-data?entrezGeneId=3001&sampleListId=blca_bcan_hcrn_2022_all	2026-08-16T20:30:23.619868+00:00	HTTP 200; 60082 bytes retrieved	GZMA_zscore.json	60082	accepted		925c4ba73d914d03ad89da467f1f2583707d954d548e3e9c746c4121fa54b621
UC-GENOME	blca_bcan_hcrn_2022	cBioPortal	https://www.cbioportal.org/api/molecular-profiles/blca_bcan_hcrn_2022_rna_seq_v2_mrna_median_Zscores/molecular-data?entrezGeneId=3002&sampleListId=blca_bcan_hcrn_2022_all	2026-08-16T20:30:23.619922+00:00	HTTP 200; 59001 bytes retrieved	GZMB_zscore.json	59001	accepted		0af1eb8485d80f6466dd166de6fc31fb9b3b8edcf4c5567d2f8ce1f6ef472596
UC-GENOME	blca_bcan_hcrn_2022	cBioPortal	https://www.cbioportal.org/api/molecular-profiles/blca_bcan_hcrn_2022_rna_seq_v2_mrna_median_Zscores/molecular-data?entrezGeneId=3458&sampleListId=blca_bcan_hcrn_2022_all	2026-08-16T20:30:23.619971+00:00	HTTP 200; 51466 bytes retrieved	IFNG_zscore.json	51466	accepted		8e004c692aa04daf420810f57e1facfaedd2c9a7a279bab15c283d86c7fbec50
UC-GENOME	blca_bcan_hcrn_2022	cBioPortal	https://www.cbioportal.org/api/molecular-profiles/blca_bcan_hcrn_2022_rna_seq_v2_mrna_median_Zscores/molecular-data?entrezGeneId=8320&sampleListId=blca_bcan_hcrn_2022_all	2026-08-16T20:30:23.620022+00:00	HTTP 200; 59013 bytes retrieved	EOMES_zscore.json	59013	accepted		e098576e3319ab72bedaeac404218fd7af708fe2238a1dc90023bf050238fd7a
UC-GENOME	blca_bcan_hcrn_2022	cBioPortal	https://www.cbioportal.org/api/molecular-profiles/blca_bcan_hcrn_2022_rna_seq_v2_mrna_median_Zscores/molecular-data?entrezGeneId=4283&sampleListId=blca_bcan_hcrn_2022_all	2026-08-16T20:30:23.620093+00:00	HTTP 200; 59643 bytes retrieved	CXCL9_zscore.json	59643	accepted		0d0d9fcaa95f8d87b1b83cee91fb47ec8c904d6362838299c301efacaac6894a
UC-GENOME	blca_bcan_hcrn_2022	cBioPortal	https://www.cbioportal.org/api/molecular-profiles/blca_bcan_hcrn_2022_rna_seq_v2_mrna_median_Zscores/molecular-data?entrezGeneId=3627&sampleListId=blca_bcan_hcrn_2022_all	2026-08-16T20:30:23.620148+00:00	HTTP 200; 59664 bytes retrieved	CXCL10_zscore.json	59664	accepted		2ea5b3bb04622b5e07d6148d4b684fdc9ddaef003724f16e164764caee9da736
UC-GENOME	blca_bcan_hcrn_2022	cBioPortal	https://www.cbioportal.org/api/molecular-profiles/blca_bcan_hcrn_2022_rna_seq_v2_mrna_median_Zscores/molecular-data?entrezGeneId=30009&sampleListId=blca_bcan_hcrn_2022_all	2026-08-16T20:30:23.620198+00:00	HTTP 200; 57385 bytes retrieved	TBX21_zscore.json	57385	accepted		66a778772c93bc37301577ffcadfebce693f1eabbf5cf5a6f2905bbe0f649c31
UC-GENOME	blca_bcan_hcrn_2022	cBioPortal	https://www.cbioportal.org/api/molecular-profiles/blca_bcan_hcrn_2022_rna_seq_v2_mrna_median_Zscores/molecular-data?entrezGeneId=5551&sampleListId=blca_bcan_hcrn_2022_all	2026-08-16T20:30:23.620249+00:00	HTTP 200; 59331 bytes retrieved	PRF1_zscore.json	59331	accepted		2514c155ac28117730f354a76bd6eae0994f4aac7f65f441eaf5a327ad7cb715
UC-GENOME	blca_bcan_hcrn_2022	cBioPortal	https://www.cbioportal.org/api/molecular-profiles/blca_bcan_hcrn_2022_rna_seq_v2_mrna_median_Zscores/molecular-data?entrezGeneId=60&sampleListId=blca_bcan_hcrn_2022_all	2026-08-16T20:30:23.620315+00:00	HTTP 200; 60313 bytes retrieved	ACTB_zscore.json	60313	accepted		1676e391fb736234877b5200abaebbda41c42663d38a56ca24ab9c6107d1bb60
UC-GENOME	blca_bcan_hcrn_2022	cBioPortal	https://www.cbioportal.org/api/molecular-profiles/blca_bcan_hcrn_2022_rna_seq_v2_mrna_median_Zscores/molecular-data?entrezGeneId=2597&sampleListId=blca_bcan_hcrn_2022_all	2026-08-16T20:30:23.620369+00:00	HTTP 200; 60295 bytes retrieved	GAPDH_zscore.json	60295	accepted		44088b3930176ebaa5fd27dd9d29b753b19ff9a2cca19e143d5e4d815fb10ae9
UC-GENOME	blca_bcan_hcrn_2022	cBioPortal	https://www.cbioportal.org/api/molecular-profiles/blca_bcan_hcrn_2022_rna_seq_v2_mrna_median_Zscores/molecular-data?entrezGeneId=6908&sampleListId=blca_bcan_hcrn_2022_all	2026-08-16T20:30:23.620421+00:00	HTTP 200; 59960 bytes retrieved	TBP_zscore.json	59960	accepted		fd997506a8107a85b51de7103c31f0f3bb2e12acce3ca4204ebff098f795adde
UC-GENOME	blca_bcan_hcrn_2022	cBioPortal	https://www.cbioportal.org/api/molecular-profiles/blca_bcan_hcrn_2022_rna_seq_v2_mrna_median_Zscores/molecular-data?entrezGeneId=23521&sampleListId=blca_bcan_hcrn_2022_all	2026-08-16T20:30:23.620476+00:00	HTTP 200; 60469 bytes retrieved	RPL13A_zscore.json	60469	accepted		a30775ef4082795c3bfda8a7948fced908c008f9dc79603d4e2b3cbcd8983ef7
UC-GENOME	blca_bcan_hcrn_2022	cBioPortal	https://www.cbioportal.org/api/molecular-profiles/blca_bcan_hcrn_2022_rna_seq_v2_mrna_median_Zscores/molecular-data?entrezGeneId=5230&sampleListId=blca_bcan_hcrn_2022_all	2026-08-16T20:30:23.620530+00:00	HTTP 200; 60649 bytes retrieved	PGK1_zscore.json	60649	accepted		eda3eb13a5e4d9d07a8f7807bea48106da26cd7f66fa3e4d35e481168153ecc9
UC-GENOME	blca_bcan_hcrn_2022	cBioPortal	https://www.cbioportal.org/api/molecular-profiles/blca_bcan_hcrn_2022_rna_seq_v2_mrna_median_Zscores/molecular-data?entrezGeneId=4070&sampleListId=blca_bcan_hcrn_2022_all	2026-08-16T20:30:23.620588+00:00	HTTP 200; 60661 bytes retrieved	TACSTD2_zscore.json	60661	accepted		58409986d234c61d0e2b9828d9d35fe637b0768765fb9887760a2bb2dd3cb924
UC-GENOME	blca_bcan_hcrn_2022	cBioPortal	https://www.cbioportal.org/api/molecular-profiles/blca_bcan_hcrn_2022_rna_seq_v2_mrna_median_Zscores/molecular-data?entrezGeneId=9076&sampleListId=blca_bcan_hcrn_2022_all	2026-08-16T20:30:23.620655+00:00	HTTP 200; 59944 bytes retrieved	CLDN1_zscore.json	59944	accepted		fa51bfca112eb860682f995700524881063abae6a53fdad9d55777327e9aa1c0
UC-GENOME	blca_bcan_hcrn_2022	cBioPortal	https://www.cbioportal.org/api/molecular-profiles/blca_bcan_hcrn_2022_rna_seq_v2_mrna_median_Zscores/molecular-data?entrezGeneId=1365&sampleListId=blca_bcan_hcrn_2022_all	2026-08-16T20:30:23.620722+00:00	HTTP 200; 58634 bytes retrieved	CLDN3_zscore.json	58634	accepted		1e0c4cdd2719e8ce313abf116d9a0225075df2a36198cdc7248bb08eb6df4601
UC-GENOME	blca_bcan_hcrn_2022	cBioPortal	https://www.cbioportal.org/api/molecular-profiles/blca_bcan_hcrn_2022_rna_seq_v2_mrna_median_Zscores/molecular-data?entrezGeneId=1366&sampleListId=blca_bcan_hcrn_2022_all	2026-08-16T20:30:23.620788+00:00	HTTP 200; 60310 bytes retrieved	CLDN7_zscore.json	60310	accepted		31f3fb2db999f939ec90ca847ce607b55a418209c4f2ba536a984e7424ee5b5c
UC-GENOME	blca_bcan_hcrn_2022	cBioPortal	https://www.cbioportal.org/api/molecular-profiles/blca_bcan_hcrn_2022_rna_seq_v2_mrna_median_Zscores/molecular-data?entrezGeneId=29126&sampleListId=blca_bcan_hcrn_2022_all	2026-08-16T20:30:23.620841+00:00	HTTP 200; 60559 bytes retrieved	CD274_zscore.json	60559	accepted		d177d37bc8724d88055efa09583a77f56b26eb6fe0bcb7a1c3bb933c073fa320
