graph	nhood	n_cells	n_tnk	n_malig	frac_tnk	frac_malig	cldn4_all_mean	cldn4_malig_mean	dominant_lineage	n_samples_present	n_cells_da	cldn4_rho	cldn4_p	cldn4_testable	cldn4_BH_FDR	cldn4_SpatialFDR
GSE131907_tumor_no_brain	2302	31	0	31	0.0	1.0	0.8852843642234802	0.8852843642234802	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2303	31	31	0	1.0	0.0	0.07276587188243866		T lymphocytes	6	31	-0.2	0.7040000000000001	True	0.940135274213113	0.9363445121305675
GSE131907_tumor_no_brain	2304	31	0	31	0.0	1.0	1.8708804845809937	1.8708804845809937	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2305	31	0	31	0.0	1.0	0.7168464064598083	0.7168464064598083	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2306	31	31	0	1.0	0.0	0.0		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2307	31	0	0	0.0	0.0	0.0		B lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2308	31	31	0	1.0	0.0	0.041906099766492844		T lymphocytes	3	31			False		
GSE131907_tumor_no_brain	2309	31	31	0	1.0	0.0	0.046222392469644547		T lymphocytes	2	31			False		
GSE131907_tumor_no_brain	2310	31	0	0	0.0	0.0	0.0		B lymphocytes	2	31			False		
GSE131907_tumor_no_brain	2311	31	0	31	0.0	1.0	1.2261435985565186	1.2261435985565186	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2312	31	0	31	0.0	1.0	2.04731822013855	2.04731822013855	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2313	31	0	0	0.0	0.0	0.0		B lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2314	31	31	0	1.0	0.0	0.0		T lymphocytes	3	31			False		
GSE131907_tumor_no_brain	2315	31	31	0	1.0	0.0	0.0304375272244215		T lymphocytes	1	31			False		
