stratum	score	n_donors_delta	median_delta_hi_minus_lo	n_donors_delta_pos	wilcoxon_delta_stat	wilcoxon_delta_p	split	n_donors_rho	median_within_donor_rho	n_donors_rho_pos	wilcoxon_rho_stat	wilcoxon_rho_p	q
chan_sclc_malignant	DDR_DSB_partial_PROLIF	0		0			partial_rank_residual	19	0.05753117915441711	16	10.0	0.000164031982421875	
chan_sclc_malignant	STING_SENSOR_partial_PROLIF	0		0			partial_rank_residual	19	0.1391219254880564	19	0.0	3.814697265625e-06	
chan_sclc_malignant	STING_ISG_partial_PROLIF	0		0			partial_rank_residual	19	0.12642893290307586	18	2.0	1.1444091796875e-05	
chan_nsclc_malignant	HALLMARK_DNA_REPAIR	7	0.14535165743296768	7	0.0	0.015625	gt0_vs_0,median	8	0.3522348992418164	8	0.0	0.0078125	0.008272058823529412
chan_nsclc_malignant	DDR_DSB	7	0.09595752724095616	7	0.0	0.015625	gt0_vs_0,median	8	0.26516380682184515	8	0.0	0.0078125	0.008272058823529412
chan_nsclc_malignant	PROLIF	7	0.03699476605166949	5	5.0	0.15625	gt0_vs_0,median	8	0.20391977993719596	8	0.0	0.0078125	0.008272058823529412
chan_nsclc_malignant	STING_SENSOR	7	0.15635377411624019	6	1.0	0.03125	gt0_vs_0,median	8	0.27422010523822454	8	0.0	0.0078125	0.008272058823529412
chan_nsclc_malignant	STING_ISG	7	0.11638227834906531	7	0.0	0.015625	gt0_vs_0,median	8	0.3243021547853162	8	0.0	0.0078125	0.008272058823529412
chan_nsclc_malignant	REACTOME_STING	7	0.10305898484294222	7	0.0	0.015625	gt0_vs_0,median	8	0.23894971027752582	8	0.0	0.0078125	0.008272058823529412
chan_nsclc_malignant	CGAS	7	0.024881578834922126	6	6.0	0.21875	gt0_vs_0,median	8	0.15919986575867318	8	0.0	0.0078125	
chan_nsclc_malignant	STING1	7	0.08170526047918915	7	0.0	0.015625	gt0_vs_0,median	8	0.20231720781848156	7	1.0	0.015625	
chan_nsclc_malignant	H2AX	6	0.07191757666051246	6	0.0	0.03125	gt0_vs_0,median	7	0.23808790478848574	7	0.0	0.015625	
chan_nsclc_malignant	HALLMARK_DNA_REPAIR_partial_PROLIF	0		0			partial_rank_residual	8	0.3232822724866141	8	0.0	0.0078125	
chan_nsclc_malignant	DDR_DSB_partial_PROLIF	0		0			partial_rank_residual	8	0.2204488791663515	8	0.0	0.0078125	
chan_nsclc_malignant	STING_SENSOR_partial_PROLIF	0		0			partial_rank_residual	8	0.2368915928383584	8	0.0	0.0078125	
chan_nsclc_malignant	STING_ISG_partial_PROLIF	0		0			partial_rank_residual	8	0.29081715573713757	8	0.0	0.0078125	
chan_nsclc_label_in_sclc	HALLMARK_DNA_REPAIR	2	-0.03589123570635682	0			median	2	-0.13672803523840188	0			
chan_nsclc_label_in_sclc	DDR_DSB	2	-0.01550111388609874	1			median	2	-0.13535622408016498	0			
chan_nsclc_label_in_sclc	PROLIF	2	-0.09645956047058962	0			median	2	-0.027138556457579573	0			
chan_nsclc_label_in_sclc	STING_SENSOR	2	-0.00028214448609793427	1			median	2	-0.028186754566278942	1			
chan_nsclc_label_in_sclc	STING_ISG	2	-0.007169100247455779	0			median	2	-0.020597495987607104	1			
chan_nsclc_label_in_sclc	REACTOME_STING	2	-0.05678754750259017	0			median	2	-0.14298747941820644	0			
chan_nsclc_label_in_sclc	CGAS	0		0			median	0		0			
chan_nsclc_label_in_sclc	STING1	0		0			median	0		0			
chan_nsclc_label_in_sclc	H2AX	2	-0.06980550250449738	0			median	2	-0.0785575591348932	0			
chan_nsclc_label_in_sclc	HALLMARK_DNA_REPAIR_partial_PROLIF	0		0			partial_rank_residual	2	-0.1364499426484857	0			
chan_nsclc_label_in_sclc	DDR_DSB_partial_PROLIF	0		0			partial_rank_residual	2	-0.13654063545711614	0			
chan_nsclc_label_in_sclc	STING_SENSOR_partial_PROLIF	0		0			partial_rank_residual	2	-0.029871146826485857	1			
chan_nsclc_label_in_sclc	STING_ISG_partial_PROLIF	0		0			partial_rank_residual	2	-0.021513670377486197	1			
chan_normal_epithelial	HALLMARK_DNA_REPAIR	4	0.13796890038021503	3			gt0_vs_0,median	4	0.42682782970378574	4			
chan_normal_epithelial	DDR_DSB	4	0.12592613165158598	3			gt0_vs_0,median	4	0.2386544532844702	3			
chan_normal_epithelial	PROLIF	4	0.030996275607092692	2			gt0_vs_0,median	4	0.153370857122121	2			
chan_normal_epithelial	STING_SENSOR	4	0.13154261100473597	4			gt0_vs_0,median	4	0.3018709132618324	4			
chan_normal_epithelial	STING_ISG	4	0.11767636739591057	4			gt0_vs_0,median	4	0.20041456283204068	4			
chan_normal_epithelial	REACTOME_STING	4	0.16082065372601367	4			gt0_vs_0,median	4	0.3079932982965179	4			
chan_normal_epithelial	CGAS	3	0.0034541781577799055	2			gt0_vs_0,median	3	0.09365044666739017	2			
chan_normal_epithelial	STING1	4	0.2312537818171337	3			gt0_vs_0,median	4	0.26359718356849715	3			
chan_normal_epithelial	H2AX	4	0.031082348059969532	3			gt0_vs_0,median	4	0.10493649200061843	3			
chan_normal_epithelial	HALLMARK_DNA_REPAIR_partial_PROLIF	0		0			partial_rank_residual	4	0.3951913074615566	4			
chan_normal_epithelial	DDR_DSB_partial_PROLIF	0		0			partial_rank_residual	4	0.21471513002873754	3			
chan_normal_epithelial	STING_SENSOR_partial_PROLIF	0		0			partial_rank_residual	4	0.26801311618216705	4			
chan_normal_epithelial	STING_ISG_partial_PROLIF	0		0			partial_rank_residual	4	0.173693394222831	4			
glasner_luad_epithelium	HALLMARK_DNA_REPAIR	21	0.08076318662764818	19	4.0	6.67572021484375e-06	gt0_vs_0,median	21	0.27716766884746	20	1.0	1.9073486328125e-06	8.58306884765625e-06
glasner_luad_epithelium	DDR_DSB	21	0.0464311304581454	18	24.0	0.000720977783203125	gt0_vs_0,median	21	0.10195080994442336	20	1.0	1.9073486328125e-06	8.58306884765625e-06
glasner_luad_epithelium	PROLIF	21	0.01116325243194502	13	99.0	0.5854024887084961	gt0_vs_0,median	21	0.08407033920458185	16	38.0	0.005541801452636719	0.008272058823529412
glasner_luad_epithelium	STING_SENSOR	21	0.11720837627888157	21	0.0	9.5367431640625e-07	gt0_vs_0,median	21	0.1942754091410628	21	0.0	9.5367431640625e-07	8.58306884765625e-06
glasner_luad_epithelium	STING_ISG	21	0.10152216919513096	19	15.0	0.00013065338134765625	gt0_vs_0,median	21	0.20410030558283146	20	2.0	2.86102294921875e-06	9.809221540178572e-06
glasner_luad_epithelium	REACTOME_STING	21	0.1004631429251454	21	0.0	9.5367431640625e-07	gt0_vs_0,median	21	0.21863611522871113	20	1.0	1.9073486328125e-06	8.58306884765625e-06
glasner_luad_epithelium	CGAS	21	0.019243424851447352	15	40.0	0.0071010589599609375	gt0_vs_0,median	21	0.06515816910683418	21	0.0	9.5367431640625e-07	
glasner_luad_epithelium	STING1	21	0.11048533419595988	19	3.0	4.76837158203125e-06	gt0_vs_0,median	21	0.22312606474306695	21	0.0	9.5367431640625e-07	
glasner_luad_epithelium	H2AX	21	0.09350641966130296	18	6.0	1.33514404296875e-05	gt0_vs_0,median	21	0.20462682580529196	21	0.0	9.5367431640625e-07	
glasner_luad_epithelium	HALLMARK_DNA_REPAIR_partial_PROLIF	0		0			partial_rank_residual	21	0.26352452422232336	20	2.0	2.86102294921875e-06	
glasner_luad_epithelium	DDR_DSB_partial_PROLIF	0		0			partial_rank_residual	21	0.1052967901275509	19	5.0	9.5367431640625e-06	
glasner_luad_epithelium	STING_SENSOR_partial_PROLIF	0		0			partial_rank_residual	21	0.19268065970911763	21	0.0	9.5367431640625e-07	
glasner_luad_epithelium	STING_ISG_partial_PROLIF	0		0			partial_rank_residual	21	0.18204150754452622	20	2.0	2.86102294921875e-06	
glasner_met_epithelium	HALLMARK_DNA_REPAIR	4	0.085734832411408	4			gt0_vs_0,median	4	0.248714300705967	4			
glasner_met_epithelium	DDR_DSB	4	0.06181549180005588	4			gt0_vs_0,median	4	0.16689734346514123	4			
glasner_met_epithelium	PROLIF	4	-0.007143640085741934	2			gt0_vs_0,median	4	0.0085277537585132	2			
glasner_met_epithelium	STING_SENSOR	4	0.12410984511852914	4			gt0_vs_0,median	4	0.18289345142295294	4			
glasner_met_epithelium	STING_ISG	4	0.2943858588483853	4			gt0_vs_0,median	4	0.21104758250439398	4			
glasner_met_epithelium	REACTOME_STING	4	0.08473471414835754	4			gt0_vs_0,median	4	0.18954550443103496	4			
glasner_met_epithelium	CGAS	4	0.021369585979424	4			gt0_vs_0,median	4	0.12252370432325896	4			
glasner_met_epithelium	STING1	4	0.10258730403336772	4			gt0_vs_0,median	4	0.2509474270859709	4			
glasner_met_epithelium	H2AX	4	0.08824995609361946	4			gt0_vs_0,median	4	0.20539243285133965	4			
glasner_met_epithelium	HALLMARK_DNA_REPAIR_partial_PROLIF	0		0			partial_rank_residual	4	0.24372543754439135	4			
glasner_met_epithelium	DDR_DSB_partial_PROLIF	0		0			partial_rank_residual	4	0.1811842498452243	4			
glasner_met_epithelium	STING_SENSOR_partial_PROLIF	0		0			partial_rank_residual	4	0.1825745580421146	4			
glasner_met_epithelium	STING_ISG_partial_PROLIF	0		0			partial_rank_residual	4	0.2048266670186021	4			
glasner_primary_epithelium	HALLMARK_DNA_REPAIR	17	0.07867000287517821	16	2.0	4.57763671875e-05	gt0_vs_0,median	17	0.2796655368489298	16	1.0	3.0517578125e-05	
glasner_primary_epithelium	DDR_DSB	17	0.03055954106732691	15	17.0	0.0031585693359375	gt0_vs_0,median	17	0.13508821878568825	17	0.0	1.52587890625e-05	
glasner_primary_epithelium	PROLIF	17	0.018290031861793413	11	54.0	0.3060455322265625	gt0_vs_0,median	17	0.11331551725552322	15	9.0	0.0005035400390625	
glasner_primary_epithelium	STING_SENSOR	17	0.1590328717442533	17	0.0	1.52587890625e-05	gt0_vs_0,median	17	0.19387360343539944	17	0.0	1.52587890625e-05	
glasner_primary_epithelium	STING_ISG	17	0.10046539632931306	15	13.0	0.0013427734375	gt0_vs_0,median	17	0.20960479044901328	15	3.0	7.62939453125e-05	
glasner_primary_epithelium	REACTOME_STING	17	0.10970148889218057	17	0.0	1.52587890625e-05	gt0_vs_0,median	17	0.2361639520630877	17	0.0	1.52587890625e-05	
glasner_primary_epithelium	CGAS	17	0.014421414632301826	11	37.0	0.0638275146484375	gt0_vs_0,median	17	0.06515816910683418	17	0.0	1.52587890625e-05	
glasner_primary_epithelium	STING1	17	0.120320609618317	16	1.0	3.0517578125e-05	gt0_vs_0,median	17	0.21383310592553648	17	0.0	1.52587890625e-05	
glasner_primary_epithelium	H2AX	17	0.09350641966130296	14	6.0	0.000213623046875	gt0_vs_0,median	17	0.21381061450191766	17	0.0	1.52587890625e-05	
glasner_primary_epithelium	HALLMARK_DNA_REPAIR_partial_PROLIF	0		0			partial_rank_residual	17	0.2651024826259492	16	2.0	4.57763671875e-05	
glasner_primary_epithelium	DDR_DSB_partial_PROLIF	0		0			partial_rank_residual	17	0.10889280497805885	15	5.0	0.000152587890625	
glasner_primary_epithelium	STING_SENSOR_partial_PROLIF	0		0			partial_rank_residual	17	0.18345107000973243	17	0.0	1.52587890625e-05	
glasner_primary_epithelium	STING_ISG_partial_PROLIF	0		0			partial_rank_residual	17	0.1743650883121497	16	2.0	4.57763671875e-05	
