dataset	unit_id	gene	umi
GSE205335	P0031	ITGB7	19
GSE205335	P0031	JAK2	1
GSE205335	P0031	KLRD1	10
GSE205335	P0031	KLRK1	17
GSE205335	P0031	KRT18	7219
GSE205335	P0031	KRT19	10159
GSE205335	P0031	KRT8	6020
GSE205335	P0031	LAMP3	176
GSE205335	P0031	LAP3	145
GSE205335	P0031	LATS2	111
GSE205335	P0031	LCP2	19
GSE205335	P0031	LGALS3BP	1132
GSE205335	P0031	LIG4	17
GSE205335	P0031	LPAR6	4
GSE205335	P0031	LY6E	8746
GSE205335	P0031	LYSMD2	29
GSE205335	P0031	MCM6	44
GSE205335	P0031	METTL7B	11
GSE205335	P0031	MKI67	32
GSE205335	P0031	MOV10	40
GSE205335	P0031	MRE11	44
GSE205335	P0031	MT2A	379
GSE205335	P0031	MTHFD2	314
GSE205335	P0031	MVB12A	34
GSE205335	P0031	MVP	269
GSE205335	P0031	MX1	60
GSE205335	P0031	MX2	61
GSE205335	P0031	MYD88	71
GSE205335	P0031	NAMPT	696
GSE205335	P0031	NCOA3	231
GSE205335	P0031	NCOA7	120
GSE205335	P0031	NFKB1	138
GSE205335	P0031	NFKBIA	3922
GSE205335	P0031	NHEJ1	16
GSE205335	P0031	NKG7	131
GSE205335	P0031	NLRC5	35
GSE205335	P0031	NMI	108
GSE205335	P0031	NOD1	18
GSE205335	P0031	NUB1	63
GSE205335	P0031	NUP93	20
GSE205335	P0031	OAS1	29
GSE205335	P0031	OAS2	17
GSE205335	P0031	OAS3	26
GSE205335	P0031	OASL	17
GSE205335	P0031	OGFR	87
GSE205335	P0031	P2RY14	0
GSE205335	P0031	PARP12	27
GSE205335	P0031	PARP14	270
GSE205335	P0031	PARP9	117
GSE205335	P0031	PCNA	206
GSE205335	P0031	PDE4B	14
GSE205335	P0031	PDIA3	1041
GSE205335	P0031	PELI1	163
GSE205335	P0031	PFKP	207
GSE205335	P0031	PIM1	122
GSE205335	P0031	PLA2G4A	3
GSE205335	P0031	PLSCR1	194
GSE205335	P0031	PML	40
GSE205335	P0031	PNP	79
GSE205335	P0031	PNPT1	59
GSE205335	P0031	POLL	29
GSE205335	P0031	POLM	33
GSE205335	P0031	PRKDC	150
GSE205335	P0031	PROCR	9
GSE205335	P0031	PSMA2	858
GSE205335	P0031	PSMA3	458
GSE205335	P0031	PSMB10	174
GSE205335	P0031	PSMB2	323
GSE205335	P0031	PSMB8	331
GSE205335	P0031	PSMB9	288
GSE205335	P0031	PSME1	927
GSE205335	P0031	PSME2	1122
GSE205335	P0031	PTGS2	147
GSE205335	P0031	PTPN1	320
GSE205335	P0031	PTPN2	183
GSE205335	P0031	PTPN6	72
GSE205335	P0031	PTPRC	79
GSE205335	P0031	RAD50	65
GSE205335	P0031	RAPGEF6	76
GSE205335	P0031	RBCK1	489
GSE205335	P0031	RIPK1	63
GSE205335	P0031	RIPK2	120
GSE205335	P0031	RNF213	481
GSE205335	P0031	RNF31	58
GSE205335	P0031	RSAD2	15
GSE205335	P0031	RTP4	25
GSE205335	P0031	SAMD9	19
GSE205335	P0031	SAMD9L	12
GSE205335	P0031	SAMHD1	100
GSE205335	P0031	SECTM1	49
GSE205335	P0031	SELL	7
GSE205335	P0031	SELP	0
GSE205335	P0031	SERPING1	123
GSE205335	P0031	SLAMF7	8
GSE205335	P0031	SLC25A28	38
GSE205335	P0031	SOCS1	117
GSE205335	P0031	SOCS3	345
GSE205335	P0031	SOD2	327
GSE205335	P0031	SP110	97
GSE205335	P0031	SPPL2A	217
GSE205335	P0031	SRI	801
GSE205335	P0031	SSPN	11
GSE205335	P0031	ST3GAL5	123
GSE205335	P0031	ST8SIA4	12
GSE205335	P0031	STAT1	354
GSE205335	P0031	STAT2	93
GSE205335	P0031	STAT3	592
GSE205335	P0031	STAT4	25
GSE205335	P0031	TAP1	286
GSE205335	P0031	TAP2	112
GSE205335	P0031	TAPBP	607
GSE205335	P0031	TAPBPL	55
GSE205335	P0031	TBK1	43
GSE205335	P0031	TDRD7	17
GSE205335	P0031	TENT5A	163
GSE205335	P0031	TMEM140	4
GSE205335	P0031	TMEM173	342
GSE205335	P0031	TNFAIP2	148
GSE205335	P0031	TNFAIP3	176
GSE205335	P0031	TNFAIP6	0
GSE205335	P0031	TNFSF10	123
GSE205335	P0031	TOP2A	37
GSE205335	P0031	TOR1B	46
GSE205335	P0031	TRAFD1	62
GSE205335	P0031	TRIM14	39
GSE205335	P0031	TRIM21	14
GSE205335	P0031	TRIM25	73
GSE205335	P0031	TRIM26	82
GSE205335	P0031	TRIM5	41
GSE205335	P0031	TXNIP	331
GSE205335	P0031	UBA7	15
GSE205335	P0031	UBE2L6	282
GSE205335	P0031	UPP1	428
GSE205335	P0031	USP18	22
GSE205335	P0031	VAMP5	201
GSE205335	P0031	VAMP8	2819
GSE205335	P0031	VCAM1	2
GSE205335	P0031	XAF1	32
GSE205335	P0031	XCL1	8
GSE205335	P0031	XRCC4	19
GSE205335	P0031	XRCC5	335
GSE205335	P0031	XRCC6	367
GSE205335	P0031	ZBP1	4
GSE205335	P0031	ZNFX1	134
GSE205335	P1006	ADAR	2258
GSE205335	P1006	APOL6	578
GSE205335	P1006	ARID5B	1465
GSE205335	P1006	ARL4A	895
GSE205335	P1006	AUTS2	9
GSE205335	P1006	B2M	28978
GSE205335	P1006	BANK1	111
GSE205335	P1006	BATF2	35
GSE205335	P1006	BPGM	437
GSE205335	P1006	BST2	74
GSE205335	P1006	BTG1	4079
GSE205335	P1006	C1R	10
GSE205335	P1006	C1S	43
GSE205335	P1006	CALR	7414
GSE205335	P1006	CANX	1771
GSE205335	P1006	CASP1	28
GSE205335	P1006	CASP3	475
GSE205335	P1006	CASP4	83
GSE205335	P1006	CASP7	364
GSE205335	P1006	CASP8	377
GSE205335	P1006	CCL2	165
GSE205335	P1006	CCL5	561
GSE205335	P1006	CCL7	2
GSE205335	P1006	CCNB1	789
GSE205335	P1006	CCRL2	1
GSE205335	P1006	CD274	3
GSE205335	P1006	CD38	459
GSE205335	P1006	CD3D	138
GSE205335	P1006	CD3E	93
GSE205335	P1006	CD40	140
GSE205335	P1006	CD47	8761
GSE205335	P1006	CD69	43
GSE205335	P1006	CD74	1061
GSE205335	P1006	CD86	6
GSE205335	P1006	CD8A	41
GSE205335	P1006	CDK1	779
GSE205335	P1006	CDKN1A	181
GSE205335	P1006	CFB	9
GSE205335	P1006	CFH	253
GSE205335	P1006	CGAS	190
GSE205335	P1006	CIITA	11
GSE205335	P1006	CLDN4	9419
GSE205335	P1006	CMKLR1	6
GSE205335	P1006	CMPK2	56
GSE205335	P1006	CMTR1	328
GSE205335	P1006	CNP	627
GSE205335	P1006	CSF1	45
GSE205335	P1006	CSF2RB	3
GSE205335	P1006	CXCL10	22
GSE205335	P1006	CXCL11	2
GSE205335	P1006	CXCL9	15
GSE205335	P1006	DCLRE1C	771
GSE205335	P1006	DDX41	585
GSE205335	P1006	DDX58	53
GSE205335	P1006	DDX60	27
GSE205335	P1006	DHX58	27
GSE205335	P1006	DNTT	0
GSE205335	P1006	EIF2AK2	1447
GSE205335	P1006	EIF4E3	11
GSE205335	P1006	ELF1	1115
GSE205335	P1006	EPCAM	13993
GSE205335	P1006	EPSTI1	102
GSE205335	P1006	ERAP1	77
GSE205335	P1006	ERAP2	25
GSE205335	P1006	FAS	17
GSE205335	P1006	FCGR1A	15
GSE205335	P1006	FEN1	542
GSE205335	P1006	FGL2	13
GSE205335	P1006	FPR1	8
GSE205335	P1006	GBP2	52
GSE205335	P1006	GBP4	28
GSE205335	P1006	GBP6	4
GSE205335	P1006	GCH1	177
GSE205335	P1006	GMPR	6
GSE205335	P1006	GNLY	215
GSE205335	P1006	GPR18	1
GSE205335	P1006	GZMA	184
GSE205335	P1006	HELZ2	475
GSE205335	P1006	HERC6	30
GSE205335	P1006	HIF1A	553
GSE205335	P1006	HLA-A	1030
GSE205335	P1006	HLA-B	1423
GSE205335	P1006	HLA-C	1087
GSE205335	P1006	HLA-DMA	134
GSE205335	P1006	HLA-DQA1	156
GSE205335	P1006	HLA-DRB1	408
GSE205335	P1006	HLA-E	3347
GSE205335	P1006	HLA-F	38
GSE205335	P1006	HLA-G	147
GSE205335	P1006	ICAM1	2238
GSE205335	P1006	IDO1	50
GSE205335	P1006	IFI16	60
GSE205335	P1006	IFI27	275
GSE205335	P1006	IFI30	432
GSE205335	P1006	IFI35	359
GSE205335	P1006	IFI44	28
GSE205335	P1006	IFI44L	30
GSE205335	P1006	IFIH1	357
GSE205335	P1006	IFIT1	20
GSE205335	P1006	IFIT2	45
GSE205335	P1006	IFIT3	65
GSE205335	P1006	IFITM1	65
GSE205335	P1006	IFITM2	163
GSE205335	P1006	IFITM3	2447
GSE205335	P1006	IFNAR2	298
GSE205335	P1006	IL10RA	41
GSE205335	P1006	IL15	6
GSE205335	P1006	IL15RA	5
GSE205335	P1006	IL18BP	31
GSE205335	P1006	IL2RB	21
GSE205335	P1006	IL4R	31
GSE205335	P1006	IL6	3
GSE205335	P1006	IL7	1
GSE205335	P1006	IRF1	2048
GSE205335	P1006	IRF2	314
GSE205335	P1006	IRF3	743
GSE205335	P1006	IRF4	3
GSE205335	P1006	IRF5	88
GSE205335	P1006	IRF7	765
GSE205335	P1006	IRF8	17
GSE205335	P1006	IRF9	1464
GSE205335	P1006	ISG15	4030
GSE205335	P1006	ISG20	463
GSE205335	P1006	ISOC1	540
GSE205335	P1006	ITGB7	35
GSE205335	P1006	JAK2	41
GSE205335	P1006	KLRD1	31
GSE205335	P1006	KLRK1	31
GSE205335	P1006	KRT18	38321
GSE205335	P1006	KRT19	25091
GSE205335	P1006	KRT8	20676
GSE205335	P1006	LAMP3	81
GSE205335	P1006	LAP3	646
GSE205335	P1006	LATS2	369
GSE205335	P1006	LCP2	44
GSE205335	P1006	LGALS3BP	136
GSE205335	P1006	LIG4	109
GSE205335	P1006	LPAR6	29
GSE205335	P1006	LY6E	15456
GSE205335	P1006	LYSMD2	96
GSE205335	P1006	MCM6	426
GSE205335	P1006	METTL7B	9
GSE205335	P1006	MKI67	617
GSE205335	P1006	MOV10	644
GSE205335	P1006	MRE11	390
GSE205335	P1006	MT2A	3516
GSE205335	P1006	MTHFD2	1211
GSE205335	P1006	MVB12A	892
GSE205335	P1006	MVP	318
GSE205335	P1006	MX1	243
GSE205335	P1006	MX2	361
GSE205335	P1006	MYD88	533
GSE205335	P1006	NAMPT	387
GSE205335	P1006	NCOA3	750
GSE205335	P1006	NCOA7	117
GSE205335	P1006	NFKB1	433
GSE205335	P1006	NFKBIA	3742
GSE205335	P1006	NHEJ1	114
GSE205335	P1006	NKG7	460
GSE205335	P1006	NLRC5	53
GSE205335	P1006	NMI	808
GSE205335	P1006	NOD1	53
GSE205335	P1006	NUB1	602
GSE205335	P1006	NUP93	371
GSE205335	P1006	OAS1	274
GSE205335	P1006	OAS2	26
GSE205335	P1006	OAS3	386
GSE205335	P1006	OASL	20
GSE205335	P1006	OGFR	477
GSE205335	P1006	P2RY14	0
GSE205335	P1006	PARP12	176
GSE205335	P1006	PARP14	1956
GSE205335	P1006	PARP9	850
GSE205335	P1006	PCNA	1082
GSE205335	P1006	PDE4B	249
GSE205335	P1006	PDIA3	5169
GSE205335	P1006	PELI1	806
GSE205335	P1006	PFKP	878
GSE205335	P1006	PIM1	2348
GSE205335	P1006	PLA2G4A	3
GSE205335	P1006	PLSCR1	400
GSE205335	P1006	PML	273
GSE205335	P1006	PNP	78
GSE205335	P1006	PNPT1	1432
GSE205335	P1006	POLL	420
GSE205335	P1006	POLM	234
GSE205335	P1006	PRKDC	1242
GSE205335	P1006	PROCR	16
GSE205335	P1006	PSMA2	4920
GSE205335	P1006	PSMA3	1525
GSE205335	P1006	PSMB10	683
GSE205335	P1006	PSMB2	3462
GSE205335	P1006	PSMB8	454
GSE205335	P1006	PSMB9	911
GSE205335	P1006	PSME1	1549
GSE205335	P1006	PSME2	2141
GSE205335	P1006	PTGS2	107
GSE205335	P1006	PTPN1	1083
GSE205335	P1006	PTPN2	492
GSE205335	P1006	PTPN6	413
GSE205335	P1006	PTPRC	103
GSE205335	P1006	RAD50	876
GSE205335	P1006	RAPGEF6	283
GSE205335	P1006	RBCK1	1694
GSE205335	P1006	RIPK1	396
GSE205335	P1006	RIPK2	326
GSE205335	P1006	RNF213	622
GSE205335	P1006	RNF31	295
GSE205335	P1006	RSAD2	39
GSE205335	P1006	RTP4	7
GSE205335	P1006	SAMD9	19
GSE205335	P1006	SAMD9L	33
GSE205335	P1006	SAMHD1	167
GSE205335	P1006	SECTM1	74
GSE205335	P1006	SELL	38
GSE205335	P1006	SELP	2
GSE205335	P1006	SERPING1	3235
GSE205335	P1006	SLAMF7	11
GSE205335	P1006	SLC25A28	227
GSE205335	P1006	SOCS1	147
GSE205335	P1006	SOCS3	1033
GSE205335	P1006	SOD2	720
GSE205335	P1006	SP110	321
GSE205335	P1006	SPPL2A	1959
GSE205335	P1006	SRI	2106
GSE205335	P1006	SSPN	5
GSE205335	P1006	ST3GAL5	438
GSE205335	P1006	ST8SIA4	98
GSE205335	P1006	STAT1	1754
GSE205335	P1006	STAT2	965
GSE205335	P1006	STAT3	2071
GSE205335	P1006	STAT4	56
GSE205335	P1006	TAP1	872
GSE205335	P1006	TAP2	312
GSE205335	P1006	TAPBP	2403
GSE205335	P1006	TAPBPL	19
GSE205335	P1006	TBK1	277
GSE205335	P1006	TDRD7	33
GSE205335	P1006	TENT5A	235
GSE205335	P1006	TMEM140	12
GSE205335	P1006	TMEM173	400
GSE205335	P1006	TNFAIP2	168
GSE205335	P1006	TNFAIP3	124
GSE205335	P1006	TNFAIP6	0
GSE205335	P1006	TNFSF10	50
GSE205335	P1006	TOP2A	1100
GSE205335	P1006	TOR1B	152
GSE205335	P1006	TRAFD1	417
GSE205335	P1006	TRIM14	56
GSE205335	P1006	TRIM21	31
GSE205335	P1006	TRIM25	538
GSE205335	P1006	TRIM26	561
GSE205335	P1006	TRIM5	141
GSE205335	P1006	TXNIP	351
GSE205335	P1006	UBA7	13
GSE205335	P1006	UBE2L6	614
GSE205335	P1006	UPP1	489
GSE205335	P1006	USP18	174
GSE205335	P1006	VAMP5	285
GSE205335	P1006	VAMP8	12969
GSE205335	P1006	VCAM1	7
GSE205335	P1006	XAF1	94
GSE205335	P1006	XCL1	149
GSE205335	P1006	XRCC4	212
GSE205335	P1006	XRCC5	3218
GSE205335	P1006	XRCC6	2233
GSE205335	P1006	ZBP1	7
GSE205335	P1006	ZNFX1	386
GSE205335	P1015	ADAR	513
GSE205335	P1015	APOL6	270
GSE205335	P1015	ARID5B	47
GSE205335	P1015	ARL4A	504
GSE205335	P1015	AUTS2	3
GSE205335	P1015	B2M	12951
GSE205335	P1015	BANK1	19
GSE205335	P1015	BATF2	72
GSE205335	P1015	BPGM	48
GSE205335	P1015	BST2	1312
GSE205335	P1015	BTG1	525
GSE205335	P1015	C1R	21
GSE205335	P1015	C1S	2
GSE205335	P1015	CALR	2658
GSE205335	P1015	CANX	953
GSE205335	P1015	CASP1	45
GSE205335	P1015	CASP3	69
GSE205335	P1015	CASP4	410
GSE205335	P1015	CASP7	61
GSE205335	P1015	CASP8	75
GSE205335	P1015	CCL2	41
GSE205335	P1015	CCL5	129
GSE205335	P1015	CCL7	2
GSE205335	P1015	CCNB1	290
GSE205335	P1015	CCRL2	9
GSE205335	P1015	CD274	21
GSE205335	P1015	CD38	4
GSE205335	P1015	CD3D	44
GSE205335	P1015	CD3E	16
GSE205335	P1015	CD40	160
GSE205335	P1015	CD47	1238
GSE205335	P1015	CD69	18
GSE205335	P1015	CD74	2115
GSE205335	P1015	CD86	2
GSE205335	P1015	CD8A	22
GSE205335	P1015	CDK1	137
GSE205335	P1015	CDKN1A	406
GSE205335	P1015	CFB	201
GSE205335	P1015	CFH	66
GSE205335	P1015	CGAS	99
GSE205335	P1015	CIITA	15
GSE205335	P1015	CLDN4	3214
GSE205335	P1015	CMKLR1	1
GSE205335	P1015	CMPK2	120
GSE205335	P1015	CMTR1	65
GSE205335	P1015	CNP	226
GSE205335	P1015	CSF1	36
GSE205335	P1015	CSF2RB	2
GSE205335	P1015	CXCL10	9
GSE205335	P1015	CXCL11	1
GSE205335	P1015	CXCL9	3
GSE205335	P1015	DCLRE1C	48
GSE205335	P1015	DDX41	148
GSE205335	P1015	DDX58	41
GSE205335	P1015	DDX60	122
GSE205335	P1015	DHX58	24
GSE205335	P1015	DNTT	0
GSE205335	P1015	EIF2AK2	389
GSE205335	P1015	EIF4E3	9
GSE205335	P1015	ELF1	242
GSE205335	P1015	EPCAM	4299
GSE205335	P1015	EPSTI1	285
GSE205335	P1015	ERAP1	123
GSE205335	P1015	ERAP2	212
GSE205335	P1015	FAS	157
GSE205335	P1015	FCGR1A	3
GSE205335	P1015	FEN1	98
GSE205335	P1015	FGL2	2
GSE205335	P1015	FPR1	8
GSE205335	P1015	GBP2	176
GSE205335	P1015	GBP4	93
GSE205335	P1015	GBP6	21
GSE205335	P1015	GCH1	20
GSE205335	P1015	GMPR	14
GSE205335	P1015	GNLY	222
GSE205335	P1015	GPR18	0
GSE205335	P1015	GZMA	74
GSE205335	P1015	HELZ2	129
GSE205335	P1015	HERC6	99
GSE205335	P1015	HIF1A	786
GSE205335	P1015	HLA-A	12304
GSE205335	P1015	HLA-B	14285
GSE205335	P1015	HLA-C	6031
GSE205335	P1015	HLA-DMA	148
GSE205335	P1015	HLA-DQA1	57
GSE205335	P1015	HLA-DRB1	576
GSE205335	P1015	HLA-E	1419
GSE205335	P1015	HLA-F	838
GSE205335	P1015	HLA-G	4
GSE205335	P1015	ICAM1	500
GSE205335	P1015	IDO1	16
GSE205335	P1015	IFI16	312
GSE205335	P1015	IFI27	15956
GSE205335	P1015	IFI30	240
GSE205335	P1015	IFI35	293
GSE205335	P1015	IFI44	277
GSE205335	P1015	IFI44L	358
GSE205335	P1015	IFIH1	77
GSE205335	P1015	IFIT1	58
GSE205335	P1015	IFIT2	30
GSE205335	P1015	IFIT3	77
GSE205335	P1015	IFITM1	115
GSE205335	P1015	IFITM2	399
GSE205335	P1015	IFITM3	3850
GSE205335	P1015	IFNAR2	188
GSE205335	P1015	IL10RA	8
GSE205335	P1015	IL15	60
GSE205335	P1015	IL15RA	88
GSE205335	P1015	IL18BP	8
GSE205335	P1015	IL2RB	6
GSE205335	P1015	IL4R	245
GSE205335	P1015	IL6	16
GSE205335	P1015	IL7	21
GSE205335	P1015	IRF1	402
GSE205335	P1015	IRF2	92
GSE205335	P1015	IRF3	206
GSE205335	P1015	IRF4	3
GSE205335	P1015	IRF5	54
GSE205335	P1015	IRF7	384
GSE205335	P1015	IRF8	6
GSE205335	P1015	IRF9	338
GSE205335	P1015	ISG15	2244
GSE205335	P1015	ISG20	142
GSE205335	P1015	ISOC1	76
GSE205335	P1015	ITGB7	8
GSE205335	P1015	JAK2	11
GSE205335	P1015	KLRD1	13
GSE205335	P1015	KLRK1	9
GSE205335	P1015	KRT18	4336
GSE205335	P1015	KRT19	17212
GSE205335	P1015	KRT8	5480
GSE205335	P1015	LAMP3	8
GSE205335	P1015	LAP3	239
GSE205335	P1015	LATS2	38
GSE205335	P1015	LCP2	13
GSE205335	P1015	LGALS3BP	1685
GSE205335	P1015	LIG4	19
GSE205335	P1015	LPAR6	2
GSE205335	P1015	LY6E	14282
GSE205335	P1015	LYSMD2	56
GSE205335	P1015	MCM6	130
GSE205335	P1015	METTL7B	30
GSE205335	P1015	MKI67	214
GSE205335	P1015	MOV10	71
GSE205335	P1015	MRE11	62
GSE205335	P1015	MT2A	7305
GSE205335	P1015	MTHFD2	303
GSE205335	P1015	MVB12A	261
GSE205335	P1015	MVP	290
GSE205335	P1015	MX1	305
GSE205335	P1015	MX2	76
GSE205335	P1015	MYD88	105
GSE205335	P1015	NAMPT	1785
GSE205335	P1015	NCOA3	206
GSE205335	P1015	NCOA7	335
GSE205335	P1015	NFKB1	232
GSE205335	P1015	NFKBIA	2440
GSE205335	P1015	NHEJ1	39
GSE205335	P1015	NKG7	170
GSE205335	P1015	NLRC5	38
GSE205335	P1015	NMI	185
GSE205335	P1015	NOD1	26
GSE205335	P1015	NUB1	250
GSE205335	P1015	NUP93	61
GSE205335	P1015	OAS1	221
GSE205335	P1015	OAS2	109
GSE205335	P1015	OAS3	195
GSE205335	P1015	OASL	7
GSE205335	P1015	OGFR	188
GSE205335	P1015	P2RY14	0
GSE205335	P1015	PARP12	236
GSE205335	P1015	PARP14	347
GSE205335	P1015	PARP9	162
GSE205335	P1015	PCNA	327
GSE205335	P1015	PDE4B	4
GSE205335	P1015	PDIA3	816
GSE205335	P1015	PELI1	40
GSE205335	P1015	PFKP	1015
GSE205335	P1015	PIM1	237
GSE205335	P1015	PLA2G4A	5
GSE205335	P1015	PLSCR1	384
GSE205335	P1015	PML	157
GSE205335	P1015	PNP	137
GSE205335	P1015	PNPT1	104
GSE205335	P1015	POLL	64
GSE205335	P1015	POLM	48
GSE205335	P1015	PRKDC	397
GSE205335	P1015	PROCR	257
GSE205335	P1015	PSMA2	1097
GSE205335	P1015	PSMA3	472
GSE205335	P1015	PSMB10	334
GSE205335	P1015	PSMB2	668
GSE205335	P1015	PSMB8	784
GSE205335	P1015	PSMB9	920
GSE205335	P1015	PSME1	1434
GSE205335	P1015	PSME2	1270
GSE205335	P1015	PTGS2	13
GSE205335	P1015	PTPN1	151
GSE205335	P1015	PTPN2	228
GSE205335	P1015	PTPN6	66
GSE205335	P1015	PTPRC	24
GSE205335	P1015	RAD50	285
GSE205335	P1015	RAPGEF6	67
GSE205335	P1015	RBCK1	1204
GSE205335	P1015	RIPK1	69
GSE205335	P1015	RIPK2	214
GSE205335	P1015	RNF213	1073
GSE205335	P1015	RNF31	79
GSE205335	P1015	RSAD2	45
GSE205335	P1015	RTP4	34
GSE205335	P1015	SAMD9	165
GSE205335	P1015	SAMD9L	197
GSE205335	P1015	SAMHD1	73
GSE205335	P1015	SECTM1	75
GSE205335	P1015	SELL	15
GSE205335	P1015	SELP	0
GSE205335	P1015	SERPING1	14
GSE205335	P1015	SLAMF7	3
GSE205335	P1015	SLC25A28	41
GSE205335	P1015	SOCS1	73
GSE205335	P1015	SOCS3	752
GSE205335	P1015	SOD2	403
GSE205335	P1015	SP110	122
GSE205335	P1015	SPPL2A	110
GSE205335	P1015	SRI	2257
GSE205335	P1015	SSPN	107
GSE205335	P1015	ST3GAL5	58
GSE205335	P1015	ST8SIA4	22
GSE205335	P1015	STAT1	769
GSE205335	P1015	STAT2	132
GSE205335	P1015	STAT3	342
GSE205335	P1015	STAT4	16
GSE205335	P1015	TAP1	747
GSE205335	P1015	TAP2	294
GSE205335	P1015	TAPBP	815
GSE205335	P1015	TAPBPL	125
GSE205335	P1015	TBK1	76
GSE205335	P1015	TDRD7	24
GSE205335	P1015	TENT5A	63
GSE205335	P1015	TMEM140	12
GSE205335	P1015	TMEM173	99
GSE205335	P1015	TNFAIP2	282
GSE205335	P1015	TNFAIP3	128
GSE205335	P1015	TNFAIP6	1
GSE205335	P1015	TNFSF10	265
GSE205335	P1015	TOP2A	552
GSE205335	P1015	TOR1B	30
GSE205335	P1015	TRAFD1	81
GSE205335	P1015	TRIM14	74
GSE205335	P1015	TRIM21	31
GSE205335	P1015	TRIM25	218
GSE205335	P1015	TRIM26	103
GSE205335	P1015	TRIM5	30
GSE205335	P1015	TXNIP	428
