symbol,panels,deposited_median,deposited_direction,scanarray_median,scanarray_direction,sign_agreement,GSM558700_deposited,GSM558701_deposited,GSM558702_deposited,GSM558700_scan,GSM558701_scan,GSM558702_scan
SAMHD1,STING_REG,-0.0696,DOWN,0.6595,UP,no,1.1827,-1.3219,,0.2866,1.0324,
RNASEH2A,STING_REG,-0.6215,DOWN,-0.0017,DOWN,yes,-0.6215,-2.3959,0.0704,-1.2413,2.6894,-0.0017
RNASEH2B,STING_REG,,NA,,NA,no_or_NA,,,,,,
RNASEH2C,STING_REG,,NA,,NA,no_or_NA,,,,,,
HLA-A,"IFN,APM",-1.5995,DOWN,-1.1958,DOWN,yes,-1.5995,0.7975,-1.7370,-1.1958,-0.7309,-1.2644
HLA-B,"IFN,APM",-1.5564,DOWN,-1.8952,DOWN,yes,-1.5564,2.3277,-2.1203,-1.6827,-2.0202,-1.8952
HLA-C,"IFN,APM",-1.2515,DOWN,-0.6663,DOWN,yes,-1.2515,1.0566,-1.2515,-0.7898,-0.4466,-0.6663
B2M,"IFN,APM",-2.5564,DOWN,-2.5919,DOWN,yes,-2.5564,2.2296,-3.1844,-2.5919,-1.6978,-3.4089
NLRC5,"IFN,APM",,NA,,NA,no_or_NA,,,,,,
TAP1,"IFN,APM",-1.4717,DOWN,-1.9654,DOWN,yes,-1.9030,2.3537,-1.4717,-1.9654,-2.8156,-1.7024
TAP2,"IFN,APM",-0.5564,DOWN,-1.2730,DOWN,yes,-0.5564,-3.0589,-0.1681,-2.1183,2.4295,-1.2730
TAPBP,"IFN,APM",-0.5601,DOWN,-0.8896,DOWN,yes,-1.3585,0.5460,-0.5601,-0.0736,-0.8896,-0.8903
PSMB8,"IFN,APM",0.3274,UP,-0.1857,DOWN,no,0.3274,1.0575,-0.1330,0.2407,-1.5294,-0.1857
PSMB9,"IFN,APM",1.7093,UP,0.4669,UP,yes,0.9381,3.0522,1.7093,0.4669,-3.0102,1.4832
PSMB10,APM,-0.0893,DOWN,-0.5591,DOWN,yes,-0.3771,-0.0893,0.2141,-0.5591,0.2957,-0.9055
ERAP1,APM,,NA,,NA,no_or_NA,,,,,,
ERAP2,APM,,NA,,NA,no_or_NA,,,,,,
CALR,APM,0.3342,UP,0.1039,UP,yes,0.3342,-0.2087,0.5829,0.1039,-0.2760,0.3163
CANX,APM,-1.2515,DOWN,-0.7962,DOWN,yes,-1.2515,0.8718,-1.3959,-0.7962,-0.4753,-0.9978
PDIA3,APM,,NA,,NA,no_or_NA,,,,,,
IFI27,IFN,-2.3219,DOWN,-2.4052,DOWN,yes,-2.6439,2.8420,-2.3219,-2.5515,-2.4052,-2.1874
OAS2,IFN,0.1110,UP,-1.5287,DOWN,no,-0.2863,2.8115,0.1110,-1.5287,-3.3840,-0.7270
IFIT1,IFN,-2.1203,DOWN,-3.6923,DOWN,yes,-2.8365,-1.1203,-2.1203,-4.1381,,-3.2465
MX1,IFN,0.3584,UP,-0.5622,DOWN,no,-0.0740,,0.7908,-1.3358,,0.2115
ISG15,IFN,0.7137,UP,-1.6894,DOWN,no,0.7137,1.7949,-1.0589,0.6182,-2.2689,-1.6894
STAT1,IFN,0.4824,UP,-0.5272,DOWN,no,0.1110,0.8237,0.4824,-0.5272,-1.1082,-0.0339
IRF7,IFN,0.4182,UP,-0.3857,DOWN,no,-0.1419,0.5423,0.4182,-0.9172,-0.3857,0.2619
IFNB1,IFN,0.7165,UP,-5.0444,DOWN,no,,4.4919,-3.0589,,-5.0444,
CLDN4,PERTURBATION,-1.2250,DOWN,-0.2126,DOWN,yes,,-1.7370,-0.7131,,1.2183,-1.6435
