method,panel,role,n_in_list,n_ge2,n_up,n_down,median_score,background_median,delta_vs_background,mannwhitney_p,min_gene_p,min_gene_q,any_gene_q_lt_0.05,shift,missing_or_lt2
scanarray_log2,NHEJ,primary,8,6,0,6,-1.2752,-0.6836,-0.5915,0.1263,0.07355,0.2376,no,DOWN,"NHEJ1,PAXX"
scanarray_log2,STING,primary,5,3,1,2,-0.7855,-0.6836,-0.1018,0.7564,0.09516,0.1479,no,DOWN,"STING1,TBK1"
scanarray_log2,IFN,primary,73,57,7,50,-0.8289,-0.6836,-0.1453,0.03564,0.001933,0.05272,no,DOWN,"MX2,RSAD2,IFITM1,IFITM3,IFI44L,DDX60,XAF1,CMPK2,EIF2AK2,IRF9,NLRC5,CXCL9,CCL5,IL32,IFNB1,IFNL1"
scanarray_log2,APM,primary,16,12,1,11,-0.6260,-0.6836,0.0576,0.5368,0.002775,0.0333,yes,UP,"NLRC5,ERAP1,ERAP2,PDIA3"
scanarray_log2,NHEJ_ACCESSORY,secondary,7,5,1,4,-0.1106,-0.6836,0.5731,0.604,0.03513,0.1756,no,UP,"APLF,DNTT"
scanarray_log2,STING_REG,secondary,8,6,3,3,-0.3824,-0.6836,0.3012,0.6769,0.08578,0.2689,no,UP,"RNASEH2B,RNASEH2C"
scanarray_log2,CLDN4,diagnostic,1,1,0,1,-0.2126,-0.6836,0.4710,0.5757,0.9061,0.9061,no,UP,
vendor_ch2_logratio_abs_le_15,NHEJ,primary,8,6,0,6,-1.2733,-0.5633,-0.7100,0.04297,0.07314,0.2339,no,DOWN,"NHEJ1,PAXX"
vendor_ch2_logratio_abs_le_15,STING,primary,5,3,1,2,-0.6867,-0.5633,-0.1233,0.656,0.09519,0.2856,no,DOWN,"STING1,TBK1"
vendor_ch2_logratio_abs_le_15,IFN,primary,73,60,8,52,-0.7792,-0.5633,-0.2158,0.009752,0.001927,0.08497,no,DOWN,"MX2,RSAD2,IFITM1,IFITM3,IFI44L,DDX60,XAF1,CMPK2,EIF2AK2,IRF9,NLRC5,IL32,IFNL1"
vendor_ch2_logratio_abs_le_15,APM,primary,16,12,2,10,-0.6733,-0.5633,-0.1100,0.3873,0.002832,0.03399,yes,DOWN,"NLRC5,ERAP1,ERAP2,PDIA3"
vendor_ch2_logratio_abs_le_15,NHEJ_ACCESSORY,secondary,7,6,2,4,-0.0633,-0.5633,0.5000,0.4864,0.0353,0.2118,no,UP,APLF
vendor_ch2_logratio_abs_le_15,STING_REG,secondary,8,6,3,3,-0.3475,-0.5633,0.2158,0.6542,0.05322,0.19,no,UP,"RNASEH2B,RNASEH2C"
vendor_ch2_logratio_abs_le_15,CLDN4,diagnostic,1,1,0,1,-0.1400,-0.5633,0.4233,0.5432,0.8814,0.8814,no,UP,
deposited_plus_freetext_ku_artemis,NHEJ,primary,8,6,2,4,-0.5684,-0.0265,-0.5419,0.2439,0.1022,0.5358,no,DOWN,"NHEJ1,PAXX"
deposited_plus_freetext_ku_artemis,STING,primary,5,3,2,1,0.5752,-0.0265,0.6018,0.3646,0.1906,0.3863,no,UP,"STING1,TBK1"
deposited_plus_freetext_ku_artemis,IFN,primary,73,58,25,33,-0.2320,-0.0265,-0.2055,0.2947,0.03342,0.9028,no,DOWN,"MX2,RSAD2,IFITM1,IFITM3,IFI44L,DDX60,XAF1,CMPK2,EIF2AK2,IRF9,NLRC5,CXCL9,CCL5,IL32,IFNL1"
deposited_plus_freetext_ku_artemis,APM,primary,16,12,3,9,-0.4536,-0.0265,-0.4271,0.1575,0.09144,0.7932,no,DOWN,"NLRC5,ERAP1,ERAP2,PDIA3"
deposited_plus_freetext_ku_artemis,NHEJ_ACCESSORY,secondary,7,5,4,1,0.5839,-0.0265,0.6104,0.1366,0.3778,0.6109,no,UP,"APLF,DNTT"
deposited_plus_freetext_ku_artemis,STING_REG,secondary,8,6,3,3,-0.0250,-0.0265,0.0015,0.5026,0.3129,0.9778,no,FLAT,"RNASEH2B,RNASEH2C"
deposited_plus_freetext_ku_artemis,CLDN4,diagnostic,1,1,0,1,-1.2250,-0.0265,-1.1985,0.1578,0.252,0.252,no,DOWN,
