panel,role,symbol,measured,n_probes_annotated,n_arrays_with_value,probe_ids,GSM558700,GSM558701,GSM558702,mean_log2_KD_over_ctrl,median_log2_KD_over_ctrl,t_1samp,p_1samp,q_BH_within_panel,direction_median,direction_mean,mapping_note
IFN,primary,GBP4,yes,1,2,14801,0.4222,-0.7370,,-0.1574,-0.1574,-0.2716,0.8312,0.9453,DOWN,DOWN,ORF
IFN,primary,GBP5,yes,2,3,"28362,34410",-1.6258,0.6400,-1.9040,-0.9633,-1.6258,-1.1957,0.3544,0.9453,DOWN,DOWN,ORF
IFN,primary,EIF2AK2,no,0,0,,,,,,,,,,NA,NA,
IFN,primary,ZBP1,yes,1,3,13828,0.8319,-0.5995,-1.0589,-0.2755,-0.5995,-0.4839,0.6763,0.9453,DOWN,DOWN,ORF
IFN,primary,STAT1,yes,3,3,"16813,22861,28909",0.1110,0.8237,0.4824,0.4723,0.4824,2.2952,0.1486,0.9028,UP,UP,ORF
IFN,primary,STAT2,yes,2,3,"11868,23964",-0.7041,-0.0491,-0.6695,-0.4742,-0.6695,-2.2285,0.1557,0.9028,DOWN,DOWN,ORF
IFN,primary,IRF1,yes,1,3,28953,-1.0291,-0.0439,0.3448,-0.2427,-0.0439,-0.5937,0.6129,0.9453,DOWN,DOWN,ORF
IFN,primary,IRF7,yes,2,3,"8364,29348",-0.1419,0.5423,0.4182,0.2729,0.4182,1.2966,0.3242,0.9453,UP,UP,ORF
IFN,primary,IRF9,no,0,0,,,,,,,,,,NA,NA,
IFN,primary,JAK2,yes,2,3,"6736,15210",1.8032,2.3683,1.2044,1.7919,1.8032,5.3324,0.03342,0.9028,UP,UP,ORF
IFN,primary,SOCS1,yes,1,2,1253,-0.4344,,-1.5564,-0.9954,-0.9954,-1.7743,0.3267,0.9453,DOWN,DOWN,ORF
IFN,primary,SOCS3,yes,1,3,12585,0.2987,-0.5995,3.7060,1.1351,0.2987,0.8656,0.478,0.9453,UP,UP,ORF
IFN,primary,B2M,yes,1,3,26941,-2.5564,2.2296,-3.1844,-1.1704,-2.5564,-0.6846,0.5643,0.9453,DOWN,DOWN,ORF
IFN,primary,TAP1,yes,2,3,"4277,34518",-1.9030,2.3537,-1.4717,-0.3403,-1.4717,-0.2516,0.8249,0.9453,DOWN,DOWN,ORF
IFN,primary,TAP2,yes,3,3,"3841,9889,15937",-0.5564,-3.0589,-0.1681,-1.2611,-0.5564,-1.3922,0.2985,0.9453,DOWN,DOWN,ORF
IFN,primary,PSMB8,yes,2,3,"16374,22422",0.3274,1.0575,-0.1330,0.4173,0.3274,1.2040,0.3518,0.9453,UP,UP,ORF
IFN,primary,PSMB9,yes,2,3,"25567,28889",0.9381,3.0522,1.7093,1.8999,1.7093,3.0757,0.09144,0.9028,UP,UP,ORF
IFN,primary,NLRC5,no,0,0,,,,,,,,,,NA,NA,
IFN,primary,HLA-A,yes,11,3,"1461,2020,4836,7509,8068,10884,14116,20164,26212,31702,33565",-1.5995,0.7975,-1.7370,-0.8463,-1.5995,-1.0285,0.4118,0.9453,DOWN,DOWN,DESCRIPTION_PREFIX
IFN,primary,HLA-B,yes,1,3,24124,-1.5564,2.3277,-2.1203,-0.4497,-1.5564,-0.3216,0.7783,0.9453,DOWN,DOWN,DESCRIPTION_PREFIX
IFN,primary,HLA-C,yes,3,3,"4255,7462,21857",-1.2515,1.0566,-1.2515,-0.4821,-1.2515,-0.6267,0.5949,0.9453,DOWN,DOWN,DESCRIPTION_PREFIX
IFN,primary,HLA-E,yes,1,3,22979,0.8718,-1.5564,1.7991,0.3715,0.8718,0.3713,0.746,0.9453,UP,UP,DESCRIPTION_PREFIX
IFN,primary,HLA-F,yes,2,3,"16933,22981",-1.8929,1.1540,-1.3251,-0.6880,-1.3251,-0.7355,0.5386,0.9453,DOWN,DOWN,DESCRIPTION_PREFIX
IFN,primary,TAPBP,yes,3,3,"7726,13774,30819",-1.3585,0.5460,-0.5601,-0.4575,-0.5601,-0.8286,0.4945,0.9453,DOWN,DOWN,ORF
IFN,primary,CXCL10,yes,1,2,17150,,6.5048,-0.4540,3.0254,3.0254,0.8695,0.5444,0.9453,UP,UP,ORF
IFN,primary,CXCL11,yes,1,3,21687,-3.6439,1.6960,2.9241,0.3254,1.6960,0.1614,0.8866,0.9523,UP,UP,ORF
IFN,primary,CXCL9,yes,1,1,32064,,,-0.1361,-0.1361,-0.1361,,,,DOWN,DOWN,ORF
IFN,primary,CCL5,yes,1,1,26892,,,-0.8625,-0.8625,-0.8625,,,,DOWN,DOWN,ORF
IFN,primary,CCL2,yes,1,3,3171,1.1763,0.6599,0.2510,0.6957,0.6599,2.5988,0.1216,0.9028,UP,UP,ORF
IFN,primary,IL6,yes,2,3,"23724,30154",-1.2176,1.2388,-0.7180,-0.2323,-0.7180,-0.3099,0.786,0.9453,DOWN,DOWN,ORF
IFN,primary,TNF,yes,1,3,9985,-0.4941,1.6088,-0.5778,0.1790,-0.4941,0.2502,0.8258,0.9453,DOWN,UP,ORF
IFN,primary,NFKB1,yes,1,3,13757,-0.6215,0.6960,-2.1844,-0.7033,-0.6215,-0.8448,0.4872,0.9453,DOWN,DOWN,ORF
IFN,primary,RELA,yes,1,3,2825,1.8520,-2.3959,2.5084,0.6548,1.8520,0.4260,0.7116,0.9453,UP,UP,ORF
IFN,primary,IL15,yes,3,3,"4994,11042,17090",0.9184,-0.3585,0.6323,0.3974,0.6323,1.0272,0.4123,0.9453,UP,UP,ORF
IFN,primary,IL32,no,0,0,,,,,,,,,,NA,NA,
IFN,primary,IFNB1,yes,1,2,28512,,4.4919,-3.0589,0.7165,0.7165,0.1898,0.8806,0.9523,UP,UP,ORF
IFN,primary,IFNG,yes,1,3,6958,-0.2688,-0.8110,-3.4739,-1.5179,-0.8110,-1.5325,0.2651,0.9453,DOWN,DOWN,ORF
IFN,primary,IFNAR1,yes,1,3,5619,-1.3585,-1.2176,-0.1844,-0.9202,-1.2176,-2.4861,0.1308,0.9028,DOWN,DOWN,ORF
IFN,primary,IFNAR2,yes,1,3,35947,0.0841,1.2449,-2.6439,-0.4383,0.0841,-0.3803,0.7403,0.9453,UP,DOWN,ORF
IFN,primary,IFNGR1,yes,1,3,7583,0.6415,0.1375,-2.2515,-0.4908,0.1375,-0.5501,0.6375,0.9453,UP,DOWN,ORF
IFN,primary,IFNGR2,yes,1,3,11755,-1.7859,1.0496,1.2869,0.1835,1.0496,0.1859,0.8696,0.9523,UP,UP,ORF
IFN,primary,IFNL1,no,0,0,,,,,,,,,,NA,NA,
