cohort	unit	n_patients	predictor	endpoint	n	rho	p	ci_lo	ci_hi	rho_adj_epithelial	p_adj_epithelial	n_adj	verdict
all_tumor	patient	20	CLDN4	CD8A	20	-0.24962406015037594	0.28851258969719185	-0.6203656608522898	0.16212377968566088	-0.10605534754156268	0.6656521684351934	20	UNDERPOWERED
all_tumor	array	20	CLDN4	CD274	80	-0.03534927332395687	0.7555765846650099	-0.22651239719731422	0.17272087981722525	0.06673105847210554	0.5590072773262518	80	NO_EVIDENCE
all_tumor	patient	20	CLDN4	CD274	20	-0.04060150375939849	0.8650468790077723	-0.4844653770409956	0.4042625725338491	0.08662930311398304	0.7243606715844872	20	UNDERPOWERED
all_tumor	array	20	CLDN4	ImmuneScore	80	-0.10344585091420534	0.36116957881574224	-0.30149713310632725	0.10304802702682701	0.09159977372256334	0.4220501851103664	80	NO_EVIDENCE
all_tumor	patient	20	CLDN4	ImmuneScore	20	-0.06165413533834586	0.7962393511384775	-0.49086467892025615	0.3928039037570165	0.10054764016728261	0.6821262079167212	20	UNDERPOWERED
all_tumor	array	20	CLDN4	epithelial_mean_z	80	0.392639474917956	0.0003152722158636703	0.17073359609940003	0.5875531045653661	-0.01395992939950122	0.902814456459737	80	NO_EVIDENCE
all_tumor	patient	20	CLDN4	epithelial_mean_z	20	0.4015037593984962	0.07931658537453376	-0.028027465096011017	0.7477207090974205	0.08370678366168549	0.7333313280293416	20	UNDERPOWERED
all_tumor	array	20	CD8A	ImmuneScore	80	0.7545007032348805	6.408733077263231e-16	0.6053844816870436	0.8499559660619802	0.7194517038049435	8.055770949003056e-14	80	OPPOSITE
all_tumor	patient	20	CD8A	ImmuneScore	20	0.77593984962406	5.796529340653612e-05	0.47666973598979867	0.9084096048113188	0.7379535788798637	0.0003099729265616885	20	UNDERPOWERED
MIXED	array	6	CLDN4	CD8A	24	-0.4756521739130434	0.01881128388890943	-0.6765924534693716	-0.12401847820049183	-0.2254838874107804	0.30091328869874406	24	UNDERPOWERED
MIXED	patient	6	CLDN4	CD8A	6	-0.7142857142857143	0.11078717201166179	-1.0	0.0909090909090909			6	UNDERPOWERED
MIXED	array	6	CLDN4	CD274	24	0.1269565217391304	0.5544163873133455	-0.29989174536724733	0.5299321816424323	0.6208414668744571	0.0015710789208017446	24	UNDERPOWERED
MIXED	patient	6	CLDN4	CD274	6	0.08571428571428573	0.8717434402332361	-1.0	1.0			6	UNDERPOWERED
MIXED	array	6	CLDN4	ImmuneScore	24	-0.03217391304347826	0.8813617120284872	-0.5238491368526395	0.38359488120026997	0.4552971444538666	0.029028781915292092	24	UNDERPOWERED
MIXED	patient	6	CLDN4	ImmuneScore	6	0.14285714285714288	0.7871720116618076	-0.8000000000000002	1.0			6	UNDERPOWERED
MIXED	array	6	CLDN4	epithelial_mean_z	24	0.7330434782608695	4.6125988226586124e-05	0.5122354196356802	0.8475105260959422	-0.04562834861935844	0.8362207902590888	24	UNDERPOWERED
MIXED	patient	6	CLDN4	epithelial_mean_z	6	0.6571428571428573	0.1561749271137024	0.0	1.0			6	UNDERPOWERED
MIXED	array	6	CD8A	ImmuneScore	24	0.5660869565217391	0.003932855685640969	0.14940675863437872	0.8352181075302669	0.45980985022758236	0.027278238143541928	24	UNDERPOWERED
MIXED	patient	6	CD8A	ImmuneScore	6	0.48571428571428577	0.3287230320699708	-0.9909090909090904	1.0			6	UNDERPOWERED
LUSC	array	4	CLDN4	CD8A	16	-0.047058823529411764	0.8626036946668733	-0.5832115192403798	0.5179640718562875	-0.29932270760292123	0.2784559933491327	16	UNDERPOWERED
LUSC	array	4	CLDN4	CD274	16	-0.09705882352941177	0.7206513082372035	-0.4828487031603991	0.3832589817214088	-0.19226131512644112	0.4924146592819897	16	UNDERPOWERED
LUSC	array	4	CLDN4	ImmuneScore	16	0.29411764705882354	0.26884655462289303	-0.2563804291883909	0.7151530896228532	0.038981098929926156	0.890298360373123	16	UNDERPOWERED
LUSC	array	4	CLDN4	epithelial_mean_z	16	-0.3588235294117647	0.17230386289263253	-0.7721158281805843	0.24321133878609108	0.4317764814608133	0.10802508453310072	16	UNDERPOWERED
LUSC	array	4	CD8A	ImmuneScore	16	0.8529411764705882	2.679074057724726e-05	0.5342711924728075	0.9850768413127243	0.8137673880028159	0.00022307856475296852	16	UNDERPOWERED
