cohort	sample_id	TACSTD2_RNA	TACSTD2_protein	xCell_T_cell_CD8+	xCell_immune_score	CIBERSORT_T_cell_CD8+	ESTIMATE_ImmuneScore	WES_purity	WGS_purity	ESTIMATEScore	ESTIMATE_TumorPurity_Yoshihara	ESTIMATE_StromalScore	xCell_stroma_score	xCell_microenvironment_score
LUAD	C3N-00547	11.5618	26.1174709962122	2.08016e-18	0.02155594	0.095989376	6623.462	0.32	0.2825	13165.204	-0.8230101166652019	6541.742	0.03762764	0.05918358
LUAD	C3N-00549	7.393	25.2510764671596	0.06654533	0.04436355	0.11012975	4096.151	0.66	0.64	9305.428	-0.3895286480279748	5209.277	0.01013866	0.05450221
LUAD	C3N-00550	13.0116	26.8347465916912	0.02647286	0.1008045	0.199273386	8281.054	0.48	0.32	14945.097	-0.9418042404470334	6664.043	0.06144769	0.1622522
LUAD	C3N-00551	11.7716	26.4985114563669	0.0	0.07689126	0.145992839	8248.138	0.27	0.18	16222.37	-0.9879574812781244	7974.233	0.06670413	0.1435954
LUAD	C3N-00552	12.4116	26.7128927877548	0.0004545691	0.1310824	0.0702072	9182.698	0.35	0.36	16903.029	-0.9984637702323436	7720.331	0.03385335	0.1649357
LUAD	C3N-00556	12.3415	26.9155310565091	0.01683008	0.1007938	0.175439114	9126.827	0.26	0.185	18525.42	-0.9833546726157549	9398.593	0.1077685	0.2085623
LUAD	C3N-00559	12.1016	26.5091858483273	0.03885995	0.07752763	0.168639889	8231.303	0.43	0.33	15376.807	-0.9612021703725971	7145.504	0.06509796	0.1426256
LUAD	C3N-00560	12.0115	26.5673913701749	0.002327858	0.01041601	0.396179414	7477.095	0.52	0.4275	13372.978	-0.8399488284622687	5895.884	0.0223734	0.03278941
LUAD	C3N-00572	11.5316	26.5738971331982	0.02125093	0.1224114	0.103443986	8704.862	0.28	0.325	15296.427	-0.9578806882084745	6591.564	0.04116672	0.1635781
LUAD	C3N-00574	12.6315	26.8454877926494	0.0	0.02446137	0.087449832	8127.54	0.25	0.35	16052.431	-0.9837908740577224	7924.892	0.06544012	0.08990149
LUAD	C3N-00578	13.1215	26.9185258624351	0.003293181	0.05850166	0.07521227	8004.16	0.56	0.333	15640.257	-0.9711481813267564	7636.097	0.07860367	0.1371053
LUAD	C3N-00579	12.4415	26.3910204373601	0.02969392	0.0746303	0.132241838	8711.774	0.35	0.355	15887.077	-0.9791490701671071	7175.303	0.07627829	0.1509086
LUAD	C3N-00580	11.5516	26.5697667633428	0.01937581	0.03544304	0.15878486	7017.657	0.74	0.42	13050.08	-0.8132940537850324	6032.423	0.02584804	0.06129108
LUAD	C3N-00704	13.1416	27.0030310847018	0.06595701	0.08505011	0.30788432	8007.408	0.34	0.22	14377.142	-0.9105400753717816	6369.734	0.04084421	0.1258943
LUAD	C3N-00737	9.6116	25.5391901396057	0.1222861	0.2272532	0.1729654214	9145.274	0.25	0.235	16649.775	-0.9957146082627498	7504.5	0.05958245	0.2868356
LUAD	C3N-00738	10.0417	26.2357167277402	0.068749	0.1265715	0.26613977	9494.847	0.19	0.1	18781.094	-0.9758447650131747	9286.247	0.2299604	0.3565318
LUAD	C3N-00959	12.9916	27.0226898639629	0.01872918	0.02236945	0.05254911	7461.782	0.32	0.3	14149.574	-0.8962246270886478	6687.792	0.112118	0.1344874
LUAD	C3N-01016	12.0819	27.0279561497274	0.008436138	0.03600047	0.10023341	7215.226	0.46	0.4	14572.491	-0.9220189573040165	7357.264	0.04706705	0.08306752
LUAD	C3N-01021	12.4115	27.1355975789159	1.805988e-18	0.02223326	0.093600035	7849.283	0.35	0.3375	16439.282	-0.992382386579844	8589.999	0.1818013	0.2040345
LUAD	C3N-01023	9.9818	25.6930171060202	0.03676157	0.09152551	0.102765821	8770.69	0.35	0.275	16180.66	-0.9869916557947809	7409.97	0.04900866	0.1405342
LUAD	C3N-01024	12.9616	26.8927942662837	0.006939329	0.03972786	0.0588717	6950.055	0.41	0.415	13567.619	-0.8551084369198126	6617.564	0.07902771	0.1187556
LUAD	C3N-01030	13.6915	27.4740237747131	0.01917851	0.1386716	0.157003227	8697.712	0.32	0.32	17284.759	-0.9999998219947247	8587.047	0.07221346	0.2108851
LUAD	C3N-01071	14.0214	27.5601979144961	0.02606857	0.08324134	0.21212141	8123.593	0.25	0.106	14452.991	-0.915086470769875	6329.398	0.0688663	0.1521076
LUAD	C3N-01072	12.1816	26.3413097500139	0.04147871	0.1253612	0.15726247	8166.396	0.4	0.405	16075.028	-0.9843802600192347	7908.633	0.1030868	0.228448
LUAD	C3N-01074	11.6716	26.499659418271	0.0	0.01974747	0.096662599	6978.484	0.4	0.4025	13350.354	-0.8381420396811886	6371.87	0.06063303	0.08038051
LUAD	C3N-01405	12.2116	26.7489826417822	0.07239694	0.1204301	0.344660321	8478.652	0.26	0.2625	14940.711	-0.9415876196115742	6462.058	0.03799043	0.1584205
LUAD	C3N-01410	11.1117	26.1161333576505	0.0	0.0334201	0.1015175637	7393.52	0.38	0.3975	14369.46	-0.9100733114838008	6975.94	0.01897692	0.05239703
LUAD	C3N-01413	11.3117	26.3264967081033	0.0291269	0.1047151	0.107477413	8952.236	0.27	0.1325	16866.737	-0.9981544291724672	7914.501	0.0930182	0.1977333
LUAD	C3N-01414	11.9317	26.7515913809958	1.304253e-18	0.002828016	0.110999568	7302.268	0.24	0.31	14233.211	-0.9016030077124801	6930.943	0.07952882	0.08235684
LUAD	C3N-01415	12.3615	26.6171940000924	0.0	0.09311556	0.1011137125	8236.775	0.26	0.184	15981.227	-0.9818629384538138	7744.452	0.0646168	0.1577324
LUAD	C3N-01416	12.4915	26.8696190719753	0.0275743	0.1356237	0.23290655	9556.236	0.34	0.125	18280.292	-0.9892545465640847	8724.056	0.1174594	0.2530831
LUAD	C3N-01488	12.3316	26.6494486981806	0.004657962	0.1223354	0.133870432	9111.416	0.35	0.21	18039.445	-0.9938041224750299	8928.03	0.1067029	0.2290383
LUAD	C3N-01489	11.7917	26.3940913767727	0.0201398	0.1643667	0.224695418	9632.214	0.23	0.12	18176.256	-0.9913718222202573	8544.042	0.1026118	0.2669785
LUAD	C3N-01799	12.1817	26.0516642217108	0.06156367	0.2967969	0.086888868	9447.079	0.27	0.075	16839.898	-0.9979074413976985	7392.818	0.09275599	0.3895529
LUAD	C3N-01823	10.6917	26.1108391962675	0.02012835	0.1052254	0.145297079	8443.056	0.23	0.185	15867.117	-0.9785496802690662	7424.061	0.05611713	0.1613425
LUAD	C3N-01842	12.0617	26.0170004351876	0.001026559	0.02851079	0.1174142	7193.706	0.46	0.2925	13950.124	-0.8828551464349677	6756.418	0.02841775	0.05692854
LUAD	C3N-02000	12.8116	26.4917313388006	0.03299996	0.09431262	0.066900382	8114.258	0.28	0.33	15778.395	-0.9757838171727826	7664.137	0.08438092	0.1786935
LUAD	C3N-02002	11.9116	26.1204390723731	0.009062779	0.04907294	0.12112623	7394.305	0.28	0.285	13508.899	-0.8506079989694235	6114.595	0.08549534	0.1345683
LUAD	C3N-02003	11.2117	26.146540329303	0.1113352	0.273584	0.400990755	10593.123	0.26	0.1575	18528.207	-0.9832802584580398	7935.085	0.03619046	0.3097745
LUAD	C3N-02067	12.6415	26.9582115992294	0.008581807	0.08169182	0.0758090509	7841.881	0.41	0.36	14409.942	-0.9125199945794339	6568.061	0.07618475	0.1578766
LUAD	C3N-02087	13.0315	26.9420696974986	0.01392226	0.235887	0.111305039	9956.644	0.37	0.105	18392.386	-0.9867150983952313	8435.742	0.03121572	0.2671028
LUAD	C3N-02089	10.8442	26.4688129447587	4.0648109999999996e-20	0.02964308	0.150037036	7793.194	0.27	0.27	12817.245	-0.7929367032220686	5024.051	0.0	0.02964308
LUAD	C3N-02145	12.7715	26.7908104317942	0.00617734	0.05863036	0.1431923	7808.154	0.33	0.3375	15996.528	-0.9822862872198707	8188.374	0.09277254	0.1514029
LUAD	C3N-02149	11.7616	26.5416323210961	1.179804e-20	0.03793382	0.098730667	7484.389	0.19	0.1825	14715.738	-0.9299550281498943	7231.349	0.03851218	0.07644601
LUAD	C3N-02155	10.8117	26.1819552128079	0.0	2.310097e-18	0.152323113	5976.38	0.41	0.3925	10937.092	-0.596897911269756	4960.712	0.02832118	0.02832118
LUAD	C3N-02158	11.5416	26.5775241692325	0.03136925	0.07076349	0.154302301	8115.207	0.25	0.305	14272.326	-0.9040717572117142	6157.119	0.03669825	0.1074617
LUAD	C3N-02379	12.0515	26.4819589755091	0.01520101	0.07925115	0.131554613	8719.779	0.38	0.225	15748.549	-0.9748161582082957	7028.77	0.02368963	0.1029408
LUAD	C3N-02380	12.2216	26.3675140952871	0.0	0.04213731	0.040562214	6803.122	0.24	0.26	12511.195	-0.7647731513273611	5708.073	0.06329441	0.1054317
LUAD	C3N-02421	12.2917	26.6856073051098	0.006294657	0.06076322	0.07369344	7897.621	0.4	0.37	16303.222	-0.9897241653435682	8405.602	0.1058324	0.1665956
LUAD	C3N-02422	14.0318	28.1376722108752	0.006208861	0.03264588	0.07344884	7126.44	0.31	0.3975	13548.471	-0.8536478537824594	6422.031	0.0843684	0.1170143
LUAD	C3N-02423	12.5616	26.4769397014616	0.05175229	0.1654744	0.23890739	9819.911	0.3	0.175	18468.937	-0.9848273108439621	8649.026	0.04634144	0.2118158
LUAD	C3N-02424	11.8217	26.0962937217337	0.007568773	0.259218	0.149237578	9810.899	0.25	0.12	17483.052	-0.9995588752098361	7672.153	0.02713269	0.2863506
LUAD	C3N-02433	12.1316	26.3347786027872	0.03614289	0.1482313	0.14298772	8929.383	0.39	0.255	17243.656	-0.9999852207621592	8314.274	0.1289069	0.2771382
LUAD	C3N-02529	10.9717	25.8851870073018	0.06018185	0.1509108	0.22672667	9232.569	0.25	0.26	17062.861	-0.9994888308943163	7830.292	0.06314277	0.2140536
LUAD	C3N-02572	13.0816	27.014964530722	0.01291242	0.08586806	0.107502392	7861.555	0.36	0.3	15372.788	-0.9610392704881442	7511.233	0.06566452	0.1515326
LUAD	C3N-02582	12.6915	26.1363292863377	0.01600604	0.06139555	0.1044322	7622.619	0.32	0.425	14296.269	-0.9055682233464	6673.65	0.03112542	0.09252097
LUAD	C3N-02586	11.9716	26.3773347414507	0.02025831	0.04025235	0.188433417	7372.811	0.63	0.485	14226.86	-0.9011993564053419	6854.049	0.06218513	0.1024375
LUAD	C3N-02587	11.9016	26.3006687454979	0.03799289	0.152522	0.046744553	8542.659	0.49	0.49	14697.56	-0.9289706488961103	6154.9	0.01705899	0.169581
LUAD	C3N-02588	12.1115	26.769666119637	2.160139e-18	0.02073073	0.078316398	7087.149	0.22	0.22	13721.775	-0.8666201503202997	6634.625	0.02261135	0.04334208
LUAD	C3N-02729	12.5115	26.4879369074639	0.002186661	0.02423827	0.061332101	6676.307	0.49	0.49	13805.584	-0.8726928216931845	7129.276	0.08770533	0.1119436
LSCC	C3L-00081	12.8415	26.7774284896915	0.01281862	0.09399762	0.014038634	6236.282	0.5	0.556	13497.969	-0.8497633119083551	7261.688	0.006589214	0.1005868
LSCC	C3L-00415	13.7815	27.5192400274617	0.004489071	0.1688526	0.15404999	8259.383	0.29	0.185	13681.553	-0.8636590917472413	5422.17	0.00123776	0.1700904
LSCC	C3L-00445	11.5416	26.6555841844485	0.0	0.06698945	0.035290282	6793.207	0.6	0.41	14243.096	-0.9022297108511615	7449.889	0.04072475	0.1077142
LSCC	C3L-00568	12.6817	26.7965815431153	0.04856318	0.2021776	0.24707603	8672.287	0.26	0.27	17219.84	-0.9999601037905608	8547.554	0.07072601	0.2729036
LSCC	C3L-00603	9.092	24.8441245365842	0.03715093	0.08596306	0.341589576	7953.441	0.68	0.635	13811.225	-0.8730968260214983	5857.784	0.01271561	0.09867866
LSCC	C3L-00904	13.9819	27.0587721972649	0.05628502	0.157084	0.22216611	8722.277	0.42	0.3525	16289.01	-0.9894237128075425	7566.733	0.06655176	0.2236358
LSCC	C3L-00923	13.1417	27.1527471197643	0.07079929	0.3357365	0.289942432	10178.986	0.23	0.155	18576.954	-0.9819520910543931	8397.968	0.1271954	0.462932
LSCC	C3L-00927	14.0914	27.9490022214213	0.00337319	0.06646236	0.053928562	7639.183	0.64	0.645	13887.176	-0.8784779797439206	6247.993	0.007100941	0.0735633
LSCC	C3L-00965	9.8618	25.2915427307891	0.01035773	0.06858391	0.264769911	6566.936	0.42	0.4275	13094.623	-0.817081026743454	6527.687	0.04697642	0.1155603
LSCC	C3L-00993	13.4715	27.2785769043735	3.9716409999999997e-19	0.0305776	0.046117639	5587.678	0.39	0.4	10246.091	-0.5125897205175757	4658.413	1.125974e-20	0.0305776
LSCC	C3L-01000	11.1016	26.6232170098976	0.06094481	0.1913677	0.2649852	9179.497	0.37	0.3275	16667.937	-0.995957616596542	7488.44	0.1137749	0.3051426
LSCC	C3L-01285	10.1218	25.7294977480635	6.581039e-18	0.02096027	0.1131746	4336.494	0.84	0.82	8854.309	-0.32773080594993376	4517.815	0.04667786	0.06763813
LSCC	C3L-01455	12.7016	27.2679481152622	0.07859038	0.2202312	0.177431257	9967.585	0.23	0.135	18954.969	-0.9699516996862062	8987.384	0.1052005	0.3254317
LSCC	C3L-01606	12.7216	27.5426168602365	0.0	0.1297773	0.14385173	8359.364	0.27	0.254	15231.301	-0.9550917233733759	6871.937	0.06731895	0.1970963
LSCC	C3L-01663	13.6116	27.1794204148078	0.01520227	0.1128305	0.188632818	8316.293	0.3	0.2	16681.499	-0.9961344604028136	8365.206	0.08513357	0.1979641
LSCC	C3L-01838	14.0315	27.553647530023	0.0005333658	0.1146560608	0.078364303	8084.188	0.27	0.2275	17398.745	-0.9998498654953837	9314.557	0.1145237299	0.2291797907
LSCC	C3L-01884	13.7416	28.1758984790857	0.001505387	0.05823093	0.100457118	7808.358	0.5	0.35	13975.519	-0.8845997015319268	6167.161	0.0102592	0.06849013
LSCC	C3L-02127	13.6518	27.0268816880587	1.68424e-18	0.06457264	0.171435904	7031.187	0.69	0.5	13944.334	-0.8824556737366137	6913.147	0.004567036	0.06913967
LSCC	C3L-02130	14.0615	26.7570214392823	0.01463708	0.1539692	0.209970486	8524.22	0.28	0.1625	17123.396	-0.9997334481740342	8599.175	0.1235793	0.2775484
LSCC	C3L-02163	14.0515	27.8257814837125	0.0	0.01956884	0.174845968	4994.674	0.62	0.6575	10298.584	-0.5191905227458126	5303.91	0.00768883	0.02725767
LSCC	C3L-02164	10.4817	25.9053068963884	0.111307	0.6820522	0.098547939	10896.868	0.18		20711.786	-0.8758294826383888	9814.918	0.1912756	0.8733278
LSCC	C3L-02168	12.1016	26.4578545128229	0.0	0.1395307	0.11525588	7909.089	0.34	0.3425	16521.313	-0.9937938334673666	8612.224	0.04927872	0.1888094
LSCC	C3L-02170	12.5417	26.7488149076604	0.0252511	0.259718	0.133100676	9744.675	0.22		18952.73	-0.9700316092856931	9208.055	0.1700686	0.4297866
LSCC	C3L-02349	14.2015	27.0957119760776	0.005143074	0.1179758	0.243450982	8108.208	0.87	0.278	14064.607	-0.8906224042681977	5956.399	0.04028557	0.1582614
LSCC	C3L-02358	13.5016	27.3892584040466	2.590862e-18	0.026396	0.112276062	6676.464	0.84	0.4875	13033.447	-0.8118710190168528	6356.983	0.04944466	0.07584066
LSCC	C3L-02546	13.0315	26.8487465909609	0.03197735	0.1571423	0.1481203	8965.244	0.39	0.22	17917.396	-0.9956357512947877	8952.152	0.1106934	0.2678357
LSCC	C3L-02552	12.3716	26.8128934813492	0.03630093	0.2160659	0.094370076	9414.895	0.22	0.06	19400.186	-0.9519922832538662	9985.291	0.1916268	0.4076927
LSCC	C3L-02619	13.2419	27.1433787935814	0.0	0.1452592	0.03802996	8135.902	0.24	0.2575	15731.97	-0.9742705538918869	7596.068	0.03283233	0.1780915
LSCC	C3L-02625	13.1016	27.6342723405386	0.08203321	0.3294276	0.21887288	9750.545	0.31	0.3025	16788.999	-0.9973965042739377	7038.454	0.02435892	0.3537866
LSCC	C3L-02627	14.9216	28.5358770289218	0.01223363	0.08624878	0.220044287	7980.1	0.72	0.555	13563.739	-0.854813021219774	5583.639	0.02127603	0.1075248
LSCC	C3L-02629	11.8216	25.5837900594977	0.0958579	0.2531778	0.228614529	9894.326	0.25	0.12	19634.618	-0.9408965134428718	9740.292	0.1815792	0.434757
LSCC	C3L-02646	11.7917	26.6420613091089	2.1535809999999997e-19	0.06908876	0.07900889	7414.18	0.35	0.225	14140.28	-0.8956186106376093	6726.1	0.02986628	0.09895503
LSCC	C3L-02648	13.7216	27.9008440004914	0.001127282	0.0739786	0.1820035312	8056.701	0.46	0.2175	15131.112	-0.9506308848131835	7074.411	0.02501463	0.09899323
LSCC	C3L-02649	10.4217	25.4021114233931	0.01002825	0.06980984	0.0630064	6100.622	0.56	0.48	11481.771	-0.6590701108384106	5381.149	0.02966195	0.09947179
LSCC	C3L-02650	13.6215	27.4005642384607	0.004594769	0.2502484	0.154467291	9412.736	0.29	0.15	17287.191	-0.9999995452705379	7874.455	0.06398921	0.3142376
LSCC	C3L-02660	11.2918	26.4088979404822	0.02531196	0.1459157	0.188477928	8922.612	0.26	0.085	17842.089	-0.9966065263937348	8919.477	0.1921382	0.3380539
LSCC	C3L-02665	12.684	26.2585808803596	0.0	0.080431	0.13944534	8264.179	0.39	0.3975	14392.878	-0.9114925905884161	6128.698	0.01103725	0.09146825
LSCC	C3L-02669	13.1216	26.769187383016	0.01270514	0.1108806	0.185025092	7683.01	0.39	0.405	15346.513	-0.9599660418978644	7663.502	0.04869754	0.1595781
LSCC	C3L-02891	12.3716	26.9051725243913	0.01518391	0.2667599	0.10545604	9378.037	0.22	0.26	17748.73	-0.9976409301256444	8370.693	0.09071296	0.3574729
LSCC	C3L-02951	12.7015	26.5273828312014	0.0	0.2919371	0.0335957	9265.965	0.25	0.14	18241.769	-0.9900654668525474	8975.804	0.06690673	0.3588438
LSCC	C3L-02963	12.5318	27.0133865895278	0.028489	0.3081372	0.070577358	9544.678	0.24	0.1	18617.479	-0.9808096664779338	9072.8	0.1240031	0.4321403
LSCC	C3L-02964	12.9517	27.3577979540206	0.03525004	0.1822481	0.245411047	9473.423	0.28	0.275	17092.601	-0.9996188709465023	7619.178	0.02689073	0.2091389
LSCC	C3L-02968	12.2616	26.5540528818581	0.02717178	0.3228638	0.14776261	9705.244	0.28	0.305	17072.214	-0.9995317808269717	7366.97	0.04172929	0.3645931
LSCC	C3L-02969	13.0616	27.2956506326386	0.1550024	0.339985	0.60558652	10334.539	0.39		17970.941	-0.9948714956923553	7636.402	0.03967683	0.3796619
LSCC	C3L-03272	14.5216	27.1699492098038	0.02298511	0.1454767	0.26386772	7818.031	0.37		13634.483	-0.8601556746116327	5816.451	0.005410782	0.1508875
