n	rho	p	rho_xy	rho_xz	rho_yz	method	cohort	predictor	target	adjust	primary	rho_rank_residual	p_rank_residual	q_primary_per_adjust
107	-0.0906393331087031	0.35547167842872895	-0.12704104000009828	0.08945613286460964	-0.7235297274447102	partial_spearman_formula	LSCC	TACSTD2_RNA	xCell_immune_score	WES_purity	True	-0.08048766748899384	0.40986560276839845	0.6102680941940095
104	-0.06630649531244304	0.5057578295279377	-0.10848801201679878	0.08621821057642638	-0.8223767596649962	partial_spearman_formula	LSCC	TACSTD2_RNA	xCell_immune_score	WGS_purity	True	-0.07265549983996587	0.46358410966299485	0.7020362869562128
108	-0.007842864517231932	0.9360976241429956	-0.05462205889023202	-0.1763220821782084	0.26759902540642316	partial_spearman_formula	LSCC	TACSTD2_protein	CIBERSORT_T_cell_CD8+	ESTIMATEScore	False	0.002791353472996275	0.9771269060193876	
107	-0.0497769555856385	0.6123492431476698	-0.05603571787208432	0.06638094244546083	-0.0996647792811757	partial_spearman_formula	LSCC	TACSTD2_protein	CIBERSORT_T_cell_CD8+	WES_purity	False	-0.04946217598307177	0.6128980004862299	
104	-0.06973621508405387	0.4839518938901479	-0.09131038971116902	0.09360103956096243	-0.25909071592316035	partial_spearman_formula	LSCC	TACSTD2_protein	CIBERSORT_T_cell_CD8+	WGS_purity	False	-0.058977915288594904	0.5520388442519544	
108	0.2610154884021639	0.0066176744059961	-0.07111758933760134	-0.1763220821782084	0.9318928806196233	partial_spearman_formula	LSCC	TACSTD2_protein	ESTIMATE_ImmuneScore	ESTIMATEScore	False	0.27103756418683966	0.004550532830332349	
107	-0.03641873741482324	0.7109123562165618	-0.07314014773016712	0.06638094244546083	-0.7245001517362195	partial_spearman_formula	LSCC	TACSTD2_protein	ESTIMATE_ImmuneScore	WES_purity	False	-0.03216168028370462	0.7422610789239378	
104	0.03880436758781191	0.6971565585804974	-0.05822042035634269	0.09360103956096243	-0.8436257160953932	partial_spearman_formula	LSCC	TACSTD2_protein	ESTIMATE_ImmuneScore	WGS_purity	False	0.033585831644084074	0.7350124302859254	
108	0.02316210812789001	0.8128054687690568	-0.07950341046898066	-0.1763220821782084	0.5581847681587923	partial_spearman_formula	LSCC	TACSTD2_protein	xCell_T_cell_CD8+	ESTIMATEScore	True	0.0314956129069136	0.7462532708426011	0.9289205357360649
107	-0.061075405450289555	0.5339845824197583	-0.08224882501452267	0.06638094244546083	-0.3960785056466569	partial_spearman_formula	LSCC	TACSTD2_protein	xCell_T_cell_CD8+	WES_purity	True	-0.07594719698359582	0.436863576802707	0.6102680941940095
104	-0.0334561013331279	0.7372536489883695	-0.07385129729402629	0.09360103956096243	-0.47604716754734394	partial_spearman_formula	LSCC	TACSTD2_protein	xCell_T_cell_CD8+	WGS_purity	True	-0.023695721753974185	0.8112895339680962	0.8425755988438509
108	0.046699022231802785	0.6329026115320153	-0.1334324120914192	-0.1763220821782084	0.8803909800222927	partial_spearman_formula	LSCC	TACSTD2_protein	xCell_immune_score	ESTIMATEScore	True	0.028389874913067915	0.7705451148427203	0.8438701487093537
107	-0.12872354726068355	0.18849158658744533	-0.13668959031328984	0.06638094244546083	-0.7235297274447102	partial_spearman_formula	LSCC	TACSTD2_protein	xCell_immune_score	WES_purity	True	-0.13217343599992165	0.17474427551916602	0.5026442308998542
104	-0.08722635318921604	0.3809656420769445	-0.1263842953163342	0.09360103956096243	-0.8223767596649962	partial_spearman_formula	LSCC	TACSTD2_protein	xCell_immune_score	WGS_purity	True	-0.08796543262562681	0.37456463987954197	0.7020362869562128
110	-0.23599467979881797	0.013494264063560985	-0.2012312089611518	0.05455008577000485	0.3529021932691657	partial_spearman_formula	LUAD	TACSTD2_RNA	CIBERSORT_T_cell_CD8+	ESTIMATEScore	False	-0.245434258278295	0.009755218448975384	
108	-0.1747693986563158	0.07178506655640524	-0.17823739422296167	0.03604821851678253	-0.23476829246579384	partial_spearman_formula	LUAD	TACSTD2_RNA	CIBERSORT_T_cell_CD8+	WES_purity	False	-0.17434050701649087	0.07114296448955529	
104	-0.20184587521189892	0.04089363772745818	-0.1921321672154685	0.001744567575912578	-0.3148055791490374	partial_spearman_formula	LUAD	TACSTD2_RNA	CIBERSORT_T_cell_CD8+	WGS_purity	False	-0.21425370745759095	0.028963123125798136	
110	0.007850905236514414	0.9354243571005475	0.05322465393394027	0.05455008577000485	0.9190676915447558	partial_spearman_formula	LUAD	TACSTD2_RNA	ESTIMATE_ImmuneScore	ESTIMATEScore	False	0.008263643126028447	0.9317198451703141	
108	0.09470143039864894	0.331908885639525	0.06178623230707242	0.03604821851678253	-0.523267807406391	partial_spearman_formula	LUAD	TACSTD2_RNA	ESTIMATE_ImmuneScore	WES_purity	False	0.07536654377089942	0.4382086564517907	
104	0.09032384872238776	0.3642185830873402	0.06467530319905433	0.001744567575912578	-0.6842421195482001	partial_spearman_formula	LUAD	TACSTD2_RNA	ESTIMATE_ImmuneScore	WGS_purity	False	0.09156086631814787	0.35527834593807556	
110	-0.1165699673862542	0.22738767866973844	-0.08628152488174194	0.05455008577000485	0.38636481154381824	partial_spearman_formula	LUAD	TACSTD2_RNA	xCell_T_cell_CD8+	ESTIMATEScore	True	-0.11250366296237856	0.2419251012604607	0.6063671431193025
108	-0.062241577936853074	0.5241979993032163	-0.0688531168686402	0.03604821851678253	-0.2313367064743656	partial_spearman_formula	LUAD	TACSTD2_RNA	xCell_T_cell_CD8+	WES_purity	True	-0.06178161604010396	0.5253047993183735	0.6102680941940095
104	-0.10934942674032071	0.2715358629330435	-0.10663494384711415	0.001744567575912578	-0.23749599010134698	partial_spearman_formula	LUAD	TACSTD2_RNA	xCell_T_cell_CD8+	WGS_purity	True	-0.11081830790568656	0.26274620138083077	0.7020362869562128
110	-0.08209118838172827	0.39609844370510366	-0.006920196831153508	0.05455008577000485	0.7915019272817438	partial_spearman_formula	LUAD	TACSTD2_RNA	xCell_immune_score	ESTIMATEScore	True	-0.0635800103690012	0.5093287028158722	0.6337575099281658
108	0.013521745386281684	0.8900558928843941	-0.002114955450184269	0.03604821851678253	-0.40191831889180435	partial_spearman_formula	LUAD	TACSTD2_RNA	xCell_immune_score	WES_purity	True	0.006097154343746129	0.9500637252624629	0.8900558928843941
104	0.0008631700702658292	0.9930957451493816	-0.00026672427911190343	0.001744567575912578	-0.5621013747376172	partial_spearman_formula	LUAD	TACSTD2_RNA	xCell_immune_score	WGS_purity	True	0.010679611650485437	0.9143147189097754	0.9930957451493816
110	-0.08754371709085572	0.36536710927755883	-0.13349412798954083	-0.14875008452990102	0.3529021932691657	partial_spearman_formula	LUAD	TACSTD2_protein	CIBERSORT_T_cell_CD8+	ESTIMATEScore	False	-0.09441651826972929	0.3265283573938389	
108	-0.10755210345364277	0.27017380438880917	-0.1216668095687216	0.07415166222248326	-0.23476829246579384	partial_spearman_formula	LUAD	TACSTD2_protein	CIBERSORT_T_cell_CD8+	WES_purity	False	-0.1127973553593034	0.24511445869678855	
104	-0.10314653297588143	0.29982171069116886	-0.13414061666488852	0.11725916965981481	-0.3148055791490374	partial_spearman_formula	LUAD	TACSTD2_protein	CIBERSORT_T_cell_CD8+	WGS_purity	False	-0.11170383015043209	0.25892771933320535	
110	-0.12505523486176723	0.19509419821595475	-0.18544733223632306	-0.14875008452990102	0.9190676915447558	partial_spearman_formula	LUAD	TACSTD2_protein	ESTIMATE_ImmuneScore	ESTIMATEScore	False	-0.1247390843721119	0.1941474652228741	
108	-0.129346758913704	0.1842297706174355	-0.14872293196909506	0.07415166222248326	-0.523267807406391	partial_spearman_formula	LUAD	TACSTD2_protein	ESTIMATE_ImmuneScore	WES_purity	False	-0.1551821048520011	0.10878793040569282	
104	-0.11008443745043237	0.2683076232222951	-0.15995945801771047	0.11725916965981481	-0.6842421195482001	partial_spearman_formula	LUAD	TACSTD2_protein	ESTIMATE_ImmuneScore	WGS_purity	False	-0.10513176144244107	0.28817833189171077	
110	-0.2538957962452393	0.007721933511619175	-0.28904629073608734	-0.14875008452990102	0.38636481154381824	partial_spearman_formula	LUAD	TACSTD2_protein	xCell_T_cell_CD8+	ESTIMATEScore	True	-0.25065482496675157	0.008262200738336696	0.0308877340464767
108	-0.2606308080888176	0.006701010457478139	-0.2700168130699128	0.07415166222248326	-0.2313367064743656	partial_spearman_formula	LUAD	TACSTD2_protein	xCell_T_cell_CD8+	WES_purity	True	-0.256981989494801	0.007257195257372499	0.026804041829912556
104	-0.29112691944665137	0.0028500596926035863	-0.3086950091728564	0.11725916965981481	-0.23749599010134698	partial_spearman_formula	LUAD	TACSTD2_protein	xCell_T_cell_CD8+	WGS_purity	True	-0.29319321455243785	0.002523309498513379	0.020831709232034326
110	-0.3171871611591109	0.0007778215606959793	-0.3094335369564728	-0.14875008452990102	0.7915019272817438	partial_spearman_formula	LUAD	TACSTD2_protein	xCell_immune_score	ESTIMATEScore	True	-0.28235691905416677	0.002802435769502304	0.006222572485567834
108	-0.27158453845718405	0.004659385319917604	-0.277801594786933	0.07415166222248326	-0.40191831889180435	partial_spearman_formula	LUAD	TACSTD2_protein	xCell_immune_score	WES_purity	True	-0.26857964884201696	0.004946191180412438	0.026804041829912556
104	-0.27336168363991986	0.0052079273080085815	-0.29044062733383125	0.11725916965981481	-0.5621013747376172	partial_spearman_formula	LUAD	TACSTD2_protein	xCell_immune_score	WGS_purity	True	-0.25510508908567164	0.008961451717662137	0.020831709232034326
