n	rho	p	ci95_low	ci95_high	pearson_r	pearson_p	matrix	cohort	family	gene	n_genes_in_signature	signature_genes	q_bh
126	-0.07699137607799025	0.3915079860439206	-0.261548449763104	0.1272437750338489	-0.12523546658651458	0.16233479782488078	CRISPRGeneEffect	lung	NHEJ	LIG4			0.6621409154619892
126	-0.039304086989126366	0.6621409154619892	-0.20570143437529645	0.13785184252488278	-0.05246211219870906	0.5596114230206803	CRISPRGeneEffect	lung	NHEJ	XRCC4			0.6621409154619892
126	-0.05125459317585302	0.5686964580922266	-0.2368312543065895	0.13608747207204877	-0.07699186384954243	0.39150497658900274	CRISPRGeneEffect	lung	NHEJ	XRCC5			0.6621409154619892
126	0.05808773903262094	0.5182270220580889	-0.12777690267996705	0.24701187634399754	0.09513319664074045	0.28931282522333135	CRISPRGeneEffect	lung	NHEJ	XRCC6			0.6621409154619892
126	0.04103187101612299	0.64825798855346	-0.14837682890534326	0.2201045876505048	0.09250954951115375	0.3028789298653819	CRISPRGeneEffect	lung	NHEJ	NHEJ1			0.6621409154619892
126	-0.12973078365204352	0.1476625307613114	-0.310326777154944	0.05307598877519561	-0.11628739974786934	0.19472830433274663	CRISPRGeneEffect	lung	NHEJ	DCLRE1C			0.6621409154619892
126	0.10214023247094114	0.25508955113177006	-0.07273036618871928	0.2677918889341395	0.10677400453295116	0.2340481124018702	CRISPRGeneEffect	lung	NHEJ	PAXX			0.6621409154619892
126	-0.07473565804274465	0.4055732457137902	-0.2715431561563217	0.12198013701100606	-0.04662392630079188	0.6041663093287026	CRISPRGeneEffect	lung	STING	CGAS			0.540764327618387
126	0.07954105736782903	0.3759669774830883	-0.10551699345548558	0.26463782237666617	0.05091475704243714	0.5712657872089122	CRISPRGeneEffect	lung	STING	STING1			0.540764327618387
126	0.04623922009748782	0.6071567061831226	-0.13398041585623904	0.22543240549849713	0.025128050998990743	0.7800186789947328	CRISPRGeneEffect	lung	STING	TBK1			0.6071567061831226
126	0.10935133108361456	0.22288540537597365	-0.07972462501050674	0.29081674675424346	0.05077518807572446	0.5723225758874988	CRISPRGeneEffect	lung	STING	IRF3			0.540764327618387
126	-0.02243419572553431	0.80309401782919	-0.1988929455912714	0.16105897305966196	-0.023172082967441058	0.7967555361985647	CRISPRGeneEffect	lung	signature	sig_NHEJ	7.0	LIG4,XRCC4,XRCC5,XRCC6,NHEJ1,DCLRE1C,PAXX	0.80309401782919
126	0.049994750656167986	0.5782487343802212	-0.1352789114736198	0.23393260198448304	0.03586947538465664	0.6900777946725642	CRISPRGeneEffect	lung	signature	sig_STING	4.0	CGAS,STING1,TBK1,IRF3	0.80309401782919
98	-0.13547424593079968	0.18349848748915054	-0.3403155869571673	0.08911649198391607	-0.17454738170790302	0.08561745626973694	CRISPRGeneEffect	NSCLC	named	LIG4			0.2820011367355374
98	0.13177642190896977	0.19586210019395242	-0.07516510056475316	0.32862917988620677	0.1416104020826405	0.16425427071598822	CRISPRGeneEffect	NSCLC	named	STING1			0.2820011367355374
98	-0.10975524230310679	0.2820011367355374	-0.3299659458757401	0.110941983414194	-0.08385570111994696	0.4116888229092987	CRISPRGeneEffect	NSCLC	named	CGAS			0.2820011367355374
98	-0.13547424593079968	0.18349848748915054	-0.3403155869571673	0.08911649198391607	-0.17454738170790302	0.08561745626973694	CRISPRGeneEffect	NSCLC	NHEJ	LIG4			0.6422447062120269
98	-0.056124042869256416	0.5830713682275162	-0.2532806301887354	0.1517816572256017	-0.08570080430508895	0.4014387586111554	CRISPRGeneEffect	NSCLC	NHEJ	XRCC4			0.8162999155185225
98	-0.02696223756606672	0.7921376367444003	-0.23934736736167422	0.1902859482022816	-0.09546842607059297	0.3497361259569896	CRISPRGeneEffect	NSCLC	NHEJ	XRCC5			0.8254619194204601
98	0.022563102091820792	0.8254619194204601	-0.18936980627133482	0.24479804226808183	0.05876136489321897	0.5654663676139788	CRISPRGeneEffect	NSCLC	NHEJ	XRCC6			0.8254619194204601
98	0.07532722554813866	0.46101169960186134	-0.13250847140554034	0.278225934328012	0.1470547809329272	0.148469675377259	CRISPRGeneEffect	NSCLC	NHEJ	NHEJ1			0.8067704743032573
98	-0.19013828586729908	0.0607558394321319	-0.3885022793781215	0.021683345741745325	-0.17585995448896632	0.08325323955415695	CRISPRGeneEffect	NSCLC	NHEJ	DCLRE1C			0.42529087602492327
98	0.10065094453901523	0.32407612137257064	-0.09155398213709183	0.2847058786011772	0.07837327282528657	0.4430327117362763	CRISPRGeneEffect	NSCLC	NHEJ	PAXX			0.7561776165359982
98	-0.10975524230310679	0.2820011367355374	-0.3299659458757401	0.110941983414194	-0.08385570111994696	0.4116888229092987	CRISPRGeneEffect	NSCLC	STING	CGAS			0.2820011367355374
98	0.13177642190896977	0.19586210019395242	-0.07516510056475316	0.32862917988620677	0.1416104020826405	0.16425427071598822	CRISPRGeneEffect	NSCLC	STING	STING1			0.2611494669252699
98	0.14678448699067256	0.1492253921600543	-0.05243341116883619	0.3391965811492794	0.14906959086373728	0.14292684259232968	CRISPRGeneEffect	NSCLC	STING	TBK1			0.2611494669252699
98	0.14028141715917855	0.16828969329289992	-0.07647203237573612	0.34367335333729726	0.1484930165864961	0.14449681028385603	CRISPRGeneEffect	NSCLC	STING	IRF3			0.2611494669252699
98	-0.042403840636535774	0.6784514537255526	-0.23636544558344794	0.15810662223682545	-0.07378080604539089	0.47029064057998504	CRISPRGeneEffect	NSCLC	signature	sig_NHEJ	7.0	LIG4,XRCC4,XRCC5,XRCC6,NHEJ1,DCLRE1C,PAXX	0.6784514537255526
98	0.1445657925775746	0.15553821786782174	-0.07313576145215415	0.3466272021390225	0.1601831007156177	0.11512307875835116	CRISPRGeneEffect	NSCLC	signature	sig_STING	4.0	CGAS,STING1,TBK1,IRF3	0.3110764357356435
1164	-0.0824557755030958	0.004878446659846516	-0.1401060130600197	-0.022126749204162525	-0.13369518907415642	4.716930204875627e-06	CRISPRGeneEffect	all_CRISPR_lineage_resid	named	LIG4			0.014635339979539547
1164	0.06779049446667061	0.020721835170289426	0.008948913804293983	0.12597857286178787	0.04445963427643101	0.1295271930401456	CRISPRGeneEffect	all_CRISPR_lineage_resid	named	STING1			0.031082752755434137
1164	-0.018031705645040527	0.5388290199689556	-0.07771063326784948	0.040812536132465174	-0.030645217907032132	0.296180819886655	CRISPRGeneEffect	all_CRISPR_lineage_resid	named	CGAS			0.5388290199689556
1164	-0.0824557755030958	0.004878446659846516	-0.1401060130600197	-0.022126749204162525	-0.13369518907415642	4.716930204875627e-06	CRISPRGeneEffect	all_CRISPR_lineage_resid	NHEJ	LIG4			0.017074563309462804
1164	0.02474739294004097	0.3989265959636086	-0.03325618269312255	0.08270849713096518	-0.02617257086966019	0.37232076000335673	CRISPRGeneEffect	all_CRISPR_lineage_resid	NHEJ	XRCC4			0.5160105073756037
1164	-0.017512975037137623	0.5505729693832063	-0.07669206681946365	0.0432430182846518	-0.018084032047937963	0.5376513626988848	CRISPRGeneEffect	all_CRISPR_lineage_resid	NHEJ	XRCC5			0.5505729693832063
1164	0.022541332650234804	0.4422947206076603	-0.036226701686576754	0.08049024915313606	0.006761704598480508	0.8177445557641332	CRISPRGeneEffect	all_CRISPR_lineage_resid	NHEJ	XRCC6			0.5160105073756037
1164	-0.0381707153889644	0.1931344664388769	-0.09674506188494345	0.020328185321725898	-0.031959049546982345	0.2759476098951944	CRISPRGeneEffect	all_CRISPR_lineage_resid	NHEJ	NHEJ1			0.3379853162680346
1164	-0.10189802299829974	0.0004979974472404204	-0.1611207286791424	-0.04153708251537095	-0.08862959809834296	0.0024738307206873624	CRISPRGeneEffect	all_CRISPR_lineage_resid	NHEJ	DCLRE1C			0.0034859821306829426
1164	0.06642662003371787	0.023428429912093724	0.0063438426049005035	0.12647976160955898	0.06946482687609962	0.017774635935636583	CRISPRGeneEffect	all_CRISPR_lineage_resid	NHEJ	PAXX			0.05466633646155202
1164	-0.018031705645040527	0.5388290199689556	-0.07771063326784948	0.040812536132465174	-0.030645217907032132	0.296180819886655	CRISPRGeneEffect	all_CRISPR_lineage_resid	STING	CGAS			0.5388290199689556
1164	0.06779049446667061	0.020721835170289426	0.008948913804293983	0.12597857286178787	0.04445963427643101	0.1295271930401456	CRISPRGeneEffect	all_CRISPR_lineage_resid	STING	STING1			0.04144367034057885
1164	-0.09383671126833781	0.001350140302260841	-0.15305951162515777	-0.03427719753467336	-0.12493756113039721	1.9136923100625162e-05	CRISPRGeneEffect	all_CRISPR_lineage_resid	STING	TBK1			0.005400561209043364
1164	0.025241417380140005	0.3895771421443014	-0.03283432755874643	0.08422793973784708	0.010726703442603106	0.7146747526411359	CRISPRGeneEffect	all_CRISPR_lineage_resid	STING	IRF3			0.5194361895257352
1164	-0.04581068860903572	0.11826808837874385	-0.10230299959340526	0.011613805255994075	-0.07073642931769143	0.01578810881870195	CRISPRGeneEffect	all_CRISPR_lineage_resid	signature	sig_NHEJ	7.0	LIG4,XRCC4,XRCC5,XRCC6,NHEJ1,DCLRE1C,PAXX	0.2365361767574877
1164	-0.031953012714083184	0.27603837095782785	-0.09252579670428833	0.026961557854860433	-0.044137718138392304	0.13232879188353452	CRISPRGeneEffect	all_CRISPR_lineage_resid	signature	sig_STING	4.0	CGAS,STING1,TBK1,IRF3	0.27603837095782785
40	-0.3666041275797374	0.0199787423813123	-0.6001920127749469	-0.07935314027830011	-0.30478719805316196	0.055838420042812205	ScreenGeneEffect_HumagneCD	HumagneCD	named_HumagneCD	PRKDC			0.0399574847626246
40	-0.43939962476547845	0.00455749705053516	-0.6866848841560753	-0.13567539140137258	-0.4071055540066681	0.009130480990696337	ScreenGeneEffect_HumagneCD	HumagneCD	named_HumagneCD	LIG4			0.01822998820214064
40	-0.07748592870544091	0.6346161103050864	-0.4002660256818018	0.25367243921210153	-0.06029399242263257	0.7116975540567516	ScreenGeneEffect_HumagneCD	HumagneCD	named_HumagneCD	STING1			0.8461548137401151
40	0.004878048780487806	0.9761680748807198	-0.3317727553100732	0.36270256001041573	0.004639164228726508	0.9773348468785297	ScreenGeneEffect_HumagneCD	HumagneCD	named_HumagneCD	CGAS			0.9761680748807198
5							ScreenGeneEffect_HumagneCD	HumagneCD_lung	named_HumagneCD	PRKDC			
5							ScreenGeneEffect_HumagneCD	HumagneCD_lung	named_HumagneCD	LIG4			
5							ScreenGeneEffect_HumagneCD	HumagneCD_lung	named_HumagneCD	STING1			
5							ScreenGeneEffect_HumagneCD	HumagneCD_lung	named_HumagneCD	CGAS			
2							ScreenGeneEffect_HumagneCD	HumagneCD_NSCLC	named_HumagneCD	PRKDC			
2							ScreenGeneEffect_HumagneCD	HumagneCD_NSCLC	named_HumagneCD	LIG4			
2							ScreenGeneEffect_HumagneCD	HumagneCD_NSCLC	named_HumagneCD	STING1			
2							ScreenGeneEffect_HumagneCD	HumagneCD_NSCLC	named_HumagneCD	CGAS			
