lineage	gene	n	rho	p	q_bh
CNS/Brain	STING1	100	0.22822698485275508	0.022382946134714827	0.07460982044904942
Lymphoid	STING1	186	0.12819823013348794	0.08119275259267518	0.23197929312192908
Myeloid	STING1	74	0.12960522011683626	0.271081687505215	0.6392858269967105
Head and Neck	STING1	74	0.1252425027767493	0.28767862214851975	0.6392858269967105
Skin	STING1	120	0.0805738882800097	0.3816676765523619	0.7633353531047238
Kidney	STING1	52	0.07201553863884567	0.6119113248923896	0.8534184330822006
Liver	STING1	27	0.09983208786744113	0.6202914880989291	0.8534184330822006
Bladder/Urinary Tract	STING1	37	-0.07467994310099572	0.6604562522795064	0.8534184330822006
Fibroblast	STING1	39	-0.06498633498219608	0.6942815969968367	0.8534184330822006
Soft Tissue	STING1	76	0.03722844303845439	0.7495127545387041	0.8534184330822006
Biliary Tract	STING1	44	0.048907681465821	0.7525595728779046	0.8534184330822006
Uterus	STING1	43	-0.04847844144076116	0.7575432470447544	0.8534184330822006
Breast	STING1	70	0.03035604933951535	0.8030039181235277	0.8534184330822006
Esophagus/Stomach	STING1	77	0.02239894840811326	0.8466775404746459	0.8534184330822006
Bone	STING1	55	-0.025494371483090687	0.8534184330822006	0.8534184330822006
