hmdb	metabolite	sensor	annotation	n	mean_delta	median_delta	p_w	n_high_gt_low	n_low_gt_high
HMDB0000089	Cytidine	SLC29A1	Transporter	61	0.000652174431679435	0.0003900687313194372	1.464270504970189e-06	48	13
HMDB0000050	Adenosine	ADORA1	Receptor	20	0.00018520474214352693	0.00015065017341271816	1.9073486328125e-06	20	0
HMDB0000517	L-Arginine	SLC7A2	Transporter	27	0.0002791568426949557	0.00025475135922134045	2.041459083557129e-06	24	3
HMDB0000641	L-Glutamine	SLC38A5	Transporter	59	0.0060656717332526165	0.003205465238072953	2.38778017561117e-06	44	15
HMDB0000262	Thymine	SLC29A2	Transporter	54	0.0009697229401275137	0.0004347970312032985	2.6417340492319636e-06	42	12
HMDB0000042	Acetic acid	FFAR2	Receptor	38	0.0001251750106279224	5.009091505996464e-05	2.804496034514159e-06	34	4
HMDB0000806	Myristic acid	FFAR4	Receptor	26	0.0012955180087737491	0.0002316445158606451	3.2782554626464844e-06	24	2
HMDB0001220	Prostaglandin E2	PTGER3	Receptor	30	0.00032814921244036594	0.00016238155957841633	3.7904828786849976e-06	28	2
HMDB0011134	5-HETE	TRPV1	Receptor; Channel	45	0.00015748902756888475	7.051852195721691e-05	4.043553758492635e-06	38	7
HMDB0001361	Carbon monoxide	GUCY1B1	Enzyme	25	0.0004908217423126724	0.00025890153327263587	4.172325134277344e-06	21	4
HMDB0000112	gamma-Aminobutyric acid	SLC6A13	Transporter	18	0.0001533969842571191	9.264715794828318e-05	7.62939453125e-06	18	0
HMDB0000101	Deoxyadenosine	SLC29A2	Transporter	35	0.0010270739257964233	0.00019020600630091872	9.672658052295446e-06	29	6
HMDB0000131	Glycerol	AQP3	Receptor	33	0.013904207675813546	0.011070343978679316	1.0203570127487183e-05	30	3
HMDB0000043	Betaine	SLC6A12	Transporter	24	0.00016771401922946848	0.00010042833487475966	1.049041748046875e-05	21	3
HMDB0001032	Dehydroepiandrosterone sulfate	PPARG	Nuclear Receptor	46	0.0017824924652067931	0.0005091193991491913	1.2341703012452854e-05	37	9
HMDB0001085	Leukotriene B4	LTB4R2	Receptor	44	0.0008872161957557186	0.0002337424286049574	1.2656838748625887e-05	35	9
HMDB0001509	20-Hydroxy-leukotriene B4	LTB4R	Receptor	49	0.00022179304008538997	5.450922490757176e-05	1.3585622184564272e-05	39	10
HMDB0000089	Cytidine	SLC29A2	Transporter	53	0.00029570790593743486	0.00017266323324291384	1.5908154103364825e-05	40	13
HMDB0000067	Cholesterol	CD36	Receptor; Transporter	25	-0.0017595174826750902	-0.00023915164571580851	1.8298625946044922e-05	3	22
HMDB0000641	L-Glutamine	SLC43A1	Transporter	59	0.0033746696994183976	0.001906533383573091	1.9359344968173726e-05	43	16
HMDB0000112	gamma-Aminobutyric acid	KCTD16	Channel	25	0.0002926259410862039	0.00013459055991371673	2.2113323211669922e-05	22	3
HMDB0000300	Uracil	SLC29A2	Transporter	54	0.0003977838554867507	0.00019179242111803192	2.803456286208727e-05	43	11
HMDB0000641	L-Glutamine	SLC7A6	Transporter	60	0.015454280348083053	0.004905041410944459	2.9925976692830513e-05	44	16
HMDB0000112	gamma-Aminobutyric acid	SLC6A11	Transporter	16	9.135506559201749e-05	2.9009461568901755e-05	3.0517578125e-05	16	0
HMDB0001498	myo-Inositol 1,4,5-trisphosphate	ITPR3	Receptor	30	-0.0012750089593442844	-0.0004237504065247418	3.904104232788086e-05	7	23
HMDB0000641	L-Glutamine	SLC38A7	Transporter	56	0.0018722172108395203	0.0008699237675117465	4.078034957915308e-05	42	14
HMDB0000641	L-Glutamine	SLC3A2	Transporter	61	0.05004156171075411	0.03489198930642115	7.681749169127943e-05	44	17
HMDB0000961	Farnesyl pyrophosphate	SUCNR1	Receptor	28	0.0010558904527334337	0.00027463399495981726	8.20159912109375e-05	23	5
HMDB0000641	L-Glutamine	SLC38A1	Transporter	61	0.05062579943510736	0.030799148035803192	8.659044667939345e-05	44	17
HMDB0003125	Hydrogen peroxide	TRPM2	Receptor	24	0.0006346188536707114	0.0004115406464633783	9.083747863769531e-05	21	3
HMDB0001419	24-Hydroxycholesterol	NR1H2	Receptor	49	0.0014491371441689284	0.001184456341776507	0.00011545008644375798	37	12
HMDB0001498	myo-Inositol 1,4,5-trisphosphate	ITPR1	Receptor	31	-0.0020252884087350433	-0.0009616229309212421	0.00011839065700769424	8	23
HMDB0000517	L-Arginine	AVPR2	Receptor	15	0.00012593656294117604	4.5389430088315014e-05	0.0001220703125	14	1
HMDB0001032	Dehydroepiandrosterone sulfate	PPARA	Nuclear Receptor	48	0.0023376740825551755	0.0008729874908094363	0.00012686883838597396	37	11
HMDB0015531	Iron	TFRC	Receptor	64	0.008641838288867528	0.0038072939509315225	0.00014169527905898114	46	18
HMDB0001498	myo-Inositol 1,4,5-trisphosphate	ITPR2	Receptor	31	-0.0019749392425429347	-0.0013418616585341866	0.0001450907438993454	8	23
HMDB0000641	L-Glutamine	SLC7A5	Transporter	60	0.03638683416439784	0.007241968408271831	0.00016381050775077287	44	16
HMDB0000641	L-Glutamine	SLC1A5	Transporter	60	0.012882761036429732	0.006984027989044143	0.00016870899841559241	44	16
HMDB0015531	Iron	SLC40A1	Transporter	60	0.004292538531287114	0.001422314968336837	0.00017892220448505292	44	16
HMDB0002103	27-Hydroxycholesterol	NR1H2	Receptor	56	0.00608275501118596	0.003579664607132979	0.00018104027740420642	40	16
HMDB0015531	Iron	TFR2	Receptor	53	0.00033629815822491777	0.00038290829275149704	0.0002042228404726032	39	14
HMDB0001032	Dehydroepiandrosterone sulfate	PPARD	Receptor	47	0.0021471110551813002	0.0007636976942443825	0.00021345116887516724	36	11
HMDB0002103	27-Hydroxycholesterol	GPR183	Receptor	56	0.010692659174686859	0.007515899314432177	0.00024189847519740843	40	16
HMDB0000112	gamma-Aminobutyric acid	GABRB2	Receptor	13	0.00011582092462662856	6.876577697268809e-05	0.000244140625	13	0
HMDB0000538	Adenosine triphosphate	P2RY12	Receptor	13	4.423231730761666e-05	1.2579161713301796e-05	0.000244140625	13	0
HMDB0015531	Iron	SLC11A2	Transporter	62	0.0023628341873166685	0.0013447428081008427	0.00028537062114838074	45	17
HMDB0001264	Dehydroascorbic acid	SLC2A3	Transporter	15	0.1028871098557737	0.09304976849695801	0.00030517578125	13	2
HMDB0000277	Sphingosine 1-phosphate	S1PR1	Receptor	15	-0.008903800911474994	-0.002983888828905558	0.00030517578125	2	13
HMDB0001311	D-Lactic acid	HCAR1	Receptor	18	0.00022494623427639427	0.00012184028497678844	0.00032806396484375	16	2
HMDB0000121	Folic acid	FOLR2	Transporter	44	0.0025538830524077204	0.0002625569490192783	0.0003371610469002917	27	17
HMDB0001361	Carbon monoxide	GUCY1A1	Enzyme	22	0.0006906105645840406	0.0003375639849489061	0.0003619194030761719	18	4
HMDB0000063	Cortisol	NR3C1	Nuclear Receptor	29	0.003115547584381096	0.001887237573992128	0.000368364155292511	21	8
HMDB0001314	Cyclic GMP	PDE3B	Enzyme	15	0.004289875357167157	0.00045953509990229527	0.00042724609375	14	1
HMDB0000277	Sphingosine 1-phosphate	P2RY10	Receptor	15	-0.017028584615557375	-0.011727275863319495	0.00042724609375	2	13
HMDB0000277	Sphingosine 1-phosphate	S1PR4	Receptor	16	-0.0221889538972594	-0.012167708210595445	0.00042724609375	3	13
HMDB0006247	25-Hydroxycholesterol	ESR1	Nuclear Receptor	28	0.000506231451688553	0.00022749743234280436	0.0004729032516479492	21	7
HMDB0001361	Carbon monoxide	GUCY1A2	Enzyme	12	0.0012513363664867247	0.00027179115253775496	0.00048828125	12	0
HMDB0000067	Cholesterol	RORC	Nuclear Receptor	30	-0.0006609395125054553	-0.0004672603337476654	0.0005054883658885956	8	22
HMDB0000277	Sphingosine 1-phosphate	S1PR2	Receptor	16	-0.0023793180896505397	-0.0011655922481820982	0.000579833984375	3	13
HMDB0001090	(R)-5-Diphosphomevalonic acid	PMVK	Enzyme	64	0.010108618124020492	0.006887453263127112	0.000587376523879349	42	22
HMDB0000538	Adenosine triphosphate	P2RY13	Receptor	39	0.000268832370372535	3.853722859243524e-05	0.0005927568454353604	26	13
HMDB0000641	L-Glutamine	SLC38A2	Transporter	61	0.03904861612032787	0.01776324979055921	0.0006040810948812667	44	17
HMDB0002103	27-Hydroxycholesterol	NR1H3	Nuclear Receptor	50	0.0002974607144231062	0.00013894254839566116	0.0006457255474483503	35	15
HMDB0000067	Cholesterol	RORA	Nuclear Receptor	34	-0.031037079144247227	-0.013703592747050608	0.0006758432136848569	10	24
HMDB0001547	Corticosterone	NR3C1	Nuclear Receptor	30	0.004138272970332235	0.002256961025401305	0.0007296018302440643	22	8
HMDB0000234	Testosterone	AR	Nuclear Receptor	31	5.8488593695801213e-05	6.954301408198968e-05	0.0007640225812792778	26	5
HMDB0001419	24-Hydroxycholesterol	NR1H3	Nuclear Receptor	43	7.330599893199716e-05	4.0600938164431894e-05	0.0007971432269187062	33	10
HMDB0000016	Deoxycorticosterone	NR3C1	Nuclear Receptor	33	0.00206610674573075	0.0007015488406816474	0.0008192581590265036	23	10
HMDB0000157	Hypoxanthine	SLC29A2	Transporter	53	-0.000875773663790242	-0.0002141935055699209	0.0008320144305852316	18	35
HMDB0001264	Dehydroascorbic acid	SLC2A1	Transporter	15	0.012070555272435812	0.008342063976228303	0.0008544921875	13	2
HMDB0000538	Adenosine triphosphate	P2RX1	Receptor	29	0.00017056358578334247	4.044219038213957e-05	0.0008884184062480927	22	7
HMDB0000806	Myristic acid	FFAR1	Receptor	11	0.00020883077496123133	0.00017995675026124733	0.0009765625	11	0
HMDB0000207	Oleic acid	FFAR1	Receptor	11	6.39211567457365e-05	5.0110732973333754e-05	0.0009765625	11	0
HMDB0001388	alpha-Linolenic acid	FFAR1	Receptor	11	4.7519657320583655e-05	3.911279602543182e-05	0.0009765625	11	0
HMDB0000277	Sphingosine 1-phosphate	S1PR3	Receptor	12	-0.00031087689307571545	-0.0002621964527616469	0.0009765625	1	11
HMDB0006247	25-Hydroxycholesterol	ABCA1	Transporter	38	0.0034325759696295	0.0005075775018842827	0.0010382188120274805	28	10
HMDB0001547	Corticosterone	NR3C2	Nuclear Receptor	26	0.0001382512067024176	6.127493023818382e-05	0.001297980546951294	20	6
HMDB0000067	Cholesterol	RORB	Nuclear Receptor	26	-0.0003023915693819795	-0.00015023442332685367	0.001297980546951294	6	20
HMDB0000277	Sphingosine 1-phosphate	S1PR5	Receptor	16	-0.009882505941612843	-0.0015713561052487623	0.001312255859375	3	13
HMDB0000097	Choline	SLC44A3	Transporter	45	0.00011169308742065904	4.7770580435571546e-05	0.0014641830194932481	31	14
HMDB0001358	Retinal	RXRA	Nuclear Receptor	44	0.0007861850428861092	0.0014039557353783387	0.0016967596310450972	35	9
HMDB0000067	Cholesterol	SCARB1	Receptor	30	-0.0008000814886397449	-0.0002860417943524151	0.001718590036034584	8	22
HMDB0000619	Cholic acid	GPBAR1	Receptor	35	0.00025361899539506823	4.877718453174677e-05	0.00173009600257501	26	9
HMDB0000060	Acetoacetic acid	SLC16A1	Transporter	55	0.0022607699678095774	0.0007160882521800561	0.001934795894248923	36	19
HMDB0000112	gamma-Aminobutyric acid	SLC6A1	Transporter	10	7.236294338396507e-05	3.91992171366135e-05	0.001953125	10	0
HMDB0000067	Cholesterol	LDLR	Receptor	34	-0.007041792157061278	-0.002047480941604455	0.002045835484750569	10	24
HMDB0001358	Retinal	RARA	Nuclear Receptor	43	-0.0028995815258230475	0.002646601877735865	0.002227383048648335	34	9
HMDB0001358	Retinal	RXRG	Nuclear Receptor	13	7.182951696350384e-05	3.9537137305709416e-05	0.00244140625	11	2
HMDB0006247	25-Hydroxycholesterol	NR1H3	Nuclear Receptor	38	0.0008185139735802654	0.00018011580219314444	0.0026745298237074167	27	11
HMDB0003550	Calcidiol	VDR	Nuclear Receptor	49	0.000698122312899536	0.00022509688107048313	0.002789570318793011	34	15
HMDB0001043	Arachidonic acid	TRPC6	Receptor	18	0.00039045534611372086	5.2287896815008875e-05	0.0028076171875	16	2
HMDB0000060	Acetoacetic acid	SLC16A3	Transporter	55	0.0032670774084420347	0.0018763113883861868	0.0031001648882885533	36	19
HMDB0000294	Urea	SLC14A1	Transporter	59	0.00010873369385643675	3.3498502083055846e-05	0.003164818180631265	39	20
HMDB0001285	Geranyl-PP	MVK	Enzyme	61	0.0001786489823897325	0.0003273295299335661	0.003267886170857992	42	19
HMDB0000112	gamma-Aminobutyric acid	GABRG2	Receptor	9	2.7668315560431254e-05	1.7900265683404586e-05	0.00390625	9	0
HMDB0001358	Retinal	RXRB	Nuclear Receptor	44	-0.002336574943629675	0.002447970730489883	0.003933317569362771	35	9
HMDB0000112	gamma-Aminobutyric acid	GABBR2	Receptor	14	0.00012887805236042372	5.845214885811305e-05	0.0040283203125	13	1
HMDB0000011	3-Hydroxybutyric acid	HCAR2	Receptor	28	0.0005563510371936049	0.00011034747016673566	0.004060737788677216	21	7
HMDB0000961	Farnesyl pyrophosphate	GPR183	Receptor	64	0.01641992564626093	0.007177432414418063	0.004480485133461547	39	25
HMDB0000016	Deoxycorticosterone	NR3C2	Nuclear Receptor	29	7.236488562610983e-05	1.7609904595990786e-05	0.004787962883710861	21	8
HMDB0001193	5(S)-Hydroperoxyeicosatetraenoic acid	OXER1	Receptor	11	-0.0001779008470339043	-0.00012597302374031148	0.0048828125	2	9
HMDB0000538	Adenosine triphosphate	TRPM4	Receptor; Channel	48	0.00013453784066566263	1.9789658047058172e-05	0.004987437706553521	31	17
HMDB0001403	Prostaglandin D2	PTGFR	Receptor	15	-0.00024089747150837115	-0.00013056911180525923	0.00537109375	3	12
HMDB0001403	Prostaglandin D2	PTGDR2	Receptor	33	-0.00016178812753373659	-1.4615078802510681e-05	0.005826751468703151	11	22
HMDB0000660	D-Fructose	SLC2A5	Transporter	39	0.00015702409806818914	2.9048176253665793e-05	0.005965617161564296	27	12
HMDB0000961	Farnesyl pyrophosphate	CYSLTR1	Receptor	63	0.0023700454219504523	0.000884730524966567	0.006173111556734268	38	25
HMDB0000286	Uridine diphosphate glucose	P2RY14	Receptor	51	0.001127354815776253	0.0002425084126946263	0.006199243172000469	34	17
HMDB0000097	Choline	SLC44A1	Transporter	59	0.0009139981942367885	0.000616875866560819	0.006433668250174249	40	19
HMDB0006247	25-Hydroxycholesterol	LPAR4	Receptor	12	5.218624873565438e-05	1.3537642691108197e-05	0.0068359375	10	2
HMDB0001167	Pyruvaldehyde	TRPA1	Receptor; Channel	11	2.544316817526492e-05	6.392940796864345e-06	0.0068359375	9	2
HMDB0001358	Retinal	RARG	Nuclear Receptor	41	-0.0011756121074622012	0.0007212034248100117	0.006939409725418955	32	9
HMDB0001314	Cyclic GMP	PDE2A	Enzyme	8	0.00010284342091013813	2.2752374009978724e-05	0.0078125	8	0
HMDB0000097	Choline	SLC44A2	Transporter	61	0.0030242097483562614	0.0010380138467674942	0.007953543292104046	41	20
HMDB0011134	5-HETE	OXER1	Receptor	22	6.453404498199827e-05	1.9997371658650394e-05	0.0083160400390625	18	4
HMDB0001403	Prostaglandin D2	PTGER1	Receptor	30	-0.00021806275838015985	-2.3392472419133512e-05	0.008705463260412216	11	19
HMDB0000034	Adenine	SLC35F5	Transporter	63	0.000405944783341188	0.0008837229808197084	0.009658337639036911	42	21
HMDB0001120	Dimethylallylpyrophosphate	MVK	Enzyme	22	-0.0020382483094016457	-0.0017963117139834072	0.010324478149414062	7	15
HMDB0000285	Uridine triphosphate	P2RY6	Receptor	33	0.00020818742678597402	9.45460304945238e-05	0.010411114199087024	23	10
HMDB0000034	Adenine	SLC29A3	Transporter	61	0.00010882807326616487	0.00035089891144217096	0.010665339876004555	41	20
HMDB0000060	Acetoacetic acid	SLC16A7	Transporter	53	0.003162508292397059	0.0011415178941665029	0.011202525552415878	34	19
HMDB0002103	27-Hydroxycholesterol	ESR1	Nuclear Receptor	35	0.00017572671244786282	5.341613833139449e-05	0.01121445867465809	25	10
HMDB0000961	Farnesyl pyrophosphate	LPAR2	Receptor	63	0.0020048673238808805	0.001037518134315251	0.011307207488749917	38	25
HMDB0000277	Sphingosine 1-phosphate	GPR63	Receptor	9	-0.00026690907041971944	-7.85019925582281e-05	0.01171875	1	8
HMDB0001043	Arachidonic acid	SLCO2A1	Transporter	34	0.00023060959699887037	1.723834836817051e-05	0.013137052417732775	24	10
HMDB0000067	Cholesterol	NPC1L1	Receptor	14	-5.06077066224788e-05	-1.2905808496126899e-05	0.013427734375	2	12
HMDB0006247	25-Hydroxycholesterol	LPAR3	Receptor	23	0.00025121085234144826	5.4336106779395706e-05	0.013528585433959961	16	7
HMDB0000273	Thymidine	SLC29A1	Transporter	7	0.002415214775961959	0.001451853759890395	0.015625	7	0
HMDB0001449	Allopregnanolone	GABRA2	Receptor	7	2.4851753550192853e-05	1.0820454804129685e-05	0.015625	7	0
HMDB0000879	Tetrahydrodeoxycorticosterone	GABRA2	Receptor	7	2.4851753550192853e-05	1.0820454804129685e-05	0.015625	7	0
HMDB0000112	gamma-Aminobutyric acid	GABRA2	Receptor	7	1.3793566209449328e-05	1.2456553930984866e-05	0.015625	7	0
HMDB0000134	Fumaric acid	SLC13A5	Transporter	12	2.011414124779581e-05	1.9823870545531458e-05	0.01611328125	10	2
HMDB0001335	Prostaglandin I2	PTGIR	Receptor	26	-6.502446436867697e-05	-2.4082906162255855e-05	0.016333162784576416	8	18
HMDB0000305	Vitamin A	RBP1	Transporter	22	5.345813480557811e-05	2.0291559375876622e-05	0.017200946807861328	16	6
HMDB0000060	Acetoacetic acid	FFAR2	Receptor	34	8.872208215120081e-05	2.4897422688646355e-05	0.017781407805159688	22	12
HMDB0000673	Linoleic acid	SLC27A5	Transporter	62	-0.0004968014507709831	0.0002639285837428213	0.021271107343722964	41	21
HMDB0000538	Adenosine triphosphate	P2RY1	Receptor	41	0.00011413156137917586	4.5145337074039174e-05	0.022216888564798865	26	15
HMDB0002183	Docosahexaenoic acid	FFAR1	Receptor	11	-3.2731196826341076e-05	-3.169316012280882e-05	0.0244140625	3	8
HMDB0000538	Adenosine triphosphate	P2RY2	Receptor	22	1.2799391121816999e-05	1.9387963154997827e-05	0.02513885498046875	17	5
HMDB0001358	Retinal	STRA6	Transporter	19	0.0001501870355519166	3.91202901380441e-05	0.025821685791015625	14	5
HMDB0000538	Adenosine triphosphate	P2RY6	Receptor	35	0.00010127572251759074	4.689221431585011e-05	0.026301166508346796	24	11
HMDB0000097	Choline	SLC44A4	Transporter	50	0.0002684354494745515	5.6228560894479684e-05	0.026848578410895385	34	16
HMDB0000660	D-Fructose	SLC2A8	Transporter	62	0.00031676144524688253	0.0003265831449476648	0.026967109833486894	40	22
HMDB0000182	L-Lysine	SLC7A2	Transporter	9	0.0001229801526199131	9.076357021374377e-05	0.02734375	7	2
HMDB0000641	L-Glutamine	SLC38A3	Transporter	15	0.00043354317606684827	5.013033803134533e-05	0.0301513671875	11	4
HMDB0000879	Tetrahydrodeoxycorticosterone	GABRA3	Receptor	6	0.00015882944574849002	5.314338010979588e-05	0.03125	6	0
HMDB0001449	Allopregnanolone	GABRA3	Receptor	6	0.00015882944574849002	5.314338010979588e-05	0.03125	6	0
HMDB0000112	gamma-Aminobutyric acid	GABRA3	Receptor	6	7.425933485804863e-05	5.979150005485886e-05	0.03125	6	0
HMDB0000517	L-Arginine	SLC7A3	Transporter	6	2.8739828772882584e-05	1.621414810959148e-05	0.03125	6	0
HMDB0001449	Allopregnanolone	GABRA4	Receptor	6	2.674750680025932e-05	2.1250592388037327e-05	0.03125	6	0
HMDB0000879	Tetrahydrodeoxycorticosterone	GABRA4	Receptor	6	2.674750680025932e-05	2.1250592388037327e-05	0.03125	6	0
HMDB0000112	gamma-Aminobutyric acid	GABRA4	Receptor	6	2.3561019071172237e-05	1.996666776687276e-05	0.03125	6	0
HMDB0003080	Leukotriene D4	GPR17	Receptor	6	1.6028756018325162e-05	9.270228706568377e-06	0.03125	6	0
HMDB0000673	Linoleic acid	PPARG	Nuclear Receptor	58	-4.6336918140013146e-05	7.353826705396737e-05	0.03167393201491197	40	18
HMDB0000097	Choline	SLC22A5	Transporter	54	0.00028775562504609415	9.405989938460543e-05	0.03169394901304932	35	19
HMDB0000181	L-Dopa	SLC16A10	Transporter	23	4.545374453479185e-05	5.528649203564536e-05	0.032669782638549805	17	6
HMDB0002369	9-cis-Retinoic acid	RXRA	Nuclear Receptor	62	0.0032805407722001213	9.431230810404982e-05	0.03393446022087187	36	26
HMDB0006219	13-cis-Retinoic acid	RXRA	Nuclear Receptor	62	0.0032805407722001213	9.431230810404982e-05	0.03393446022087187	36	26
HMDB0000538	Adenosine triphosphate	P2RX7	Receptor	58	0.0002242705498006977	0.00014270171225917554	0.034876463073518556	35	23
HMDB0001256	Spermine	SLC22A1	Transporter	28	9.530895715422636e-05	5.1651490646662524e-05	0.03575380891561508	19	9
HMDB0000305	Vitamin A	RARG	Nuclear Receptor	29	0.00026239608497706843	0.00011940639012241101	0.03653542697429657	21	8
HMDB0000538	Adenosine triphosphate	P2RX5	Receptor	59	0.000652114388588805	0.0003627374514988055	0.03722922801215835	35	24
HMDB0000071	Deoxyinosine	SLC29A2	Transporter	11	-0.0009436723322440613	-0.00019411465722326377	0.0419921875	2	9
HMDB0003550	Calcidiol	CUBN	Transporter	41	7.381984997682645e-05	2.9576794544687154e-05	0.04236528197543521	26	15
HMDB0001403	Prostaglandin D2	PTGER4	Receptor	59	-0.04103995620009899	-0.00035938424297438337	0.043872221214167166	26	33
HMDB0000641	L-Glutamine	SLC7A7	Transporter	46	0.00055985963554444	0.0005796895912637423	0.04605988435622521	34	12
HMDB0003276	Hydrogen sulfide	CD36	Receptor; Transporter	28	0.0004458107112623672	7.465178042459635e-05	0.04774715006351471	19	9
HMDB0000305	Vitamin A	RARA	Nuclear Receptor	29	0.0011003333991937284	0.00046482392799676673	0.04802640900015831	21	8
HMDB0002369	9-cis-Retinoic acid	RXRB	Nuclear Receptor	62	0.00704441469986001	0.0003034229204218743	0.04842530058985083	36	26
HMDB0006219	13-cis-Retinoic acid	RXRB	Nuclear Receptor	62	0.00704441469986001	0.0003034229204218743	0.04842530058985083	36	26
HMDB0000294	Urea	SLC14A2	Transporter	43	1.4926653807792342e-05	5.351811227644465e-06	0.049041343804447024	29	14
HMDB0001043	Arachidonic acid	ANXA2	Receptor	58	0.006205045809248266	0.0034392496080498615	0.049682762066004575	36	22
HMDB0000538	Adenosine triphosphate	RYR1	Receptor	52	0.00022392230937736394	0.00011344756625942466	0.05240725178238449	31	21
HMDB0001043	Arachidonic acid	TRPM2	Receptor	48	0.00017918789126634724	4.1703335500024386e-05	0.05392516424045368	32	16
HMDB0001043	Arachidonic acid	LRRC8C	Channel	57	0.0008589991266156306	0.000332074634324274	0.05401541165427304	35	22
HMDB0002369	9-cis-Retinoic acid	RXRG	Nuclear Receptor	21	0.0001629519681029301	1.2966825320142324e-05	0.05469322204589844	14	7
