accession	title	species	assay	tissue	model_or_GEMM	n_mice_or_samples	cldn4_in_features	processed_matrix	immune_or_GEMM_labels	kl_vs_other	usable_mouse_level	scored_here	assigned_other_agent	notes
GSE137669	Dietary BCAA enrichment in failing heart	Mus musculus	bulk RNA-seq	heart	not lung; not GEMM	8 samples	not assessed	yes: edgeR normalized counts (1.8 Mb)	no	no	no (wrong tissue)	no	no	Suggested accession is cardiac, not lung. Excluded.
GSE131907	Lung cancer scRNA atlas (Kim et al.)	Homo sapiens	scRNA-seq	human lung cancer	human NSCLC; no mouse samples	human only	human CLDN4	yes but human and large (rds/txt)	human cell annotation	no mouse / no KL	no mouse	no	no	No mouse subset on GEO.
TISMO	Tumor Immune Syngeneic MOuse database (Zeng/Liu 2021)	Mus musculus	compiled bulk RNA-seq + deconvolution	syngeneic tumors including LLC	LLC and other syngeneic lines; ICB metadata	portal claims 1518 in vivo samples; LLC subset not downloaded as a single public dump	expected yes	portal download is JS-gated; GitHub TISMO_data has parsers only (would pull FASTQ)	immune infiltration precomputed	not KL GEMM	yes in principle	no (used E-MTAB-5311 instead)	no	Did not clone FASTQ. Scored a public LLC study that is TISMO-class (E-MTAB-5311).
E-MTAB-5311	RNA-seq of LLC tumors with or without exercise (Hojman/Pedersen)	Mus musculus	bulk RNA-seq	LLC tumor biopsies	LLC (TISMO-class syngeneic lung)	16 mice (8 wheel, 8 no wheel); 1 tumor each	yes (Cldn4 in Atlas counts)	yes: Expression Atlas raw-counts.tsv (no FASTQ)	immune inferred from T/NK genes; exercise factor	not KL	yes	yes	no	Best unused public LLC bulk with honest n=16 and processed counts.
GSE133714	Transcriptional profiling of Kras +/- Stk11 +/- Keap1	Mus musculus	microarray (MoGene ST)	lung (GEMM)	Kras, Stk11, Keap1 combinations	series exists; sample n not fully enumerated here	expected yes	processed values in sample table; CEL tar 192 Mb	GEMM labels including Stk11	KL/KKL possible	possible	no	no	Cataloged; GSE6135 already covers KL bulk with clearer Cldn4 probe and scored n.
GSE179502	Lkb1 restoration sorted neoplastic scRNA (Murray/Winslow)	Mus musculus	scRNA-seq	FACS neoplastic cells	KT; Lkb1-XTR restorable vs not	6 samples	yes (features.tsv)	yes: MTX + TSV	Lkb1 restoration; neoplastic only	KL-related (Lkb1)	epithelial IFN possible; T/NK no	no	yes	Assigned to other agents. Catalog only.
GSE179501	Lkb1 restoration total-viable-cell scRNA	Mus musculus	scRNA-seq	total viable lung tumor cells	same Lkb1-XTR GEMM	related to GSE179560 family	expected yes	processed on series	stromal + epithelial	KL-related	possible	no	yes	Assigned family (GSE179502). Not re-scored.
GSE76628	Laughney et al. KP lung scRNA / related	Mus musculus	scRNA-seq	KP lung	KP	assigned elsewhere	expected yes	processed in original study	immune + epithelial	KP not KL	possible	no	yes	Do not redo as the only analysis.
GSE267321	KRAS syngeneic K / KK / KLK non-malignant scRNA	Mus musculus	scRNA-seq	non-malignant TME	K vs KEAP1-loss vs STK11/KEAP1-loss (LKR13)	6 samples	expected yes	CSV supplementary	immune TME; STK11 label	KLK not classic KL GEMM	possible	no	yes	Assigned to other agents.
GSE274477	Type I IFN in KRAS mutant AT2 scRNA	Mus musculus	scRNA-seq	sorted AT2	Kras WT vs mutant AT2	4 runs	expected yes	TSV supplementary	IFN pathway phenotype	LKB1 mentioned in text, not this matrix	epithelial IFN yes; T/NK no	no	yes	Assigned to other agents. IFN-relevant but not unused.
GSE232730	CXCL9/10-DC + PD-1 in Lkb1-null NSCLC scRNA	Mus musculus	scRNA-seq	CD45+ treated tumors	Lkb1-null murine NSCLC + therapy	4 CD45 libraries	expected yes	yes: RAW.tar MTX/TSV (164 Mb)	immune; Lkb1-null	Lkb1-null treated	CD45+ so Cldn4 limited	no	no	Therapy perturbation; not used as a scored Cldn4 analysis.
GSE152607	Super-series: high-plasticity cell state	Mus musculus	mixed	lung tumors	K/KP family	parent of GSE154989/GSE154977	yes via children	yes via children	GEMM	no KL	via GSE154989	no	no	Super-series; scored child GSE154989.
user_private_8KL	User private 8 KL mice	Mus musculus	private	private	KL	8	n/a	private	n/a	n/a	excluded	no	no	Explicitly not used.
