patient	dataset	n_cells_kept	n_malig	n_cldn4_high	n_cldn4_low	n_T	n_NK	n_T_NK	paired	label_source
GSE148071|P6	GSE148071	1424	1349	902	447	54	21	75	True	A3_marker_argmax
GSE148071|P7	GSE148071	907	135	28	107	613	159	772	True	A3_marker_argmax
GSE148071|P8	GSE148071	137	82	67	15	51	4	55	True	A3_marker_argmax
GSE148071|P9	GSE148071	1932	1867	985	882	48	17	65	True	A3_marker_argmax
GSE205335|P0031	GSE205335	5501	319	106	213	4336	846	5182	True	author_lineage
GSE205335|P1006	GSE205335	4280	1282	687	595	2756	242	2998	True	author_lineage
GSE205335|P1015	GSE205335	764	291	83	208	313	160	473	True	author_lineage
GSE205335|P1016	GSE205335	6099	5336	2768	2568	708	55	763	True	author_lineage
GSE205335|P1017	GSE205335	4556	2186	1103	1083	2145	225	2370	True	author_lineage
GSE205335|P1018	GSE205335	3726	1180	682	498	2375	171	2546	True	author_lineage
GSE205335|P1025	GSE205335	1108	980	686	294	109	19	128	True	author_lineage
GSE205335|P1027	GSE205335	3937	1318	994	324	2222	397	2619	True	author_lineage
GSE205335|P1030	GSE205335	743	603	352	251	119	21	140	True	author_lineage
GSE205335|P1037	GSE205335	4282	3671	703	2968	586	25	611	True	author_lineage
GSE205335|P1056	GSE205335	3740	2386	685	1701	1238	116	1354	True	author_lineage
GSE205335|P1062	GSE205335	2122	188	72	116	1856	78	1934	True	author_lineage
GSE205335|P1063	GSE205335	3275	131	39	92	2893	251	3144	True	author_lineage
GSE205335|P1072	GSE205335	992	406	122	284	398	188	586	True	author_lineage
GSE205335|P1076	GSE205335	2938	849	274	575	1846	243	2089	True	author_lineage
GSE205335|P1079	GSE205335	1044	543	190	353	428	73	501	True	author_lineage
GSE205335|P1084	GSE205335	2546	196	156	40	2106	244	2350	True	author_lineage
GSE205335|P1089	GSE205335	1335	1063	881	182	224	48	272	True	author_lineage
GSE205335|P1090	GSE205335	813	566	124	442	239	8	247	True	author_lineage
GSE205335|P1115	GSE205335	4040	3769	2454	1315	267	4	271	True	author_lineage
GSE205335|P1119	GSE205335	1843	1222	250	972	570	51	621	True	author_lineage
GSE205335|P2001	GSE205335	2365	0	0	0	2315	50	2365	False	author_lineage
GSE205335|P2009	GSE205335	606	0	0	0	459	147	606	False	author_lineage
GSE205335|P2016	GSE205335	3652	0	0	0	3607	45	3652	False	author_lineage
GSE205335|P3032	GSE205335	252	0	0	0	220	32	252	False	author_lineage
GSE205335|P4001	GSE205335	1828	27	5	22	1660	141	1801	False	author_lineage
