interaction_name	direction	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	ligand_class	n_q1_detected	n_q4_detected	n_compared	n_cohorts	median_prob_q1	median_prob_q4	delta_median	mwu_u	p	r_rb
HLA-E_CD94:NKG2A	outgoing	MHC-I	Cell-Cell Contact	HLA-E	CD94:NKG2A	HLA-E	KLRC1|KLRD1	inhibitory	6	3	9	3	0.30862522196152936	0.037860091928925615	-0.2707651300326037	3.0	0.16666666666666666	-0.6666666666666667
BAG6_NCR3-PS	outgoing	BAG	Secreted Signaling	BAG6	NCR3	BAG6	NCR3	other	6	3	9	2	0.018624297473256723	0.04093881947831463	0.02231452200505791	15.0	0.16666666666666666	0.6666666666666667
HLA-E_KLRK1	outgoing	MHC-I	Cell-Cell Contact	HLA-E	KLRK1	HLA-E	KLRK1	inhibitory	6	4	10	1	0.40565600442463423	0.16790767785084718	-0.23774832657378706	5.0	0.17142857142857143	-0.5833333333333333
GRN_SORT1	incoming	GRN	Secreted Signaling	GRN	SORT1	GRN	SORT1	other	4	6	10	3	0.000770094756502784	0.0061642238187624545	0.005394129062259671	19.0	0.17142857142857143	0.5833333333333333
CDH1_ITGAE_ITGB7	outgoing	CDH1	Cell-Cell Contact	CDH1	ITGAE_ITGB7	CDH1	ITGAE|ITGB7	barrier|inhibitory	10	8	18	3	0.06479804231668944	0.1301407961992577	0.06534275388256826	56.0	0.17281411399058458	0.3999999999999999
CDH1_KLRG1	outgoing	CDH1	Cell-Cell Contact	CDH1	KLRG1	CDH1	KLRG1	barrier|inhibitory	9	6	15	3	0.025202731444602763	0.0820884559031082	0.05688572445850544	39.0	0.181018981018981	0.4444444444444444
COL4A4_CD44	outgoing	COLLAGEN	ECM-Receptor	COL4A4	CD44	COL4A4	CD44	other	3	3	6	3	0.18871390981659406	0.019410723872046898	-0.16930318594454716	1.0	0.2	-0.7777777777777778
LGALS9_P4HB	outgoing	GALECTIN	Secreted Signaling	LGALS9	P4HB	LGALS9	P4HB	inhibitory	10	9	19	3	0.031240156592191773	0.06439418565520445	0.03315402906301268	61.0	0.20566717961735548	0.3555555555555556
SEMA4D_PLXNB2	incoming	SEMA4	Cell-Cell Contact	SEMA4D	PLXNB2	SEMA4D	PLXNB2	other	13	7	20	3	0.04367966743743194	0.1359481262334854	0.09226845879605346	62.0	0.21060371517027865	0.3626373626373627
GZMA_PARD3	incoming	PARs	Secreted Signaling	GZMA	PARD3	GZMA	PARD3	other	18	16	34	3	0.09615463567738455	0.1379018591165571	0.04174722343917256	180.0	0.22062557404953675	0.25
IFNG_IFNGR1_IFNGR2	incoming	IFN-II	Secreted Signaling	IFNG	IFNGR1_IFNGR2	IFNG	IFNGR1|IFNGR2	attack	13	8	21	3	0.05242824573529317	0.08366791775985709	0.031239672024563916	69.0	0.23813455206644066	0.32692307692307687
LAMB3_CD44	outgoing	LAMININ	ECM-Receptor	LAMB3	CD44	LAMB3	CD44	other	16	13	29	3	0.2211423871158739	0.4094468826523473	0.1883044955364734	131.0	0.24519408567470347	0.2596153846153846
MIF_CD74_CXCR4	outgoing	MIF	Secreted Signaling	MIF	CD74_CXCR4	MIF	CD74|CXCR4	other	18	16	34	3	0.8747765852903693	0.7049783467506865	-0.1697982385396828	112.0	0.2771016672693848	-0.2222222222222222
PTN_NCL	outgoing	PTN	Secreted Signaling	PTN	NCL	PTN	NCL	other	6	8	14	3	0.4075657864173416	0.17266999913801992	-0.23489578727932167	15.0	0.2823842823842824	-0.375
HLA-F_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-F	CD8A	HLA-F	CD8A	inhibitory	15	8	23	3	0.18838436385141272	0.10844771136193201	-0.0799366524894807	43.0	0.2938688269149973	-0.2833333333333333
CLEC2D_KLRB1	outgoing	CLEC	Cell-Cell Contact	CLEC2D	KLRB1	CLEC2D	KLRB1	other	9	5	14	2	0.010895809384092417	0.002643978994637966	-0.008251830389454451	14.0	0.2977022977022977	-0.37777777777777777
SEMA4D_PLXNB1	incoming	SEMA4	Cell-Cell Contact	SEMA4D	PLXNB1	SEMA4D	PLXNB1	other	10	5	15	3	0.0037439579187025333	0.028736454280038872	0.02499249636133634	34.0	0.3096903096903097	0.3600000000000001
LAMC1_CD44	outgoing	LAMININ	ECM-Receptor	LAMC1	CD44	LAMC1	CD44	other	15	13	28	3	0.057522082493950626	0.09270811727497721	0.03518603478102659	120.0	0.3108512029584284	0.23076923076923084
CD99_CD99	incoming	CD99	Cell-Cell Contact	CD99	CD99	CD99	CD99	other	18	16	34	3	0.4549388668457035	0.30853485306022777	-0.14640401378547574	115.0	0.32543844595354465	-0.20138888888888884
CD99_CD99	outgoing	CD99	Cell-Cell Contact	CD99	CD99	CD99	CD99	other	18	16	34	3	0.4549388668457035	0.30853485306022777	-0.14640401378547574	115.0	0.32543844595354465	-0.20138888888888884
TNFSF10_TNFRSF10B	incoming	TRAIL	Secreted Signaling	TNFSF10	TNFRSF10A	TNFSF10	TNFRSF10A	attack	12	5	17	3	0.008167080996381	0.011529836873228587	0.003362755876847586	40.0	0.3283775048480931	0.33333333333333326
HLA-E_KLRC1	outgoing	MHC-I	Cell-Cell Contact	HLA-E	KLRC1	HLA-E	KLRC1	inhibitory	6	5	11	3	0.26287401958228046	0.07624518239301853	-0.18662883718926193	9.0	0.32900432900432897	-0.4
MIF_CD74_CXCR4	incoming	MIF	Secreted Signaling	MIF	CD74_CXCR4	MIF	CD74|CXCR4	other	11	4	15	3	0.324256468106382	0.23398255487477726	-0.09027391323160472	14.0	0.34285714285714286	-0.36363636363636365
THBS3_CD47	outgoing	THBS	ECM-Receptor	THBS3	CD47	THBS3	CD47	other	6	7	13	3	0.009075734873510216	0.026456980390935896	0.017381245517425682	28.0	0.36596736596736595	0.33333333333333326
CD6_ALCAM	incoming	CD6	Cell-Cell Contact	CD6	ALCAM	CD6	ALCAM	other	13	10	23	3	0.040196430419014106	0.10510805637872843	0.06491162595971432	80.0	0.3685185409900362	0.23076923076923084
AREG_EGFR_ERBB2	incoming	EGF	Secreted Signaling	AREG	EGFR_ERBB2	AREG	ERBB2|EGFR	other	8	9	17	3	0.03729998948040268	0.07969179739894082	0.04239180791853814	46.0	0.37038255861785274	0.2777777777777777
PVR_TIGIT	outgoing	PVR	Cell-Cell Contact	PVR	TIGIT	PVR	TIGIT	barrier|inhibitory	8	9	17	3	0.009297282590647493	0.017545714471913953	0.00824843188126646	46.0	0.37038255861785274	0.2777777777777777
HLA-B_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-B	CD8A	HLA-B	CD8A	other	18	9	27	3	0.5874681198175555	0.5012775177478349	-0.08619060206972062	64.0	0.3960658207089378	-0.2098765432098766
APP_CD74	incoming	APP	Cell-Cell Contact	APP	CD74	APP	CD74	other	4	3	7	3	0.2277554368067507	0.021427776982054007	-0.2063276598246967	3.0	0.4	-0.5
TNFSF12_TNFRSF12A	incoming	TWEAK	Secreted Signaling	TNFSF12	TNFRSF12A	TNFSF12	TNFRSF12A	other	3	3	6	2	0.09106193575453782	0.13488813985712064	0.043826204102582825	7.0	0.4	0.5555555555555556
CD96_NECTIN1	incoming	CD96	Cell-Cell Contact	CD96	NECTIN1	CD96	NECTIN1	other	7	9	16	2	0.03631544395232562	0.007656716172658921	-0.028658727779666694	23.0	0.4078671328671329	-0.2698412698412699
SPP1_ITGA4_ITGB1	outgoing	SPP1	Secreted Signaling	SPP1	ITGA4_ITGB1	SPP1	ITGA4|ITGB1	other	11	4	15	3	0.11455277774988544	0.03987751135281415	-0.07467526639707128	15.0	0.4117216117216117	-0.31818181818181823
LAMB1_CD44	outgoing	LAMININ	ECM-Receptor	LAMB1	CD44	LAMB1	CD44	other	11	4	15	3	0.02533131994854579	0.04249346231189834	0.017162142363352555	29.0	0.4117216117216117	0.3181818181818181
TGM2_ADGRG1	outgoing	ADGRG	Cell-Cell Contact	TGM2	ADGRG1	TGM2	ADGRG1	other	6	5	11	3	0.07576731052145766	0.03407160421421948	-0.04169570630723818	10.0	0.42857142857142855	-0.33333333333333337
HLA-DMB_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DMB	CD4	HLA-DMB	CD4	other	7	5	12	3	0.0012302544548397321	0.006091030804638365	0.0048607763497986334	23.0	0.4318181818181819	0.3142857142857143
COL1A1_CD44	outgoing	COLLAGEN	ECM-Receptor	COL1A1	CD44	COL1A1	CD44	other	10	13	23	3	0.10381567409550754	0.1277455620501076	0.02392988795460005	78.0	0.43821139060496905	0.19999999999999996
HLA-E_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-E	CD8A	HLA-E	CD8A	inhibitory	18	9	27	3	0.29254529868175405	0.26964422425941925	-0.0229010744223348	66.0	0.4557885270555013	-0.18518518518518523
IGFBP3_TMEM219	outgoing	IGFBP	Secreted Signaling	IGFBP3	TMEM219	IGFBP3	TMEM219	other	13	10	23	3	0.06042064011086714	0.06789009875578367	0.007469458644916528	53.0	0.4757221771273181	-0.18461538461538463
NECTIN2_TIGIT	outgoing	NECTIN	Cell-Cell Contact	NECTIN2	TIGIT	NECTIN2	TIGIT	barrier|inhibitory	11	9	20	2	0.06219557126484873	0.11184250407760583	0.0496469328127571	59.0	0.4941245444092638	0.19191919191919182
CD46_JAG1	incoming	CD46	Cell-Cell Contact	CD46	JAG1	CD46	JAG1	other	10	8	18	3	0.025865414284901155	0.011488147187748678	-0.014377267097152476	32.0	0.5147858677270442	-0.19999999999999996
LGALS9_P4HB	incoming	GALECTIN	Secreted Signaling	LGALS9	P4HB	LGALS9	P4HB	inhibitory	9	5	14	3	0.14797008014261878	0.0903077288833183	-0.057662351259300484	17.0	0.5184815184815185	-0.24444444444444446
HLA-DRB1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DRB1	CD4	HLA-DRB1	CD4	other	8	5	13	3	0.016772936821044093	0.0765030006617864	0.05973006384074231	25.0	0.5236985236985237	0.25
HLA-DQB1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DQB1	CD4	HLA-DQB1	CD4	other	8	5	13	3	0.01036194543624186	0.04171632646893436	0.0313543810326925	25.0	0.5236985236985237	0.25
SIRPG_CD47	incoming	SIRP	Cell-Cell Contact	SIRPG	CD47	SIRPG	CD47	other	11	7	18	3	0.12331100973277598	0.1230679487774102	-0.00024306095536577588	31.0	0.5360105580693816	-0.19480519480519476
TNFSF14_LTBR	incoming	LIGHT	Secreted Signaling	TNFSF14	LTBR	TNFSF14	LTBR	other	3	6	9	3	0.013379288765157869	0.029288692882209026	0.015909404117051155	12.0	0.5476190476190476	0.33333333333333326
LGALS9_HAVCR2	outgoing	GALECTIN	Secreted Signaling	LGALS9	HAVCR2	LGALS9	HAVCR2	inhibitory	6	3	9	2	0.0073470011461200125	0.0012319597258875772	-0.0061150414202324355	6.0	0.5476190476190476	-0.33333333333333337
PPIA_BSG	incoming	CypA	Secreted Signaling	PPIA	BSG	PPIA	BSG	other	19	17	36	3	0.738947248543388	0.7151447556135938	-0.023802492929794195	180.0	0.5684229161407004	0.11455108359133126
TNF_TNFRSF1A	incoming	TNF	Secreted Signaling	TNF	TNFRSF1A	TNF	TNFRSF1A	attack	12	9	21	3	0.02904178599455272	0.030256490791199596	0.0012147047966468774	62.0	0.5940323405990415	0.14814814814814814
COL6A1_CD44	outgoing	COLLAGEN	ECM-Receptor	COL6A1	CD44	COL6A1	CD44	other	10	7	17	3	0.16786860453316982	0.19623477099229647	0.02836616645912665	41.0	0.6008844097079391	0.17142857142857149
HLA-DPB1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DPB1	CD4	HLA-DPB1	CD4	other	8	5	13	3	0.019621744625414193	0.04863997072023319	0.029018226094818998	24.0	0.6216006216006216	0.19999999999999996
FN1_ITGA4_ITGB7	outgoing	FN1	ECM-Receptor	FN1	ITGA4_ITGB7	FN1	ITGA4|ITGB7	other	7	5	12	3	0.015509030672546375	0.005921856738574338	-0.009587173933972036	14.0	0.638888888888889	-0.19999999999999996
LGALS9_CD44	outgoing	GALECTIN	Secreted Signaling	LGALS9	CD44	LGALS9	CD44	inhibitory	11	11	22	3	0.10360317744658852	0.14802767209873507	0.044424494652146554	68.0	0.6457638203049723	0.12396694214876036
HLA-DMA_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DMA	CD4	HLA-DMA	CD4	other	8	6	14	3	0.0030750172259384535	0.020878319290882436	0.01780330206494398	28.0	0.662004662004662	0.16666666666666674
CD55_ADGRE5	outgoing	ADGRE	Cell-Cell Contact	CD55	ADGRE5	CD55	ADGRE5	other	17	9	26	3	0.14999677408136894	0.25260312865347195	0.10260635457210301	85.0	0.6663415341905732	0.11111111111111116
TGFB1_ACVR1B_TGFBR2	incoming	TGFb	Secreted Signaling	TGFB1	ACVR1B_TGFbR2	TGFB1	TGFBR2|ACVR1B	inhibitory	7	3	10	3	0.06892679920068313	0.08373206763139207	0.014805268430708937	13.0	0.6666666666666666	0.23809523809523814
HLA-C_CD8B	outgoing	MHC-I	Cell-Cell Contact	HLA-C	CD8B	HLA-C	CD8B	other	15	5	20	3	0.383387926375255	0.5332932823475802	0.14990535597232524	43.0	0.6724716202270382	0.14666666666666672
FN1_CD44	outgoing	FN1	ECM-Receptor	FN1	CD44	FN1	CD44	other	10	10	20	3	0.09584062807136678	0.06618076460844306	-0.029659863462923722	44.0	0.6775849579524755	-0.12
CD99_CD99L2	incoming	CD99	Cell-Cell Contact	CD99	CD99L2	CD99	CD99L2	other	9	7	16	3	0.027795344647192164	0.035875128736087745	0.008079784088895581	36.0	0.6805944055944056	0.1428571428571428
COL6A2_CD44	outgoing	COLLAGEN	ECM-Receptor	COL6A2	CD44	COL6A2	CD44	other	8	4	12	3	0.2115917306455398	0.17540397468854252	-0.036187755956997275	13.0	0.6828282828282828	-0.1875
APP_TNFRSF21	incoming	APP	Cell-Cell Contact	APP	TNFRSF21	APP	TNFRSF21	other	3	3	6	3	0.013254453173693463	0.025860453857274004	0.01260600068358054	6.0	0.7	0.33333333333333326
LGALS9_CD44	incoming	GALECTIN	Secreted Signaling	LGALS9	CD44	LGALS9	CD44	inhibitory	9	4	13	3	0.05610169193941868	0.01821572362626504	-0.037885968313153634	15.0	0.7104895104895105	-0.16666666666666663
LAMB2_CD44	outgoing	LAMININ	ECM-Receptor	LAMB2	CD44	LAMB2	CD44	other	10	9	19	3	0.049223305573996526	0.07916980824013993	0.029946502666143404	50.0	0.7133031738784577	0.11111111111111116
HLA-DPA1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DPA1	CD4	HLA-DPA1	CD4	other	8	5	13	3	0.017493554213827776	0.04163934340697274	0.024145789193144966	23.0	0.7241647241647241	0.1499999999999999
CD40LG_CD40	incoming	CD40	Cell-Cell Contact	CD40LG	CD40	CD40LG	CD40	other	5	4	9	2	0.016515879367825205	0.022429367886621726	0.005913488518796521	12.0	0.7301587301587302	0.19999999999999996
LPAR2_ADGRE5	outgoing	ADGRE	Cell-Cell Contact	LPAR2	ADGRE5	LPAR2	ADGRE5	other	10	10	20	3	0.006651845039513821	0.011714264288561267	0.005062419249047446	55.0	0.7337299956962472	0.10000000000000009
APP_SORL1	outgoing	APP	Cell-Cell Contact	APP	SORL1	APP	SORL1	other	8	6	14	3	0.12745349521711	0.17139586807623938	0.043942372859129386	27.0	0.7545787545787546	0.125
CD55_ADGRE5	incoming	ADGRE	Cell-Cell Contact	CD55	ADGRE5	CD55	ADGRE5	other	9	7	16	3	0.015934459871586894	0.017505814648445795	0.0015713547768589006	35.0	0.7576923076923078	0.11111111111111116
HLA-A_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-A	CD8A	HLA-A	CD8A	other	18	9	27	3	0.5575666447872853	0.5319552416005404	-0.02561140318674493	75.0	0.7772615629718961	-0.07407407407407407
MIF_CD74_CD44	incoming	MIF	Secreted Signaling	MIF	CD74_CD44	MIF	CD44|CD74	other	17	9	26	3	0.35397317503450165	0.24956185605354866	-0.10441131898095299	71.0	0.7875572317029235	-0.07189542483660127
LAMC2_CD44	outgoing	LAMININ	ECM-Receptor	LAMC2	CD44	LAMC2	CD44	other	15	11	26	3	0.07414953884481221	0.1261679380338639	0.052018399189051684	77.0	0.7952497535349383	-0.06666666666666665
HLA-A_CD8B	outgoing	MHC-I	Cell-Cell Contact	HLA-A	CD8B	HLA-A	CD8B	other	15	5	20	3	0.47734507734535747	0.5414597296539989	0.06411465230864144	41.0	0.8000515995872033	0.09333333333333327
LAMA5_CD44	outgoing	LAMININ	ECM-Receptor	LAMA5	CD44	LAMA5	CD44	other	13	15	28	3	0.08322463670244752	0.12648699784211953	0.04326236113967201	103.0	0.8178378992551184	0.05641025641025643
CD96_PVR	incoming	CD96	Cell-Cell Contact	CD96	PVR	CD96	PVR	other	8	10	18	3	0.01711618035771229	0.013226740865308614	-0.003889439492403675	43.0	0.8285570638511814	0.07499999999999996
HLA-DRA_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DRA	CD4	HLA-DRA	CD4	other	8	5	13	3	0.051941153490595734	0.07688727455151295	0.024946121060917217	22.0	0.8329448329448329	0.10000000000000009
HLA-DQA1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DQA1	CD4	HLA-DQA1	CD4	other	8	5	13	3	0.007240208005635905	0.00564396113296032	-0.0015962468726755845	22.0	0.8329448329448329	0.10000000000000009
TGFB1_TGFBR1_TGFBR2	incoming	TGFb	Secreted Signaling	TGFB1	TGFbR1_R2	TGFB1	TGFBR2|TGFBR1	inhibitory	7	3	10	3	0.05211416189757445	0.047079042417084264	-0.005035119480490187	9.0	0.8333333333333333	-0.1428571428571429
HLA-C_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-C	CD8A	HLA-C	CD8A	other	18	9	27	3	0.5198967234408054	0.4815197830254551	-0.03837694041535028	77.0	0.8571364155923	-0.04938271604938271
TGFB1_ACVR1_TGFBR1	incoming	TGFb	Secreted Signaling	TGFB1	ACVR1_TGFbR	TGFB1	TGFBR2|ACVR1|TGFBR1	inhibitory	4	3	7	2	0.04147828636470703	0.05266437219659007	0.01118608583188304	7.0	0.8571428571428571	0.16666666666666674
LGALS9_CD45	outgoing	GALECTIN	Secreted Signaling	LGALS9	PTPRC	LGALS9	PTPRC	inhibitory	11	10	21	3	0.16871183685338148	0.3597292573362134	0.19101742048283193	58.0	0.8602588271965479	0.05454545454545445
CD8A_CEACAM5	incoming	CEACAM	Cell-Cell Contact	CD8A	CEACAM5	CD8A	CEACAM5	other	5	7	12	3	0.006124998858627853	0.07572366370183778	0.06959866484320992	19.0	0.8762626262626263	0.08571428571428563
PPIA_BSG	outgoing	CypA	Secreted Signaling	PPIA	BSG	PPIA	BSG	other	18	15	33	3	0.6603181570275836	0.5890568772731174	-0.07126127975446617	131.0	0.8993022978950431	-0.029629629629629672
GZMA_F2RL1	incoming	PARs	Secreted Signaling	GZMA	F2RL1	GZMA	F2RL1	other	3	6	9	2	0.050745065652917073	0.04045726865058173	-0.010287797002335342	8.0	0.9047619047619047	-0.11111111111111116
THBS1_CD47	outgoing	THBS	ECM-Receptor	THBS1	CD47	THBS1	CD47	other	3	6	9	3	0.025985540722919837	0.029398715929499525	0.0034131752065796883	10.0	0.9047619047619047	0.11111111111111116
CXCL16_CXCR6	outgoing	CXCL	Secreted Signaling	CXCL16	CXCR6	CXCL16	CXCR6	recruit	6	4	10	3	0.04848118742842117	0.06493905355065674	0.01645786612223557	13.0	0.9142857142857143	0.08333333333333326
COL9A2_CD44	outgoing	COLLAGEN	ECM-Receptor	COL9A2	CD44	COL9A2	CD44	other	6	5	11	3	0.04914111710872165	0.03484988532113452	-0.014291231787587129	16.0	0.9307359307359306	0.06666666666666665
ITGAV_ITGB1_ADGRE5	outgoing	ADGRE	Cell-Cell Contact	ITGAV_ITGB1	ADGRE5	ITGAV|ITGB1	ADGRE5	other	15	9	24	3	0.1679516862051494	0.10245114200627929	-0.0655005441988701	69.0	0.9524515354386665	0.022222222222222143
HLA-F_CD8B	outgoing	MHC-I	Cell-Cell Contact	HLA-F	CD8B	HLA-F	CD8B	inhibitory	14	5	19	3	0.11289770326065823	0.1392959352230014	0.02639823196234317	36.0	0.9643962848297213	0.02857142857142847
FN1_ITGA4_ITGB1	outgoing	FN1	ECM-Receptor	FN1	ITGA4_ITGB1	FN1	ITGA4|ITGB1	other	10	8	18	3	0.02223504497132516	0.033208932527552734	0.010973887556227573	41.0	0.965400612459436	0.02499999999999991
HLA-DRB5_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DRB5	CD4	HLA-DRB5	CD4	other	6	3	9	3	0.06690808348084874	0.1088368314862005	0.04192874800535176	9.0	1.0	0.0
HLA-E_CD8B	outgoing	MHC-I	Cell-Cell Contact	HLA-E	CD8B	HLA-E	CD8B	inhibitory	15	5	20	3	0.21722614784707464	0.20033776855791516	-0.016888379289159483	37.0	1.0	-0.013333333333333308
GZMA_F2R	incoming	PARs	Secreted Signaling	GZMA	F2R	GZMA	F2R	other	4	4	8	3	0.029494184928213645	0.04225284841278641	0.012758663484572767	8.0	1.0	0.0
HLA-B_CD8B	outgoing	MHC-I	Cell-Cell Contact	HLA-B	CD8B	HLA-B	CD8B	other	15	5	20	3	0.4869923938342049	0.49658198142262017	0.009589587588415271	37.0	1.0	-0.013333333333333308
NECTIN3_TIGIT	outgoing	NECTIN	Cell-Cell Contact	NECTIN3	TIGIT	NECTIN3	TIGIT	barrier	4	3	7	2	0.0230410052133322	0.0279595302456221	0.0049185250322899	6.0	1.0	0.0
PRNP_ADGRG6	incoming	ADGRG	Cell-Cell Contact	PRNP	ADGRG6	PRNP	ADGRG6	other	5	7	12	3	0.00097088675352635	0.002884187977094168	0.001913301223567818	18.0	1.0	0.02857142857142847
