interaction_name	direction	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	ligand_class	n_q1_detected	n_q4_detected	n_compared	n_cohorts	median_prob_q1	median_prob_q4	delta_median	mwu_u	p	r_rb	sig_p05
HLA-C_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-C	CD8A	HLA-C	CD8A	other	18	9	27	3	0.5198967234408054	0.4815197830254551	-0.03837694041535028	77.0	0.8571364155923	-0.04938271604938271	False
LGALS9_CD45	outgoing	GALECTIN	Secreted Signaling	LGALS9	PTPRC	LGALS9	PTPRC	inhibitory	11	10	21	3	0.16871183685338148	0.3597292573362134	0.19101742048283193	58.0	0.8602588271965479	0.05454545454545445	False
PPIA_BSG	outgoing	CypA	Secreted Signaling	PPIA	BSG	PPIA	BSG	other	18	15	33	3	0.6603181570275836	0.5890568772731174	-0.07126127975446617	131.0	0.8993022978950431	-0.029629629629629672	False
THBS1_CD47	outgoing	THBS	ECM-Receptor	THBS1	CD47	THBS1	CD47	other	3	6	9	3	0.025985540722919837	0.029398715929499525	0.0034131752065796883	10.0	0.9047619047619047	0.11111111111111116	False
CXCL16_CXCR6	outgoing	CXCL	Secreted Signaling	CXCL16	CXCR6	CXCL16	CXCR6	recruit	6	4	10	3	0.04848118742842117	0.06493905355065674	0.01645786612223557	13.0	0.9142857142857143	0.08333333333333326	False
COL9A2_CD44	outgoing	COLLAGEN	ECM-Receptor	COL9A2	CD44	COL9A2	CD44	other	6	5	11	3	0.04914111710872165	0.03484988532113452	-0.014291231787587129	16.0	0.9307359307359306	0.06666666666666665	False
ITGAV_ITGB1_ADGRE5	outgoing	ADGRE	Cell-Cell Contact	ITGAV_ITGB1	ADGRE5	ITGAV|ITGB1	ADGRE5	other	15	9	24	3	0.1679516862051494	0.10245114200627929	-0.0655005441988701	69.0	0.9524515354386665	0.022222222222222143	False
HLA-F_CD8B	outgoing	MHC-I	Cell-Cell Contact	HLA-F	CD8B	HLA-F	CD8B	inhibitory	14	5	19	3	0.11289770326065823	0.1392959352230014	0.02639823196234317	36.0	0.9643962848297213	0.02857142857142847	False
FN1_ITGA4_ITGB1	outgoing	FN1	ECM-Receptor	FN1	ITGA4_ITGB1	FN1	ITGA4|ITGB1	other	10	8	18	3	0.02223504497132516	0.033208932527552734	0.010973887556227573	41.0	0.965400612459436	0.02499999999999991	False
HLA-DRB5_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DRB5	CD4	HLA-DRB5	CD4	other	6	3	9	3	0.06690808348084874	0.1088368314862005	0.04192874800535176	9.0	1.0	0.0	False
HLA-E_CD8B	outgoing	MHC-I	Cell-Cell Contact	HLA-E	CD8B	HLA-E	CD8B	inhibitory	15	5	20	3	0.21722614784707464	0.20033776855791516	-0.016888379289159483	37.0	1.0	-0.013333333333333308	False
HLA-B_CD8B	outgoing	MHC-I	Cell-Cell Contact	HLA-B	CD8B	HLA-B	CD8B	other	15	5	20	3	0.4869923938342049	0.49658198142262017	0.009589587588415271	37.0	1.0	-0.013333333333333308	False
NECTIN3_TIGIT	outgoing	NECTIN	Cell-Cell Contact	NECTIN3	TIGIT	NECTIN3	TIGIT	barrier	4	3	7	2	0.0230410052133322	0.0279595302456221	0.0049185250322899	6.0	1.0	0.0	False
