n_pos	n_neg	median_pos	median_neg	U	p	cliffs_delta	note	series	gene	gene_present	covariate	adjustment	endpoint	test	timepoint	setting	drug	assay	n	rho	n_events	hr	hr_ci_low	hr_ci_high	logrank_p
					0.37470366464846055		purity residual = ESTIMATEScore; residualises both ranks	GSE126044	TACSTD2	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	GEP18	partial Spearman (ranks, n-3 df)	pre	advanced NSCLC	anti-PD-1	bulk RNA-seq (log2CPM from counts)	16.0	0.2470527128638649					
					0.8456104411493658			GSE126044	TACSTD2	True	ESTIMATEScore	OLS residual on ESTIMATEScore	CYT	Spearman of OLS-residual vs raw endpoint	pre	advanced NSCLC	anti-PD-1	bulk RNA-seq (log2CPM from counts)	16.0	0.05294117647058824					
					0.8985289263904752		purity residual = ESTIMATEScore; residualises both ranks	GSE126044	TACSTD2	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	CYT	partial Spearman (ranks, n-3 df)	pre	advanced NSCLC	anti-PD-1	bulk RNA-seq (log2CPM from counts)	16.0	0.03604191524504057					
					0.0759454911674118			GSE126044	CLDN4	True	none	unadjusted	CD8A	Spearman unadjusted	pre	advanced NSCLC	anti-PD-1	bulk RNA-seq (log2CPM from counts)	16.0	-0.4558823529411765					
					0.20425458084551504			GSE126044	CLDN4	True	none	unadjusted	GEP18	Spearman unadjusted	pre	advanced NSCLC	anti-PD-1	bulk RNA-seq (log2CPM from counts)	16.0	-0.33529411764705885					
					0.050133557803774174			GSE126044	CLDN4	True	none	unadjusted	CYT	Spearman unadjusted	pre	advanced NSCLC	anti-PD-1	bulk RNA-seq (log2CPM from counts)	16.0	-0.4970588235294117					
					0.9655081698956275			GSE126044	CLDN4	True	ESTIMATEScore	OLS residual on ESTIMATEScore	CD8A	Spearman of OLS-residual vs raw endpoint	pre	advanced NSCLC	anti-PD-1	bulk RNA-seq (log2CPM from counts)	16.0	-0.011764705882352941					
					0.6566668416779189		purity residual = ESTIMATEScore; residualises both ranks	GSE126044	CLDN4	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	CD8A	partial Spearman (ranks, n-3 df)	pre	advanced NSCLC	anti-PD-1	bulk RNA-seq (log2CPM from counts)	16.0	-0.12518118234538808					
					0.4990748572458002			GSE126044	CLDN4	True	ESTIMATEScore	OLS residual on ESTIMATEScore	GEP18	Spearman of OLS-residual vs raw endpoint	pre	advanced NSCLC	anti-PD-1	bulk RNA-seq (log2CPM from counts)	16.0	0.18235294117647058					
					0.7379629276406899		purity residual = ESTIMATEScore; residualises both ranks	GSE126044	CLDN4	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	GEP18	partial Spearman (ranks, n-3 df)	pre	advanced NSCLC	anti-PD-1	bulk RNA-seq (log2CPM from counts)	16.0	0.09437538214153846					
					0.8796536149318311			GSE126044	CLDN4	True	ESTIMATEScore	OLS residual on ESTIMATEScore	CYT	Spearman of OLS-residual vs raw endpoint	pre	advanced NSCLC	anti-PD-1	bulk RNA-seq (log2CPM from counts)	16.0	-0.0411764705882353					
					0.46968005880669017		purity residual = ESTIMATEScore; residualises both ranks	GSE126044	CLDN4	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	CYT	partial Spearman (ranks, n-3 df)	pre	advanced NSCLC	anti-PD-1	bulk RNA-seq (log2CPM from counts)	16.0	-0.20228311789627276					
					0.7302634743056169			GSE166449	TACSTD2	True	none	unadjusted	CD8A	Spearman unadjusted	pre	advanced lung cancer	ICI (SMC IO; Lee/SELECT)	bulk RNA-seq (deposited log-like TPM)	22.0	-0.07794408670035104					
					0.5662990497257999			GSE166449	TACSTD2	True	none	unadjusted	GEP18	Spearman unadjusted	pre	advanced lung cancer	ICI (SMC IO; Lee/SELECT)	bulk RNA-seq (deposited log-like TPM)	22.0	0.1293054771315641					
					0.7059795704811165			GSE166449	TACSTD2	True	none	unadjusted	CYT	Spearman unadjusted	pre	advanced lung cancer	ICI (SMC IO; Lee/SELECT)	bulk RNA-seq (deposited log-like TPM)	22.0	0.0852625635234331					
					0.3681989643867867			GSE166449	TACSTD2	True	ESTIMATEScore	OLS residual on ESTIMATEScore	CD8A	Spearman of OLS-residual vs raw endpoint	pre	advanced lung cancer	ICI (SMC IO; Lee/SELECT)	bulk RNA-seq (deposited log-like TPM)	22.0	-0.20163796342047335					
					0.5145439606989163		purity residual = ESTIMATEScore; residualises both ranks	GSE166449	TACSTD2	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	CD8A	partial Spearman (ranks, n-3 df)	pre	advanced lung cancer	ICI (SMC IO; Lee/SELECT)	bulk RNA-seq (deposited log-like TPM)	22.0	-0.1506386933843111					
					0.9542576793321902			GSE166449	TACSTD2	True	ESTIMATEScore	OLS residual on ESTIMATEScore	GEP18	Spearman of OLS-residual vs raw endpoint	pre	advanced lung cancer	ICI (SMC IO; Lee/SELECT)	bulk RNA-seq (deposited log-like TPM)	22.0	0.012987012987012988					
					0.4400669619496218		purity residual = ESTIMATEScore; residualises both ranks	GSE166449	TACSTD2	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	GEP18	partial Spearman (ranks, n-3 df)	pre	advanced lung cancer	ICI (SMC IO; Lee/SELECT)	bulk RNA-seq (deposited log-like TPM)	22.0	0.1780303644768392					
					0.9185490835113286			GSE166449	TACSTD2	True	ESTIMATEScore	OLS residual on ESTIMATEScore	CYT	Spearman of OLS-residual vs raw endpoint	pre	advanced lung cancer	ICI (SMC IO; Lee/SELECT)	bulk RNA-seq (deposited log-like TPM)	22.0	-0.023150762281197064					
					0.6432951025059177		purity residual = ESTIMATEScore; residualises both ranks	GSE166449	TACSTD2	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	CYT	partial Spearman (ranks, n-3 df)	pre	advanced lung cancer	ICI (SMC IO; Lee/SELECT)	bulk RNA-seq (deposited log-like TPM)	22.0	0.10733565745701529					
					0.26926678185568087			GSE166449	CLDN4	True	none	unadjusted	CD8A	Spearman unadjusted	pre	advanced lung cancer	ICI (SMC IO; Lee/SELECT)	bulk RNA-seq (deposited log-like TPM)	22.0	-0.24625812899531194					
					0.6009390114559511			GSE166449	CLDN4	True	none	unadjusted	GEP18	Spearman unadjusted	pre	advanced lung cancer	ICI (SMC IO; Lee/SELECT)	bulk RNA-seq (deposited log-like TPM)	22.0	-0.11801242236024848					
					0.6150373834928408			GSE166449	CLDN4	True	none	unadjusted	CYT	Spearman unadjusted	pre	advanced lung cancer	ICI (SMC IO; Lee/SELECT)	bulk RNA-seq (deposited log-like TPM)	22.0	-0.11349520045172222					
					0.6345417834497689			GSE166449	CLDN4	True	ESTIMATEScore	OLS residual on ESTIMATEScore	CD8A	Spearman of OLS-residual vs raw endpoint	pre	advanced lung cancer	ICI (SMC IO; Lee/SELECT)	bulk RNA-seq (deposited log-like TPM)	22.0	-0.10731432226859926					
					0.6527558495887082		purity residual = ESTIMATEScore; residualises both ranks	GSE166449	CLDN4	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	CD8A	partial Spearman (ranks, n-3 df)	pre	advanced lung cancer	ICI (SMC IO; Lee/SELECT)	bulk RNA-seq (deposited log-like TPM)	22.0	-0.10430251949894079					
					0.9900512231067919			GSE166449	CLDN4	True	ESTIMATEScore	OLS residual on ESTIMATEScore	GEP18	Spearman of OLS-residual vs raw endpoint	pre	advanced lung cancer	ICI (SMC IO; Lee/SELECT)	bulk RNA-seq (deposited log-like TPM)	22.0	0.0028232636928289105					
					0.6813152688471696		purity residual = ESTIMATEScore; residualises both ranks	GSE166449	CLDN4	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	GEP18	partial Spearman (ranks, n-3 df)	pre	advanced lung cancer	ICI (SMC IO; Lee/SELECT)	bulk RNA-seq (deposited log-like TPM)	22.0	0.09524315838350202					
					0.9383727661115464			GSE166449	CLDN4	True	ESTIMATEScore	OLS residual on ESTIMATEScore	CYT	Spearman of OLS-residual vs raw endpoint	pre	advanced lung cancer	ICI (SMC IO; Lee/SELECT)	bulk RNA-seq (deposited log-like TPM)	22.0	0.017504234895539244					
					0.6855247883152192		purity residual = ESTIMATEScore; residualises both ranks	GSE166449	CLDN4	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	CYT	partial Spearman (ranks, n-3 df)	pre	advanced lung cancer	ICI (SMC IO; Lee/SELECT)	bulk RNA-seq (deposited log-like TPM)	22.0	0.09391942877912095					
					0.9542085894577506			GSE135222	TACSTD2	True	none	unadjusted	CD8A	Spearman unadjusted	pre	advanced NSCLC	anti-PD-1/PD-L1	bulk RNA-seq log2(TPM+1) from Ensembl	27.0	-0.0115995115995116					
					0.4025612082305464			GSE135222	TACSTD2	True	none	unadjusted	GEP18	Spearman unadjusted	pre	advanced NSCLC	anti-PD-1/PD-L1	bulk RNA-seq log2(TPM+1) from Ensembl	27.0	0.16788766788766787					
					0.4417527030638729			GSE135222	TACSTD2	True	none	unadjusted	CYT	Spearman unadjusted	pre	advanced NSCLC	anti-PD-1/PD-L1	bulk RNA-seq log2(TPM+1) from Ensembl	27.0	0.15445665445665446					
					0.11844917071104047			GSE135222	TACSTD2	True	ESTIMATEScore	OLS residual on ESTIMATEScore	CD8A	Spearman of OLS-residual vs raw endpoint	pre	advanced NSCLC	anti-PD-1/PD-L1	bulk RNA-seq log2(TPM+1) from Ensembl	27.0	-0.3076923076923077					
					0.186635013747439		purity residual = ESTIMATEScore; residualises both ranks	GSE135222	TACSTD2	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	CD8A	partial Spearman (ranks, n-3 df)	pre	advanced NSCLC	anti-PD-1/PD-L1	bulk RNA-seq log2(TPM+1) from Ensembl	27.0	-0.26739587815780086					
					0.42190657242887647			GSE135222	TACSTD2	True	ESTIMATEScore	OLS residual on ESTIMATEScore	GEP18	Spearman of OLS-residual vs raw endpoint	pre	advanced NSCLC	anti-PD-1/PD-L1	bulk RNA-seq log2(TPM+1) from Ensembl	27.0	-0.16117216117216115					
					0.8210541971674128		purity residual = ESTIMATEScore; residualises both ranks	GSE135222	TACSTD2	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	GEP18	partial Spearman (ranks, n-3 df)	pre	advanced NSCLC	anti-PD-1/PD-L1	bulk RNA-seq log2(TPM+1) from Ensembl	27.0	-0.046628549298240375					
					0.3365588830034807			GSE135222	TACSTD2	True	ESTIMATEScore	OLS residual on ESTIMATEScore	CYT	Spearman of OLS-residual vs raw endpoint	pre	advanced NSCLC	anti-PD-1/PD-L1	bulk RNA-seq log2(TPM+1) from Ensembl	27.0	-0.19230769230769232					
					0.673506195698236		purity residual = ESTIMATEScore; residualises both ranks	GSE135222	TACSTD2	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	CYT	partial Spearman (ranks, n-3 df)	pre	advanced NSCLC	anti-PD-1/PD-L1	bulk RNA-seq log2(TPM+1) from Ensembl	27.0	-0.0867417448778892					
					0.5420186784367842			GSE135222	CLDN4	True	none	unadjusted	CD8A	Spearman unadjusted	pre	advanced NSCLC	anti-PD-1/PD-L1	bulk RNA-seq log2(TPM+1) from Ensembl	27.0	0.12271062271062269					
					0.15685923428536028			GSE135222	CLDN4	True	none	unadjusted	GEP18	Spearman unadjusted	pre	advanced NSCLC	anti-PD-1/PD-L1	bulk RNA-seq log2(TPM+1) from Ensembl	27.0	0.2802197802197802					
					0.6300463698164974			GSE135222	CLDN4	True	none	unadjusted	CYT	Spearman unadjusted	pre	advanced NSCLC	anti-PD-1/PD-L1	bulk RNA-seq log2(TPM+1) from Ensembl	27.0	0.09706959706959707					
					0.17855717841549842			GSE135222	CLDN4	True	ESTIMATEScore	OLS residual on ESTIMATEScore	CD8A	Spearman of OLS-residual vs raw endpoint	pre	advanced NSCLC	anti-PD-1/PD-L1	bulk RNA-seq log2(TPM+1) from Ensembl	27.0	-0.2667887667887668					
					0.4480024023223485		purity residual = ESTIMATEScore; residualises both ranks	GSE135222	CLDN4	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	CD8A	partial Spearman (ranks, n-3 df)	pre	advanced NSCLC	anti-PD-1/PD-L1	bulk RNA-seq log2(TPM+1) from Ensembl	27.0	-0.1555436573347024					
					0.5542334831984882			GSE135222	CLDN4	True	ESTIMATEScore	OLS residual on ESTIMATEScore	GEP18	Spearman of OLS-residual vs raw endpoint	pre	advanced NSCLC	anti-PD-1/PD-L1	bulk RNA-seq log2(TPM+1) from Ensembl	27.0	-0.11904761904761904					
					0.8430922472000182		purity residual = ESTIMATEScore; residualises both ranks	GSE135222	CLDN4	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	GEP18	partial Spearman (ranks, n-3 df)	pre	advanced NSCLC	anti-PD-1/PD-L1	bulk RNA-seq log2(TPM+1) from Ensembl	27.0	0.04081015794698705					
					0.06742904400568374			GSE135222	CLDN4	True	ESTIMATEScore	OLS residual on ESTIMATEScore	CYT	Spearman of OLS-residual vs raw endpoint	pre	advanced NSCLC	anti-PD-1/PD-L1	bulk RNA-seq log2(TPM+1) from Ensembl	27.0	-0.3571428571428571					
					0.19450297535811664		purity residual = ESTIMATEScore; residualises both ranks	GSE135222	CLDN4	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	CYT	partial Spearman (ranks, n-3 df)	pre	advanced NSCLC	anti-PD-1/PD-L1	bulk RNA-seq log2(TPM+1) from Ensembl	27.0	-0.26286138749548466					
					0.0029357159706802846			GSE329813	TACSTD2	True	none	unadjusted	CD8A	Spearman unadjusted	post-neoadjuvant residual (tumor bed)	neoadjuvant resectable NSCLC, post-treatment residual	pembrolizumab + platinum (NCT05383716; not durvalumab)	GeoMx DSP (patient-mean tumor-bed ROI, log2(norm+1))	22.0	-0.6036137775268211					
					0.08304544048187623			GSE329813	TACSTD2	True	none	unadjusted	GEP18	Spearman unadjusted	post-neoadjuvant residual (tumor bed)	neoadjuvant resectable NSCLC, post-treatment residual	pembrolizumab + platinum (NCT05383716; not durvalumab)	GeoMx DSP (patient-mean tumor-bed ROI, log2(norm+1))	22.0	-0.3777526821005082					
					0.24626760313236853			GSE329813	TACSTD2	True	none	unadjusted	CYT	Spearman unadjusted	post-neoadjuvant residual (tumor bed)	neoadjuvant resectable NSCLC, post-treatment residual	pembrolizumab + platinum (NCT05383716; not durvalumab)	GeoMx DSP (patient-mean tumor-bed ROI, log2(norm+1))	22.0	-0.25804630152456237					
					0.027590167740837626			GSE329813	TACSTD2	True	ESTIMATEScore	OLS residual on ESTIMATEScore	CD8A	Spearman of OLS-residual vs raw endpoint	post-neoadjuvant residual (tumor bed)	neoadjuvant resectable NSCLC, post-treatment residual	pembrolizumab + platinum (NCT05383716; not durvalumab)	GeoMx DSP (patient-mean tumor-bed ROI, log2(norm+1))	22.0	-0.4692264257481649					
					0.007969677659335506		purity residual = ESTIMATEScore; residualises both ranks	GSE329813	TACSTD2	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	CD8A	partial Spearman (ranks, n-3 df)	post-neoadjuvant residual (tumor bed)	neoadjuvant resectable NSCLC, post-treatment residual	pembrolizumab + platinum (NCT05383716; not durvalumab)	GeoMx DSP (patient-mean tumor-bed ROI, log2(norm+1))	22.0	-0.5623183591415427					
					0.6115002138101083			GSE329813	TACSTD2	True	ESTIMATEScore	OLS residual on ESTIMATEScore	GEP18	Spearman of OLS-residual vs raw endpoint	post-neoadjuvant residual (tumor bed)	neoadjuvant resectable NSCLC, post-treatment residual	pembrolizumab + platinum (NCT05383716; not durvalumab)	GeoMx DSP (patient-mean tumor-bed ROI, log2(norm+1))	22.0	-0.11462450592885377					
					0.38416698613405253		purity residual = ESTIMATEScore; residualises both ranks	GSE329813	TACSTD2	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	GEP18	partial Spearman (ranks, n-3 df)	post-neoadjuvant residual (tumor bed)	neoadjuvant resectable NSCLC, post-treatment residual	pembrolizumab + platinum (NCT05383716; not durvalumab)	GeoMx DSP (patient-mean tumor-bed ROI, log2(norm+1))	22.0	-0.20022977979520665					
					0.986072032076201			GSE329813	TACSTD2	True	ESTIMATEScore	OLS residual on ESTIMATEScore	CYT	Spearman of OLS-residual vs raw endpoint	post-neoadjuvant residual (tumor bed)	neoadjuvant resectable NSCLC, post-treatment residual	pembrolizumab + platinum (NCT05383716; not durvalumab)	GeoMx DSP (patient-mean tumor-bed ROI, log2(norm+1))	22.0	0.003952569169960475					
					0.8091482331089539		purity residual = ESTIMATEScore; residualises both ranks	GSE329813	TACSTD2	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	CYT	partial Spearman (ranks, n-3 df)	post-neoadjuvant residual (tumor bed)	neoadjuvant resectable NSCLC, post-treatment residual	pembrolizumab + platinum (NCT05383716; not durvalumab)	GeoMx DSP (patient-mean tumor-bed ROI, log2(norm+1))	22.0	-0.056098778771418514					
							CLDN4 absent	GSE329813	CLDN4	False	none	unadjusted	CD8A	Spearman unadjusted	post-neoadjuvant residual (tumor bed)	neoadjuvant resectable NSCLC, post-treatment residual	pembrolizumab + platinum (NCT05383716; not durvalumab)	GeoMx DSP (patient-mean tumor-bed ROI, log2(norm+1))	0.0						
							CLDN4 absent	GSE329813	CLDN4	False	none	unadjusted	GEP18	Spearman unadjusted	post-neoadjuvant residual (tumor bed)	neoadjuvant resectable NSCLC, post-treatment residual	pembrolizumab + platinum (NCT05383716; not durvalumab)	GeoMx DSP (patient-mean tumor-bed ROI, log2(norm+1))	0.0						
							CLDN4 absent	GSE329813	CLDN4	False	none	unadjusted	CYT	Spearman unadjusted	post-neoadjuvant residual (tumor bed)	neoadjuvant resectable NSCLC, post-treatment residual	pembrolizumab + platinum (NCT05383716; not durvalumab)	GeoMx DSP (patient-mean tumor-bed ROI, log2(norm+1))	0.0						
							CLDN4 absent	GSE329813	CLDN4	False	ESTIMATEScore	OLS residual on ESTIMATEScore	CD8A	Spearman of OLS-residual vs raw endpoint	post-neoadjuvant residual (tumor bed)	neoadjuvant resectable NSCLC, post-treatment residual	pembrolizumab + platinum (NCT05383716; not durvalumab)	GeoMx DSP (patient-mean tumor-bed ROI, log2(norm+1))	0.0						
							CLDN4 absent	GSE329813	CLDN4	False	ESTIMATEScore	OLS residual on ESTIMATEScore	GEP18	Spearman of OLS-residual vs raw endpoint	post-neoadjuvant residual (tumor bed)	neoadjuvant resectable NSCLC, post-treatment residual	pembrolizumab + platinum (NCT05383716; not durvalumab)	GeoMx DSP (patient-mean tumor-bed ROI, log2(norm+1))	0.0						
							CLDN4 absent	GSE329813	CLDN4	False	ESTIMATEScore	OLS residual on ESTIMATEScore	CYT	Spearman of OLS-residual vs raw endpoint	post-neoadjuvant residual (tumor bed)	neoadjuvant resectable NSCLC, post-treatment residual	pembrolizumab + platinum (NCT05383716; not durvalumab)	GeoMx DSP (patient-mean tumor-bed ROI, log2(norm+1))	0.0						
					1.885111591438741e-05			GSE248378	TACSTD2	True	none	unadjusted	CD8A	Spearman unadjusted	post	neoadjuvant stage I–III NSCLC, residual tumor	durvalumab ± SBRT (NCT02904954)	bulk RNA-seq log2(FPKM+1)	29.0	-0.7059113300492609					
					0.0002531389837552589			GSE248378	TACSTD2	True	none	unadjusted	GEP18	Spearman unadjusted	post	neoadjuvant stage I–III NSCLC, residual tumor	durvalumab ± SBRT (NCT02904954)	bulk RNA-seq log2(FPKM+1)	29.0	-0.6295566502463052					
					1.3231068664533325e-07			GSE248378	TACSTD2	True	none	unadjusted	CYT	Spearman unadjusted	post	neoadjuvant stage I–III NSCLC, residual tumor	durvalumab ± SBRT (NCT02904954)	bulk RNA-seq log2(FPKM+1)	29.0	-0.8059113300492609					
					0.007216293767846512			GSE248378	TACSTD2	True	ESTIMATEScore	OLS residual on ESTIMATEScore	CD8A	Spearman of OLS-residual vs raw endpoint	post	neoadjuvant stage I–III NSCLC, residual tumor	durvalumab ± SBRT (NCT02904954)	bulk RNA-seq log2(FPKM+1)	29.0	-0.48817733990147766					
					0.0012975994197135252		purity residual = ESTIMATEScore; residualises both ranks	GSE248378	TACSTD2	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	CD8A	partial Spearman (ranks, n-3 df)	post	neoadjuvant stage I–III NSCLC, residual tumor	durvalumab ± SBRT (NCT02904954)	bulk RNA-seq log2(FPKM+1)	29.0	-0.5772996609207868					
					0.10596224736864958			GSE248378	TACSTD2	True	ESTIMATEScore	OLS residual on ESTIMATEScore	GEP18	Spearman of OLS-residual vs raw endpoint	post	neoadjuvant stage I–III NSCLC, residual tumor	durvalumab ± SBRT (NCT02904954)	bulk RNA-seq log2(FPKM+1)	29.0	-0.3064039408866994					
