cohort	unit_id	n_cells	n_mal	n_tnk	n_high	n_low	cldn4_pct	cldn4_mean	cldn4_mean_high	cldn4_mean_low	eligible_q4	cldn4_separated
GSE205335	P1025	1222	980	128	245	245	0.928571428571429	1.69404501248053	2.49193758418288	0.689862056588959	True	True
GSE205335	P1027	4600	1318	2619	329	329	0.780728376327769	2.11987917294501	3.38508474035628	0.145554830917979	True	True
GSE205335	P1030	861	603	140	150	150	0.616915422885572	1.61708520172523	3.22757818762698	0.0	True	True
GSE205335	P1037	4983	3671	611	917	917	0.860528466357941	0.954375637171382	1.70831276993493	0.196397569058958	True	True
GSE205335	P1056	5103	2386	1354	596	596	0.497066219614417	0.810487825225173	2.28933018998188	0.0	True	True
GSE205335	P1062	3057	188	1934	47	47	0.452127659574468	0.985852262752545	2.69010027064358	0.0	True	True
GSE205335	P1063	4297	131	3144	32	32	0.351145038167939	0.736917035356666	2.38865229152368	0.0	True	True
GSE205335	P1072	1273	406	586	101	101	0.588669950738916	0.935938654348213	2.33892809254469	0.0	True	True
GSE205335	P1076	6975	849	2089	212	212	0.593639575971731	0.923803180108997	2.08570605732261	0.0	True	True
GSE205335	P1079	1277	543	501	135	135	0.513812154696133	0.966748371147828	2.53075150884388	0.0	True	True
GSE205335	P1084	3534	196	2350	49	49	0.86734693877551	2.25621385228908	3.51164692748833	0.605461549990627	True	True
GSE205335	P1089	1609	1063	272	265	265	0.877704609595484	2.15144174678437	3.2099012560367	0.760450516361199	True	True
GSE205335	P1090	976	566	247	141	141	0.381625441696113	0.688006451246457	2.4169347702971	0.0	True	True
GSE205335	P1115	4397	3769	271	942	942	0.888829928362961	1.62298214641249	2.49976490125271	0.559708199245707	True	True
GSE205335	P1119	2386	1222	621	305	305	0.36088379705401	0.561069302114738	1.96892626046769	0.0	True	True
GSE189357	TD1	15216	2186	9915	546	546	0.561299176578225	1.1728300055963807	2.733255226223099	0.0	True	True
GSE189357	TD2	18064	1207	11334	301	301	0.356255178127589	0.6499441881386089	2.168985110951806	0.0	True	True
GSE189357	TD3	12658	664	6525	166	166	0.4804216867469879	0.7584330530439588	2.058764956447265	0.0	True	True
GSE189357	TD4	11756	491	7096	122	122	0.3034623217922607	0.4999722683584418	1.8180261598431728	0.0	True	True
GSE189357	TD5	19079	1736	11055	434	434	0.3686635944700461	0.7522334712230414	2.37721169707907	0.0	True	True
GSE189357	TD6	8999	1211	3392	302	302	0.6350123864574732	1.0543720418519282	2.2636725729200124	0.0	True	True
GSE189357	TD7	3507	849	1851	212	212	0.3663133097762073	0.7506313082215457	2.4007687673090707	0.0	True	True
GSE189357	TD8	15521	1019	7257	254	254	0.4533856722276742	0.6933399995774869	1.935502804907668	0.0	True	True
GSE189357	TD9	17573	4889	4345	1222	1222	0.7856412354264676	1.778717644997016	2.9856415448248037	0.1442825474967318	True	True
