sample,donor,sample_type,mTLS,n_cells,n_malignant,n_TNK,frac_TNK,malignant_TACSTD2_mean,malignant_CLDN4_mean,malignant_TACSTD2_pct_pos,malignant_CLDN4_pct_pos
T25_RESRT,T25,RESRT,Low,199,10,103,0.5175879396984925,0.46889098728714734,0.7926772100030439,40.0,50.0
T25_RESRU,T25,RESRU,Low,1957,50,827,0.4225855901890649,1.3864689353421316,1.2206399449223981,70.0,66.0
T28_INXBX,T28,INXBX,,449,142,66,0.14699331848552338,1.4958547921413847,1.2208034535868615,80.28169014084507,74.64788732394366
T28_RESRT,T28,RESRT,,5592,4286,423,0.07564377682403434,1.3623976676054457,1.0496482564285994,87.26084927671488,79.9113392440504
T28_RESRU,T28,RESRU,,1484,988,135,0.09097035040431267,1.183517974864474,1.1479681248170397,88.05668016194332,89.27125506072875
T29_INXBX,T29,INXBX,,99,3,27,0.2727272727272727,0.4518611433365896,0.2554053694039467,33.33333333333333,33.33333333333333
T29_RESRT,T29,RESRT,,341,10,35,0.10263929618768329,1.4578437729782567,1.1841396106094175,80.0,70.0
T29_RESRU,T29,RESRU,,48,5,11,0.22916666666666666,1.328958551769897,0.8116313649785056,100.0,60.0
T30_INXBX,T30,INXBX,,1302,322,283,0.217357910906298,2.343277680406533,2.502919058738674,96.58385093167702,98.4472049689441
T30_RESRT,T30,RESRT,,116,3,91,0.7844827586206896,1.0679952362046403,1.0156355044119212,33.33333333333333,33.33333333333333
T30_RESRU,T30,RESRU,,6,1,4,0.6666666666666666,1.3097209815330428,2.3904902694039993,100.0,100.0
T31_INXBX,T31,INXBX,,515,324,7,0.013592233009708738,2.4059665365935348,2.326113561153576,96.91358024691358,97.22222222222221
T31_RESRT,T31,RESRT,,855,499,60,0.07017543859649122,2.2005479351394586,1.3539806626122277,97.39478957915831,82.96593186372746
T31_RESRU,T31,RESRU,,2340,1623,42,0.017948717948717947,2.4399919902275204,1.7090132934300963,98.4596426370918,92.17498459642637
T33_INXBX,T33,INXBX,,1017,227,26,0.025565388397246803,1.593631039885512,1.2782111042688429,88.98678414096916,81.05726872246696
T33_RESRT,T33,RESRT,,3263,1007,266,0.08152007355194606,1.599716048292601,1.4590315517804877,84.40913604766634,80.93346573982126
T33_RESRU,T33,RESRU,,3006,227,452,0.15036593479707253,1.712291651757953,1.731032019159473,81.05726872246696,79.73568281938326
T35_RESRT,T35,RESRT,,669,476,98,0.14648729446935724,3.3839359434603344,2.927809141247005,98.31932773109243,97.89915966386555
T41_INXBX,T41,INXBX,,7801,884,842,0.10793488014357133,2.104205782733711,1.3570051743709497,90.61085972850678,78.95927601809954
T41_RESRT,T41,RESRT,,36,1,26,0.7222222222222222,0.0,0.0,0.0,0.0
T41_RESRU,T41,RESRU,,7339,2116,3064,0.4174955716037607,1.6977051220578778,1.9070327875344544,92.10775047258979,93.90359168241966
T42_RESRT,T42,RESRT,,408,197,42,0.10294117647058823,1.4725296030007249,1.6073705848268636,79.18781725888326,84.77157360406092
T42_RESRU,T42,RESRU,,1209,623,220,0.18196856906534326,1.4234931706100764,1.771394149217478,80.25682182985554,89.56661316211878
