,TACSTD2,CD8A,NKG7,NCAM1,LGALS1,LGALS3,LGALS9,PVR,TGFB1,TGFB2,TGFB3,CD47,SIRPA,CD274,EPCAM,CLDN4
TCGA-69-8253-01,12.4346,6.4477,6.1381,3.7004,10.473,12.6997,10.2521,10.7072,9.5927,6.8129,7.1997,12.0534,9.0703,4.6438,13.5701,13.1877
TCGA-86-8674-01,13.113,5.689,5.3544,1.8445,10.5745,12.8376,10.7012,10.4766,8.8339,5.3935,8.2045,11.0411,7.1733,4.2891,13.8594,13.1878
TCGA-69-7765-01,11.9324,8.0837,7.2125,6.083,12.4327,12.7727,10.1933,10.3581,11.5218,7.4108,9.7678,12.5615,10.6145,6.015,13.386,13.0924
TCGA-86-8672-01,12.4254,9.4884,8.9106,4.6976,12.7279,12.7064,11.509,10.1856,11.2168,5.4809,8.7597,12.2794,10.2891,6.6651,12.4517,13.3592
TCGA-MP-A4T6-01,13.4196,7.7512,7.1891,4.4502,10.1114,13.1713,11.4427,9.712,10.8141,4.9202,8.5564,11.4701,9.5919,5.2325,13.4038,14.0766
TCGA-97-7547-01,13.5193,6.9075,5.2883,8.9693,10.0773,12.3764,11.916,11.3932,10.5841,8.7362,9.0949,10.8593,9.5216,5.8771,13.741,13.6659
TCGA-55-7911-01,11.5573,9.9155,8.1754,2.7687,12.5374,13.2187,11.1497,10.3988,10.9119,6.5951,7.9717,12.8113,9.9304,7.8547,13.6591,13.1006
TCGA-91-6835-01,12.0351,10.3606,8.4678,5.6237,11.2133,12.756,11.429,11.1098,11.0765,8.0553,8.8864,12.6955,11.2544,7.3534,12.7361,13.8149
TCGA-55-A48Z-01,12.3416,8.1717,7.1329,7.9513,12.6255,14.1679,11.6059,9.7043,10.2574,7.3651,9.1511,11.5434,10.2368,6.6228,12.7889,14.2594
TCGA-50-5045-01,12.4794,9.481,8.8691,6.5027,14.1024,14.4102,11.4988,9.7277,11.1688,8.5907,9.8089,12.2356,10.8327,6.9154,12.9622,13.0188
TCGA-55-7913-01,12.235,6.7592,5.6705,2.242,10.37,12.5877,10.3473,10.7452,8.1855,5.6786,7.5859,11.5983,8.3353,3.8567,13.9662,13.9538
TCGA-86-8075-01,13.0589,5.7042,5.4732,8.5527,12.465,12.6931,11.6406,10.8574,10.2312,10.1417,9.1779,12.0369,10.7541,6.718,13.1702,14.2683
TCGA-97-8177-01,12.2548,8.3033,7.3001,6.6816,13.1602,13.3098,12.3028,9.7972,11.2087,7.4521,9.4438,12.5993,11.0692,5.5864,12.9053,14.0347
TCGA-55-7907-01,13.5039,8.6764,8.2347,4.9769,11.8715,13.1616,10.3256,10.93,11.1193,8.903,8.6681,13.0328,10.1669,5.7384,14.0966,13.47
TCGA-44-8117-01,14.8686,7.4843,6.3767,4.2398,12.0437,13.0351,8.7097,9.8567,11.413,10.158,8.6663,12.6203,9.6106,6.7924,13.872,14.331
TCGA-86-8668-01,12.9533,7.383,6.6107,6.3329,11.7855,12.7547,10.8216,9.5032,11.2641,9.0859,9.068,12.9777,10.2427,5.8835,12.1641,14.7916
TCGA-78-8660-01,12.5542,9.2443,9.7189,4.3398,11.7747,14.6051,10.8929,11.2543,12.2486,6.8052,7.4546,11.591,10.4807,7.0723,13.893,13.2234
TCGA-05-4415-01,7.8968,8.7567,7.8166,3.9281,11.2203,11.9096,8.5703,11.6939,9.9863,10.8939,6.7741,9.7167,9.4459,6.0025,11.1811,7.7377
TCGA-75-6212-01,12.8342,6.2594,6.2594,5.008,11.6613,13.726,11.6626,9.1607,10.6358,7.3498,7.9501,11.7419,10.6762,5.6692,13.5449,12.5559
TCGA-67-6215-01,12.0522,5.9031,5.5601,4.0567,11.5149,13.6357,11.8778,10.3947,11.0933,6.8955,6.7829,12.6817,10.1725,4.8359,13.2714,12.5587
TCGA-05-4430-01,12.0457,8.2556,7.7247,5.3189,13.1767,12.7073,11.085,9.8069,11.4471,10.3116,9.702,12.5143,10.7668,6.1662,12.7341,13.9001
TCGA-49-6742-01,13.0212,6.7797,6.9633,3.516,11.0337,13.1746,11.0812,10.1181,9.6961,7.1029,7.4492,10.8355,9.4856,4.4999,14.2726,13.5595
TCGA-38-4627-01,12.654,7.306,7.0678,7.5473,14.5812,13.2955,11.3415,9.7673,11.1956,10.6224,10.8806,11.4945,11.0161,5.4248,12.5978,12.7584
TCGA-69-7979-01,12.6137,6.222,5.8681,9.9713,11.6105,12.3381,9.9751,10.8991,10.5393,8.9816,8.9336,12.6732,9.3715,5.8171,12.6232,14.1813
TCGA-69-7973-01,9.5597,7.5688,6.3669,7.2901,10.7239,11.1552,9.8652,11.3506,9.4458,6.5919,9.5875,10.5381,8.9982,5.2538,13.686,12.5765
TCGA-73-7499-01,12.591,10.438,9.274,4.0666,12.4892,13.0654,12.215,8.7129,9.492,7.1213,8.9191,13.4101,9.7338,5.8653,13.5547,13.5325
TCGA-44-A47A-01,12.8935,7.2718,6.0884,2.8362,11.2962,12.7731,12.1749,10.2479,11.3253,7.0994,7.6407,10.7649,10.3938,6.1624,13.0375,12.4884
TCGA-78-8662-01,13.1804,6.6092,5.9204,4.5135,10.0827,12.3316,9.4234,9.8449,9.455,8.8297,6.9163,12.9052,7.8863,3.3597,13.8907,13.9595
TCGA-55-8085-01,12.1764,9.2834,8.4964,3.8301,11.3744,12.5079,10.8762,9.3433,9.6418,5.5946,8.653,12.2683,9.8942,5.5946,13.9086,12.7947
TCGA-75-6206-01,12.1246,6.6501,5.5528,4.3582,10.9501,11.7252,10.8054,10.425,10.5386,9.7482,7.9743,13.286,10.5368,4.9638,12.7969,12.5753
TCGA-50-5932-01,13.9454,5.8251,5.4532,3.3425,10.0317,12.9781,10.4555,10.9399,10.4691,6.1546,7.3823,11.9462,8.8657,4.5511,14.0845,14.3326
TCGA-50-6594-01,12.5115,6.1865,6.607,5.8752,11.901,13.283,9.7869,9.9509,11.2932,4.0438,7.6307,12.4416,9.4691,10.6897,14.1946,13.8267
TCGA-49-AARQ-01,10.6115,7.8816,8.2603,7.9841,11.7906,13.0623,12.1908,10.6412,9.2606,5.5907,6.9933,11.6468,9.1074,4.8624,13.0942,12.1781
TCGA-55-7574-01,11.2297,9.6388,8.1517,4.5862,12.2777,12.1386,10.8161,10.3439,11.0679,7.3054,10.0214,11.8437,10.2274,5.6037,11.9832,12.0012
TCGA-50-5066-01,11.5856,10.3138,10.1987,3.4035,14.5264,13.9128,9.6989,9.556,11.2491,7.7675,8.9687,12.9786,9.9304,6.4612,12.4946,13.162
TCGA-86-A4P7-01,11.7238,9.0276,8.4082,5.4336,11.7127,13.1656,11.7333,10.191,11.9098,8.9618,8.8843,11.6784,10.5458,5.7329,12.4021,13.33
TCGA-64-5779-01,10.8129,8.6598,7.3634,8.3979,11.9676,10.5572,9.1706,10.0597,10.5175,8.0824,9.3018,11.7221,9.3836,5.1774,15.1049,11.4315
TCGA-55-8096-01,11.8094,7.565,6.245,5.5688,12.7295,12.9849,11.0185,10.2725,11.1063,8.7072,9.4118,11.3345,11.0795,5.2986,13.4213,13.0661
TCGA-97-8175-01,13.5359,6.1898,6.7566,3.2773,12.0617,13.7302,12.9611,10.6764,9.7949,7.9066,8.5248,12.9382,10.3433,7.5449,13.4788,14.1758
TCGA-44-A4SS-01,13.769,9.2294,8.5608,4.8702,11.4219,11.9591,11.8988,10.1502,11.409,8.7874,8.9368,11.9849,10.4989,6.0155,13.4152,14.2554
TCGA-91-7771-01,11.8391,9.5143,7.4998,5.8756,11.0752,13.2777,10.6814,9.9381,10.1247,7.4676,8.5275,12.3033,10.5212,5.9968,14.1428,13.116
TCGA-86-8278-01,12.1006,6.7491,6.006,4.7786,12.0991,12.573,11.8309,10.372,10.2886,8.5333,9.2849,12.2047,9.9655,6.5756,12.7415,12.5008
TCGA-55-8087-01,12.8622,5.4799,3.8691,7.6078,10.3471,12.6853,11.3353,9.8334,10.9218,7.7827,8.2278,11.6968,9.6669,4.0624,13.3969,13.2314
TCGA-MP-A4T8-01,12.7561,5.4119,5.1299,3.1666,11.7123,12.4503,9.5576,10.2915,10.7424,7.4256,9.5807,10.5327,9.0908,4.0839,13.6046,13.2144
TCGA-L9-A5IP-01,13.846,7.95,7.3107,5.2069,11.4599,13.3796,9.2257,11.3598,9.9867,6.0791,8.1187,11.028,12.0319,6.638,12.2289,13.1341
TCGA-55-6979-01,12.4533,9.8298,8.671,4.6817,12.6602,13.0314,12.498,10.9705,10.9439,8.6047,9.6567,12.0175,11.3372,8.2778,12.4129,13.2114
TCGA-69-7980-01,12.9765,8.8397,8.021,5.3615,11.2783,12.6672,11.6652,10.2807,11.0652,9.6141,7.7047,13.2187,10.1129,6.72,14.2994,13.7292
TCGA-62-A472-01,12.5572,8.9349,7.8858,3.1247,11.76,13.3172,9.9893,10.9497,10.4706,7.6074,8.5228,12.6909,9.4228,7.3502,13.6764,13.1811
TCGA-49-4507-01,14.2829,10.6705,10.9505,5.9187,12.9393,13.7646,10.7892,9.8292,10.2274,7.0974,7.6077,12.1264,10.0022,4.5322,12.2049,12.1646
TCGA-55-6642-01,11.9068,8.8991,7.7719,7.3876,12.5679,11.4953,8.9401,10.4998,10.4233,7.2577,10.7023,11.6213,10.3535,5.9375,13.2803,12.0786
TCGA-86-7701-01,10.599,9.3304,8.6145,6.0516,11.5446,11.186,10.0253,9.9319,10.3198,7.0522,9.8666,11.5272,10.0441,6.284,13.4985,12.3385
TCGA-62-A46R-01,13.3491,8.5005,6.2294,4.0006,10.8783,12.7511,10.318,9.3338,10.4074,8.2366,8.034,11.8313,10.0841,5.7149,14.1862,13.7209
TCGA-62-A46V-01,13.0962,4.2377,3.8968,5.6042,12.6667,13.2931,11.2422,10.0925,11.653,7.6003,9.5938,12.7175,9.5429,4.3821,13.6587,12.5703
TCGA-44-6146-01,13.4662,6.7781,5.8545,5.9628,9.329,12.3277,10.3894,9.9561,9.7148,8.3483,7.5146,11.7471,10.6929,4.7879,13.4534,11.3115
TCGA-49-4501-01,13.7542,7.9818,7.5055,6.2079,12.2858,14.1077,12.0418,9.9531,11.6328,7.4801,9.3405,13.4251,9.6066,6.0327,13.8552,13.6714
TCGA-55-7914-01,11.9094,8.8211,7.1439,4.0437,10.9873,13.0028,10.9054,10.3391,11.9625,10.1811,8.0189,12.4227,10.4192,6.3212,13.6891,13.1786
TCGA-73-4659-01,12.2802,6.2933,6.5257,4.4658,11.9442,12.1427,10.1713,10.6588,10.2008,6.9953,9.5543,11.4511,10.6187,6.0065,13.2933,12.9723
TCGA-86-8669-01,12.2747,7.7624,7.0791,7.5938,10.3404,9.5906,9.7876,10.5096,10.0441,6.6964,7.7026,11.064,9.7927,5.8664,13.7369,12.8296
TCGA-49-AAQV-01,13.1257,7.8898,6.6305,6.6585,12.2973,12.82,11.5735,9.8349,10.2707,7.4005,8.3849,11.8115,9.5442,6.3978,13.1547,13.8427
TCGA-78-7149-01,13.1578,6.702,6.9344,3.0301,11.1964,12.4771,10.4248,9.6419,10.2292,6.861,7.8988,13.0045,8.5353,2.576,13.9705,12.5215
TCGA-86-8055-01,12.6454,7.0368,6.0755,7.5537,12.994,12.8176,10.7513,10.8031,10.7563,9.1769,9.3799,12.1344,10.6942,6.395,13.3029,12.8991
TCGA-91-6829-01,12.3219,7.7464,6.154,6.2054,12.0502,11.3298,10.5158,9.9864,10.4906,10.8218,10.0588,12.7123,10.9553,6.284,12.9898,12.8931
TCGA-78-7163-01,11.5719,7.6334,6.2924,4.9916,8.8394,13.2762,10.8227,9.5816,7.9868,6.1396,7.4307,10.1709,6.4644,5.7749,13.3345,13.5808
TCGA-62-8398-01,12.7447,7.3698,7.5071,3.571,11.4015,12.2687,11.1849,10.9431,10.6291,7.0153,9.2423,10.5352,10.7532,6.4545,12.5617,13.4028
TCGA-38-A44F-01,12.7598,8.3401,8.124,6.5983,12.6633,13.3375,11.8393,10.2332,10.915,9.3187,8.9031,11.9465,10.8765,4.8277,13.133,12.4427
TCGA-38-4631-01,12.3032,7.5827,7.4203,2.8636,13.3098,12.4381,8.8774,10.6505,9.5621,4.5703,7.1038,11.347,9.5456,3.9189,14.5601,13.0615
TCGA-L9-A7SV-01,11.5556,7.0799,6.3326,3.8281,9.9877,13.1061,8.5873,10.6554,9.237,8.3528,6.8012,13.4775,8.3478,4.5856,13.5771,13.6164
TCGA-49-AAR2-01,12.8758,8.094,6.8435,8.1166,12.012,11.6863,11.8955,9.7321,10.3711,5.4078,8.2339,11.6912,9.2855,4.0415,14.4764,12.3571
TCGA-MP-A4SY-01,12.3029,5.7028,4.7065,5.4969,12.9274,13.3422,10.1766,10.6886,10.1954,8.442,9.3413,12.5207,10.3546,7.1815,12.8834,12.9527
TCGA-05-4432-01,11.6769,8.5163,7.8831,8.5533,11.4193,11.2305,10.0122,10.5823,10.6636,7.4482,8.6683,12.1897,10.2546,5.9031,13.5776,12.9188
TCGA-05-4398-01,13.2303,8.3339,7.4935,3.7202,13.1057,14.1285,11.189,10.9593,10.9277,8.2394,8.3261,12.8719,10.9107,9.35,12.4593,14.5304
TCGA-75-6211-01,11.6566,7.9167,6.3081,9.4804,11.1513,9.9851,9.425,10.4411,9.495,9.3615,8.1076,8.5687,9.4041,4.3267,13.0814,12.5362
TCGA-44-6778-01,9.9283,9.8727,9.6124,10.8031,11.5603,11.8956,11.1649,10.1668,10.7337,11.2058,8.1171,11.8015,11.5344,8.2703,11.7652,11.2938
TCGA-55-8510-01,13.3129,9.2203,8.4455,4.7717,12.3213,13.1568,11.712,10.4271,11.2002,10.6767,8.9276,12.6405,11.0867,7.1597,13.2012,13.7664
TCGA-MP-A4TD-01,11.4266,7.1392,6.5417,5.3548,12.2085,11.7928,10.2618,10.8341,10.7274,7.1392,10.0786,11.0667,9.8688,4.3022,12.6134,12.926
TCGA-55-8205-01,12.0472,10.1244,9.0648,4.572,12.2673,12.452,10.7084,10.7519,10.5364,8.9568,8.8609,12.3122,11.5121,9.5738,13.279,12.9263
TCGA-55-7573-01,13.4735,7.9796,6.6247,6.6932,10.6773,12.384,10.6138,9.495,10.9854,9.4692,9.0062,12.6564,10.2905,5.493,13.0817,12.4929
TCGA-MP-A4T4-01,13.2393,10.1841,9.37,5.6385,13.1637,12.4922,11.3708,10.9927,11.7629,7.8908,9.4329,11.7816,10.7451,9.1072,13.1064,13.5897
TCGA-97-7941-01,12.8834,7.7404,6.9867,5.9112,11.312,13.8025,11.5536,10.7819,10.4411,9.3633,8.5177,11.6837,11.3085,4.7656,13.0879,13.0764
TCGA-55-7994-01,12.9067,9.7072,8.9146,3.8054,11.897,12.3126,10.6695,10.0739,10.8018,8.0791,7.358,12.7348,10.9265,9.6723,12.8448,12.9841
TCGA-05-4420-01,13.9231,6.6382,5.9604,2.055,12.1018,11.5872,8.2211,9.8517,9.81,4.7706,8.919,12.6966,8.8809,4.3912,15.276,13.5723
TCGA-50-6591-01,8.7459,1.9953,1.7611,12.493,11.355,10.7504,8.3539,10.2726,8.5688,11.2206,10.4075,9.0243,11.4215,2.6727,10.8453,10.4684
TCGA-38-4630-01,10.8605,7.6893,5.9371,10.8437,11.7642,10.5597,11.426,10.1384,8.7339,10.2885,8.4038,11.491,9.1859,4.854,13.6004,12.7047
TCGA-49-6743-01,13.2828,7.8856,7.2971,8.0769,11.585,12.3611,9.7805,11.182,10.1853,7.6011,8.4926,12.3679,10.0111,7.1778,13.1886,12.7352
TCGA-55-8206-01,13.3713,6.351,5.2335,7.5009,10.9887,12.0504,10.944,10.1017,10.8587,9.1088,8.8444,11.6558,11.1847,5.8056,12.5059,13.083
TCGA-MP-A5C7-01,12.9499,4.6478,5.2135,6.3562,9.1088,11.0181,8.4529,9.708,8.7076,8.3521,8.696,12.1704,7.3728,3.6093,14.1899,12.4509
TCGA-49-AARE-01,14.4067,7.9365,7.3041,5.4373,13.0067,12.7516,10.9546,11.0263,9.6912,5.4967,8.3746,10.8681,10.7782,4.1571,13.575,14.5891
TCGA-75-6203-01,11.7977,8.091,8.8251,5.8429,12.6085,13.4648,11.7653,9.8213,11.2651,9.092,8.6109,12.2738,11.9157,6.4984,12.271,11.6967
TCGA-86-7955-01,12.8437,6.6057,5.7062,3.5661,10.8488,12.8154,8.8209,10.5518,7.6705,6.5136,7.25,10.782,7.4743,4.4651,13.7304,13.05
TCGA-49-6744-01,12.5061,9.4185,8.191,5.7672,12.3411,11.9577,12.1884,10.1835,10.9218,8.7266,9.5624,12.5204,11.1497,6.1239,12.7736,13.0655
TCGA-95-A4VN-01,12.212,9.6505,9.2518,5.1579,12.7964,12.5248,11.4069,10.5884,10.7375,7.6044,8.6924,12.1123,10.5309,10.368,13.5597,12.9753
TCGA-55-7576-01,14.0262,8.4702,6.7877,7.4287,11.4617,12.777,10.4022,10.6308,10.206,10.0093,8.4682,12.3169,10.338,6.0392,13.9543,13.845
TCGA-53-7626-01,13.1945,9.651,8.5828,5.2148,11.4619,11.9875,11.6364,9.6159,11.0036,11.3127,8.7351,12.4843,10.9394,6.4974,12.3151,13.952
TCGA-97-7546-01,12.2939,8.776,6.0496,7.9101,10.7492,12.5881,9.2153,9.6719,10.4813,9.3449,8.7092,12.9504,10.1645,7.3423,12.4208,12.8738
TCGA-44-7672-01,12.0696,8.868,8.4074,4.5152,13.3755,12.6555,11.4875,10.0751,11.3141,7.9415,9.684,11.5593,11.2751,7.1885,13.1455,13.4386
TCGA-62-A46O-01,12.0706,5.6129,4.7051,1.9211,8.7339,13.1623,7.3942,12.0685,8.2088,5.261,6.5729,10.583,7.0625,4.0538,14.1596,10.838
TCGA-55-6984-01,13.6567,6.4717,6.3797,4.0478,10.583,13.3437,11.4183,10.8174,9.5465,7.6192,7.9794,12.2191,9.8363,5.2312,13.7388,13.5138
TCGA-97-8174-01,11.0333,7.7284,6.8578,6.7333,11.1592,11.7644,9.7238,10.1654,10.3015,7.479,8.761,12.06,10.0512,5.503,11.5862,10.8368
TCGA-35-4123-01,12.5089,11.6923,10.558,2.746,14.1435,14.6945,10.9911,10.527,10.971,8.6911,9.4026,12.9701,10.1927,9.0645,13.6572,13.6557
TCGA-93-A4JO-01,12.4814,9.2272,8.5384,5.292,11.8156,12.4678,11.2587,9.8478,11.3938,11.0271,8.5981,12.7223,10.6508,6.3587,12.088,13.485
TCGA-97-7937-01,13.1913,5.3063,4.284,2.7279,12.242,13.6339,10.3794,10.5741,11.1555,10.3126,7.5807,12.9272,9.317,4.127,13.1225,14.0225
TCGA-50-6597-01,13.1161,7.8037,7.8691,3.5069,12.0335,14.1111,13.0098,11.9614,10.0833,7.6898,7.9702,12.6722,9.8732,3.2453,14.3696,12.832
TCGA-99-8033-01,12.346,9.3404,9.2508,5.2521,11.344,12.2735,10.0803,10.1901,9.5376,7.8978,7.9375,12.2284,9.8402,7.3838,12.9191,12.1027
TCGA-55-7570-01,10.1821,8.1794,6.3812,8.2259,10.9392,11.9818,8.6646,9.9565,9.5516,11.5145,8.7445,9.6243,8.5915,4.6668,14.5146,12.6991
TCGA-38-4626-01,11.473,7.8871,7.3079,5.2769,12.9151,13.2573,11.7101,10.3866,10.9399,7.8885,8.9229,12.7001,11.7326,7.2851,11.6281,12.3126
TCGA-69-7764-01,12.751,8.6253,6.8126,8.1803,9.8066,11.692,9.8987,11.302,10.8069,10.8449,7.9715,12.3328,8.5431,5.2531,13.8665,12.682
TCGA-05-5715-01,13.4856,6.9494,6.107,4.2448,12.4104,13.7072,12.3241,10.4197,10.6635,8.1677,8.4286,10.9366,10.6621,4.4648,13.7691,14.3544
TCGA-50-6590-01,11.5671,9.2312,8.4665,4.8709,13.3748,12.6016,10.8613,10.8596,11.947,10.6642,9.3881,11.5407,11.3135,8.8981,11.1142,11.949
TCGA-86-7713-01,11.5122,5.5525,5.303,2.2039,9.5092,11.4845,8.6113,11.5039,8.1054,6.2756,7.6654,11.4383,8.3725,5.1354,13.0917,12.6879
TCGA-S2-AA1A-01,9.9876,8.7748,8.0748,6.083,11.6105,12.1519,11.0072,9.6989,11.4553,8.5258,9.23,11.3516,10.0987,6.0698,12.7199,12.4345
TCGA-75-7027-01,12.1535,7.0076,5.8298,4.3485,12.0546,11.8245,9.5305,10.1719,10.2432,7.6577,9.0917,10.4085,9.8436,4.5772,14.3389,12.7511
TCGA-50-5049-01,12.876,10.9426,9.5845,4.9343,13.5332,12.9113,11.5778,9.3418,11.2957,8.8198,10.405,12.6716,11.2045,7.0997,12.6641,13.5377
TCGA-55-8505-01,13.3071,5.4009,4.9838,4.8428,12.4916,11.9725,10.0393,10.9194,10.8626,6.9144,8.9763,10.9618,9.7894,3.9205,13.1133,13.815
TCGA-49-AAR0-01,12.6956,8.1094,8.5765,9.4014,12.4831,12.8056,11.765,10.2208,10.4921,8.303,8.024,11.9754,10.3182,4.8708,12.773,13.9141
TCGA-MP-A4T9-01,12.6472,7.7868,7.4183,4.7488,12.0639,13.0699,11.5827,10.76,11.4181,8.8523,8.7965,12.0108,10.3862,6.9409,13.1336,13.4617
