Study_ID,GSM_ID,IN_VIVO,Cancer_type,Cell_Line,sub_clone,Condition,ICB,ICB_study,ICB_group,ICB_Baseline_TYPE,Baseline,Cell_treatment,Cell_genotype,Tumor,Mouse_genotype,Mouse_strain,Mouse_treatment,Timepoint,Implantation,Implantation_site,SRX_ID,SampleName
GSE103725,GSM2779783,in_vivo,Melanoma,YUMM1.7,parental,on.treatment_regressing,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6,BRAFi,NA,subcutaneous,flank,SRX3178225,SRX3178225
GSE103725,GSM2779784,in_vivo,Melanoma,YUMM1.7,parental,on.treatment_residual,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6,BRAFi,NA,subcutaneous,flank,SRX3178226,SRX3178226
GSE103725,GSM2779785,in_vivo,Melanoma,YUMM1.7,parental,on.treatment_residual,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6,BRAFi,NA,subcutaneous,flank,SRX3178227,SRX3178227
GSE103725,GSM2779786,in_vivo,Melanoma,YUMM1.7,parental,on.treatment_residual,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6,BRAFi,NA,subcutaneous,flank,SRX3178228,SRX3178228
GSE103725,GSM2779787,in_vivo,Melanoma,YUMM1.7,parental,on.treatment_residual,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6,BRAFi,NA,subcutaneous,flank,SRX3178229,SRX3178229
GSE103725,GSM2779788,in_vivo,Melanoma,YUMM1.7,parental,on.treatment_residual,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6,BRAFi,NA,subcutaneous,flank,SRX3178230,SRX3178230
GSE103725,GSM2779789,in_vivo,Melanoma,YUMM1.7,parental,BRAFi_resistant,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6,BRAFi,NA,subcutaneous,flank,SRX3178231,SRX3178231
GSE103725,GSM2779790,in_vivo,Melanoma,YUMM1.7,parental,BRAFi_resistant,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6,BRAFi,NA,subcutaneous,flank,SRX3178232,SRX3178232
GSE103725,GSM2779791,in_vivo,Melanoma,YUMM1.7,parental,BRAFi_resistant,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6,BRAFi,NA,subcutaneous,flank,SRX3178233,SRX3178233
GSE103725,GSM2779792,in_vivo,Melanoma,YUMM1.7,parental,BRAFi_resistant,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6,BRAFi,NA,subcutaneous,flank,SRX3178234,SRX3178234
GSE103725,GSM2779793,in_vivo,Melanoma,YUMM1.7,parental,BRAFi_resistant,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6,BRAFi,NA,subcutaneous,flank,SRX3178235,SRX3178235
GSE103725,GSM2779794,in_vivo,Melanoma,YUMM1.7,parental,BRAF.inhibitor,0,Baseline,NA,R; NR;,0,NA,WT,primary,WT,C57BL/6,BRAFi,NA,subcutaneous,flank,SRX3178236,SRX3178236
GSE103725,GSM2779795,in_vivo,Melanoma,YUMM1.7,parental,BRAF.inhibitor,0,Baseline,NA,R; NR;,0,NA,WT,primary,WT,C57BL/6,BRAFi,NA,subcutaneous,flank,SRX3178237,SRX3178237
GSE103725,GSM2779796,in_vivo,Melanoma,YUMM1.7,parental,BRAF.inhibitor,0,Baseline,NA,R; NR;,0,NA,WT,primary,WT,C57BL/6,BRAFi,NA,subcutaneous,flank,SRX3178238,SRX3178238
GSE103725,GSM2779797,in_vivo,Melanoma,YUMM1.7,parental,BRAF.inhibitor,1,R,antiPDL2,NA,0,NA,WT,primary,WT,C57BL/6,BRAFi; antiPDL2;,NA,subcutaneous,flank,SRX3178239,SRX3178239
GSE103725,GSM2779798,in_vivo,Melanoma,YUMM1.7,parental,BRAF.inhibitor,1,R,antiPDL2,NA,0,NA,WT,primary,WT,C57BL/6,BRAFi; antiPDL2;,NA,subcutaneous,flank,SRX3178240,SRX3178240
GSE103725,GSM2779799,in_vivo,Melanoma,YUMM1.7,parental,BRAF.inhibitor,1,NR,antiPDL2,NA,0,NA,WT,primary,WT,C57BL/6,BRAFi; antiPDL2;,NA,subcutaneous,flank,SRX3178241,SRX3178241
GSE103725,GSM2779800,in_vivo,Melanoma,YUMM1.7,parental,BRAF.inhibitor,1,NR,antiPDL2,NA,0,NA,WT,primary,WT,C57BL/6,BRAFi; antiPDL2;,NA,subcutaneous,flank,SRX3178242,SRX3178242
GSE104463,GSM2800817,in_vivo,Melanoma,B16,B16F10,normal.diet,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,normal diet,NA,subcutaneous,flank,SRX3235576,SRX3235576
GSE104463,GSM2800818,in_vivo,Melanoma,B16,B16F10,normal.diet,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,normal diet,NA,subcutaneous,flank,SRX3235577,SRX3235577
GSE104463,GSM2800819,in_vivo,Melanoma,B16,B16F10,normal.diet,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,normal diet,NA,subcutaneous,flank,SRX3235578,SRX3235578
GSE104463,GSM2800820,in_vivo,Melanoma,B16,B16F10,high.cholesterol.diet,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6J,high cholesterol diet,NA,subcutaneous,flank,SRX3235579,SRX3235579
GSE104463,GSM2800821,in_vivo,Melanoma,B16,B16F10,high.cholesterol.diet,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6J,high cholesterol diet,NA,subcutaneous,flank,SRX3235580,SRX3235580
GSE104463,GSM2800822,in_vivo,Melanoma,B16,B16F10,high.cholesterol.diet,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6J,high cholesterol diet,NA,subcutaneous,flank,SRX3235581,SRX3235581
GSE107423,GSM2866818,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,no_treatment,NA,orthotopic,intracranial,SRX3426338,SRX3426338
GSE107423,GSM2866819,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,no_treatment,NA,orthotopic,intracranial,SRX3426339,SRX3426339
GSE107423,GSM2866820,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,antiVEGFa_50ug,NA,orthotopic,intracranial,SRX3426340,SRX3426340
GSE107423,GSM2866821,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6,antiVEGFa_50ug,NA,orthotopic,intracranial,SRX3426341,SRX3426341
GSE107423,GSM2866822,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6,antiVEGFa_50ug,NA,orthotopic,intracranial,SRX3426342,SRX3426342
GSE107423,GSM2866823,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6,antiVEGFa_100ug,NA,orthotopic,intracranial,SRX3426343,SRX3426343
GSE107423,GSM2866824,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6,antiVEGFa_100ug,NA,orthotopic,intracranial,SRX3426344,SRX3426344
GSE107423,GSM2866825,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6,antiVEGFa_100ug,NA,orthotopic,intracranial,SRX3426346,SRX3426346
GSE107423,GSM2866826,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6,antiVEGFa_200ug,NA,orthotopic,intracranial,SRX3426347,SRX3426347
GSE107423,GSM2866827,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6,antiVEGFa_200ug,NA,orthotopic,intracranial,SRX3426348,SRX3426348
GSE107423,GSM2866828,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6,antiVEGFa_200ug,NA,orthotopic,intracranial,SRX3426349,SRX3426349
GSE107423,GSM2866829,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6,no_treatment,NA,orthotopic,intracranial,SRX3426350,SRX3426350
GSE107801,GSM2879407,in_vivo,Mammary carcinoma,EMT6,parental,NA,0,Baseline,NA,R,1,NA,WT,primary,WT,BALB/c,isotype,NA,orthotopic,mammary fat pad,SRX3453162,SRX3453162
GSE107801,GSM2879408,in_vivo,Mammary carcinoma,EMT6,parental,NA,0,Baseline,NA,R,1,NA,WT,primary,WT,BALB/c,isotype,NA,orthotopic,mammary fat pad,SRX3453163,SRX3453163
GSE107801,GSM2879409,in_vivo,Mammary carcinoma,EMT6,parental,NA,0,Baseline,NA,R,1,NA,WT,primary,WT,BALB/c,isotype,NA,orthotopic,mammary fat pad,SRX3453164,SRX3453164
GSE107801,GSM2879410,in_vivo,Mammary carcinoma,EMT6,parental,NA,0,Baseline,NA,R,1,NA,WT,primary,WT,BALB/c,isotype,NA,orthotopic,mammary fat pad,SRX3453165,SRX3453165
GSE107801,GSM2879411,in_vivo,Mammary carcinoma,EMT6,parental,NA,0,Baseline,NA,R,1,NA,WT,primary,WT,BALB/c,isotype,NA,orthotopic,mammary fat pad,SRX3453166,SRX3453166
GSE107801,GSM2879412,in_vivo,Mammary carcinoma,EMT6,parental,NA,0,Baseline,NA,R,1,NA,WT,primary,WT,BALB/c,isotype,NA,orthotopic,mammary fat pad,SRX3453167,SRX3453167
GSE107801,GSM2879413,in_vivo,Mammary carcinoma,EMT6,parental,NA,0,Baseline,NA,R,1,NA,WT,primary,WT,BALB/c,isotype,NA,orthotopic,mammary fat pad,SRX3453168,SRX3453168
GSE107801,GSM2879414,in_vivo,Mammary carcinoma,EMT6,parental,NA,0,Baseline,NA,R,1,NA,WT,primary,WT,BALB/c,isotype,NA,orthotopic,mammary fat pad,SRX3453169,SRX3453169
GSE107801,GSM2879415,in_vivo,Mammary carcinoma,EMT6,parental,NA,0,Baseline,NA,R,1,NA,WT,primary,WT,BALB/c,isotype,NA,orthotopic,mammary fat pad,SRX3453170,SRX3453170
GSE107801,GSM2879416,in_vivo,Mammary carcinoma,EMT6,parental,NA,0,Baseline,NA,R,1,NA,WT,primary,WT,BALB/c,isotype,NA,orthotopic,mammary fat pad,SRX3453171,SRX3453171
GSE107801,GSM2879417,in_vivo,Mammary carcinoma,EMT6,parental,antiTGFb_trap,0,Baseline,NA,R,0,NA,WT,primary,WT,BALB/c,anti_PDL1(mut)_TGFb_Trap_control,NA,orthotopic,mammary fat pad,SRX3453172,SRX3453172
GSE107801,GSM2879418,in_vivo,Mammary carcinoma,EMT6,parental,antiTGFb_trap,0,Baseline,NA,R,0,NA,WT,primary,WT,BALB/c,anti_PDL1(mut)_TGFb_Trap_control,NA,orthotopic,mammary fat pad,SRX3453173,SRX3453173
GSE107801,GSM2879419,in_vivo,Mammary carcinoma,EMT6,parental,antiTGFb_trap,0,Baseline,NA,R,0,NA,WT,primary,WT,BALB/c,anti_PDL1(mut)_TGFb_Trap_control,NA,orthotopic,mammary fat pad,SRX3453174,SRX3453174
GSE107801,GSM2879420,in_vivo,Mammary carcinoma,EMT6,parental,antiTGFb_trap,0,Baseline,NA,R,0,NA,WT,primary,WT,BALB/c,anti_PDL1(mut)_TGFb_Trap_control,NA,orthotopic,mammary fat pad,SRX3453175,SRX3453175
GSE107801,GSM2879421,in_vivo,Mammary carcinoma,EMT6,parental,antiTGFb_trap,0,Baseline,NA,R,0,NA,WT,primary,WT,BALB/c,anti_PDL1(mut)_TGFb_Trap_control,NA,orthotopic,mammary fat pad,SRX3453176,SRX3453176
GSE107801,GSM2879422,in_vivo,Mammary carcinoma,EMT6,parental,antiTGFb_trap,0,Baseline,NA,R,0,NA,WT,primary,WT,BALB/c,anti_PDL1(mut)_TGFb_Trap_control,NA,orthotopic,mammary fat pad,SRX3453177,SRX3453177
GSE107801,GSM2879423,in_vivo,Mammary carcinoma,EMT6,parental,antiTGFb_trap,0,Baseline,NA,R,0,NA,WT,primary,WT,BALB/c,anti_PDL1(mut)_TGFb_Trap_control,NA,orthotopic,mammary fat pad,SRX3453178,SRX3453178
GSE107801,GSM2879424,in_vivo,Mammary carcinoma,EMT6,parental,antiTGFb_trap,0,Baseline,NA,R,0,NA,WT,primary,WT,BALB/c,anti_PDL1(mut)_TGFb_Trap_control,NA,orthotopic,mammary fat pad,SRX3453179,SRX3453179
GSE107801,GSM2879425,in_vivo,Mammary carcinoma,EMT6,parental,antiTGFb_trap,0,Baseline,NA,R,0,NA,WT,primary,WT,BALB/c,anti_PDL1(mut)_TGFb_Trap_control,NA,orthotopic,mammary fat pad,SRX3453180,SRX3453180
GSE107801,GSM2879426,in_vivo,Mammary carcinoma,EMT6,parental,antiTGFb_trap,0,Baseline,NA,R,0,NA,WT,primary,WT,BALB/c,anti_PDL1(mut)_TGFb_Trap_control,NA,orthotopic,mammary fat pad,SRX3453181,SRX3453181
GSE107801,GSM2879427,in_vivo,Mammary carcinoma,EMT6,parental,NA,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,antiPDL1;,NA,orthotopic,mammary fat pad,SRX3453182,SRX3453182
GSE107801,GSM2879428,in_vivo,Mammary carcinoma,EMT6,parental,NA,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,antiPDL1;,NA,orthotopic,mammary fat pad,SRX3453183,SRX3453183
GSE107801,GSM2879429,in_vivo,Mammary carcinoma,EMT6,parental,NA,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,antiPDL1;,NA,orthotopic,mammary fat pad,SRX3453184,SRX3453184
GSE107801,GSM2879430,in_vivo,Mammary carcinoma,EMT6,parental,NA,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,antiPDL1;,NA,orthotopic,mammary fat pad,SRX3453185,SRX3453185
GSE107801,GSM2879431,in_vivo,Mammary carcinoma,EMT6,parental,NA,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,antiPDL1;,NA,orthotopic,mammary fat pad,SRX3453186,SRX3453186
GSE107801,GSM2879432,in_vivo,Mammary carcinoma,EMT6,parental,NA,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,antiPDL1;,NA,orthotopic,mammary fat pad,SRX3453187,SRX3453187
GSE107801,GSM2879433,in_vivo,Mammary carcinoma,EMT6,parental,NA,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,antiPDL1;,NA,orthotopic,mammary fat pad,SRX3453188,SRX3453188
GSE107801,GSM2879434,in_vivo,Mammary carcinoma,EMT6,parental,NA,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,antiPDL1;,NA,orthotopic,mammary fat pad,SRX3453189,SRX3453189
GSE107801,GSM2879435,in_vivo,Mammary carcinoma,EMT6,parental,NA,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,antiPDL1;,NA,orthotopic,mammary fat pad,SRX3453190,SRX3453190
GSE107801,GSM2879436,in_vivo,Mammary carcinoma,EMT6,parental,NA,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,antiPDL1;,NA,orthotopic,mammary fat pad,SRX3453191,SRX3453191
GSE107801,GSM2879437,in_vivo,Mammary carcinoma,EMT6,parental,antiTGFb_trap,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,M7824 (anti_PDL1_TGFb_Trap),NA,orthotopic,mammary fat pad,SRX3453192,SRX3453192
GSE107801,GSM2879438,in_vivo,Mammary carcinoma,EMT6,parental,antiTGFb_trap,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,M7824 (anti_PDL1_TGFb_Trap),NA,orthotopic,mammary fat pad,SRX3453193,SRX3453193
GSE107801,GSM2879439,in_vivo,Mammary carcinoma,EMT6,parental,antiTGFb_trap,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,M7824 (anti_PDL1_TGFb_Trap),NA,orthotopic,mammary fat pad,SRX3453194,SRX3453194
GSE107801,GSM2879440,in_vivo,Mammary carcinoma,EMT6,parental,antiTGFb_trap,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,M7824 (anti_PDL1_TGFb_Trap),NA,orthotopic,mammary fat pad,SRX3453195,SRX3453195
GSE107801,GSM2879441,in_vivo,Mammary carcinoma,EMT6,parental,antiTGFb_trap,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,M7824 (anti_PDL1_TGFb_Trap),NA,orthotopic,mammary fat pad,SRX3453196,SRX3453196
GSE107801,GSM2879442,in_vivo,Mammary carcinoma,EMT6,parental,antiTGFb_trap,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,M7824 (anti_PDL1_TGFb_Trap),NA,orthotopic,mammary fat pad,SRX3453197,SRX3453197
GSE107801,GSM2879443,in_vivo,Mammary carcinoma,EMT6,parental,antiTGFb_trap,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,M7824 (anti_PDL1_TGFb_Trap),NA,orthotopic,mammary fat pad,SRX3453198,SRX3453198
GSE107801,GSM2879444,in_vivo,Mammary carcinoma,EMT6,parental,antiTGFb_trap,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,M7824 (anti_PDL1_TGFb_Trap),NA,orthotopic,mammary fat pad,SRX3453199,SRX3453199
GSE107801,GSM2879445,in_vivo,Mammary carcinoma,EMT6,parental,antiTGFb_trap,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,M7824 (anti_PDL1_TGFb_Trap),NA,orthotopic,mammary fat pad,SRX3453200,SRX3453200
GSE107801,GSM2879446,in_vivo,Mammary carcinoma,EMT6,parental,antiTGFb_trap,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,M7824 (anti_PDL1_TGFb_Trap),NA,orthotopic,mammary fat pad,SRX3453201,SRX3453201
