cohort,model,study,timepoint,icb_arm,baseline_arm,treated_status,n_baseline,n_treated,mean_baseline,mean_treated,median_baseline,median_treated,delta_mean,cliffs_delta,mwu_U,mwu_p,mwu_q_bh,tismo_p,tismo_p_reused_across_cohorts,tismo_star,influential_treated_sample,influential_mean_shift,n_treated_gt_2,n_baseline_gt_2,honest_call
T11_GSE124821_UV_day3_antiCTLA4&antiPD1,T11,GSE124821,day3,antiPD1; antiCTLA4;,no_treatment,Responders,4,3,0.1026740683924566,0.3039936669847697,0.07360314424602721,0.319764739447131,0.2013195985923131,0.8333333333333334,11.0,0.11428571428571428,0.41428571428571426,0.146947980431004,no,NA,SRX5100601,0.03629107475105481,0,0,null
T11_GSE124821_UV_day7_antiCTLA4&antiPD1,T11,GSE124821,day7,antiPD1; antiCTLA4;,no_treatment,Responders,4,4,0.4073534407815702,0.4466060453700176,0.213621311602647,0.4132111016896205,0.03925260458844737,0.125,9.0,0.8857142857142857,1.0,0.994537411615673,no,NA,SRX5100790,0.16014441912714178,0,0,null
T11_GSE124821_UV_end_antiCTLA4&antiPD1,T11,GSE124821,end,antiPD1; antiCTLA4;,no_treatment,Responders,4,5,0.2852555138013886,0.2595699589686632,0.33789472959473954,0.284587569053806,-0.025685554832725388,-0.2,8.0,0.7301587301587302,0.96359210065918,0.849890094522889,no,NA,SRX5100684,0.06049573439354333,0,0,null
T11_GSE124821_day3_antiCTLA4&antiPD1,T11,GSE124821,day3,antiPD1; antiCTLA4;,no_treatment,Non-responders,4,4,0.163628713206281,0.08027609274528792,0.0620502312041325,0.050555026006381856,-0.08335262046099308,0.0,8.0,1.0,1.0,nan,no,NA,SRX5100809,0.04657274207436669,0,0,null
T11_GSE124821_day7_antiCTLA4&antiPD1,T11,GSE124821,day7,antiPD1; antiCTLA4;,no_treatment,Non-responders,4,4,0.2016015812206086,0.277320336994813,0.194962999482176,0.3215850312077385,0.07571875577420442,0.25,10.0,0.6857142857142857,0.96359210065918,0.947161800271999,no,NA,SRX5100625,0.09244011233160432,0,0,null
T11_GSE124821_end_antiCTLA4&antiPD1,T11,GSE124821,end,antiPD1; antiCTLA4;,no_treatment,Non-responders,5,5,0.11854036639830576,0.11108386059021386,0.0412654146334319,0.0429468514458314,-0.007456505808091901,0.0,12.5,1.0,1.0,0.995894560673228,no,NA,SRX5100814,0.06593382272747053,0,0,null
p53-2225L_GSE124821_day3_antiCTLA4&antiPD1,p53-2225L,GSE124821,day3,antiPD1; antiCTLA4;,no_treatment,Non-responders,8,5,3.898453633121589,3.78174653612252,4.366542901133945,3.8890733874046,-0.11670709699906867,-0.2,16.0,0.6216006216006216,0.96359210065918,0.525496937586661,no,NA,SRX5100700,0.3228268330853452,5,7,null
p53-2225L_GSE124821_end_antiCTLA4&antiPD1,p53-2225L,GSE124821,end,antiPD1; antiCTLA4;,no_treatment,Non-responders,6,3,3.3940430553239347,3.2997633084773565,3.579376927128025,3.49885884174825,-0.09427974684657814,-0.2222222222222222,7.0,0.7142857142857142,0.96359210065918,0.997707392100415,no,NA,SRX5100702,0.35112464826335854,3,5,null
p53-2336R_GSE124821_day3_antiCTLA4&antiPD1,p53-2336R,GSE124821,day3,antiPD1; antiCTLA4;,no_treatment,Non-responders,3,5,0.0,0.17639883432466705,0.0,0.0,0.17639883432466705,0.4,10.5,0.3291139859786082,0.710204081632653,nan,no,NA,SRX5100666,0.17009413977872725,0,0,null
p53-2336R_GSE124821_end_antiCTLA4&antiPD1,p53-2336R,GSE124821,end,antiPD1; antiCTLA4;,no_treatment,Non-responders,8,5,0.1517336046719925,2.169555136080314,0.08224873848357489,0.785441743949315,2.0178215314083214,0.7,34.0,0.04506604506604507,0.41428571428571426,0.0002323536976123,no,***,SRX5100633,0.7072602900827167,2,0,null
