sample,model,study,cohort,timepoint,responder,baseline,mouse_treatment,value,tismo_p,tismo_label,cell_line_label
SRX5100787,T11,GSE124821,T11_GSE124821_UV_day7_antiCTLA4&antiPD1,day7,Responders,0,antiPD1; antiCTLA4;,0.0329626753493864,0.994537411615673,NA,T11_GSE124821_UV_day7_antiCTLA4&antiPD1(n=8)
SRX5100688,T11,GSE124821,T11_GSE124821_UV_day7_antiCTLA4&antiPD1,day7,Baseline,1,no_treatment,1.03753544530046,nan,NA,T11_GSE124821_UV_day7_antiCTLA4&antiPD1(n=8)
SRX5100710,T11,GSE124821,T11_GSE124821_UV_day7_antiCTLA4&antiPD1,day7,Baseline,1,no_treatment,0.178826802172531,nan,NA,T11_GSE124821_UV_day7_antiCTLA4&antiPD1(n=8)
SRX5100793,T11,GSE124821,T11_GSE124821_UV_day7_antiCTLA4&antiPD1,day7,Baseline,1,no_treatment,0.248415821032763,nan,NA,T11_GSE124821_UV_day7_antiCTLA4&antiPD1(n=8)
SRX5100794,T11,GSE124821,T11_GSE124821_UV_day7_antiCTLA4&antiPD1,day7,Baseline,1,no_treatment,0.164635694620527,nan,NA,T11_GSE124821_UV_day7_antiCTLA4&antiPD1(n=8)
SRX5100851,T11,GSE124821,T11_GSE124821_UV_day3_antiCTLA4&antiPD1,day3,Responders,0,antiPD1; antiCTLA4;,0.360804744024518,0.146947980431004,NA,T11_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7)
SRX5100850,T11,GSE124821,T11_GSE124821_UV_day3_antiCTLA4&antiPD1,day3,Responders,0,antiPD1; antiCTLA4;,0.319764739447131,0.146947980431004,NA,T11_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7)
SRX5100601,T11,GSE124821,T11_GSE124821_UV_day3_antiCTLA4&antiPD1,day3,Responders,0,antiPD1; antiCTLA4;,0.23141151748266,0.146947980431004,NA,T11_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7)
SRX5100842,T11,GSE124821,T11_GSE124821_UV_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,0.0444500773535884,nan,NA,T11_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7)
SRX5100843,T11,GSE124821,T11_GSE124821_UV_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,0.102756211138466,nan,NA,T11_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7)
SRX5100844,T11,GSE124821,T11_GSE124821_UV_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,0.263489985077772,nan,NA,T11_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7)
SRX5100845,T11,GSE124821,T11_GSE124821_UV_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,0.0,nan,NA,T11_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7)
SRX5100814,T11,GSE124821,T11_GSE124821_end_antiCTLA4&antiPD1,end,Non-responders,0,antiPD1; antiCTLA4;,0.374819151500096,0.995894560673228,NA,T11_GSE124821_end_antiCTLA4&antiPD1(n=10)
SRX5100846,T11,GSE124821,T11_GSE124821_end_antiCTLA4&antiPD1,end,Non-responders,0,antiPD1; antiCTLA4;,0.114065793432751,0.995894560673228,NA,T11_GSE124821_end_antiCTLA4&antiPD1(n=10)
SRX5100807,T11,GSE124821,T11_GSE124821_end_antiCTLA4&antiPD1,end,Non-responders,0,antiPD1; antiCTLA4;,0.0429468514458314,0.995894560673228,NA,T11_GSE124821_end_antiCTLA4&antiPD1(n=10)
SRX5100849,T11,GSE124821,T11_GSE124821_end_antiCTLA4&antiPD1,end,Non-responders,0,antiPD1; antiCTLA4;,0.0235875065723909,0.995894560673228,NA,T11_GSE124821_end_antiCTLA4&antiPD1(n=10)
SRX5100847,T11,GSE124821,T11_GSE124821_end_antiCTLA4&antiPD1,end,Non-responders,0,antiPD1; antiCTLA4;,0.0,0.995894560673228,NA,T11_GSE124821_end_antiCTLA4&antiPD1(n=10)
SRX5100762,T11,GSE124821,T11_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,0.0412654146334319,nan,NA,T11_GSE124821_end_antiCTLA4&antiPD1(n=10)
SRX5100768,T11,GSE124821,T11_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,0.0,nan,NA,T11_GSE124821_end_antiCTLA4&antiPD1(n=10)
SRX5100769,T11,GSE124821,T11_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,0.252041372097235,nan,NA,T11_GSE124821_end_antiCTLA4&antiPD1(n=10)
SRX5100812,T11,GSE124821,T11_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,0.262199805840046,nan,NA,T11_GSE124821_end_antiCTLA4&antiPD1(n=10)
SRX5100813,T11,GSE124821,T11_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,0.0371952394208159,nan,NA,T11_GSE124821_end_antiCTLA4&antiPD1(n=10)
SRX5100624,T11,GSE124821,T11_GSE124821_day7_antiCTLA4&antiPD1,day7,Non-responders,0,antiPD1; antiCTLA4;,0.466111285563775,0.947161800271999,NA,T11_GSE124821_day7_antiCTLA4&antiPD1(n=8)
SRX5100626,T11,GSE124821,T11_GSE124821_day7_antiCTLA4&antiPD1,day7,Non-responders,0,antiPD1; antiCTLA4;,0.416826773809234,0.947161800271999,NA,T11_GSE124821_day7_antiCTLA4&antiPD1(n=8)
SRX5100627,T11,GSE124821,T11_GSE124821_day7_antiCTLA4&antiPD1,day7,Non-responders,0,antiPD1; antiCTLA4;,0.226343288606243,0.947161800271999,NA,T11_GSE124821_day7_antiCTLA4&antiPD1(n=8)
SRX5100625,T11,GSE124821,T11_GSE124821_day7_antiCTLA4&antiPD1,day7,Non-responders,0,antiPD1; antiCTLA4;,0.0,0.947161800271999,NA,T11_GSE124821_day7_antiCTLA4&antiPD1(n=8)
SRX5100628,T11,GSE124821,T11_GSE124821_day7_antiCTLA4&antiPD1,day7,Baseline,1,no_treatment,0.161649094084076,nan,NA,T11_GSE124821_day7_antiCTLA4&antiPD1(n=8)
SRX5100658,T11,GSE124821,T11_GSE124821_day7_antiCTLA4&antiPD1,day7,Baseline,1,no_treatment,0.394382433087523,nan,NA,T11_GSE124821_day7_antiCTLA4&antiPD1(n=8)
SRX5100659,T11,GSE124821,T11_GSE124821_day7_antiCTLA4&antiPD1,day7,Baseline,1,no_treatment,0.0220978928305594,nan,NA,T11_GSE124821_day7_antiCTLA4&antiPD1(n=8)
SRX5100660,T11,GSE124821,T11_GSE124821_day7_antiCTLA4&antiPD1,day7,Baseline,1,no_treatment,0.228276904880276,nan,NA,T11_GSE124821_day7_antiCTLA4&antiPD1(n=8)
SRX5100809,T11,GSE124821,T11_GSE124821_day3_antiCTLA4&antiPD1,day3,Non-responders,0,antiPD1; antiCTLA4;,0.219994318968388,nan,NA,T11_GSE124821_day3_antiCTLA4&antiPD1(n=8)
SRX5100759,T11,GSE124821,T11_GSE124821_day3_antiCTLA4&antiPD1,day3,Non-responders,0,antiPD1; antiCTLA4;,0.0772060764068108,nan,NA,T11_GSE124821_day3_antiCTLA4&antiPD1(n=8)
SRX5100808,T11,GSE124821,T11_GSE124821_day3_antiCTLA4&antiPD1,day3,Non-responders,0,antiPD1; antiCTLA4;,0.0239039756059529,nan,NA,T11_GSE124821_day3_antiCTLA4&antiPD1(n=8)
SRX5100810,T11,GSE124821,T11_GSE124821_day3_antiCTLA4&antiPD1,day3,Non-responders,0,antiPD1; antiCTLA4;,0.0,nan,NA,T11_GSE124821_day3_antiCTLA4&antiPD1(n=8)
SRX5100758,T11,GSE124821,T11_GSE124821_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,0.124100462408265,nan,NA,T11_GSE124821_day3_antiCTLA4&antiPD1(n=8)
SRX5100763,T11,GSE124821,T11_GSE124821_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,0.0,nan,NA,T11_GSE124821_day3_antiCTLA4&antiPD1(n=8)
SRX5100764,T11,GSE124821,T11_GSE124821_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,0.0,nan,NA,T11_GSE124821_day3_antiCTLA4&antiPD1(n=8)
SRX5100765,T11,GSE124821,T11_GSE124821_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,0.530414390416859,nan,NA,T11_GSE124821_day3_antiCTLA4&antiPD1(n=8)
SRX5100859,T11,GSE124821,T11_GSE124821_Apobec_end_antiCTLA4&antiPD1,end,Responders,0,antiPD1; antiCTLA4;,0.775394471018804,0.999300924725397,NA,T11_GSE124821_Apobec_end_antiCTLA4&antiPD1(n=8)
SRX5100867,T11,GSE124821,T11_GSE124821_Apobec_end_antiCTLA4&antiPD1,end,Responders,0,antiPD1; antiCTLA4;,0.482310333686837,0.999300924725397,NA,T11_GSE124821_Apobec_end_antiCTLA4&antiPD1(n=8)
SRX5100642,T11,GSE124821,T11_GSE124821_Apobec_end_antiCTLA4&antiPD1,end,Responders,0,antiPD1; antiCTLA4;,0.0844289755448669,0.999300924725397,NA,T11_GSE124821_Apobec_end_antiCTLA4&antiPD1(n=8)
SRX5100724,T11,GSE124821,T11_GSE124821_Apobec_end_antiCTLA4&antiPD1,end,Responders,0,antiPD1; antiCTLA4;,0.035653467082436,0.999300924725397,NA,T11_GSE124821_Apobec_end_antiCTLA4&antiPD1(n=8)
SRX5100816,T11,GSE124821,T11_GSE124821_Apobec_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,0.0177309609066784,nan,NA,T11_GSE124821_Apobec_end_antiCTLA4&antiPD1(n=8)
SRX5100817,T11,GSE124821,T11_GSE124821_Apobec_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,0.0254512614966067,nan,NA,T11_GSE124821_Apobec_end_antiCTLA4&antiPD1(n=8)
SRX5100824,T11,GSE124821,T11_GSE124821_Apobec_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,0.0,nan,NA,T11_GSE124821_Apobec_end_antiCTLA4&antiPD1(n=8)
SRX5100825,T11,GSE124821,T11_GSE124821_Apobec_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,0.326878998613677,nan,NA,T11_GSE124821_Apobec_end_antiCTLA4&antiPD1(n=8)
SRX5100657,T11,GSE124821,T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1,day7,Responders,0,antiPD1; antiCTLA4;,0.630985042594006,0.0586628136990498,NA,T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1(n=8)
SRX5100651,T11,GSE124821,T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1,day7,Responders,0,antiPD1; antiCTLA4;,0.470192190953204,0.0586628136990498,NA,T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1(n=8)
SRX5100656,T11,GSE124821,T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1,day7,Responders,0,antiPD1; antiCTLA4;,0.254502133296582,0.0586628136990498,NA,T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1(n=8)
SRX5100654,T11,GSE124821,T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1,day7,Responders,0,antiPD1; antiCTLA4;,0.230036964739808,0.0586628136990498,NA,T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1(n=8)
SRX5100652,T11,GSE124821,T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1,day7,Baseline,1,no_treatment,0.0,nan,NA,T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1(n=8)
SRX5100653,T11,GSE124821,T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1,day7,Baseline,1,no_treatment,0.0208541870687653,nan,NA,T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1(n=8)
SRX5100655,T11,GSE124821,T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1,day7,Baseline,1,no_treatment,0.0,nan,NA,T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1(n=8)
SRX5100848,T11,GSE124821,T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1,day7,Baseline,1,no_treatment,0.39891288983982,nan,NA,T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1(n=8)
SRX5100632,T11,GSE124821,T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1,day3,Responders,0,antiPD1; antiCTLA4;,0.577807293226743,0.38390004317808,NA,T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1(n=8)
SRX5100638,T11,GSE124821,T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1,day3,Responders,0,antiPD1; antiCTLA4;,0.467530951854869,0.38390004317808,NA,T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1(n=8)
SRX5100675,T11,GSE124821,T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1,day3,Responders,0,antiPD1; antiCTLA4;,0.226551686707132,0.38390004317808,NA,T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1(n=8)
SRX5100857,T11,GSE124821,T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1,day3,Responders,0,antiPD1; antiCTLA4;,0.226312457928706,0.38390004317808,NA,T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1(n=8)
SRX5100722,T11,GSE124821,T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,0.457276984871182,nan,NA,T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1(n=8)
SRX5100860,T11,GSE124821,T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,0.0687065766780728,nan,NA,T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1(n=8)
SRX5100862,T11,GSE124821,T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,0.403185903665353,nan,NA,T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1(n=8)
SRX5100864,T11,GSE124821,T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,0.0369885462627059,nan,NA,T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1(n=8)
SRX5100633,p53-2336R,GSE124821,p53-2336R_GSE124821_end_antiCTLA4&antiPD1,end,Non-responders,0,antiPD1; antiCTLA4;,4.99859629641118,0.0002323536976123,***,p53-2336R_GSE124821_end_antiCTLA4&antiPD1(n=13)
SRX5100636,p53-2336R,GSE124821,p53-2336R_GSE124821_end_antiCTLA4&antiPD1,end,Non-responders,0,antiPD1; antiCTLA4;,4.62491912579746,0.0002323536976123,NA,p53-2336R_GSE124821_end_antiCTLA4&antiPD1(n=13)
SRX5100663,p53-2336R,GSE124821,p53-2336R_GSE124821_end_antiCTLA4&antiPD1,end,Non-responders,0,antiPD1; antiCTLA4;,0.785441743949315,0.0002323536976123,NA,p53-2336R_GSE124821_end_antiCTLA4&antiPD1(n=13)
SRX5100671,p53-2336R,GSE124821,p53-2336R_GSE124821_end_antiCTLA4&antiPD1,end,Non-responders,0,antiPD1; antiCTLA4;,0.413768451677298,0.0002323536976123,NA,p53-2336R_GSE124821_end_antiCTLA4&antiPD1(n=13)
SRX5100670,p53-2336R,GSE124821,p53-2336R_GSE124821_end_antiCTLA4&antiPD1,end,Non-responders,0,antiPD1; antiCTLA4;,0.0250500625663165,0.0002323536976123,NA,p53-2336R_GSE124821_end_antiCTLA4&antiPD1(n=13)
SRX5100634,p53-2336R,GSE124821,p53-2336R_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,0.0227484567374456,nan,NA,p53-2336R_GSE124821_end_antiCTLA4&antiPD1(n=13)
SRX5100635,p53-2336R,GSE124821,p53-2336R_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,0.357063235278235,nan,NA,p53-2336R_GSE124821_end_antiCTLA4&antiPD1(n=13)
SRX5100637,p53-2336R,GSE124821,p53-2336R_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,0.0,nan,NA,p53-2336R_GSE124821_end_antiCTLA4&antiPD1(n=13)
SRX5100640,p53-2336R,GSE124821,p53-2336R_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,0.283574535741557,nan,NA,p53-2336R_GSE124821_end_antiCTLA4&antiPD1(n=13)
SRX5100662,p53-2336R,GSE124821,p53-2336R_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,0.0617761975866898,nan,NA,p53-2336R_GSE124821_end_antiCTLA4&antiPD1(n=13)
SRX5100664,p53-2336R,GSE124821,p53-2336R_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,0.10272127938046,nan,NA,p53-2336R_GSE124821_end_antiCTLA4&antiPD1(n=13)
SRX5100672,p53-2336R,GSE124821,p53-2336R_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,0.358713574953564,nan,NA,p53-2336R_GSE124821_end_antiCTLA4&antiPD1(n=13)
SRX5100673,p53-2336R,GSE124821,p53-2336R_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,0.0272715576979887,nan,NA,p53-2336R_GSE124821_end_antiCTLA4&antiPD1(n=13)
SRX5100666,p53-2336R,GSE124821,p53-2336R_GSE124821_day3_antiCTLA4&antiPD1,day3,Non-responders,0,antiPD1; antiCTLA4;,0.856775393439576,nan,NA,p53-2336R_GSE124821_day3_antiCTLA4&antiPD1(n=8)
SRX5100703,p53-2336R,GSE124821,p53-2336R_GSE124821_day3_antiCTLA4&antiPD1,day3,Non-responders,0,antiPD1; antiCTLA4;,0.0252187781837592,nan,NA,p53-2336R_GSE124821_day3_antiCTLA4&antiPD1(n=8)
SRX5100667,p53-2336R,GSE124821,p53-2336R_GSE124821_day3_antiCTLA4&antiPD1,day3,Non-responders,0,antiPD1; antiCTLA4;,0.0,nan,NA,p53-2336R_GSE124821_day3_antiCTLA4&antiPD1(n=8)
SRX5100668,p53-2336R,GSE124821,p53-2336R_GSE124821_day3_antiCTLA4&antiPD1,day3,Non-responders,0,antiPD1; antiCTLA4;,0.0,nan,NA,p53-2336R_GSE124821_day3_antiCTLA4&antiPD1(n=8)
SRX5100669,p53-2336R,GSE124821,p53-2336R_GSE124821_day3_antiCTLA4&antiPD1,day3,Non-responders,0,antiPD1; antiCTLA4;,0.0,nan,NA,p53-2336R_GSE124821_day3_antiCTLA4&antiPD1(n=8)
SRX5100695,p53-2336R,GSE124821,p53-2336R_GSE124821_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,0.0,nan,NA,p53-2336R_GSE124821_day3_antiCTLA4&antiPD1(n=8)
SRX5100696,p53-2336R,GSE124821,p53-2336R_GSE124821_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,0.0,nan,NA,p53-2336R_GSE124821_day3_antiCTLA4&antiPD1(n=8)
SRX5100704,p53-2336R,GSE124821,p53-2336R_GSE124821_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,0.0,nan,NA,p53-2336R_GSE124821_day3_antiCTLA4&antiPD1(n=8)
SRX5100736,p53-2225L,GSE124821,p53-2225L_GSE124821_end_antiCTLA4&antiPD1,end,Non-responders,0,antiPD1; antiCTLA4;,3.80291707173318,0.997707392100415,NA,p53-2225L_GSE124821_end_antiCTLA4&antiPD1(n=9)
SRX5100737,p53-2225L,GSE124821,p53-2225L_GSE124821_end_antiCTLA4&antiPD1,end,Non-responders,0,antiPD1; antiCTLA4;,3.49885884174825,0.997707392100415,NA,p53-2225L_GSE124821_end_antiCTLA4&antiPD1(n=9)
SRX5100702,p53-2225L,GSE124821,p53-2225L_GSE124821_end_antiCTLA4&antiPD1,end,Non-responders,0,antiPD1; antiCTLA4;,2.59751401195064,0.997707392100415,NA,p53-2225L_GSE124821_end_antiCTLA4&antiPD1(n=9)
SRX5100674,p53-2225L,GSE124821,p53-2225L_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,1.77477947061004,nan,NA,p53-2225L_GSE124821_end_antiCTLA4&antiPD1(n=9)
SRX5100694,p53-2225L,GSE124821,p53-2225L_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,3.32077853041244,nan,NA,p53-2225L_GSE124821_end_antiCTLA4&antiPD1(n=9)
SRX5100698,p53-2225L,GSE124821,p53-2225L_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,4.4713736067728,nan,NA,p53-2225L_GSE124821_end_antiCTLA4&antiPD1(n=9)
SRX5100699,p53-2225L,GSE124821,p53-2225L_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,3.05195306539868,nan,NA,p53-2225L_GSE124821_end_antiCTLA4&antiPD1(n=9)
SRX5100734,p53-2225L,GSE124821,p53-2225L_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,3.83797532384361,nan,NA,p53-2225L_GSE124821_end_antiCTLA4&antiPD1(n=9)
SRX5100735,p53-2225L,GSE124821,p53-2225L_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,3.90739833490604,nan,NA,p53-2225L_GSE124821_end_antiCTLA4&antiPD1(n=9)
SRX5100729,p53-2225L,GSE124821,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1,day3,Non-responders,0,antiPD1; antiCTLA4;,4.75551344257041,0.525496937586661,NA,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1(n=13)
SRX5100732,p53-2225L,GSE124821,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1,day3,Non-responders,0,antiPD1; antiCTLA4;,4.38324324751168,0.525496937586661,NA,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1(n=13)
SRX5100730,p53-2225L,GSE124821,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1,day3,Non-responders,0,antiPD1; antiCTLA4;,3.8890733874046,0.525496937586661,NA,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1(n=13)
SRX5100731,p53-2225L,GSE124821,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1,day3,Non-responders,0,antiPD1; antiCTLA4;,3.39046339934477,0.525496937586661,NA,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1(n=13)
SRX5100700,p53-2225L,GSE124821,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1,day3,Non-responders,0,antiPD1; antiCTLA4;,2.49043920378114,0.525496937586661,NA,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1(n=13)
SRX5100606,p53-2225L,GSE124821,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,4.44003195402948,nan,NA,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1(n=13)
SRX5100607,p53-2225L,GSE124821,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,4.57803931386302,nan,NA,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1(n=13)
SRX5100650,p53-2225L,GSE124821,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,4.52756189189567,nan,NA,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1(n=13)
SRX5100701,p53-2225L,GSE124821,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,3.81167704171471,nan,NA,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1(n=13)
SRX5100728,p53-2225L,GSE124821,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,3.57879890373705,nan,NA,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1(n=13)
SRX5100756,p53-2225L,GSE124821,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,4.8273560687528,nan,NA,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1(n=13)
SRX5100781,p53-2225L,GSE124821,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,4.29305384823841,nan,NA,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1(n=13)
SRX5100782,p53-2225L,GSE124821,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,1.13111004274157,nan,NA,p53-2225L_GSE124821_day3_antiCTLA4&antiPD1(n=13)
SRX5100777,KPB25L,GSE124821,KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1,end,Responders,0,antiPD1; antiCTLA4;,3.60020896585257,0.636481726367842,NA,KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1(n=10)
SRX5100776,KPB25L,GSE124821,KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1,end,Responders,0,antiPD1; antiCTLA4;,2.80852632693605,0.636481726367842,NA,KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1(n=10)
SRX5100773,KPB25L,GSE124821,KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1,end,Responders,0,antiPD1; antiCTLA4;,1.22409709156818,0.636481726367842,NA,KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1(n=10)
