	TACSTD2	CD8A	CD274	CLDN4	EPCAM
TCGA-AA-A00J-01	166.8072	48.9785	36.9672	7849.6075	19989.2168
TCGA-AA-A00K-01	579.6406	44.6181	15.285	15068.3108	28706.5929
TCGA-AA-A00L-01	9.8625	27.1904	12.1299	14354.4994	25076.9835
TCGA-AA-A00N-01	1489.3501	83.3574	29.7575	9776.096	24521.3395
TCGA-AA-A00O-01	464.5882	61.3273	11.0679	7553.0833	22632.8825
TCGA-AA-A00Q-01	98.8214	100.607	20.6292	20899.2618	34402.3676
TCGA-AA-A00R-01	4.8992	921.1058	84.5475	7039.8198	16123.2389
TCGA-AA-A00U-01	1284.4752	58.7153	14.2305	13264.6692	18656.7446
TCGA-AA-A00W-01	220.5577	47.4945	7.1621	23597.5615	21905.0481
TCGA-AA-A00Z-01	211.5908	56.1364	28.7672	13351.9353	21985.3003
TCGA-AA-A010-01	198.4176	146.4835	-0.1123	6818.9552	21727.0282
TCGA-AA-A017-01	152.4603	29.5468	5.6741	23314.5311	25124.3709
TCGA-AA-A01C-01	201.4982	38.5579	12.6823	26099.9672	28759.2059
TCGA-AA-A01D-01	796.7695	42.165	18.6427	12354.3756	20442.8087
TCGA-AA-A01F-01	13.7943	9.7557	5.9057	28935.4225	21856.848
TCGA-AA-A01G-01	248.7896	78.6976	3.8081	11472.2409	22998.2175
TCGA-AA-A01I-01	127.4475	102.5124	11.7876	5211.8054	51126.65
TCGA-AA-A01K-01	319.541	82.0684	25.9803	10158.1219	25486.083
TCGA-AA-A01P-01	1545.33	880.182	142.597	6939.86	11961.7
TCGA-AA-A01Q-01	9.5149	144.5309	185.6431	8676.8106	16131.9364
TCGA-AA-A01R-01	908.5791	661.4263	30.4022	20528.8211	13288.5619
TCGA-AA-A01S-01	144.4677	19.8995	2.1337	30267.926	23387.9318
TCGA-AA-A01T-01	232.8434	24.9487	10.2072	54325.5134	21132.5138
TCGA-AA-A01V-01	870.3456	51.1312	31.1959	11665.2478	12821.8224
TCGA-AA-A01X-01	2176.17	26.6355	7.0093	12586.9	24750.9
TCGA-AA-A01Z-01	183.262	11.588	4.721	16249.8	22157.9
TCGA-AA-A022-01	25.1844	1339.7626	133.0984	16381.367	19936.0525
TCGA-AA-A024-01	498.5561	36.1784	5.9759	29693.3848	34295.3361
TCGA-AA-A029-01	67.9269	38.5547	13.7688	28403.426	26281.1049
TCGA-AA-A02E-01	3251.3669	44.9848	6.2149	29163.3813	32621.9292
TCGA-AA-A02F-01	382.7582	13.0184	13.4961	13688.5564	31990.4321
TCGA-AA-A02H-01	136.7293	88.0837	7.9062	25155.8012	37485.5814
TCGA-AA-A02J-01	46.743	7.7708	5.6205	28908.2194	23084.0005
TCGA-AA-A02O-01	131.5422	45.0857	6.0843	23261.172	14558.5391
TCGA-AA-A02R-01	157.0432	465.7787	93.0888	8417.5421	6705.4939
TCGA-AA-A02W-01	267.8377	103.4659	11.1601	11736.5491	32486.2673
TCGA-AA-A02Y-01	160.017	226.512	18.018	28507.5	21649.9
TCGA-AA-A03F-01	1265.7261	47.0742	-0.1123	17089.0827	16200.7384
TCGA-AA-A03J-01	148.2701	276.2599	25.3555	28796.5315	17339.365
TCGA-AD-5900-01	2081.43	383.817	41.4938	7635.37	12566.9
TCGA-AD-6548-01	446.124	201.001	49.8417	17516.9	26865.9
TCGA-AD-6888-01	71.296	21.5373	5.9413	24136.3	30228.7
TCGA-AD-6889-01	18.4332	16.8971	15.873	25803.4	48124.9
TCGA-AD-6890-01	139.48	93.3806	17.1395	22956.9	34746.5
TCGA-AD-6895-01	293.759	317.845	126.571	18438.3	22625.6
