	CLDN4	CD274	TACSTD2	lineage	LINEAGE
CAL54_KIDNEY	145.1674	0.1422	17.7814		
CAL62_THYROID	11.9612	32.4916	0.121		
CAL78_BONE	0.5955	0.7334	0.8147		
CAL851_BREAST	92.4988	35.1862	235.3428		
CALU1_LUNG	15.8912	11.9621	40.4561		
CALU3_LUNG	54.989	0.3664	125.4899		
CALU6_LUNG	2.9445	0.2672	0.3159		lung
CAMA1_BREAST	18.7994	0.0962	22.6683		breast
CAOV3_OVARY	33.9381	4.6862	543.1233		
CAOV4_OVARY	90.0092	0.1608	62.7262		ovary
CAPAN1_PANCREAS	182.4705	0.9644	127.7987		pancreas
CAPAN2_PANCREAS	232.6868	3.6484	824.1154		
CAS1_CENTRAL_NERVOUS_SYSTEM	0.255	1.0912	0.1755		central_nervous_system
CASKI_CERVIX	21.9425	10.8859	271.5655		
CBAGPN_BONE	0.1911	0.0047	0.0093		
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	0.3973	2.2877	0.3627		central_nervous_system
CCK81_LARGE_INTESTINE	81.0949	0.1258	1.2592		colorectal
CCLFPEDS0004T_SOFT_TISSUE	2.7168	0.1644	0.0		
CCLFPEDS0008T_SOFT_TISSUE	2.3504	0.6685	0.0111		
CFPAC1_PANCREAS	148.9873	4.7351	408.9758		pancreas
CH157MN_CENTRAL_NERVOUS_SYSTEM	0.0967	22.2974	0.0658		
CHAGOK1_LUNG	50.198	0.1084	98.6788		lung
CHLA06ATRT_SOFT_TISSUE	20.4554	0.0146	0.0145		
CHLA10_BONE	0.2052	0.0066	0.0105		
CHLA15_AUTONOMIC_GANGLIA	0.142	0.1092	0.0		
CHLA218_BONE	0.0306	0.0315	0.0208		
CHLA266_SOFT_TISSUE	0.1998	0.0856	0.0113		
CHLA32_BONE	0.1583	0.0255	0.0211		
CHLA57_BONE	0.3657	0.1071	0.0052		
CHLA99_BONE	0.162	0.0145	0.0		
CHLA9_BONE	0.0129	0.0129	0.0037		
CHP126_AUTONOMIC_GANGLIA	0.6057	0.0078	0.4702		
CHP212_AUTONOMIC_GANGLIA	3.6709	1.0999	0.1523		
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3157	2.424	0.4317		lymphocyte
CJM_SKIN	9.1713	10.0046	139.6074		skin
CL11_LARGE_INTESTINE	149.5793	0.9409	0.6696		
CL14_LARGE_INTESTINE	157.0948	0.1697	20.9213		
CL34_LARGE_INTESTINE	80.551	0.4595	0.4922		
CL40_LARGE_INTESTINE	166.7341	0.5438	0.4715		
CME1_SOFT_TISSUE	0.6948	0.3694	0.0485		
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1938	0.1837	0.3649		blood
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.5441	0.1238	0.3535		
COGAR359_SOFT_TISSUE	0.2312	0.0195	0.0442		
COGE352_BONE	0.2088	0.0	0.0193		
COGN278_AUTONOMIC_GANGLIA	0.2092	0.1384	0.0		
COGN305_AUTONOMIC_GANGLIA	0.547	0.0236	0.0		
COLO201_LARGE_INTESTINE	71.8965	2.0256	80.6671		colorectal
COLO320_LARGE_INTESTINE	0.5711	0.0256	0.4625		
COLO668_LUNG	41.4228	0.6127	1.0305		lung
COLO678_LARGE_INTESTINE	84.047	0.695	0.3945		
COLO679_SKIN	0.3193	0.3574	0.421		
COLO680N_OESOPHAGUS	73.3636	3.732	401.4957		
COLO684_ENDOMETRIUM	1.2423	0.1018	0.2066		uterus
COLO699_LUNG	0.0202	0.1096	0.0		
COLO741_SKIN	0.4637	0.218	0.2598		
COLO783_SKIN	0.2174	0.2326	0.3095		skin
COLO792_SKIN	0.3626	0.2316	0.4866		skin
COLO800_SKIN	0.4503	0.5509	0.2796		skin
COLO829_SKIN	0.469	0.1556	0.393		
CORL105_LUNG	6.7322	3.2096	0.4812		lung
CORL23_LUNG	74.0356	17.3356	133.9962		lung
CORL24_LUNG	45.1992	0.0369	0.3622		lung
CORL279_LUNG	24.2877	0.3987	1.407		lung
CORL311_LUNG	25.1315	0.0048	0.1061		lung
CORL47_LUNG	6.5588	0.2216	0.3024		lung
CORL88_LUNG	33.8751	0.2633	1.5802		lung
CORL95_LUNG	76.2892	0.7992	3.9287		lung
COV318_OVARY	0.4211	0.3961	0.4356		ovary
COV362_OVARY	39.5306	0.1997	40.7307		ovary
COV413A_OVARY	63.369	0.0784	627.5966		
COV434_OVARY	0.3384	0.222	0.2491		ovary
COV504_OVARY	4.2088	3.8779	40.5682		ovary
COV644_OVARY	125.6878	7.493	350.2161		ovary
CW2_LARGE_INTESTINE	207.5085	0.7436	1.4185		colorectal
CW9019_SOFT_TISSUE	0.0916	66.6085	0.0		
D283MED_CENTRAL_NERVOUS_SYSTEM	0.2767	0.084	0.5665		central_nervous_system
D341MED_CENTRAL_NERVOUS_SYSTEM	0.7544	0.0185	0.3682		central_nervous_system
D425_CENTRAL_NERVOUS_SYSTEM	0.2624	2.4234	0.0		
D458_CENTRAL_NERVOUS_SYSTEM	0.0379	0.0072	0.0072		
DANG_PANCREAS	89.6254	6.0442	100.5195		pancreas
DAOY_CENTRAL_NERVOUS_SYSTEM	0.6721	2.9735	0.3154		central_nervous_system
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3793	0.1818	0.3191		lymphocyte
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	0.7782	15.0114	0.4736		
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1072	0.0279	0.0982		lymphocyte
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.226	118.7918	0.4356		
DERL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0581	0.3469	0.024		
DETROIT562_UPPER_AERODIGESTIVE_TRACT	19.64	1.891	182.7966		
DKMG_CENTRAL_NERVOUS_SYSTEM	0.3006	0.9644	0.2491		central_nervous_system
DL40_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0292	0.4098	0.0181		
DLD1_LARGE_INTESTINE	84.258	1.5345	78.0465		
DL_SOFT_TISSUE	1.3646	0.4617	0.0864		
DM3_FIBROBLAST	0.9541	4.7664	0.5494		
DMS114_LUNG	0.264	0.0322	0.1417		Small Cell Lung Cancer
DMS153_LUNG	45.8966	1.3687	0.8164		lung
DMS273_LUNG	0.6306	0.0826	0.2946		lung
DMS454_LUNG	87.0307	0.6773	3.1289		lung
DMS53_LUNG	92.5405	1.5233	41.5563		lung
DMS79_LUNG	31.4419	0.904	0.5326		
DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.8797	1.0626	1.2581		
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3273	0.1284	0.5772		
DOTC24510_CERVIX	111.4054	10.0688	1904.999		
DU145_PROSTATE	6.2826	4.8714	39.9406		
DU4475_BREAST	0.7823	0.5788	2.3347		breast
DV90_LUNG	163.7792	0.4449	88.4254		lung
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1654	0.2403	0.1931		lymphocyte
EBC1_LUNG	71.1038	6.3849	126.9598		lung
ECC10_STOMACH	17.0261	0.9542	0.6337		gastric
ECC12_STOMACH	5.9151	0.2018	0.7462		gastric
ECGI10_OESOPHAGUS	64.1168	3.9425	180.5579		esophagus
EFE184_ENDOMETRIUM	17.4734	0.3186	0.1856		uterus
EFM192A_BREAST	135.8277	0.12	97.7595		
EFM19_BREAST	36.8914	0.0206	156.9794		
EFO21_OVARY	2.6574	0.6714	15.2488		
EFO27_OVARY	2.7783	0.6211	0.0941		
EGI1_BILIARY_TRACT	91.405	1.1691	1248.0375		
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2762	32.7655	0.3709		
EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1967	1.6627	0.192		
EKVX_LUNG	0.6612	0.1618	1.4061		
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1885	0.0844	0.2823		
EN_ENDOMETRIUM	1.113	0.0309	0.5197		
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2036	0.2827	0.4182		
EPLC272H_LUNG	39.4815	7.8034	345.4171		lung
ES2_OVARY	0.8434	14.3642	0.4274		
ESO26_OESOPHAGUS	176.3892	0.0848	142.2716		
ESS1_ENDOMETRIUM	0.4741	2.9723	1.2295		
EW8_BONE	0.1612	0.0553	0.0869		
EWS502_BONE	0.1138	0.0276	0.0939		
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2761	5.3212	0.179		
F5_CENTRAL_NERVOUS_SYSTEM	4.1889	0.5506	0.1223		
FADU_UPPER_AERODIGESTIVE_TRACT	26.7177	3.2816	455.9442		upper_aerodigestive
FEPD_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1633	6.7962	0.0		
FLO1_OESOPHAGUS	0.9855	0.2155	0.0749		
FTC133_THYROID	0.7424	1.802	0.435		thyroid
FTC238_THYROID	1.044	20.2157	0.2411		thyroid
FU97_STOMACH	0.1308	0.1272	0.0916		gastric
FUOV1_OVARY	3.7965	0.119	0.2209		
G292CLONEA141B1_BONE	0.26	0.2905	0.295		bone
G361_SKIN	0.0762	0.5304	0.1192		
G401_SOFT_TISSUE	0.2938	0.0318	0.1126		kidney
G402_SOFT_TISSUE	0.6436	0.1136	0.5344		
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1844	0.0795	0.4026		lymphocyte
GAMG_CENTRAL_NERVOUS_SYSTEM	1.6357	1.6919	0.4954		
GB1_CENTRAL_NERVOUS_SYSTEM	0.8854	10.9888	0.1977		central_nervous_system
GCIY_STOMACH	3.411	0.0877	1.9099		gastric
GCT_SOFT_TISSUE	0.5241	2.1084	0.362		soft_tissue
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3517	0.3044	0.5987		blood
GI1_CENTRAL_NERVOUS_SYSTEM	0.5299	0.7997	0.3915		central_nervous_system
GIMEN_AUTONOMIC_GANGLIA	0.1644	2.1009	0.1996		
GMS10_CENTRAL_NERVOUS_SYSTEM	1.815	7.4421	7.4781		
GOS3_CENTRAL_NERVOUS_SYSTEM	0.6016	1.2054	0.2934		central_nervous_system
GP2D_LARGE_INTESTINE	53.6852	0.1187	0.5873		colorectal
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3987	17.5609	0.3301		
GSS_STOMACH	3.8252	0.4164	0.2716		gastric
GSU_STOMACH	191.0182	0.0904	73.9128		gastric
H103_BUCCAL	9.039	0.5976	625.1241		
H4_CENTRAL_NERVOUS_SYSTEM	2.5266	0.5616	0.3882		central_nervous_system
HA1E_KIDNEY	0.2852	27.4625	60.7098		
HARA_LUNG	2.3095	0.3201	23.9767		lung
HCC1143_BREAST	50.6692	0.3452	226.1879		breast
HCC1171_LUNG	162.7632	23.4283	287.603		lung
HCC1187_BREAST	138.2082	0.1148	28.9884		breast
HCC1195_LUNG	116.7738	6.6456	81.7505		lung
HCC1359_LUNG	2.015	5.4562	0.3925		lung
HCC1395_BREAST	0.8723	0.284	0.3795		breast
HCC1419_BREAST	173.3365	0.0538	35.6255		
HCC1428_BREAST	72.3761	0.4763	37.566		
HCC1438_LUNG	0.5072	1.672	59.7592		lung
HCC1500_BREAST	42.3274	0.2166	94.0207		
HCC1569_BREAST	93.1936	0.1307	0.4971		breast
HCC1588_LUNG	278.7601	0.0886	54.7724		lung
HCC1599_BREAST	106.9896	0.0383	188.0241		
HCC15_LUNG	36.6423	0.8945	15.5035		lung
HCC1806_BREAST	29.0317	0.488	256.3387		
HCC1833_LUNG	67.4014	0.3146	0.3125		lung
HCC1937_BREAST	55.717	1.5869	414.5937		breast
HCC1954_BREAST	120.9143	4.8917	293.9739		breast
HCC202_BREAST	197.019	0.1528	82.6015		breast
HCC2108_LUNG	7.1658	0.2174	0.3886		lung
HCC2157_BREAST	98.4554	0.0626	138.987		breast
HCC2218_BREAST	70.257	0.0387	117.7318		breast
HCC2279_LUNG	14.152	0.6997	20.2477		lung
HCC2429_LUNG	0.1788	0.1431	19.3636		
HCC2450_LUNG	0.8762	22.0144	14.0413		
HCC2814_LUNG	39.4482	0.4346	44.4698		
HCC2935_LUNG	237.8127	9.8149	238.6964		
HCC33_LUNG	2.9312	0.0799	0.2742		lung
HCC364_LUNG	41.7163	11.393	1.2974		
HCC366_LUNG	0.855	0.8577	14.5033		lung
HCC38_BREAST	161.6301	2.1253	276.9536		breast
HCC4006_LUNG	51.4414	37.9465	153.565		
HCC44_LUNG	15.8391	45.1336	18.3472		
HCC461_LUNG	2.538	11.7599	9.9164		
HCC515_LUNG	6.6175	0.5257	46.3223		
HCC56_LARGE_INTESTINE	163.5443	0.1651	8.1784		colorectal
HCC70_BREAST	93.289	5.3155	378.3753		breast
HCC78_LUNG	127.9102	30.2326	596.7223		
HCC827GR5_LUNG	132.7127	2.5144	284.0686		
HCC827_LUNG	66.7047	10.7511	206.0223		
HCC95_LUNG	38.7627	0.8981	198.0392		lung
HCT116_LARGE_INTESTINE	22.7117	0.7091	5.8346		
HCT15_LARGE_INTESTINE	80.8932	0.5213	28.2594		colorectal
HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.5748	66.933	0.4522		
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.2469	6.9241	0.122		
HDQP1_BREAST	69.468	1.9002	393.9525		
HEC108_ENDOMETRIUM	49.3084	1.0017	0.2653		uterus
HEC151_ENDOMETRIUM	3.7959	1.8507	0.3312		uterus
HEC1A_ENDOMETRIUM	118.6651	0.1298	0.4284		
HEC1B_ENDOMETRIUM	3.9964	0.0325	0.1972		uterus
HEC251_ENDOMETRIUM	60.6224	0.4832	340.8438		uterus
HEC265_ENDOMETRIUM	66.5377	6.3557	258.9026		uterus
HEC50B_ENDOMETRIUM	8.0235	0.1471	0.236		uterus
HEC59_ENDOMETRIUM	7.8846	0.1201	0.2386		uterus
HEC6_ENDOMETRIUM	0.9396	1.2311	0.1567		uterus
HEKTE_KIDNEY	2.5744	21.7503	12.0637		
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0838	7.5724	0.1069		blood
HELA_CERVIX	5.4333	0.4149	13.508		
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0902	4.792	0.1579		blood
HEP3B217_LIVER	0.1485	0.0536	0.1375		liver
HEPG2_LIVER	12.3868	0.015	0.145		
HEYA8_OVARY	0.4202	5.8641	12.7386		
HGC27_STOMACH	0.4063	0.0796	0.2045		gastric
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0729	0.0581	0.1732		lymphocyte
HKA1_SKIN	22.5654	0.1157	187.861		
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1149	0.0723	0.1862		
HLFA_FIBROBLAST	0.2095	4.6555	0.175		
HLF_LIVER	0.237	3.1958	0.0712		liver
HMC18_BREAST	0.1384	0.271	0.1101		breast
HMCB_SKIN	0.7174	0.1111	0.134		
HMEL_BREAST	12.1644	2.264	181.4804		
HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1108	0.8246	0.1219		
HOP62_LUNG	5.955	7.4234	1.3692		
HOP92_LUNG	45.6418	9.6131	217.3284		
HOS_BONE	0.5024	4.0789	0.1211		bone
HPAC_PANCREAS	27.503	0.9822	317.3652		pancreas
HPAFII_PANCREAS	137.3057	1.2989	274.8596		pancreas
HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.1014	0.0344	0.1058		
HS172T_FIBROBLAST	0.1983	32.0434	0.3706		
HS229T_FIBROBLAST	1.2487	7.2026	0.1769		fibroblast
HS255T_FIBROBLAST	0.321	1.7576	0.2076		fibroblast
HS274T_BREAST	0.2098	0.2792	0.6555		
HS281T_FIBROBLAST	0.2023	5.6002	0.1567		
HS294T_SKIN	1.8921	0.2316	0.1917		
HS343T_FIBROBLAST	0.2464	1.4157	0.1626		
HS578T_BREAST	0.1979	2.3937	0.103		breast
HS600T_FIBROBLAST	0.423	0.2899	0.4257		fibroblast
HS606T_FIBROBLAST	0.2261	1.0371	0.2492		
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1542	9.8741	0.5597		lymphocyte
HS616T_FIBROBLAST	0.1608	0.178	0.3573		fibroblast
HS618T_FIBROBLAST	0.5284	4.3172	0.1306		fibroblast
HS675T_FIBROBLAST	0.1408	22.8172	0.5806		fibroblast
HS683_CENTRAL_NERVOUS_SYSTEM	1.0875	2.9717	0.2628		central_nervous_system
HS688AT_FIBROBLAST	0.2192	0.7922	0.202		fibroblast
HS695T_SKIN	5.7836	0.2553	0.131		
HS698T_FIBROBLAST	0.2933	0.351	7.7793		
HS706T_BONE	0.1392	2.3345	0.1816		fibroblast
HS729_SOFT_TISSUE	1.5741	0.7605	0.5759		fibroblast
HS737T_FIBROBLAST	0.1204	0.2875	0.3352		fibroblast
HS739T_FIBROBLAST	0.2411	2.4219	0.7576		fibroblast
HS742T_FIBROBLAST	0.1346	6.7081	0.157		fibroblast
HS746T_STOMACH	46.9381	28.5529	2.3775		gastric
HS751T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.7007	1.1767	1.5608		
HS766T_PANCREAS	2.1453	2.2816	66.884		
HS819T_FIBROBLAST	0.1468	0.2777	0.1296		fibroblast
HS821T_FIBROBLAST	0.1469	0.6986	0.1246		
HS822T_FIBROBLAST	0.208	0.2394	0.2927		fibroblast
HS834T_FIBROBLAST	0.4026	0.159	0.239		
HS839T_FIBROBLAST	0.3062	0.1884	0.2183		fibroblast
HS840T_FIBROBLAST	0.2527	6.8034	0.4268		fibroblast
HS852T_SKIN	0.2398	0.1261	0.1339		
HS863T_FIBROBLAST	0.1787	0.9312	0.2112		
HS870T_FIBROBLAST	0.3557	1.2191	0.2096		fibroblast
HS888T_FIBROBLAST	2.1408	1.42	0.379		
HS895T_FIBROBLAST	0.8429	6.4514	0.1281		fibroblast
HS934T_FIBROBLAST	0.8084	0.3125	0.4166		
HS936T_SKIN	0.5689	1.7418	0.8379		skin
HS939T_SKIN	0.2714	0.6822	0.1078		skin
HS940T_FIBROBLAST	0.1629	1.9393	1.4073		fibroblast
HS944T_SKIN	0.883	2.3564	0.2203		
HSB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.106	0.3231	0.0076		
HSC1_SKIN	41.2752	2.6404	1067.4794		
HSC2_UPPER_AERODIGESTIVE_TRACT	1.6454	1.1692	163.5861		upper_aerodigestive
HSC3_UPPER_AERODIGESTIVE_TRACT	1.588	19.1993	108.8643		upper_aerodigestive
HSC4_UPPER_AERODIGESTIVE_TRACT	88.2537	4.4344	296.5237		upper_aerodigestive
HSC5_SKIN	93.7969	3.353	476.7652		
HT1080_SOFT_TISSUE	0.6226	16.914	0.1874		soft_tissue
HT115_LARGE_INTESTINE	177.0502	0.2956	1.0062		colorectal
HT1197_URINARY_TRACT	110.4094	11.0295	243.2153		urinary_tract
HT1376_URINARY_TRACT	87.4897	12.6414	659.7138		
HT144_SKIN	1.3803	0.1091	0.1231		skin
HT29_LARGE_INTESTINE	96.9035	0.1449	6.9348		
HT55_LARGE_INTESTINE	118.9037	0.0907	27.4809		colorectal
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0919	0.2043	0.1601		lymphocyte
HUCCT1_BILIARY_TRACT	25.0365	14.6186	394.1601		bile_duct
HUG1N_STOMACH	87.8148	0.0797	57.2128		gastric
HUH1_LIVER	37.8414	0.156	0.1995		
HUH28_BILIARY_TRACT	0.1642	6.4605	0.6256		bile_duct
HUH6_LIVER	31.7154	0.0196	0.1727		liver
HUH7_LIVER	0.395	0.1358	0.353		liver
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0584	12.973	0.7224		plasma_cell
HUPT3_PANCREAS	65.7156	8.1516	172.8123		pancreas
HUPT4_PANCREAS	189.0491	3.4939	648.6144		
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1621	8.5933	0.4965		lymphocyte
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1204	0.2998	0.1344		lymphocyte
HUTU80_SMALL_INTESTINE	0.4151	0.0147	0.1876		gastric
IALM_LUNG	15.608	6.4483	0.2566		lung
IGR1_SKIN	3.3854	1.99	0.1068		skin
IGR37_SKIN	0.1096	0.2157	0.1683		
IGR39_SKIN	0.6229	0.7505	0.4403		skin
IGROV1_OVARY	0.5495	0.0588	0.2282		
IM95_STOMACH	84.044	0.5124	119.7967		
IMR32_AUTONOMIC_GANGLIA	0.2167	0.0215	0.1497		peripheral_nervous_system
INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2505	1.4239	0.0758		
IOMMLEE_CENTRAL_NERVOUS_SYSTEM	0.761	41.6754	0.1151		
IPC298_SKIN	0.1653	0.177	0.1582		
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	52.0003	0.3798	106.0172		uterus
ISTMES1_PLEURA	0.4954	1.4938	0.1234		lung
ISTMES2_PLEURA	0.3878	1.2764	0.5344		lung
J82_URINARY_TRACT	5.175	3.0096	15.4678		urinary_tract
JAR_PLACENTA	71.5082	0.0099	0.0164		
JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1744	0.0848	0.1881		
JHESOAD1_OESOPHAGUS	89.1077	14.694	495.6844		
