	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21
A11	0.9803065830798957	0.9725058745409999	0.9808933053741788	0.9550739112285146	0.9617685379772251	0.9514947527473118	0.9627396511733495	0.9529251095731973	0.9599072627502166	0.9744931086063209	1.0	0.981308754593122	0.9805631261610355	0.9689201372762446	0.980643233449621	0.9683398554296251	0.9831024891389187	0.9736576706113711	0.9784200581049075	0.969856826422228	0.9684142736178745
A12	0.9705275694431527	0.9826254576167314	0.9711018727328727	0.9637947345094974	0.9514736315958584	0.9596244225733339	0.9535143270031509	0.9629032163600082	0.9499837508268569	0.9831828787355016	0.981308754593122	1.0	0.9716445801113442	0.9788929171833656	0.9721683871033324	0.9771228536506752	0.9734881167897017	0.9833346930632751	0.9689204654923654	0.9807214841430377	0.957719031150426
A13	0.9686494613556209	0.9620849948197185	0.9703877432109125	0.9473315845577839	0.9543612707344044	0.9458743677423442	0.9629000706103805	0.9528711362026535	0.9628580085402946	0.9703414281569727	0.9805631261610355	0.9716445801113444	1.0	0.9792590399480857	0.9892845058476404	0.963323374007272	0.9728270973878782	0.9639573339954616	0.97882343063569	0.9654616508038137	0.9721531173298625
A14	0.9567495024163618	0.9688497229941759	0.9595233782696068	0.957268653072179	0.9458693480555995	0.9561737063932846	0.9526555618037518	0.9622037825376838	0.9535275267396133	0.980443592224222	0.9689201372762447	0.9788929171833656	0.9792590399480857	1.0	0.9789546440734057	0.9743975508371069	0.9607904534851059	0.970773216196159	0.9680958762005852	0.9725558327392778	0.9633918048422639
A15	0.9690942808542611	0.9626054804381299	0.9707178429112838	0.9469008605973328	0.953802342817315	0.9455494086637818	0.962740884571463	0.9532452647173415	0.9622237903394301	0.9692756912300124	0.9806432334496209	0.9721683871033324	0.9892845058476403	0.9789546440734057	1.0	0.96280807425803	0.9733263364790684	0.9643550270090865	0.9787750696391849	0.9662655378504422	0.971464491935315
A16	0.9676388480347565	0.9774443908970778	0.9702415390076683	0.9658518079882006	0.9546358091739031	0.9639519456261338	0.9502947371977135	0.9586144602255494	0.9525057471006475	0.9819601839557536	0.9683398554296249	0.9771228536506752	0.9633233740072721	0.9743975508371068	0.9628080742580299	1.0	0.9728831875251526	0.9817859401233322	0.9721530334523596	0.976553586748232	0.9702954508646882
A17	0.9844063908204622	0.9761324739838914	0.9851306815116835	0.9548443653756497	0.962635814949707	0.9510088250369056	0.9624303253528239	0.9525493840739236	0.959577258767681	0.9655008727612963	0.9831024891389187	0.9734881167897018	0.9728270973878781	0.960790453485106	0.9733263364790684	0.9728831875251525	1.0	0.9801137018107352	0.983264833195743	0.9756689703679055	0.972423529289526
A18	0.9766438521256474	0.9843476922316068	0.9759441301891694	0.9641850337472988	0.9538662252640788	0.959409949872591	0.9549615464475089	0.9640750627921433	0.9506338614746541	0.9735052957943815	0.9736576706113712	0.9833346930632751	0.9639573339954616	0.9707732161961589	0.9643550270090864	0.9817859401233322	0.9801137018107352	1.0	0.9735442575431641	0.9866977965202959	0.9618715806583229
A19	0.9768755416449904	0.9688143931780402	0.9781693036173755	0.9500697849773604	0.958102708161984	0.947673786561756	0.9650839870054896	0.9539611158605912	0.964456316336799	0.9670694396108126	0.9784200581049075	0.9689204654923654	0.97882343063569	0.9680958762005852	0.978775069639185	0.9721530334523597	0.9832648331957429	0.9735442575431641	0.9999999999999999	0.9764552211635456	0.9827249483565987
A20	0.9707100460489022	0.9816843217526005	0.9711249873399358	0.9553674007319108	0.9441794180136025	0.9505233077211109	0.9532916166948214	0.9631207268972399	0.9488052773321489	0.968964094603516	0.969856826422228	0.9807214841430377	0.9654616508038136	0.9725558327392779	0.9662655378504422	0.976553586748232	0.9756689703679055	0.9866977965202959	0.9764552211635456	0.9999999999999999	0.9643365000582809
A21	0.9665070683599606	0.9582020304775032	0.9697315921314229	0.9439501621116785	0.9527784571366696	0.9436801899607966	0.955194347043344	0.9434946208962918	0.9595981157798612	0.9654174577196584	0.9684142736178745	0.9577190311504261	0.9721531173298625	0.9633918048422642	0.971464491935315	0.970295450864688	0.9724235292895261	0.961871580658323	0.9827249483565986	0.9643365000582809	0.9999999999999999
