contrast	term	n_genes	mean_log2_kd	mean_log2_parent	delta_log2	welch_t	welch_p_two	welch_p_greater	kd_scores	parent_scores	fdr_greater_within_contrast	fdr_greater_across_subunits
DNA-PKcs	GOBP_CELLULAR_RESPONSE_TO_TYPE_I_INTERFERON	20	6.820034703999107	6.7457794254586085	0.07425527854049818	1.4575828079970432	0.2778173142977526	0.1389086571488763	6.7198,6.8602,6.8801	6.7320,6.7554,6.7500	0.2902004952627249	0.24874328165376422
DNA-PKcs	GOBP_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY	19	6.95124982786864	6.878495016400708	0.07275481146793172	1.8674392403110869	0.19882064615412465	0.09941032307706232	6.8852,6.9495,7.0191	6.8689,6.8817,6.8849	0.2902004952627249	0.24874328165376422
Ku70	HALLMARK_INTERFERON_ALPHA_RESPONSE	68	6.176189254037083	6.127754757841835	0.04843449619524787	1.3159277174185033	0.258636794147974	0.129318397073987	6.1898,6.2120,6.1267	6.1596,6.0751,6.1485	0.14972482872905127	0.24874328165376422
Ku70	HALLMARK_INTERFERON_GAMMA_RESPONSE	131	6.072388691772066	6.024234073968625	0.048154617803441546	1.0985252253784457	0.33771993930145455	0.16885996965072728	6.1128,6.1015,6.0029	6.0474,5.9713,6.0540	0.16885996965072728	0.27631631397391737
Ku70	REACTOME_INTERFERON_SIGNALING	145	7.3882243737914495	7.202713206021332	0.18551116777011778	5.395480909353001	0.01299276827405208	0.00649638413702604	7.4016,7.4056,7.3574	7.2554,7.1491,7.2036	0.02645478783268913	0.07936436349806739
Ku70	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	44	6.411424981476166	6.238428051536932	0.17299692993923443	3.8852301716271676	0.026525989261172833	0.013262994630586417	6.4221,6.4439,6.3683	6.2625,6.1632,6.2896	0.03133954184423653	0.09401862553270961
Ku70	REACTOME_INTERFERON_GAMMA_SIGNALING	58	6.469658455438467	6.339907578851012	0.12975087658745554	3.016139834418058	0.07072829844672014	0.03536414922336007	6.4793,6.4891,6.4406	6.4030,6.2647,6.3520	0.06062425581147441	0.12731093720409625
Ku70	REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	73	8.43372576548074	8.254029996163325	0.17969576931741393	5.0350456887058685	0.013227393916344565	0.0066136969581722825	8.4393,8.4611,8.4008	8.3142,8.2107,8.2372	0.02645478783268913	0.07936436349806739
Ku70	REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES	8	6.589421632887373	6.423857818577393	0.16556381430998002	2.259765078119837	0.15089266534908524	0.07544633267454262	6.5801,6.5992,6.5890	6.5434,6.2913,6.4368	0.11316949901181393	0.2469152705712304
Ku70	KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	32	7.409594125705905	7.181527837134723	0.22806628857118127	7.362580697199625	0.008882402518139945	0.004441201259069973	7.3918,7.4291,7.4079	7.2304,7.1842,7.1300	0.02645478783268913	0.07936436349806739
Ku70	REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA	51	7.615508060307771	7.47130117129467	0.14420688901310097	4.45877600447337	0.03133954184423653	0.015669770922118267	7.6366,7.6052,7.6048	7.5322,7.4357,7.4460	0.03133954184423653	0.09401862553270961
Ku70	GOBP_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION	48	7.432667397505387	7.328822780158543	0.10384461734684436	3.3655567156923616	0.02979872567118642	0.01489936283559321	7.4512,7.4533,7.3935	7.3760,7.2992,7.3113	0.03133954184423653	0.09401862553270961
Ku70	GOBP_CELLULAR_RESPONSE_TO_TYPE_I_INTERFERON	20	6.818617292282595	6.7457794254586085	0.07283786682398663	1.9317336488080987	0.1843776355163423	0.09218881775817114	6.7914,6.8919,6.7726	6.7320,6.7554,6.7500	0.12291842367756153	0.24874328165376422
Ku70	GOBP_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY	19	6.933035927388143	6.878495016400708	0.05454091098743419	1.4732019990468082	0.274495519336594	0.137247759668297	6.9177,7.0028,6.8785	6.8689,6.8817,6.8849	0.14972482872905127	0.24874328165376422
Ku80	HALLMARK_INTERFERON_ALPHA_RESPONSE	68	6.033263793794087	6.127754757841835	-0.09449096404774782	-2.961937166656283	0.049130746116062766	0.9754346269419686	6.0054,6.0281,6.0663	6.1596,6.0751,6.1485	0.9879925737440245	0.9879925737440245
Ku80	HALLMARK_INTERFERON_GAMMA_RESPONSE	131	5.895222992891682	6.024234073968625	-0.1290110810769427	-4.384834567797349	0.024014852511950985	0.9879925737440245	5.8750,5.9187,5.8919	6.0474,5.9713,6.0540	0.9879925737440245	0.9879925737440245
Ku80	REACTOME_INTERFERON_SIGNALING	145	7.152745059769153	7.202713206021332	-0.049968146252179046	-1.5855252307038552	0.24188027552287178	0.8790598622385641	7.1539,7.1399,7.1644	7.2554,7.1491,7.2036	0.9879925737440245	0.9589743951693427
Ku80	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	44	6.184624617661984	6.238428051536932	-0.05380343387494779	-1.357201137429529	0.29465476502074595	0.8526726174896271	6.1721,6.2037,6.1781	6.2625,6.1632,6.2896	0.9879925737440245	0.9589743951693427
Ku80	REACTOME_INTERFERON_GAMMA_SIGNALING	58	6.232951561550617	6.339907578851012	-0.10695601730039517	-2.4528652829256807	0.10285838036974544	0.9485708098151273	6.2249,6.2646,6.2094	6.4030,6.2647,6.3520	0.9879925737440245	0.9879925737440245
Ku80	REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	73	8.240741791762614	8.254029996163325	-0.013288204400710768	-0.32630079066258016	0.760960240904997	0.6195198795475014	8.2536,8.1900,8.2786	8.3142,8.2107,8.2372	0.9879925737440245	0.7690591608175881
Ku80	REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES	8	6.507178108122264	6.423857818577393	0.08332028954487036	1.1056878020675034	0.3727974423818141	0.18639872119090706	6.4888,6.5441,6.4886	6.5434,6.2913,6.4368	0.44735693085817696	0.291754520124898
Ku80	KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	32	7.245099247192022	7.181527837134723	0.06357141005729883	1.5435413945142602	0.19757726941878434	0.09878863470939217	7.2085,7.3028,7.2240	7.2304,7.1842,7.1300	0.3126389273441264	0.24874328165376422
Ku80	REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA	51	7.485942312326134	7.47130117129467	0.014641141031463967	0.4749615047461939	0.6803409270312233	0.34017046351561164	7.4828,7.4936,7.4814	7.5322,7.4357,7.4460	0.6803409270312232	0.4898454674624808
Ku80	GOBP_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION	48	7.372012837127833	7.328822780158543	0.04319005696928979	1.5758507443352128	0.20842595156275093	0.10421297578137546	7.3466,7.3767,7.3927	7.3760,7.2992,7.3113	0.3126389273441264	0.24874328165376422
Ku80	GOBP_CELLULAR_RESPONSE_TO_TYPE_I_INTERFERON	20	6.810675909503033	6.7457794254586085	0.06489648404442416	3.5130038892795845	0.04693450720094698	0.02346725360047349	6.7912,6.7962,6.8447	6.7320,6.7554,6.7500	0.14080352160284093	0.09652884141429492
Ku80	GOBP_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY	19	7.005953332451604	6.878495016400708	0.12745831605089553	4.6433613994637115	0.03834203446103912	0.01917101723051956	6.9560,7.0131,7.0487	6.8689,6.8817,6.8849	0.14080352160284093	0.09652884141429492
