contrast	k	n	rho	p	q	I2	family	dataset	lo	hi	note	W	delta
CLDN4 vs Ben-Porath ES1 stemness		9	0.06666666666666667	0.8646897846262036			cohort	GSE189357	-0.6251416095115173	0.6998121787447572			
CLDN4 vs Wong ESC stemness		13	0.09890109890109891	0.7478683035983906			cohort	GSE123902	-0.4781482680629534	0.6163092756591617			
CLDN4 vs Wong ESC stemness		21	0.05844155844155843	0.8013282220179796			cohort	GSE131907	-0.3829125725558924	0.47807398711844296			
CLDN4 vs Wong ESC stemness		22	0.07396950875211745	0.7435587990333695			cohort	GSE205335	-0.3588366529984439	0.480596542569655			
CLDN4 vs Wong ESC stemness		9	0.03333333333333333	0.9321567355405039			cohort	GSE189357	-0.6450770928495034	0.6823574591513761			
CLDN4 vs barrier/keratin (no CLDN4)		13	0.5714285714285714	0.0413422673717235			cohort	GSE123902	0.029826221444744883	0.8536479508285921			
CLDN4 vs barrier/keratin (no CLDN4)		21	0.1155844155844156	0.6178368603191974			cohort	GSE131907	-0.3327105499578341	0.5212683429670406			
CLDN4 vs barrier/keratin (no CLDN4)		22	0.39243365330321855	0.07084079067181379			cohort	GSE205335	-0.03496710501260858	0.6984810130596242			
CLDN4 vs barrier/keratin (no CLDN4)		9	0.45	0.22421610749233675			cohort	GSE189357	-0.3054018567746413	0.8577762355445255			
CytoTRACE2 vs Ben-Porath ES1		13	-0.027472527472527472	0.9290117291603509			cohort	GSE123902	-0.5698399923176898	0.5315671316769668			
CytoTRACE2 vs Ben-Porath ES1		21	0.3649350649350649	0.10382027127753134			cohort	GSE131907	-0.0792424975319764	0.6882083028364143			
CytoTRACE2 vs Ben-Porath ES1		22	0.20158102766798422	0.3683370734344016			cohort	GSE205335	-0.24047182529749034	0.5743799287083272			
CytoTRACE2 vs Ben-Porath ES1		9	0.8499999999999999	0.0037047773275858125			cohort	GSE189357	0.4268071838243652	0.9677979066903138			
CytoTRACE2 vs barrier/keratin (no CLDN4)		13	-0.39010989010989006	0.18757411613383787			cohort	GSE123902	-0.7746036814073891	0.20493333553289172			
CytoTRACE2 vs barrier/keratin (no CLDN4)		21	-0.07272727272727272	0.7540636728389067			cohort	GSE131907	-0.48906628094174204	0.37060179218624845			
CytoTRACE2 vs barrier/keratin (no CLDN4)		22	-0.6691134952004518	0.0006611865482963787			cohort	GSE205335	-0.8507304808373493	-0.3447571622849447			
CytoTRACE2 vs barrier/keratin (no CLDN4)		9	0.48333333333333334	0.18746985521554216			cohort	GSE189357	-0.2662673970281427	0.868634837422806			
CLDN4 vs frac Differentiated		13	0.510989010989011	0.07432891414402142			cohort	GSE123902	-0.055681404913708425	0.8286691989399193			
CLDN4 vs frac Differentiated		21	0.5254277479842545	0.014442401621788961			cohort	GSE131907	0.12123247788055713	0.780162075487095			
CLDN4 vs frac Differentiated		22	0.2554394814362859	0.2512405014428077			cohort	GSE205335	-0.1862324708794102	0.6112272697637793			
CLDN4 vs frac Differentiated		9	0.16666666666666669	0.668231040071504			cohort	GSE189357	-0.5593801039689896	0.7480015563861971			
pooled Spearman CLDN4 vs CytoTRACE2 (not meta)		65	-0.25450174825174826	0.04076946946870294			sensitivity				all eligible units stacked; cohort is not the weight		
DL CLDN4 %pos vs CytoTRACE2	4.0	65	-0.04143860834548036	0.870463718669972			sensitivity				sensitivity; %pos is the T/NK score		
DL CLDN4 vs Gulati2020	4.0	65	0.23189123785253785	0.08552897077387107			sensitivity				gene-count CytoTRACE, per dataset		
DL CLDN4 vs preKNN CytoTRACE2	4.0	65	-0.29553425292218427	0.07799419088306561			sensitivity				unsmoothed CytoTRACE2		
DL CLDN4 vs Ben-Porath core nine	4.0	65	0.16657065749427996	0.22093015502400748			sensitivity				n=9 TF set		
DL CytoTRACE2 vs Wong ESC	4.0	65	0.49545332477747267	7.653202646121392e-05			sensitivity				second stemness agreement		
LOO drop GSE123902: CLDN4 vs CytoTRACE2	3.0	52	-0.23345838724843415	0.3013347003252209			sensitivity				leave-one-cohort-out		
LOO drop GSE131907: CLDN4 vs CytoTRACE2	3.0	44	-0.19116085241219546	0.37420409580784797			sensitivity				leave-one-cohort-out		
LOO drop GSE205335: CLDN4 vs CytoTRACE2	3.0	43	-0.2977296176889543	0.24550617221067228			sensitivity				leave-one-cohort-out		
LOO drop GSE189357: CLDN4 vs CytoTRACE2	3.0	56	-0.4023457784122575	0.003460565793157038			sensitivity				leave-one-cohort-out		
GSE205335 ADC-only CLDN4 vs CytoTRACE2		14	-0.3230769230769231	0.2598736195087899			sensitivity				not meta		
GSE123902 primary-only CLDN4 vs CytoTRACE2		8	-0.30952380952380953	0.4556448907375822			sensitivity				donor tissue; n may be small		
GSE123902 met-only CLDN4 vs CytoTRACE2		5	-0.09999999999999999	0.8728885715695384			sensitivity				donor tissue; n may be small		
CytoTRACE2 high vs low		65		0.5383893465300222			paired					948.0	-0.0006838139447709612
Ben-Porath ES1 high vs low		65		8.167947740448236e-08			paired					238.0	0.07229073088083725
Wong ESC high vs low		65		7.2126173270206575e-06			paired					369.0	0.06943477042829402
barrier/keratin high vs low		65		3.5254980732707397e-12			paired					0.0	0.32401577356447114
Gulati2020 high vs low		65		6.136288138125172e-11			paired					62.0	0.1790831943471649
preKNN CytoTRACE2 high vs low		65		0.3525973125048051			paired					901.0	-0.0027021408675081543
