	protein	R2A	R9A	R13A	R25A	R31A	R40A	R41A	R70A	R77A	R96A	R101A	R102A	R111A	R113A	R116A	R138A	R141A	R37A	R43A	R87A	R97A	R99A	R108A	R124A	R133	R136A	R137A	R139A	R145A	R146A	NR10A	NR17A	NR20A	NR66A	NR68A	NR85A	NR88A	NR89A	NR100A	NR103A	NR104A	NR118A	NR125A	NR142A	NR51A	NR60A	NR128A	NR148A	p_val	foldchange	log_pval
11	Q8NCE2_MTMRE	13.07218765	13.74566641	14.46252212	11.46820985	14.42983996	15.29963404	16.72103989	15.64848554	19.95181246	14.12672953	14.33003589	17.19760421	15.86705459	14.65602854	16.07103661	13.81519972	14.1066529	12.12207552	15.83486027	16.28723961	15.01475675	15.07199775	14.1294554	14.03075128	16.82797163	13.51643219	13.69494824	17.26073314	13.26824842	16.29504319	13.75732928	15.29406269	14.86850346	15.79192211	13.12453658	13.8664153	15.90841381	14.18104219	13.72325638	16.28398588	12.52448133	13.40364075	14.44399808	13.77558559	14.29212322	14.48537814	15.09175242	13.1368245	0.131139984417059	0.613405570555557	0.882264872275313
12	Q6SPF0_SAMD1	12.1254059	12.49848345	12.31355516	10.36850918	12.26164064	13.10055374	14.22142926	12.71475504	8.305351421	13.05457353	11.77638126	13.24519043	10.85719315	13.02278151	11.61884227	11.45814834	11.60064944	11.44982905	10.13841259	12.05578402	10.77738736	12.34118391	12.36292789	11.10920846	12.16646982	13.21289353	12.31108839	12.1715052	11.10002574	13.01034823	15.43606953	11.98444006	12.3830794	12.9856672	13.16985448	13.55919657	11.36737431	12.51264054	13.29793933	12.30539564	11.05645812	12.82871177	13.32922574	15.53439868	12.70756827	11.69092062	15.38680331	12.76625209	0.00783976151384668	-1.05842727296667	2.10569714838645
13	O76031_CLPX	13.41924337	15.09218876	15.96421587	15.10344477	15.96476328	14.56395715	13.43695619	17.59214914	13.83139396	13.47517721	13.87207811	13.67031338	16.17791879	13.72093091	14.21854562	13.97555612	11.89065999	10.9918691	13.25790544	13.46609652	12.63333546	14.74424847	13.19009157	15.12044552	13.51652849	13.34620338	15.43220189	16.73485834	12.326006	13.76826456	11.81236077	14.13379911	15.75183504	13.93309785	11.71675002	14.30660739	14.01526243	13.58520197	8.965698136	13.93442347	13.81045399	13.84901116	13.00035734	12.35652301	15.89896288	13.68334465	14.18068169	12.52172914	0.115536038125502	0.735690465000001	0.937282529037405
14	A6NIH7_U119B	11.46260947	13.79809393	8.997298558	12.139369	13.52071638	11.64979577	9.804700708	10.30485792	12.87169273	11.05449543	11.83833992	12.10213268	9.997783024	11.92344902	13.98237118	12.36768349	14.17990313	10.82771299	8.913931688	13.62875603	14.36386545	13.24925821	13.69578733	10.60970286	7.851077631	9.279512902	12.95821421	14.63096199	11.52695787	10.20950808	10.32000296	12.49739118	9.901014142	13.35480453	8.673253754	11.98332447	12.60736823	9.774365276	13.36245011	9.281067412	11.3180269	13.62924104	8.600990521	11.48673408	11.47759694	12.91649559	11.07071292	13.01951697	0.455467666175449	0.387220373533333	0.341542448328759
15	Q9BTD8_RBM42	14.01174967	13.86893428	13.86548138	12.61587448	11.04757887	14.16904809	14.490028	14.28153822	12.67633582	13.72104921	9.387646468	12.90311455	13.50868795	13.20092096	11.91691253	13.02545229	13.93603036	13.76901951	13.38443622	12.5816686	13.55211413	11.69437625	13.45689139	13.2299773	12.95373985	12.32759742	12.32121892	11.16662007	13.14178034	13.80350835	15.29061713	14.78954945	12.61549984	14.04771054	13.47409032	13.32602505	10.02913098	13.92622219	12.9951949	16.79636071	12.78193329	12.62394008	14.33839441	14.66879569	13.0007922	12.73378613	17.05472854	13.84542411	0.0769234263873545	-0.796255370733332	1.11394137929602
16	Q9P258_RCC2	14.85323869	14.00455303	14.55888644	13.54481325	14.48525758	18.0630373	14.45393259	14.16033086	12.9994448	15.08775783	13.53886038	14.29547583	17.75296092	15.51718645	14.08455331	14.19393764	15.11505311	13.09051283	14.04674773	14.86318704	16.26328439	13.56460113	18.86608401	13.87484801	13.87880615	14.7192496	15.17465867	14.75246279	14.78628031	13.74494746	14.70841462	13.5526888	17.31202751	13.57148739	14.93010535	13.68421446	14.28479737	15.9165876	13.95661585	14.27562157	14.65829018	14.08209864	14.84686098	14.34600841	13.85738813	16.31532028	13.93808333	16.52775299	0.922702629714343	0.0353670343333334	0.0349382416421876
17	Q9H3U1_UN45A	11.24914872	12.94500215	12.02264334	12.79875419	12.0331396	10.9997051	9.99841453	12.88398473	13.03385483	13.53206947	10.89086227	14.4690246	12.88922806	13.93888333	14.43620678	11.66264595	9.670307279	12.85141711	10.61546139	12.15536181	11.81768864	10.65776151	12.45193733	12.02424733	11.86943686	12.89137918	12.86556601	13.53878657	12.49698768	11.65286717	13.8573606	13.37958284	12.86124516	12.06258981	11.82002369	13.36552105	12.63099748	11.21794799	12.55205209	12.64844049	12.73530798	9.504171454	13.37880028	11.01333889	12.44496651	14.07296414	9.518477727	11.22826252	0.986867062925048	0.00631185613333329	0.0057413455334731
18	O60518_RNBP6	13.98203336	13.59263432	14.75502702	13.86823167	15.07901502	12.17647732	13.14134118	14.14080803	14.03925374	11.66589492	12.18935947	11.98371854	12.73213377	13.88290481	11.71646935	13.42430472	12.69042233	12.82007681	13.45693756	14.41624398	13.09955239	13.47691773	11.16398301	13.25814252	10.83575014	11.77920839	13.30944901	12.62757577	12.54288883	14.38751801	11.22750626	14.10928872	12.41215123	12.90326857	12.27687511	13.03415928	12.6225882	14.3344121	12.29415815	12.87358611	13.84363618	11.97254173	12.34704475	12.58593895	13.18853728	13.47614739	13.5067118	12.46888529	0.429245423885824	0.214618174	0.367294326083712
19	Q8NHG8_ZNRF2	10.23621564	10.0976845	8.074461173	10.77180609	13.53278345	10.21802191	12.55148989	9.623451623	12.0150776	11.19486986	11.4529734	13.18116221	8.607085403	8.893371074	8.798226689	9.4907488	8.908138599	11.48402588	11.10559077	14.40016322	8.118291468	13.60353145	9.723510689	11.38768605	9.197590206	9.381881397	10.78167234	12.53921943	9.313811862	10.19206537	7.772758958	12.77437468	9.894215849	14.5715253	10.55190778	8.666226122	12.13698433	9.125893386	11.5486731	12.12189232	10.9759677	11.96471193	8.670859337	9.135026788	10.97844899	10.92148369	9.763274775	7.827678458	0.842217709812592	0.106892296266667	0.0745756306514231
20	Q9Y2U8_MAN1	14.81491397	14.81529056	13.54068906	12.12314744	14.12608098	14.0983219	13.67504575	14.33245439	15.56870238	13.15310404	13.97257666	12.17534964	14.62036372	14.18781145	13.55028752	13.11289028	13.54857528	15.3636627	14.43676033	14.18665575	12.81736738	13.97480867	14.46812595	13.27904992	13.9754572	17.32258778	16.1625325	14.84926513	13.62384898	13.77509967	13.38309145	12.51444529	14.90283322	12.31698575	12.92118694	13.07576562	13.82799426	13.59445587	12.97317279	14.92063626	13.31828151	13.23003749	13.59284141	13.14967714	14.62457646	16.08356922	12.88481154	16.22470117	0.275410994577705	0.369524044333332	0.560018726427974
21	Q13671_RIN1	14.17907406	13.60017304	12.90003689	14.85896534	11.77033513	14.64151426	15.89469055	12.70997696	13.60916032	12.80750629	14.69208799	16.15125893	12.4898688	12.60254098	13.31248589	17.2625531	13.57392099	14.78526382	13.23378288	13.70828538	12.59511826	12.68109405	16.91712462	12.50861177	14.10634616	11.69905998	13.79171919	8.052157064	13.61152603	15.98419101	16.3451447	12.47211222	15.47448059	14.52746205	16.60635492	13.03138084	9.320807511	12.99314627	13.01230398	13.93193493	12.07221883	14.12405334	16.38722973	14.25005611	12.42750866	12.13806798	13.918537	13.34663811	0.995188930527778	0.00326778163333152	0.00209446327769374
22	Q15596_NCOA2	13.668728	11.99071492	14.36642116	13.39897857	14.80664948	13.40688865	12.35412509	13.60640374	13.22760639	16.1200966	12.56475765	11.6252413	13.50607772	13.23836982	14.47001867	15.64857636	13.04801928	13.08394028	11.84730555	14.53439567	13.80161249	13.35988178	13.95723256	13.76603475	13.17292276	14.49843202	12.57636983	12.50748616	14.61895524	13.66834119	13.66855537	13.80308219	13.15796367	13.26541358	18.14279028	13.69381194	14.45166523	13.6702596	13.92686752	12.83500131	14.39561191	12.80019581	13.4184998	13.04983749	14.08044535	13.25886699	13.3452903	14.21562322	0.388535210421348	-0.295301741777777	0.410569617792842
23	Q53GG5_PDLI3	13.24367477	11.87143351	12.99179871	12.88850011	11.93667687	13.37836707	12.6464598	17.41115837	12.68915246	13.45687228	11.97956876	12.74308085	16.94618196	12.28546238	12.16668792	13.64718378	12.816332	13.07234595	14.21270885	11.51345113	11.61948044	13.33258092	12.36426173	10.76436912	12.35931516	12.74717475	13.01006047	13.83253749	12.3091427	13.3012692	11.19379369	11.89112599	17.17996207	12.09136053	14.74613057	15.23182103	12.85294668	12.74780911	13.05896894	12.85442322	12.74365393	11.56794974	12.24402514	13.17465799	13.03750564	13.43698148	12.44167522	13.81333616	0.733012432988669	-0.143652968	0.13488865901156
24	Q9UPT8_ZC3H4	12.81687687	15.76990774	12.61022367	17.12867523	14.06053886	12.98617052	11.16137156	11.94356858	14.46936104	12.21963992	13.14159984	15.28169332	12.47928169	14.09024813	15.51474685	13.97555612	14.87912005	13.83816317	14.00461232	14.84452973	14.88345079	12.87611157	14.12201442	13.32085061	14.06745458	12.94535292	14.13589699	12.26553015	14.12912918	13.44334334	14.45862173	15.28253024	13.30414611	17.6184122	15.65159891	14.20782897	12.8784919	13.8701005	14.41173404	15.06298992	13.96313319	14.92060737	12.72399188	15.52011233	13.80970498	13.27920567	13.52120778	12.71086141	0.183541399995247	-0.508459293	0.736265959959281
25	Q68DK7_MSL1	14.07665458	14.42964053	14.43153433	14.09320362	12.68615059	13.04753136	11.80367802	14.31046014	14.0603553	13.10840228	13.13611902	15.67507436	13.85525704	14.23808258	13.81281696	15.54148733	14.00759005	13.22189245	12.48273103	13.64677894	13.07791579	15.13133621	16.5883268	18.26407828	14.80422803	15.55157162	17.04557844	12.41300132	13.07624842	13.29404065	14.30454845	12.80280924	13.57071248	16.47647807	13.34236741	14.87138339	12.98785319	13.22247978	12.81724867	13.68575	13.56544697	14.70562772	13.16096838	12.93158424	14.05162718	14.67469748	15.36040248	13.71459185	0.463074016150985	0.261137925666667	0.334349587304185
26	Q96L91_EP400	14.58400975	12.60143628	11.88602853	14.86826818	12.811427	12.46156882	11.83473897	10.6303638	13.90042493	11.2699908	12.4784715	10.10404343	12.70685694	12.59596199	11.99020379	13.67371387	9.951350956	14.16101395	10.81867802	13.59248542	13.11653307	13.40187129	11.92465558	13.36022582	10.82755165	13.77829422	12.8150281	14.13537913	10.48836496	11.75839062	9.634780118	14.04988006	10.38840604	13.29238086	9.546284711	12.15082685	12.69767986	13.03873262	10.73843296	10.53298921	13.70550424	12.19024364	10.32263035	10.21609267	12.25070462	12.99666621	13.29058177	12.240225	0.144263679138438	0.6351865017	0.840842996247249
27	P55036_PSMD4	14.56621898	15.17057699	13.92979009	13.95242741	15.17031213	14.03246586	13.90786364	14.15712071	11.66305706	14.55380674	15.20783251	13.03409743	13.10216505	14.77093597	15.00171339	13.92201033	14.2745039	14.74978522	14.88437767	15.12197824	14.98796592	14.4397033	14.2944364	15.07288761	13.5323981	15.2211188	14.68327951	15.03963341	13.60445193	13.83485352	13.66923362	14.06990149	13.57130556	13.87689703	14.33047667	14.46265521	13.63532778	14.83992827	13.70924516	13.44615396	14.71715205	14.31176609	15.00635843	14.07436814	13.91488704	13.62078995	14.14126557	14.67675204	0.254565470363006	0.214210924	0.59420050503352
28	A1X283_SPD2B	11.81865666	12.52411212	13.32352666	12.32121853	13.7764999	13.16812059	13.67073039	15.14793799	12.41794932	11.70622502	13.05311751	13.33939492	15.47375241	15.07708508	12.49950298	15.17748356	11.59367141	11.55292582	13.09232526	13.33705068	13.01765281	15.42463547	12.93758689	13.81160993	15.90707201	12.57840818	12.26797767	15.00572125	10.99937084	12.55267102	12.53791101	14.80995395	13.35594221	13.3402032	12.88704049	12.95899418	11.4523438	12.92141769	11.25181564	12.30457689	12.17788465	16.09529822	11.7511926	12.31076622	12.53576345	13.41031108	12.90040356	13.11734134	0.287793982848976	0.390290863777778	0.540918290464753
29	P05154_IPSP	13.20000322	12.94999444	14.62089919	12.26106387	15.23472784	15.89007057	15.91442805	15.8501373	9.546126212	16.48729227	14.20360696	15.50102684	14.87208493	14.1040652	15.07889654	14.55585987	13.69432936	13.29412349	16.18802443	15.6100055	11.9777031	16.0848407	14.12568324	14.42898148	13.56456541	15.00859251	15.58759628	14.25356909	14.70125038	17.03588806	17.52383051	16.97408507	15.32404924	14.922536	14.5446055	13.69598393	15.11777586	15.62808227	11.2045944	15.32740569	12.11330843	14.81486528	14.37692743	14.028719	15.15454991	15.7361775	15.2282611	15.96012811	0.452739118867676	-0.343367968377777	0.34415197872238
30	O60346_PHLP1	12.31479912	12.2877649	13.06898881	10.34929175	10.22816182	11.80687079	13.66823636	11.9883494	12.99555874	11.4625903	12.03196786	14.39340486	11.23098778	12.25076575	12.73879669	11.66601932	11.21760539	8.859443348	13.00888136	11.52967158	14.33174931	13.6688633	11.75257866	11.79652983	12.8930537	12.16914443	13.50225555	12.21408626	15.11658229	10.22938136	14.390852	9.693049548	10.71622449	11.86848893	13.1404859	13.38630804	12.3723951	14.57513612	12.24181618	16.4536027	14.2546715	12.63925766	13.68753745	13.8621614	13.30192054	14.07634362	10.90422096	11.28608806	0.133302792289545	-0.710396212622223	0.875160753337526
31	Q8WWH5_TRUB1	14.54208241	16.21461547	14.08208068	15.58549473	13.97696757	13.67156836	14.55208512	14.3658319	13.29644295	14.31859282	13.28373743	14.66228125	14.53932808	16.28560059	14.80145036	16.44631253	14.79307221	14.81838675	14.20356427	14.3715381	14.12476259	14.23506312	15.06511381	14.30791055	14.97587665	14.8849013	15.00610371	14.72828554	15.32896944	14.16377157	14.93791507	14.59904375	14.79128933	15.84399318	14.53954353	14.53631562	14.66800856	14.68678278	14.12954561	14.61643168	16.16186155	14.67274709	14.75480053	15.22210662	14.79466349	14.61732349	13.77902023	14.17614665	0.614776072356852	-0.097136869111111	0.211283043979071
32	Q9UNF1_MAGD2	15.7702002	13.89434799	15.23355476	14.95471894	16.02709329	13.24843175	13.14302812	12.77850596	14.80517306	14.16358595	14.23415237	15.93807542	12.91944208	15.2438823	15.03578477	12.32891482	14.64120036	16.13379513	14.12229667	14.08057385	16.30904661	14.29139642	14.84961375	14.52846384	13.996541	12.94000396	12.24030564	15.28833364	14.5420484	15.60774255	14.49451282	15.23782753	13.22250365	15.10222794	13.94552307	15.54968819	13.31505416	15.37799479	14.84026506	13.7062587	16.41331255	17.07767827	13.82465789	14.90657847	13.66350265	14.05354361	15.53709559	13.09913305	0.579167546513388	-0.188511435000001	0.237195781695291
33	Q9NZQ3_SPN90	14.91379849	15.32223212	13.02723462	15.16579906	14.28203635	13.94313083	14.54165883	13.55075709	14.23304719	13.92333582	13.71681524	13.48785611	15.78097233	14.10777214	13.54783052	12.94271073	13.68352852	12.64307855	13.85316997	14.14885517	17.55148086	13.26553387	15.29751356	14.03582204	13.53439381	14.87934098	14.09448321	13.65640246	15.14601588	11.95134167	14.47886038	15.34107552	15.01395074	15.4346348	14.56165937	14.0328965	14.04183979	15.16538928	14.97018634	14.48956957	13.96470723	15.97006391	16.04482319	16.2343692	13.28895665	13.6433477	13.70738795	14.57687051	0.0467309830742649	-0.579101100999999	1.330395082677
34	Q9NQP4_PFD4	11.63762944	10.86226366	14.94255217	10.44064019	13.26988588	13.38833093	15.16186956	12.72551183	11.69058126	13.44498502	15.98314989	11.7694026	12.86855809	12.10144481	14.21435857	14.37304939	13.72316868	11.42610086	14.15884623	14.4392682	10.58890935	12.56967972	13.30857649	13.73331239	11.26790356	15.03011387	14.4652015	16.77432316	14.57003381	12.72612345	13.90212639	13.28103037	14.42127515	13.47731554	13.21828919	12.43467228	12.95160488	13.28739916	12.00669894	12.55636488	11.88490696	12.77525538	13.6930154	13.94128252	13.9994337	13.515506	14.1916085	12.3520075	0.910040825407256	0.0390928886666675	0.0409391243257329
35	O95551_TYDP2	14.84099892	16.07934809	14.02846577	14.61940718	13.46129384	14.17968054	14.62951607	14.08659358	15.76846754	15.39805056	14.33095378	16.23694718	13.19036054	14.45835503	14.7581957	13.30453444	15.42148168	14.51049322	15.75311291	15.5436254	15.00634328	14.3714316	16.79442801	14.46243015	14.41231875	14.25807896	16.2225579	14.67181734	14.63142865	15.81231374	15.2516167	14.68877449	15.57681593	17.02323983	15.97767916	16.72058058	15.58605377	15.77839181	14.41378667	15.29285945	13.75046418	14.76023558	14.87484512	13.78358078	15.23883476	15.10170539	12.74929531	15.86467573	0.327727554538983	-0.293756501666667	0.4844870426544
36	O15357_SHIP2	12.21018459	14.39651675	11.1735994	13.23384853	15.32780812	13.00822887	14.02766734	15.70421303	13.13151742	13.64158014	14.11616071	14.51714687	12.3779069	11.43424608	12.6824563	11.28564593	9.942993997	13.18406925	14.96755802	14.1928481	10.71988671	13.87558212	12.03792048	14.54751556	11.60944338	14.17341652	11.6886227	13.23419745	12.15867322	13.17325272	11.43338283	13.23300827	13.01359975	11.69007249	11.84605984	10.83927764	13.13242466	11.8743819	12.99748987	15.24291981	13.18247002	12.71244905	12.06095318	11.01718985	14.17518583	14.82765789	11.79156676	13.34591498	0.351026142167905	0.369378872455556	0.454660538871807
37	P21953_ODBB	13.52100537	11.60577811	13.03726793	13.36779883	11.8130386	14.20705295	13.43570666	13.46934877	13.40416167	14.16014032	14.68819646	12.53378123	13.57608642	13.52500384	14.24038734	11.30698221	13.9601511	12.50460743	15.51826414	11.56974607	10.81668582	11.9450399	12.14848472	14.41395523	14.32594315	15.46613741	14.57411462	12.84533912	13.89837687	14.25157339	12.93080062	14.7536899	13.22357976	11.35630313	13.46039889	13.27581759	13.17798069	13.77484732	13.09572701	13.62456985	12.19205963	14.88361762	12.90413787	12.70182243	12.90031349	12.85359443	12.92625597	12.16304121	0.471259177627005	0.215529777666667	0.326740178952827
38	O15042_SR140	13.80207421	12.66127023	13.85072133	13.10298934	14.15743213	14.0836469	15.38793244	14.44726271	13.48461285	13.84624607	13.92279118	13.49294118	14.0255211	14.42695169	15.5705365	13.65323511	13.66251612	15.48622453	13.89778752	12.80415948	12.93807207	14.77727061	13.81296998	14.50086373	13.69574472	15.31048391	14.63716356	14.5285482	14.40079181	15.20055941	12.98748256	13.47440597	14.13961025	12.81021815	13.49175727	14.5173931	13.44317427	13.63521964	13.83099606	13.94092855	13.53616927	14.27922093	13.42110714	13.85643932	15.50007076	15.49410605	13.17177524	13.71658392	0.233030570100417	0.271940773444445	0.632587102342862
39	Q01780_EXOSX	13.36927394	13.28277185	14.76147581	13.507564	14.07294227	14.40281869	12.72026057	13.99415752	13.39817103	15.40734755	12.9445193	13.95417271	13.22639101	14.6639725	14.33144289	13.00458332	13.21836951	13.40890783	13.49523652	13.34463285	11.55717557	15.37078727	13.41394608	14.44219315	12.01348616	13.18141929	12.25205989	13.0876385	13.33630917	13.4071182	14.60836638	13.53527538	13.26591417	13.14112471	13.39088401	12.87525243	13.60772993	14.06572142	13.48092417	14.15800442	11.93952025	13.500136	14.26464467	15.16538504	13.00505848	14.59595145	12.1369352	14.68501524	0.75358030893733	-0.0821753544444448	0.122870458187031
40	O15405_TOX3	12.58743616	12.76092353	12.55550331	14.02896402	11.37168786	11.40853439	9.415760665	10.47243766	15.57145448	10.27195137	12.29997777	13.80883943	11.75755815	12.93836914	12.73233387	14.12093019	14.20488812	8.439877964	13.34070269	14.58686443	13.62839157	13.89130887	14.48428203	14.54411828	12.25332096	12.67058254	12.12321004	12.35413924	11.66631025	12.81025626	13.04460404	12.63106828	11.43084022	15.82768445	13.81033394	12.45429895	12.77219145	8.267420233	14.84785496	14.37127476	14.03764103	12.8869094	13.78803105	13.68155106	12.51138958	13.29757302	12.61559335	10.43626031	0.558352517540402	-0.291776163311111	0.253091521342971
41	P02786_TFR1	14.11105118	8.350475824	11.89075974	12.65291687	11.71793026	10.97993967	12.63837036	10.4924777	11.47577216	12.4122363	12.24979528	10.29365281	12.43904896	12.33315757	12.10540508	13.75793941	12.26075462	11.47584531	11.42509921	11.71879882	9.180528572	13.17389789	10.71023719	10.82832868	11.53633808	11.73706471	11.52289229	11.61417081	11.24092773	12.598605	12.6675102	13.54540022	13.79224734	13.42563745	11.53395179	12.63560055	13.04331068	13.92056602	10.82201093	12.22068977	13.5981139	10.6431137	11.89610737	12.7522804	10.89490069	10.99631544	12.48655994	11.6282808	0.0552376464431215	-0.663774796577776	1.2577648340496
