sample,patient,bandwidth,outcome,n_fov,n_fov_usable,usable,rho_marginal,rho_partial,beta_tacstd2,beta_cldn4,rho_tac_cld_field
LUAD-5 R3,Lung5,50,imm_frac,23,21,True,0.0831964814184505,-0.01918416319323642,-0.0036412416438910927,0.3431743997014279,0.47475048006323656
LUAD-5 R3,Lung5,50,cd8_density,23,21,True,0.005406391238186768,0.004768785041731482,0.08812839188990954,-0.04943903258789508,0.47475048006323656
LUAD-5 R3,Lung5,100,imm_frac,23,22,True,0.2235546948104096,-0.001421359180168901,-0.01228590971100278,0.4783482448330849,0.4908162641827103
LUAD-5 R3,Lung5,100,cd8_density,23,22,True,0.09948231266930024,-0.06993088230725639,0.007812013711407952,0.1687123862006903,0.4908162641827103
LUSC-6,Lung6,10,imm_frac,29,0,False,,,,,
LUSC-6,Lung6,10,cd8_density,29,0,False,,,,,
LUSC-6,Lung6,20,imm_frac,29,29,True,0.0226382004064984,0.0060759141159252815,-0.024386463517169492,0.0781857298674473,0.4062153857890615
LUSC-6,Lung6,20,cd8_density,29,29,True,0.0123311816246353,-0.018053522041556674,0.01799406592662145,0.039441395080238355,0.4062153857890615
LUSC-6,Lung6,50,imm_frac,29,29,True,0.011211040253953098,-0.0288927594168505,-0.0552938009475379,0.13631327200450732,0.567628810133386
LUSC-6,Lung6,50,cd8_density,29,29,True,-0.002427704363184532,-0.08071572621665936,-0.06044928059447881,0.15020357188206598,0.567628810133386
LUSC-6,Lung6,100,imm_frac,29,29,True,0.037617790466780834,-0.02077240830568358,-0.05172788852340721,0.13177454006078013,0.5775001791936331
LUSC-6,Lung6,100,cd8_density,29,29,True,0.02831914749043538,-0.0704492253714864,-0.014305140611790392,0.1374422302499785,0.5775001791936331
LUAD-9 R1,Lung9,10,imm_frac,19,5,True,0.06000238410928107,0.07838451731009462,0.1816948881893933,-0.17908695455971263,0.03291168275853472
LUAD-9 R1,Lung9,10,cd8_density,19,5,True,-0.04513547751537232,-0.03182787334257068,-0.01568436240685237,-0.09583754733283928,0.03291168275853472
LUAD-9 R1,Lung9,20,imm_frac,19,19,True,0.0390286766904677,0.15880483321544187,0.1992466126663802,-0.4102636218660974,0.35514676699416514
LUAD-9 R1,Lung9,20,cd8_density,19,19,True,0.09396706708788839,0.15389388913298166,0.1664323533454827,-0.19061459946873355,0.35514676699416514
LUAD-9 R1,Lung9,50,imm_frac,19,19,True,0.09130837851535833,0.25121692864357864,0.3064781159616406,-0.5596530045640378,0.34637500678485234
LUAD-9 R1,Lung9,50,cd8_density,19,19,True,0.15498219656184267,0.2392573247219306,0.2870958252668833,-0.30333240858973914,0.34637500678485234
LUAD-9 R1,Lung9,100,imm_frac,19,19,True,0.16240350178245105,0.31010991276755967,0.3665590749847804,-0.5807319094398188,0.32866436281442957
LUAD-9 R1,Lung9,100,cd8_density,19,19,True,0.19348807738856574,0.28816881579730985,0.3545448309413372,-0.29056275595667336,0.32866436281442957
LUAD-9 R2,Lung9,10,imm_frac,45,7,True,-0.12054495810847533,-0.10715906743179505,-0.06794501765604306,-0.08805096332548777,0.2943821102656436
LUAD-9 R2,Lung9,10,cd8_density,45,7,True,-0.1737301758907619,-0.16723330453517282,-0.10292034859515269,0.016900956644891017,0.2943821102656436
LUAD-9 R2,Lung9,20,imm_frac,45,44,True,-0.16476073419684917,-0.022528315218344544,0.027985786609708393,-0.35145541549395215,0.49354339371623596
LUAD-9 R2,Lung9,20,cd8_density,45,44,True,-0.0942964245308446,0.005298749124481689,0.014284327433398232,-0.16736722468980447,0.49354339371623596
LUAD-9 R2,Lung9,50,imm_frac,45,45,True,-0.18032340828760063,0.07621478923759152,0.15761584168731588,-0.6051291728139769,0.5640182310271196
LUAD-9 R2,Lung9,50,cd8_density,45,45,True,-0.1342521080998179,0.03542901041377473,0.06968902684592192,-0.3503316207755935,0.5640182310271196
LUAD-9 R2,Lung9,100,imm_frac,45,45,True,-0.12323919586796832,0.11819992392701102,0.2229639767105348,-0.5786982695269676,0.5436763123065809
LUAD-9 R2,Lung9,100,cd8_density,45,45,True,-0.15931839318671465,0.017330923532855737,0.06625262956340862,-0.3274398186251445,0.5436763123065809
LUAD-12,Lung12,10,imm_frac,28,0,False,,,,,
LUAD-12,Lung12,10,cd8_density,28,0,False,,,,,
LUAD-12,Lung12,20,imm_frac,28,23,True,-0.2413199953699312,-0.17717885553080528,-0.20808433249824956,-0.15420268713523258,0.3459879393334454
LUAD-12,Lung12,20,cd8_density,28,23,True,-0.004085667454470935,6.308148352537298e-05,-0.053357109976504814,-0.04345386120124584,0.3459879393334454
LUAD-12,Lung12,50,imm_frac,28,28,True,-0.47104355143275534,-0.2516365781193765,-0.2795161391603261,-0.3555482408638647,0.5760757519126806
LUAD-12,Lung12,50,cd8_density,28,28,True,-0.2182531883123143,-0.08701825554383932,-0.14961512760545034,-0.21544300899927382,0.5760757519126806
LUAD-12,Lung12,100,imm_frac,28,28,True,-0.4546377168416017,-0.2071715937038503,-0.23520319281855098,-0.380012320885664,0.6152646222765527
LUAD-12,Lung12,100,cd8_density,28,28,True,-0.14687774838465137,-0.012402494940026756,-0.0011981027127839297,-0.3137451617284525,0.6152646222765527
LUAD-13,Lung13,10,imm_frac,20,0,False,,,,,
LUAD-13,Lung13,10,cd8_density,20,0,False,,,,,
LUAD-13,Lung13,20,imm_frac,20,20,True,0.022108304349564158,0.0396515786392027,0.05144205641933856,-0.11689151418694403,0.21515643873391405
LUAD-13,Lung13,20,cd8_density,20,20,True,-0.009395213385885046,-0.004953037288575992,0.005052055307385945,-0.05293602138058072,0.21515643873391405
LUAD-13,Lung13,50,imm_frac,20,20,True,0.0965934280732416,0.11657331693293271,0.10954733633570232,-0.10103302809593293,0.3106601263555487
LUAD-13,Lung13,50,cd8_density,20,20,True,0.03894157138884563,0.030849769519761726,0.005202715899136926,-0.013666785615717447,0.3106601263555487
LUAD-13,Lung13,100,imm_frac,20,20,True,0.13004023676707005,0.17397511467075685,0.2008669066838386,-0.20128799923037083,0.35246187582747274
LUAD-13,Lung13,100,cd8_density,20,20,True,0.09635402874738264,0.05940461340025126,0.02863156459570973,0.03176300144643905,0.35246187582747274
