metric,radius,sample,patient,n,spearman_tac_y,partial_spearman_index,residual_delta,rank_residual_delta,residual_usable,rank_beta_total,rank_beta_direct,rank_beta_cldn4_joint,rank_beta_cldn4_total,rank_a_path,rank_attenuation,rank_proportion,rank_attenuation_of_cldn4,rank_interaction,linear_beta_total,linear_beta_direct,linear_beta_cldn4_joint,linear_beta_cldn4_total,linear_a_path,linear_attenuation,linear_proportion,linear_attenuation_of_cldn4,linear_interaction
imm_frac,50,LUAD-5 R2,Lung5,17914,-0.005267567800263951,-0.01830395478728576,-0.007934812368088559,-321.63229088624735,True,-0.005267567800263938,-0.018543059901985577,0.07571814743231549,0.07246703454038148,0.1753277457506283,,,-0.044863335619485856,0.04319945279575393,-0.012156783360293055,-0.03060202853288043,0.09640436584456549,0.09054921691928153,0.1913320523504816,-1.5172800753227151,-1.5172800753227158,-0.06466261249397043,0.07459821430771976
imm_frac,100,LUAD-5 R2,Lung5,17914,0.056072153421748094,0.03927327372036528,0.012180335948200291,294.0108401512106,True,0.056072153421748115,0.03968962677630839,0.09343944151737883,0.10039813430975278,0.1753277457506283,0.29216867278519043,0.29216867278519,0.06931097714330703,0.045905242324524476,0.04674512557296758,0.025920961527927177,0.10883782298480073,0.11379733375283697,0.1913320523504816,0.4454831127265789,0.4454831127265776,0.043581959299750284,0.07756103691690218
cd8_n,10,LUAD-5 R2,Lung5,17914,-0.006394382543996419,-0.0075331835538754895,-0.0002461914677641671,-2.1666171421015883,True,-0.00639438254399642,-0.007651577572264055,0.007170542362734231,0.005829008515553122,0.1753277457506283,,,,0.0007901254948247263,-0.004668082604083766,-0.006280601661695539,0.00842785637744582,0.007226175971517743,0.1913320523504816,,,,0.0007527539765454278
cd8_n,20,LUAD-5 R2,Lung5,17914,-0.005148442168251585,-0.004904441493699436,-0.0007586678008886444,-7.720802909039641,True,-0.005148442168251612,-0.004981597662903131,-0.000951614957655942,-0.0018250272461293113,0.1753277457506283,,,,0.007000369693484153,-0.002181665349614296,-0.0020006207169214643,-0.0009462326383304317,-0.0013290155060739237,0.1913320523504816,,,,0.007131225807194027
cd8_n,50,LUAD-5 R2,Lung5,17914,0.002317916983834453,0.0025349295640674863,0.0017482918769909557,10.476578592682944,True,0.00231791698383441,0.0025748117801170436,-0.0014652261408077114,-0.0010137901956675456,0.1753277457506283,,,,0.005730109271094544,0.00845521710087584,0.008692208065409577,-0.0012386370272121192,0.0004244609814001102,0.1913320523504816,,,,-0.0029977358532918487
cd8_n,100,LUAD-5 R2,Lung5,17914,0.03893594450590033,0.03667220178331748,0.05246600793769883,264.0714855018274,True,0.0389359445059003,0.03724431201443038,0.009648401536376713,0.016178362803899816,0.1753277457506283,0.04344655081408311,0.0434465508140808,0.40362311976024223,0.010670154805988754,0.03794438741978675,0.034066225436053664,0.020269274991255345,0.02678723581976969,0.1913320523504816,0.10220647235197566,0.10220647235197797,0.2433233825381832,0.012323599921820581
imm_frac,10,LUAD-5 R3,Lung5,12378,-0.052655480230206136,-0.053772765519968305,-0.015410361742341831,-123.10250831447462,True,-0.05265548023020611,-0.054579516391429564,0.011231266749428507,0.001881211627236785,0.17131069933151502,-0.036540093316245637,-0.03654009331624432,,0.027474563218884925,-0.06395355150282885,-0.06371051414091253,-0.0012708012671043187,-0.013455267622273193,0.19124733993230295,0.0038002168168185246,0.0038002168168182297,0.9055536238461214,0.02935295619699693
imm_frac,20,LUAD-5 R3,Lung5,15829,-0.022016175532574504,-0.03380747479510787,-0.01226580837929667,-261.5893507541467,True,-0.022016175532574535,-0.03447616208410396,0.06134518570644234,0.05434263919901242,0.2031127040865884,-0.5659469117646689,-0.5659469117646695,-0.12885915389175961,0.07278077894878021,-0.03298041097929688,-0.04218039335406294,0.041936669632630666,0.03268321963725657,0.21937799199026967,-0.278952933016549,-0.27895293301654217,-0.28312541108483114,0.09553648039373915
imm_frac,50,LUAD-5 R3,Lung5,15893,-0.013976075475857828,-0.03562596236822543,-0.006101643298133992,-395.2572020818552,True,-0.013976075475857814,-0.036225109666632206,0.10785755668678919,0.10038498148394126,0.20628164473801341,-1.5919371807348375,-1.5919371807348375,-0.07443917498797692,0.07024582490766236,0.00959189728280695,-0.014762176963711179,0.10932819145941763,0.10603975186286646,0.2227611553929193,,,-0.031011385247335044,0.10898862048111996
imm_frac,100,LUAD-5 R3,Lung5,15893,0.03393777325532889,0.004921378527386685,0.0067490423855754,-43.54725904557026,True,0.033937773255328846,0.0049790082186052815,0.14038459443884332,0.14141167244334132,0.20628164473801341,0.8532900735370583,0.8532900735370587,0.0072630355525249435,0.08070223777526107,0.0593806024994561,0.027166658426588084,0.14461203532567052,0.1506637115449419,0.2227611553929193,0.5424994479158928,0.5424994479158929,0.04016678042254529,0.1130131197580548
cd8_n,10,LUAD-5 R3,Lung5,15893,-0.00884672954982783,-0.010530871893490812,-0.0002863301513697466,-2.312750783870613,True,-0.008846729549827858,-0.010762072634621025,0.009285087324302154,0.0070650692804426094,0.20628164473801341,,,,-0.0039880969403888284,-0.010251371534947824,-0.012186456948347817,0.008686817097831413,0.005972147867871392,0.2227611553929193,-0.18876356269042804,-0.18876356269041814,,-0.0038611328175022952
cd8_n,20,LUAD-5 R3,Lung5,15893,-0.0016020910069867865,-0.0036175068797614047,-0.00037301645010854743,-0.7993788899059993,True,-0.0016020910069868078,-0.0036968568797069233,0.010154882541200363,0.00939228882369345,0.20628164473801341,,,,0.006339843111125384,-0.008335103286820172,-0.008780722246897328,0.0020004338695905457,4.443003668737465e-05,0.2227611553929193,,,,0.005753338314115369
cd8_n,50,LUAD-5 R3,Lung5,15893,-0.006096680395618912,-0.0075214816388276505,-0.008063228279209633,-47.469795693124084,True,-0.006096680395618918,-0.007686660307227071,0.007707810908853388,0.006122193978136011,0.20628164473801341,,,,0.013737150886724912,-0.007132966229352514,-0.00768274274683031,0.0024680089152339904,0.0007565922643635202,0.2227611553929193,,,,0.01883888755937352
cd8_n,100,LUAD-5 R3,Lung5,15893,0.00630047897546921,-0.0011677825149562556,-0.017790365783858727,-55.119087892799925,True,0.0063004789754692245,-0.0011926734617326205,0.036324862770598286,0.0360788361272768,0.20628164473801341,,,-0.0068191402420401115,0.023654254269300568,0.0037988442504193086,-0.001120245979207918,0.022082351929584486,0.021832804640931902,0.2227611553929193,,,-0.011429923583190726,0.023978028383558253
imm_frac,10,LUSC-6,Lung6,35694,-0.015912836621942823,-0.014340894150721923,-0.005070920564407991,-115.93008937347187,True,-0.01591283662194284,-0.014497561007914772,-0.009622763979454003,-0.011755004217414286,0.14707578997570672,0.08893924117064644,0.08893924117064039,0.18139000195350885,0.009875551674757593,-0.014245912052847967,-0.013321317333870498,-0.006287881815088908,-0.008246700383714467,0.14704390861144387,0.06490245872272027,0.06490245872272202,,0.010236711612481526
imm_frac,20,LUSC-6,Lung6,66090,-0.018330714499812602,-0.018344337732538418,-0.008606876591681967,-645.9048541912815,True,-0.018330714499812554,-0.018618149529316477,0.0016821057930878234,-0.0014993280865513944,0.17087809261761963,-0.015680514226920073,-0.0156805142269187,,0.03031344413461797,-0.028081293357820003,-0.028875757779997926,0.004658048076763257,-0.00026692518276080497,0.1705573684696705,-0.028291589424127572,-0.02829158942412852,,0.030357893693824307
imm_frac,50,LUSC-6,Lung6,66196,0.008032442776334055,0.0038401778536760163,-0.007919851510748211,-616.9932324298485,True,0.008032442776333868,0.003896704618652894,0.024120546712761592,0.024788680406930427,0.17146121134530048,,,0.02695317714379175,0.03971129044982442,-0.021082674743031226,-0.024933759497230652,0.02250330423919856,0.018236285491907187,0.17113419048439804,-0.18266585246601053,-0.18266585246600767,-0.23398508151152653,0.037788727198526925
imm_frac,100,LUSC-6,Lung6,66196,0.00794867315539507,0.005343641081501024,-0.006710970126818665,-674.9261755298777,True,0.007948673155395122,0.005423300299597005,0.014728537352464594,0.015658422991322793,0.17146121134530048,,,0.05938565073721025,0.040026662921294726,-0.013199749634534692,-0.016159520261080654,0.017295028060542596,0.014529581642046404,0.17113419048439804,-0.2242293004408411,-0.22422930044083686,-0.19033214352802896,0.03985718437467609
cd8_n,10,LUSC-6,Lung6,66196,0.0007907126651465839,0.0020138128377201604,-5.357019477262441e-05,-1.628960563971235,True,0.000790712665146542,0.002044034441469404,-0.007309651941037489,-0.006959179319671604,0.17146121134530048,,,,0.002278857929186622,9.764201136057742e-05,0.0012728517779393592,-0.0068671827835944015,-0.00664935432497002,0.17113419048439804,,,,0.0023469644790883775
cd8_n,20,LUSC-6,Lung6,66196,-0.002702638806828491,-0.003995363393977668,-0.0017599284581489398,-51.46393293494776,True,-0.002702638806828662,-0.0040553157035062015,0.007889113147309008,0.007193783804398015,0.17146121134530048,,,,0.00934506576275792,-0.0022675778779418392,-0.004095345641512987,0.010680319101622579,0.009979465440508296,0.17113419048439804,,,,0.010331355127207405
cd8_n,50,LUSC-6,Lung6,66196,0.0060118530535106015,0.0022833828584137056,-0.006271806544393983,-125.44041753055882,True,0.006011853053510836,0.002317147881726773,0.021548344041167206,0.021945645023834084,0.17146121134530048,,,0.018103864444876883,0.01753142850258918,0.006843314309596219,0.0019661550800511574,0.028499034679980426,0.028835511037971766,0.17113419048439804,,,0.011668818962433325,0.0176377101488808
cd8_n,100,LUSC-6,Lung6,66196,-0.005274120646040356,-0.009610677086729424,-0.047165116053220615,-664.2326110178517,True,-0.005274120646040548,-0.009752227131362739,0.026117315106936264,0.024445186429678085,0.17146121134530048,,,-0.06840318776330134,0.02413782466818717,0.0018344027992972126,-0.0038915680507739855,0.03345895308157472,0.032792972733490605,0.17113419048439804,,,-0.02030862994631666,0.020371079465475835
imm_frac,10,LUAD-9 R1,Lung9,28933,-0.04520955635540696,-0.025664590154224922,-0.010016342353571572,-271.92926463659944,True,-0.045209556355407174,-0.02574720419361436,-0.12706540593301202,-0.13100905331302257,0.15316798477827417,0.43049199617870326,0.43049199617870326,0.030102098139644706,0.027418347962883487,-0.039964997969676064,-0.015008215961110157,-0.16035332449475515,-0.16268914618887403,0.1556361995437269,0.6244659896517992,0.624465989651794,0.014357575467309425,0.027158039368373986
imm_frac,20,LUAD-9 R1,Lung9,38852,-0.03736327134833905,-0.0139234721043441,-0.008342703589366535,-438.4724890198843,True,-0.037363271348338986,-0.013978500466835434,-0.1399151135347774,-0.14225141604295988,0.16713541725920078,0.6258758946315641,0.625875894631562,0.0164237557218897,0.03361593899675955,-0.04858380845027793,-0.014069751740097051,-0.20573350828488968,-0.20809386374426123,0.16776098846468984,0.7104024532268515,0.7104024532268652,0.011342744167950669,0.037757457285886205
imm_frac,50,LUAD-9 R1,Lung9,38864,-0.004458296136516008,0.019971217921292,-0.0017335284363520168,298.73037239203035,True,-0.004458296136515996,0.0200472001945597,-0.14661656055241157,-0.14326587091022389,0.16714003001261077,,,-0.023387912423939117,0.016100336952707867,-0.03040358535191441,0.005539928391885708,-0.21416961922528915,-0.21323986787673818,0.16782732244572157,1.1822129965187438,1.1822129965187402,-0.004360119699044374,0.03081975915744391
imm_frac,100,LUAD-9 R1,Lung9,38864,0.012378952721930016,0.03244702006434348,0.004684891132177413,684.6056000402051,True,0.012378952721930021,0.03268762356808976,-0.12150692353368285,-0.11604351314947133,0.16714003001261077,-1.6405806938887304,-1.6405806938887313,-0.04708070477988979,-0.0003940543672072597,-0.004924497667998608,0.025007467844327246,-0.1783497768785904,-0.1741528405091297,0.16782732244572157,,,-0.02409915541538732,0.011087584936528233
cd8_n,10,LUAD-9 R1,Lung9,38864,-0.0007249568205110147,0.00527220991100556,0.0004649278269220653,-0.6668352463649114,True,-0.0007249568205111016,0.0053440763052907524,-0.0363110687807328,-0.03541785970667683,0.16714003001261077,,,-0.025219171385660655,-0.0016439746938358682,0.003033275959265471,0.010588917021986074,-0.0450203277548209,-0.04324321816342113,0.16782732244572157,,,-0.04109568313541945,-0.007966403593082491
cd8_n,20,LUAD-9 R1,Lung9,38864,-0.0017749452572811413,0.007315469359403218,0.0042371501225272985,3.421264867256785,True,-0.0017749452572811413,0.007409133054886463,-0.054948406503664934,-0.05371004378250343,0.16714003001261077,,,-0.02305644594475109,0.011366972693447096,0.0057042260620174725,0.017188601061241055,-0.06842970996535984,-0.06554499307266395,0.16782732244572157,,,-0.04401124719775096,0.008035157092382273
cd8_n,50,LUAD-9 R1,Lung9,38864,0.017437086296335814,0.030663716791369488,0.08332769790143021,446.98051517186724,True,0.017437086296335773,0.031011189071343943,-0.08121395439490993,-0.07603074332279877,0.16714003001261077,-0.7784616388496415,-0.7784616388496345,-0.0681725686950756,0.0015406046457214107,0.029552707438030512,0.04452981580019451,-0.08924118042226238,-0.08176786066751468,0.16782732244572157,-0.5067931049488343,-0.5067931049488292,-0.09139678712074661,-0.00045521836296767904
cd8_n,100,LUAD-9 R1,Lung9,38864,0.027404168276771317,0.039127429179199015,0.402024872648992,858.967483476934,True,0.027404168276771265,0.039598259419849104,-0.07295733488953984,-0.06633888062165916,0.16714003001261077,-0.4449721305139547,-0.4449721305139527,-0.09976734919039032,-0.008104144141274828,0.038851464733691096,0.05127433725883161,-0.07402175250193757,-0.06541651776960905,0.16782732244572157,-0.31975300314398925,-0.31975300314397787,-0.131545288953401,-0.014959499107856558
imm_frac,10,LUAD-9 R2,Lung9,67882,-0.07702799735853905,-0.05638184756976325,-0.023936182377539805,-1220.7843316497779,True,-0.07702799735853916,-0.05659339876555322,-0.12706190456375555,-0.1361634790345415,0.16082395949552875,0.2652879380710085,0.26528793807101136,0.06684299296199026,0.02433950843378531,-0.07156936387923589,-0.04633739738673106,-0.15016245860166402,-0.1579485835033183,0.16803112260859568,0.3525526164390749,0.35255261643906854,0.04929531325294034,0.02075219727174249
imm_frac,20,LUAD-9 R2,Lung9,94680,-0.1108512600081575,-0.08048464367729523,-0.025652392728159428,-3642.8534345944627,True,-0.11085126000815533,-0.08055424771019974,-0.1646187764835491,-0.1794442604633335,0.18404347878861063,0.2733122951938177,0.2733122951938314,0.0826188808798024,0.0299081384516656,-0.10540864919171401,-0.0660054242790064,-0.20575655970073228,-0.21839686911350104,0.1915041006226856,0.3738139632265114,0.37381396322650223,0.05787770430994399,0.035755994692166684
imm_frac,50,LUAD-9 R2,Lung9,94876,-0.11405396751178046,-0.08428391043154253,-0.02510143152536269,-5503.111866816287,True,-0.1140539675117791,-0.08440873995826095,-0.16082953768822403,-0.17638834821231564,0.18432700845654656,0.2599228084762285,0.2599228084762425,0.08820770012180024,0.025239869291474256,-0.1154024318890866,-0.07360066028016575,-0.21796239182214014,-0.23207784525232622,0.19178433150537488,0.3622260893868907,0.3622260893868984,0.06082206345392027,0.03618652870227281
imm_frac,100,LUAD-9 R2,Lung9,94876,-0.10110631364558474,-0.0742964760369438,-0.021610634062550083,-5050.124911037312,True,-0.101106313645584,-0.07465087556666185,-0.14352448021831507,-0.15728465279017884,0.18432700845654656,0.26165960487550266,0.26165960487550916,0.08748579297320336,0.019906563234647994,-0.10456335952451339,-0.0676705482073596,-0.19236613871201733,-0.20534428956256776,0.19178433150537488,0.35282733344565875,0.35282733344566525,0.06320190777253643,0.029157463992576696
cd8_n,10,LUAD-9 R2,Lung9,94876,-0.020528455108059368,-0.014791608457122643,-0.0026256351949858047,-144.26466996282383,True,-0.020528455108059476,-0.01504151204991756,-0.029767439422396347,-0.03253999634122063,0.18432700845654656,0.2672847532490519,0.2672847532490457,0.08520458606542913,-0.0012004137191356096,-0.01945456743464886,-0.012082038918809383,-0.03844176663427376,-0.040758912391539406,0.19178433150537488,0.37896131798381194,0.37896131798382937,0.05685003895605989,-0.0028530654181044856
cd8_n,20,LUAD-9 R2,Lung9,94876,-0.03950123570468497,-0.02821769064647498,-0.01171460651346889,-589.0875608155142,True,-0.03950123570468498,-0.028650500815691014,-0.05886676607976232,-0.06414782718590019,0.18432700845654656,0.2746935556678556,0.2746935556678538,0.08232642223147124,0.0072081139195046854,-0.03682345618906486,-0.0232006353123396,-0.07103198040108702,-0.07548149873496394,0.19178433150537488,0.3699495453870707,0.3699495453870736,0.05894846298031775,0.00685783189000178
cd8_n,50,LUAD-9 R2,Lung9,94876,-0.06870352896544542,-0.050055270943458526,-0.06897050363709718,-2306.860451454687,True,-0.06870352896544485,-0.050633540211645366,-0.09803223578089802,-0.1073653647756741,0.18432700845654656,0.26301398233688944,0.26301398233689344,0.08692867587491027,0.019099991351731554,-0.06570461262224847,-0.04415479454365189,-0.11236485227675351,-0.12083305003106512,0.19178433150537488,0.327980292684954,0.32798029268496615,0.07008180089912908,0.01824820571410707
cd8_n,100,LUAD-9 R2,Lung9,94876,-0.07161970308002648,-0.051873811211814905,-0.208751426239547,-3424.9501233497176,True,-0.07161970308002615,-0.05243565641524909,-0.10407615696372537,-0.1137414646472031,0.18432700845654656,0.267859902230274,0.2678599022302798,0.0849761141502533,0.009899326585486899,-0.07147744889391162,-0.04825300458009058,-0.12109667213961402,-0.13035084236613223,0.19178433150537488,0.3249198827491908,0.32491988274919625,0.07099432622402935,0.01016317979820575
imm_frac,10,LUAD-12,Lung12,9373,-0.17623577633754656,-0.1393886061962283,-0.11858590095191335,-700.4251358539566,True,-0.1762357763375467,-0.14016051665803994,-0.16384583798267197,-0.19470610942751235,0.2201780656968611,0.20469884395329208,0.20469884395328783,0.15849667755972208,0.03257789451755931,-0.162307646061171,-0.12887466959813668,-0.15774757710014703,-0.1850612377887056,0.2119397145593477,0.2059852217340027,0.20598522173399972,0.14759255376722402,0.029007822742140473
imm_frac,20,LUAD-12,Lung12,17856,-0.2302634248299168,-0.17887825658805243,-0.10612325694967573,-1849.3219949153354,True,-0.23026342482991635,-0.1791915013067631,-0.20149293928273507,-0.24691217175468022,0.25346755923536096,0.2217978107503501,0.2217978107503518,0.18394894082852853,0.03290815525014875,-0.21856616866232306,-0.16798233228935777,-0.19897090607792603,-0.2416766009836233,0.2542273007147834,0.23143488620654518,0.2314348862065476,0.17670595635607744,0.035175278095101466
imm_frac,50,LUAD-12,Lung12,18259,-0.21209505886915517,-0.16469731098668744,-0.08170487203108288,-1922.3537512451348,True,-0.21209505886915503,-0.16617075282236635,-0.17891937133680338,-0.22157141315665962,0.25667598596878455,0.2165269963932548,0.2165269963932567,0.19249794552557908,0.026104295729456703,-0.20955120690147924,-0.161242519835355,-0.18789014412306249,-0.22934742475284203,0.2571113417981279,0.23053404358981633,0.23053404358981627,0.18076191905994277,0.027585436936025855
imm_frac,100,LUAD-12,Lung12,18267,-0.17144148031808604,-0.12947588657482242,-0.05425854961706497,-1532.1745015923323,True,-0.17144148031808637,-0.131555283459491,-0.15527164469033436,-0.18906558011439972,0.25688010800775746,0.232651962550673,0.23265196255067216,0.17874187043256284,0.021030655490680762,-0.170498204402281,-0.12856461294776536,-0.16297165899751942,-0.19605210984413918,0.2573060353711797,0.24594740807695348,0.2459474080769531,0.16873294999435917,0.01968890815880892
cd8_n,10,LUAD-12,Lung12,18267,-0.042974816706719966,-0.035911288029326846,-0.0062494824015531455,-55.313428416265054,True,-0.042974816706720015,-0.03713885618596059,-0.022718615956761574,-0.032258849345095604,0.25688010800775746,0.13579954419786622,0.13579954419787205,0.2957400397725115,0.012110706714328056,-0.04186495617259129,-0.03559416460518131,-0.024370946287225137,-0.033529539664133405,0.2573060353711797,0.14978617298817154,0.14978617298816896,0.2731499885966293,0.012100470261444517
cd8_n,20,LUAD-12,Lung12,18267,-0.07556318428683628,-0.05945154869119464,-0.02706757272898237,-219.76193256702783,True,-0.07556318428683642,-0.0613603435107491,-0.05528976488774409,-0.07105201655617845,0.25688010800775746,0.18795979695844478,0.18795979695844345,0.22184101778408594,0.01695139652251879,-0.07390668405269207,-0.05952590891881638,-0.05588976998977341,-0.07120614561553995,0.2573060353711797,0.19458016982094417,0.19458016982094475,0.21509906895485598,0.0179893378811088
cd8_n,50,LUAD-12,Lung12,18267,-0.11884503937123701,-0.09051667614132858,-0.12333169425255133,-707.5474419269594,True,-0.11884503937123733,-0.0929277734460713,-0.10089245962316142,-0.124763756102909,0.25688010800775746,0.21807612721813352,0.2180761272181333,0.1913319799386114,0.02411930917482,-0.109173358592529,-0.08313697727388433,-0.10118838169142043,-0.12258002770650751,0.2573060353711797,0.23848658367121445,0.23848658367121803,0.17451167547706015,0.02044188443146556
cd8_n,100,LUAD-12,Lung12,18267,-0.1013299756052697,-0.06884839023916176,-0.2779446347377866,-698.842406215741,True,-0.10132997560526993,-0.07055817598476778,-0.11979051184287405,-0.13791550371067163,0.25688010800775746,0.30367913775459143,0.3036791377545902,0.13142098879485953,0.002167709504332662,-0.09997055810888376,-0.06949374035554838,-0.11844579436067487,-0.13632695317467539,0.2573060353711797,0.30485793347418655,0.3048579334741855,0.13116378234529624,0.008828434989868201
imm_frac,10,LUAD-13,Lung13,18278,-0.04895720961244347,-0.04127305617588171,-0.018784546715337885,-356.6784332419238,True,-0.04895720961244339,-0.041154067442840864,-0.10364182206280992,-0.10674029170298363,0.07528951164978119,0.15938698776695004,0.1593869877669491,0.029028116662783154,0.030204126994729276,-0.04063640757580099,-0.029670369065909422,-0.10532062614069392,-0.10840992043851562,0.10412052141849709,0.26985747914443725,0.2698574791444392,0.02849641698218741,0.031042214952997676
imm_frac,20,LUAD-13,Lung13,26011,-0.026357572908706516,-0.015957390547813748,-0.006902781350515119,-282.00649827481993,True,-0.02635757290870655,-0.01592052495229321,-0.1130087107573266,-0.1144790689386102,0.09235613685413736,0.39597909840043455,0.3959790984004324,0.012843904085838465,0.008032109131012327,-0.0309486581787322,-0.015749208914710027,-0.12494488144822515,-0.1268607606669095,0.12164923514950561,0.49111819892945074,0.49111819892945296,0.015102220801865962,0.018491184508805422
imm_frac,50,LUAD-13,Lung13,26030,0.004203751151801709,0.014543024106069388,0.005413210905832214,231.82616902605622,True,0.00420375115180172,0.014517583339115025,-0.11120102306265918,-0.10985452539383296,0.0927494361405446,,,-0.01225709786646445,0.001351502596506619,0.0014941919833846376,0.013663907267447121,-0.09980383916400899,-0.09813771226442741,0.1219363441927702,,,-0.016977437736598988,0.00018502271884295791
imm_frac,100,LUAD-13,Lung13,26030,0.022505403140395803,0.030265734848239967,0.01049210839179551,514.6866926127093,True,0.022505403140395848,0.03029640862203893,-0.08400056976990494,-0.08119059495312737,0.0927494361405446,-0.3461837778705992,-0.34618377787060267,-0.034609609874146186,-0.008383247826429099,0.022259329600413384,0.03069478306785678,-0.06917915674187919,-0.06543634710879456,0.1219363441927702,-0.37896260214803323,-0.37896260214803246,-0.057197716536068643,-0.012128135894930999
