gene,cut,metric,radius,sample,patient,threshold,usable,n_high,n_low,high_mean,low_mean,delta,ratio,q1
tac,median,imm_n,20,LUAD-13,Lung13,0.0,True,9053,16977,1.121064840384403,1.3094775284208047,-0.18841268803640165,0.8561161349109806,
tac,median,imm_n,50,LUAD-13,Lung13,0.0,True,9053,16977,14.662653264111345,14.855451493196679,-0.19279822908533362,0.9870217186482936,
tac,median,imm_n,100,LUAD-13,Lung13,0.0,True,9053,16977,81.30045288854524,79.71084408317135,1.589608805373885,1.0199421900954313,
tac,median,cd8_n,10,LUAD-13,Lung13,0.0,True,9053,16977,0.01800508118855628,0.0324556753254403,-0.014450594136884022,0.5547590986172776,
tac,median,cd8_n,20,LUAD-13,Lung13,0.0,True,9053,16977,0.1670164586324975,0.20139011603934734,-0.034373657406849834,0.8293180515366804,
tac,median,cd8_n,50,LUAD-13,Lung13,0.0,True,9053,16977,1.5631282447807358,1.6014607999057549,-0.0383325551250191,0.9760640066074205,
tac,median,cd8_n,100,LUAD-13,Lung13,0.0,True,9053,16977,7.385949409035679,7.3492372032750195,0.0367122057606597,1.0049953763561066,
tac,median,cd8_frac,10,LUAD-13,Lung13,0.0,True,5741,12537,0.018565290599779363,0.026387227140995985,-0.007821936541216622,0.7035711066031555,
tac,median,cd8_frac,20,LUAD-13,Lung13,0.0,True,9045,16966,0.023394425732734193,0.026948142176869527,-0.0035537164441353346,0.8681275903618467,
tac,median,cd8_frac,50,LUAD-13,Lung13,0.0,True,9053,16977,0.032045480707588156,0.03275999040467165,-0.0007145096970834972,0.9781895632978694,
tac,median,cd8_frac,100,LUAD-13,Lung13,0.0,True,9053,16977,0.0365172695601293,0.03666165480725037,-0.00014438524712107048,0.9960616822159234,
tac,median,cd8nk_n,10,LUAD-13,Lung13,0.0,True,9053,16977,0.018226002430133656,0.03292690110149025,-0.014700898671356592,0.5535292365945959,
tac,median,cd8nk_n,20,LUAD-13,Lung13,0.0,True,9053,16977,0.16933613166905997,0.20474759969370324,-0.03541146802464326,0.8270481896851644,
tac,median,cd8nk_n,50,LUAD-13,Lung13,0.0,True,9053,16977,1.5971501159836519,1.6424574424221006,-0.0453073264384487,0.9724149160469967,
tac,median,cd8nk_n,100,LUAD-13,Lung13,0.0,True,9053,16977,7.582900695901911,7.56311480237969,0.019785893522220377,1.0026161038195527,
tac,detected,imm_frac,10,LUAD-5 R1,Lung5,0.0,True,9325,5005,0.015858802502234138,0.04292564578278863,-0.027066843280554493,0.36944819846118304,
tac,detected,imm_frac,20,LUAD-5 R1,Lung5,0.0,True,11805,5981,0.043035232022077076,0.07866405492282041,-0.03562882290074334,0.5470761971818029,
tac,detected,imm_frac,50,LUAD-5 R1,Lung5,0.0,True,11819,6018,0.11020781731483902,0.1299838457686515,-0.019776028453812475,0.8478577985066672,
tac,detected,imm_frac,100,LUAD-5 R1,Lung5,0.0,True,11819,6018,0.17703663828038183,0.17783323808075394,-0.0007965998003721109,0.9955205235592102,
tac,detected,imm_n,10,LUAD-5 R1,Lung5,0.0,True,11819,6018,0.020560115068956764,0.06031904287138584,-0.03975892780242908,0.3408561225481593,
