cohort	kind	Unnamed: 0	signature	n_genes	n_found	frac_found	missing
GSE135222	signature	5	Cytolytic_CYT_Rooney	2	2	1.0	
GSE135222	signature	0	IFNG_Ayers6	6	6	1.0	
GSE135222	signature	1	IFNG_Ayers_preliminary10	10	10	1.0	
GSE135222	signature	13	HALLMARK_ANGIOGENESIS	36	36	1.0	
GSE135222	signature	9	Bcell_follicular	10	10	1.0	
GSE135222	signature	10	MHC_class_I	10	10	1.0	
GSE135222	signature	11	Immunoproteasome	5	5	1.0	
GSE135222	signature	16	HALLMARK_IL6_JAK_STAT3_SIGNALING	87	87	1.0	
GSE135222	signature	20	HALLMARK_TGF_BETA_SIGNALING	54	54	1.0	
GSE135222	mcp	4	NK cells	9	8	0.8888888888888888	KIR3DS1
GSE135222	mcp	7	Neutrophils	15	14	0.9333333333333332	VNN3
GSE135222	mcp	0	T cells	16	15	0.9375	MGC40069
GSE135222	mcp	8	Endothelial cells	33	32	0.9696969696969696	C
GSE135222	mcp	3	B lineage	9	9	1.0	
GSE135222	mcp	2	Cytotoxic lymphocytes	7	7	1.0	
GSE135222	mcp	5	Monocytic lineage	7	7	1.0	
GSE135222	mcp	1	CD8 T cells	1	1	1.0	
GSE135222	mcp	6	Myeloid dendritic cells	6	6	1.0	
GSE135222	mcp	9	Fibroblasts	8	8	1.0	
TCGA_NSCLC	signature	18	HALLMARK_INTERFERON_ALPHA_RESPONSE	97	92	0.9484536082474226	CMTR1,HELZ2,MVB12A,TENT5A,WARS1
TCGA_NSCLC	signature	15	HALLMARK_HYPOXIA	200	190	0.95	ACKR3,AK4,CAVIN1,CAVIN3,CCN1,CCN2,CCN5,ERO1A,LARGE1,NOCT
TCGA_NSCLC	signature	19	HALLMARK_INTERFERON_GAMMA_RESPONSE	200	194	0.97	CMTR1,HELZ2,MARCHF1,RIGI,TMT1B,WARS1
TCGA_NSCLC	signature	14	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	194	0.97	CCN1,CCN2,COLGALT1,CXCL8,P3H1,PRSS2
TCGA_NSCLC	signature	12	HALLMARK_ALLOGRAFT_REJECTION	200	195	0.975	AARS1,DARS1,FYB1,RARS1,WARS1
TCGA_NSCLC	signature	21	HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	196	0.98	ACKR3,CCN1,PLPP3,RIGI
TCGA_NSCLC	signature	17	HALLMARK_INFLAMMATORY_RESPONSE	200	197	0.985	ADGRE1,CXCL8,SELENOS
TCGA_NSCLC	signature	0	IFNG_Ayers6	6	6	1.0	
TCGA_NSCLC	signature	7	TLS_Cabrita9	9	9	1.0	
TCGA_NSCLC	signature	6	TLS_12chemokine_Coppola	12	12	1.0	
TCGA_NSCLC	signature	5	Cytolytic_CYT_Rooney	2	2	1.0	
TCGA_NSCLC	signature	8	TLS_Cabrita9_noY	8	8	1.0	
TCGA_NSCLC	signature	4	CD8_Teffector_Mariathasan	8	8	1.0	
TCGA_NSCLC	signature	1	IFNG_Ayers_preliminary10	10	10	1.0	
TCGA_NSCLC	signature	2	ExpandedImmune_Ayers18	18	18	1.0	
TCGA_NSCLC	signature	3	TcellInflamed_GEP18	18	18	1.0	
TCGA_NSCLC	signature	13	HALLMARK_ANGIOGENESIS	36	36	1.0	
TCGA_NSCLC	signature	9	Bcell_follicular	10	10	1.0	
TCGA_NSCLC	signature	10	MHC_class_I	10	10	1.0	
TCGA_NSCLC	signature	11	Immunoproteasome	5	5	1.0	
TCGA_NSCLC	signature	16	HALLMARK_IL6_JAK_STAT3_SIGNALING	87	87	1.0	
TCGA_NSCLC	signature	20	HALLMARK_TGF_BETA_SIGNALING	54	54	1.0	
TCGA_NSCLC	mcp	6	Myeloid dendritic cells	6	5	0.8333333333333334	WFDC21P
TCGA_NSCLC	mcp	0	T cells	16	14	0.875	CHRM3-AS2,MGC40069
TCGA_NSCLC	mcp	4	NK cells	9	8	0.8888888888888888	KIR3DS1
TCGA_NSCLC	mcp	3	B lineage	9	8	0.8888888888888888	IGKC
TCGA_NSCLC	mcp	8	Endothelial cells	33	30	0.9090909090909092	DIPK2B,ADGRL4,C
TCGA_NSCLC	mcp	2	Cytotoxic lymphocytes	7	7	1.0	
TCGA_NSCLC	mcp	5	Monocytic lineage	7	7	1.0	
TCGA_NSCLC	mcp	1	CD8 T cells	1	1	1.0	
TCGA_NSCLC	mcp	7	Neutrophils	15	15	1.0	
TCGA_NSCLC	mcp	9	Fibroblasts	8	8	1.0	
