score	test	n_levels	statistic	p	p_adj	rejected_0.05
ssgsea:HALLMARK_INFLAMMATORY_RESPONSE	mannwhitneyu	2	155814.0	1.436903582815877e-08	2.9574493199104973e-08	True
ssgsea:HALLMARK_INTERFERON_ALPHA_RESPONSE	mannwhitneyu	2	167399.0	3.8658950696271934e-16	1.327290640572003e-15	True
ssgsea:HALLMARK_INTERFERON_GAMMA_RESPONSE	mannwhitneyu	2	164869.0	2.90561251895876e-14	8.550802555792921e-14	True
ssgsea:HALLMARK_TGF_BETA_SIGNALING	mannwhitneyu	2	153674.0	1.8684039255215843e-07	3.6310491382777957e-07	True
ssgsea:HALLMARK_TNFA_SIGNALING_VIA_NFKB	mannwhitneyu	2	134712.0	0.24483053006448885	0.2932272627516553	False
ssgsea:CYT	mannwhitneyu	2	138328.0	0.05297481659671713	0.06995392448028032	False
estimate:StromalScore	mannwhitneyu	2	160544.0	2.4068584126630867e-11	5.509031477873288e-11	True
estimate:ImmuneScore	mannwhitneyu	2	170919.0	5.877798870280587e-19	2.6322316679952192e-18	True
estimate:ESTIMATEScore	mannwhitneyu	2	168579.0	4.672551242753032e-17	1.8510491461675475e-16	True
xcell:B-cells	mannwhitneyu	2	152964.0	4.1844759768671487e-07	7.836382283951206e-07	True
xcell:CD4+ T-cells	mannwhitneyu	2	172473.0	2.8050182644910164e-20	1.375794672583689e-19	True
xcell:CD8+ T-cells	mannwhitneyu	2	152868.0	4.6585006788500473e-07	8.568313748599195e-07	True
xcell:Tregs	mannwhitneyu	2	158863.0	2.6158271590187e-10	5.613129112060961e-10	True
xcell:NK cells	mannwhitneyu	2	127724.5	0.7422658852980126	0.7722564261181344	False
xcell:Monocytes	mannwhitneyu	2	187115.0	4.712064230964175e-35	5.392695730992333e-34	True
xcell:Macrophages	mannwhitneyu	2	176224.0	1.1586628107725146e-23	7.458891844348064e-23	True
xcell:Macrophages M1	mannwhitneyu	2	162825.0	7.722134263872518e-13	1.9884495729471734e-12	True
xcell:Macrophages M2	mannwhitneyu	2	196035.0	4.0337864947073084e-46	1.3849333631828425e-44	True
xcell:DC	mannwhitneyu	2	175310.0	8.20268734917622e-23	4.693759983139725e-22	True
xcell:cDC	mannwhitneyu	2	168503.5	5.359012606486734e-17	2.0056155732807439e-16	True
xcell:pDC	mannwhitneyu	2	169215.0	1.457630132844489e-17	6.255662653457599e-17	True
xcell:Neutrophils	mannwhitneyu	2	160273.0	3.5646491329611827e-11	7.981714362934822e-11	True
xcell:Mast cells	mannwhitneyu	2	154564.0	6.589530984254867e-08	1.3052340218812524e-07	True
xcell:Eosinophils	mannwhitneyu	2	162783.0	8.244323879018495e-13	2.071135023265622e-12	True
xcell:Fibroblasts	mannwhitneyu	2	179599.0	6.071121788866221e-27	4.810196494255544e-26	True
xcell:Endothelial cells	mannwhitneyu	2	193249.0	1.7011172453387035e-42	4.380376906747162e-41	True
xcell:Adipocytes	mannwhitneyu	2	192600.0	1.1303801908526127e-41	2.328583193156382e-40	True
tide:No benefits	mannwhitneyu	2	111599.0	7.331972171339557e-12	1.7163480310181238e-11	True
tide:Responder	mannwhitneyu	2	167083.0	2.934349395459335e-23	1.7778705160724205e-22	True
tide:TIDE	mannwhitneyu	2	77341.0	1.4460992188156968e-28	1.3540747230728798e-27	True
tide:IFNG	mannwhitneyu	2	141031.0	0.011994677646295287	0.017159052744005757	True
tide:MSI Score	mannwhitneyu	2	93145.0	1.2324256128438154e-14	3.966869941341031e-14	True
tide:CD274	mannwhitneyu	2	113134.5	0.0005726295235625458	0.0009073975527221879	True
tide:CD8	mannwhitneyu	2	134165.5	0.2954212993623514	0.34577720266275225	False
tide:CTL.flag	mannwhitneyu	2	127974.0	0.7316803163618284	0.7722564261181344	False
tide:Dysfunction	mannwhitneyu	2	174157.0	9.180244967954226e-22	4.7278261584964265e-21	True
tide:Exclusion	mannwhitneyu	2	55702.0	1.3355881266296037e-55	6.87827885214246e-54	True
tide:MDSC	mannwhitneyu	2	43696.0	1.394561326183903e-74	1.43639816596942e-72	True
tide:CAF	mannwhitneyu	2	116682.0	0.007214967302421077	0.010616309030705299	True
tide:TAM M2	mannwhitneyu	2	117209.0	0.010046494259964893	0.014574491672906816	True
tide:CTL	mannwhitneyu	2	132098.0	0.5452939430522785	0.6104921318954857	False
tip:Step1_release_of_cancer_antigens	mannwhitneyu	2	80574.0	2.560258423377613e-25	1.883618697199244e-24	True
tip:Step2_cancer_antigen_presentation	mannwhitneyu	2	114392.0	0.0014945370930099697	0.002263784126176866	True
tip:Step3_priming_and_activation	mannwhitneyu	2	95436.0	5.068908996231836e-13	1.3387118631073823e-12	True
tip:Step4_trafficking_of_immune_cells	mannwhitneyu	2	148238.0	5.0951283902336374e-05	8.464487487001043e-05	True
tip:Step5_infiltration_of_immune_cells	mannwhitneyu	2	171623.0	1.5015069170341962e-19	7.029782384296465e-19	True
tip:Step6_recognition_of_cancer_cells	mannwhitneyu	2	135819.0	0.16170012146649182	0.19827514894105544	False
tip:Step7_killing_of_cancer_cells	mannwhitneyu	2	137907.0	0.0650041571737941	0.08265960727038014	False
tip:Step4_B_cell	mannwhitneyu	2	130163.0	0.848020904426389	0.8648133975833472	False
tip:Step4_Basophil	mannwhitneyu	2	74313.0	8.547258822858278e-32	8.803676587544026e-31	True
tip:Step4_CD4_T_cell	mannwhitneyu	2	149703.0	1.2768040557019207e-05	2.1918469622882973e-05	True
tip:Step4_CD8_T_cell	mannwhitneyu	2	144089.0	0.001549342235971276	0.002312786236304948	True
tip:Step4_Dendritic_cell	mannwhitneyu	2	144172.0	0.0014575648257424962	0.002240733985842942	True
tip:Step4_Eosinophil	mannwhitneyu	2	70176.0	1.6967255121727085e-36	2.1845340969223624e-35	True
tip:Step4_MDSC	mannwhitneyu	2	139663.0	0.026405856277621074	0.035786884165723294	True
tip:Step4_Macrophage	mannwhitneyu	2	151653.0	1.7492164748464885e-06	3.106367188089454e-06	True
tip:Step4_Monocyte	mannwhitneyu	2	129326.0	0.989692707105935	0.989692707105935	False
tip:Step4_NK_cell	mannwhitneyu	2	130035.0	0.8694853558023251	0.8780097220356813	False
tip:Step4_Neutrophil	mannwhitneyu	2	123730.0	0.2372897473648402	0.28753934092445343	False
tip:Step4_T_cell	mannwhitneyu	2	136923.0	0.10202497084302196	0.1266093011666417	False
tip:Step4_TH1_cell	mannwhitneyu	2	134581.0	0.25636489187173805	0.30351245819297723	False
tip:Step4_TH17_cell	mannwhitneyu	2	160105.0	4.5429110263176735e-11	9.955741185334475e-11	True
tip:Step4_TH22_cell	mannwhitneyu	2	153493.0	2.2996302873352447e-07	4.386331844361671e-07	True
tip:Step4_Th2_cell	mannwhitneyu	2	175065.0	1.377261165320392e-22	7.466205264631598e-22	True
tip:Step4_Treg_cell	mannwhitneyu	2	188508.0	1.1170437331941087e-36	1.6436500645570456e-35	True
quantiseq_style:B.cells	mannwhitneyu	2	131667.5	0.6064535844165703	0.6575233599463867	False
quantiseq_style:Macrophages.M1	mannwhitneyu	2	162538.5	1.0409070714561918e-12	2.5527006752378037e-12	True
quantiseq_style:Macrophages.M2	mannwhitneyu	2	137791.5	0.06456129750422285	0.08265960727038014	False
quantiseq_style:Monocytes	mannwhitneyu	2	92634.0	3.115422792189236e-17	1.2835541903819652e-16	True
quantiseq_style:Neutrophils	mannwhitneyu	2	124831.5	0.33991250713358423	0.393381890278193	False
quantiseq_style:NK.cells	mannwhitneyu	2	161982.0	1.565963116875224e-12	3.7510279311197225e-12	True
quantiseq_style:T.cells.CD4	mannwhitneyu	2	130609.5	0.7349714913526378	0.7722564261181344	False
quantiseq_style:T.cells.CD8	mannwhitneyu	2	126859.0	0.572462663169524	0.630908619561268	False
quantiseq_style:Tregs	mannwhitneyu	2	154329.5	1.4643681098585957e-08	2.9574493199104973e-08	True
quantiseq_style:Dendritic.cells	mannwhitneyu	2	132446.5	0.4152883251264755	0.4700516207475492	False
quantiseq_style:Other	mannwhitneyu	2	127958.0	0.7802274324580952	0.8036342554318381	False
mcp:T cells	mannwhitneyu	2	157786.0	1.1289977693573664e-09	2.3731993927307904e-09	True
mcp:CD8 T cells	mannwhitneyu	2	127395.0	0.6897484115001535	0.740042566505373	False
mcp:Cytotoxic lymphocytes	mannwhitneyu	2	118862.0	0.026333497723988582	0.035786884165723294	True
mcp:B lineage	mannwhitneyu	2	164917.0	2.684153417044527e-14	8.131405939870184e-14	True
mcp:NK cells	mannwhitneyu	2	140815.5	0.013652269024234304	0.01926279054104292	True
mcp:Monocytic lineage	mannwhitneyu	2	164920.0	2.6708792643498302e-14	8.131405939870184e-14	True
mcp:Myeloid dendritic cells	mannwhitneyu	2	179834.5	3.515630685559399e-27	3.017583005105151e-26	True
mcp:Neutrophils	mannwhitneyu	2	168494.0	5.452158839986488e-17	2.0056155732807439e-16	True
mcp:Endothelial cells	mannwhitneyu	2	189673.0	4.566649889559233e-38	7.839415643743349e-37	True
mcp:Fibroblasts	mannwhitneyu	2	112380.0	0.0003117122408262179	0.0005016618875796946	True
