score	group_a	n_a	median_a	group_b	n_b	median_b	U	cliffs_delta	p	score_short	family	p_adj	rejected_0.05
ssgsea:CYT	responder	5	20.448754121604523	non-responder	11	4.811169390796583	55.0	1.0	0.0004578754578754579	CYT	inflamed	0.0028388278388278387	True
estimate:StromalScore	responder	5	1033.109638794917	non-responder	11	88.89112400819955	49.0	0.7818181818181817	0.01327838827838828	StromalScore	exclusion	0.05448717948717949	False
estimate:ImmuneScore	responder	5	2324.906466027576	non-responder	11	563.4312549353699	53.0	0.9272727272727272	0.0018315018315018315	ImmuneScore	inflamed	0.005161505161505161	True
estimate:ESTIMATEScore	responder	5	3405.60045884794	non-responder	11	709.0021876860244	53.0	0.9272727272727272	0.0018315018315018315	ESTIMATEScore	other	0.026556776556776556	True
xcell:B-cells	responder	5	0.1143672255445172	non-responder	11	0.0160573870697438	47.0	0.709090909090909	0.027472527472527472	B-cells	inflamed	0.03702818920210225	True
xcell:CD4+ T-cells	responder	5	3.5281155083094824e-16	non-responder	11	1.2588767988582626e-31	42.0	0.5272727272727273	0.11492673992673993	CD4+ T-cells	inflamed	0.1319529236195903	False
xcell:CD8+ T-cells	responder	5	0.0760926829360316	non-responder	11	0.010770292410544	52.0	0.8909090909090909	0.003205128205128205	CD8+ T-cells	inflamed	0.007097069597069597	True
xcell:Tregs	responder	5	0.033923359165835	non-responder	11	0.0099045613640464	39.0	0.4181818181818182	0.22115384615384617	Tregs	other	0.3664835164835165	False
xcell:NK cells	responder	5	3.673582243783564e-19	non-responder	11	9.962900583191496e-26	34.0	0.23636363636363633	0.5096153846153847	NK cells	inflamed	0.5096153846153847	False
xcell:Monocytes	responder	5	0.0782712536985916	non-responder	11	0.009978783951623	51.0	0.8545454545454545	0.005494505494505494	Monocytes	other	0.03540903540903541	True
xcell:Macrophages	responder	5	0.0751990192023154	non-responder	11	0.0065537979422996	33.0	0.19999999999999996	0.5833333333333334	Macrophages	other	0.7276390637093807	False
xcell:Macrophages M1	responder	5	0.0490005070782121	non-responder	11	0.0077621154513256	34.0	0.23636363636363633	0.5096153846153847	Macrophages M1	other	0.6639316322191574	False
xcell:Macrophages M2	responder	5	0.0264202079342035	non-responder	11	0.0031594937888051	43.0	0.5636363636363637	0.08974358974358976	Macrophages M2	other	0.2263099219620959	False
xcell:DC	responder	5	0.0112254910135341	non-responder	11	0.001949551148877	39.0	0.4181818181818182	0.22115384615384617	DC	other	0.3664835164835165	False
xcell:cDC	responder	5	0.0434016275751289	non-responder	11	0.016970614921926	36.0	0.3090909090909091	0.37728937728937734	cDC	other	0.5210186638758068	False
xcell:pDC	responder	5	0.0092811188258955	non-responder	11	0.0006552575321977	47.0	0.709090909090909	0.0312353923705433	pDC	other	0.10656780926420657	False
xcell:Neutrophils	responder	5	0.0086275147447818	non-responder	11	9.577185232033971e-17	47.0	0.709090909090909	0.027472527472527472	Neutrophils	other	0.09958791208791208	False
xcell:Mast cells	responder	5	0.0309299810352263	non-responder	11	0.0103706922090123	51.0	0.8545454545454545	0.005494505494505494	Mast cells	other	0.03540903540903541	True
xcell:Eosinophils	responder	5	2.775561459732308e-18	non-responder	11	0.0013448110301548	18.0	-0.34545454545454546	0.3195970695970696	Eosinophils	other	0.48780605359552737	False
xcell:Fibroblasts	responder	5	0.0912385220146838	non-responder	11	0.0694073830996388	31.0	0.1272727272727272	0.7426739926739928	Fibroblasts	exclusion	0.8786057692307694	False
xcell:Endothelial cells	responder	5	0.0194331983988422	non-responder	11	0.0124524465293077	30.0	0.09090909090909083	0.8269230769230771	Endothelial cells	exclusion	0.8786057692307694	False
xcell:Adipocytes	responder	5	0.0053445063400783	non-responder	11	0.0002506073851411	28.0	0.018181818181818077	1.0	Adipocytes	other	1.0	False
tide:No benefits	responder	5	0.0	non-responder	11	0.0	22.5	-0.18181818181818177	0.37441446947501766	No benefits	other	0.5210186638758068	False
tide:Responder	responder	5	0.0	non-responder	11	0.0	28.0	0.018181818181818077	1.0	Responder	other	1.0	False
tide:TIDE	responder	5	2.390897963007121	non-responder	11	0.6044936528854429	36.0	0.3090909090909091	0.37728937728937734	TIDE	exclusion	0.5344932844932845	False
tide:IFNG	responder	5	0.8641720483801527	non-responder	11	-0.2206891903998998	45.0	0.6363636363636365	0.05173992673992674	IFNG	inflamed	0.06683073870573872	False
tide:MSI Score	responder	5	0.4696355764693142	non-responder	11	0.6009089233626598	18.0	-0.34545454545454546	0.3195970695970696	MSI Score	other	0.48780605359552737	False
tide:CD274	responder	5	0.7247504673666332	non-responder	11	-0.3235310797533235	39.0	0.4181818181818182	0.22115384615384617	CD274	other	0.3664835164835165	False
tide:CD8	responder	5	1.4799692416845558	non-responder	11	-0.4510711859780785	55.0	1.0	0.0004578754578754579	CD8	inflamed	0.0028388278388278387	True
tide:CTL.flag	responder	5	1.0	non-responder	11	0.0	55.0	1.0	0.00014320540693601744	CTL.flag	inflamed	0.0028388278388278387	True
tide:Dysfunction	responder	5	2.390897963007121	non-responder	11	-1.1172642233284389	51.0	0.8545454545454545	0.005494505494505494	Dysfunction	exclusion	0.0467032967032967	True
tide:Exclusion	responder	5	-2.6429877706393827	non-responder	11	0.6044936528854429	7.0	-0.7454545454545455	0.019230769230769232	Exclusion	exclusion	0.05448717948717949	False
tide:MDSC	responder	5	-0.1982573345773176	non-responder	11	0.0922810530127019	4.0	-0.8545454545454545	0.005494505494505494	MDSC	exclusion	0.0467032967032967	True
tide:CAF	responder	5	-0.0109989766284518	non-responder	11	0.0119486308582536	30.0	0.09090909090909083	0.8269230769230771	CAF	exclusion	0.8786057692307694	False
tide:TAM M2	responder	5	-0.0893208117403214	non-responder	11	0.0344416336629997	7.0	-0.7454545454545455	0.019230769230769232	TAM M2	exclusion	0.05448717948717949	False
tide:CTL	responder	5	1.3183945805634587	non-responder	11	-0.5519010229868578	55.0	1.0	0.0004578754578754579	CTL	inflamed	0.0028388278388278387	True
tip:Step1_release_of_cancer_antigens	responder	5	2287.0993602059334	non-responder	11	1982.085371770862	43.0	0.5636363636363637	0.08974358974358976	Step1_release_of_cancer_antigens	other	0.2263099219620959	False
tip:Step2_cancer_antigen_presentation	responder	5	3895.021204476182	non-responder	11	4147.307785262577	25.0	-0.09090909090909094	0.8269230769230771	Step2_cancer_antigen_presentation	other	0.8881766381766384	False
tip:Step3_priming_and_activation	responder	5	-1093.5179657474926	non-responder	11	-718.928009951574	19.0	-0.3090909090909091	0.37728937728937734	Step3_priming_and_activation	other	0.5210186638758068	False
tip:Step4_trafficking_of_immune_cells	responder	5	404.7290822415288	non-responder	11	-2271.991066625197	51.0	0.8545454545454545	0.005494505494505494	Step4_trafficking_of_immune_cells	inflamed	0.00896471949103528	True
tip:Step5_infiltration_of_immune_cells	responder	5	-346.28966894649966	non-responder	11	-1735.645693551688	50.0	0.8181818181818181	0.0086996336996337	Step5_infiltration_of_immune_cells	exclusion	0.049297924297924296	True
tip:Step6_recognition_of_cancer_cells	responder	5	2105.99884729665	non-responder	11	2672.5393559425243	15.0	-0.4545454545454546	0.18040293040293043	Step6_recognition_of_cancer_cells	other	0.3487789987789988	False
tip:Step7_killing_of_cancer_cells	responder	5	-920.6615199479882	non-responder	11	-2840.320728711685	49.0	0.7818181818181817	0.01327838827838828	Step7_killing_of_cancer_cells	inflamed	0.019601430315716033	True
tip:Step4_B_cell	responder	5	-4940.935049186428	non-responder	11	-5365.589398500042	32.0	0.16363636363636358	0.6611721611721613	Step4_B_cell	other	0.7826119458772521	False
tip:Step4_Basophil	responder	5	-5274.982534394458	non-responder	11	-6010.205431188287	36.0	0.3090909090909091	0.37728937728937734	Step4_Basophil	other	0.5210186638758068	False
tip:Step4_CD4_T_cell	responder	5	802.6041636870613	non-responder	11	-1896.9297490177312	47.0	0.709090909090909	0.027472527472527472	Step4_CD4_T_cell	other	0.09958791208791208	False
tip:Step4_CD8_T_cell	responder	5	605.195602368431	non-responder	11	-2660.170288141692	47.0	0.709090909090909	0.027472527472527472	Step4_CD8_T_cell	other	0.09958791208791208	False
tip:Step4_Dendritic_cell	responder	5	3721.421863626715	non-responder	11	-987.192860692334	54.0	0.9636363636363636	0.0009157509157509158	Step4_Dendritic_cell	other	0.026556776556776556	True
tip:Step4_Eosinophil	responder	5	-2525.209556672963	non-responder	11	-5995.407503116391	41.0	0.49090909090909096	0.14514652014652016	Step4_Eosinophil	other	0.3006606488749346	False
tip:Step4_MDSC	responder	5	1256.0116882369523	non-responder	11	-5507.313437871447	44.0	0.6000000000000001	0.06868131868131869	Step4_MDSC	exclusion	0.1459478021978022	False
tip:Step4_Macrophage	responder	5	5832.525381833088	non-responder	11	412.704222377222	53.0	0.9272727272727272	0.0018315018315018315	Step4_Macrophage	other	0.026556776556776556	True
tip:Step4_Monocyte	responder	5	1703.7425609200666	non-responder	11	-1576.5462289959053	49.0	0.7818181818181817	0.01327838827838828	Step4_Monocyte	other	0.07701465201465202	False
tip:Step4_NK_cell	responder	5	2512.725801518315	non-responder	11	-1332.129902453565	52.0	0.8909090909090909	0.003205128205128205	Step4_NK_cell	other	0.030982905982905984	True
tip:Step4_Neutrophil	responder	5	905.0180948046896	non-responder	11	-3078.972259459417	44.0	0.6000000000000001	0.06868131868131869	Step4_Neutrophil	other	0.1991758241758242	False
tip:Step4_T_cell	responder	5	925.6051676804534	non-responder	11	-1403.057139194566	52.0	0.8909090909090909	0.003205128205128205	Step4_T_cell	other	0.030982905982905984	True
tip:Step4_TH1_cell	responder	5	349.13785100779216	non-responder	11	-3067.199645707324	41.0	0.49090909090909096	0.14514652014652016	Step4_TH1_cell	other	0.3006606488749346	False
tip:Step4_TH17_cell	responder	5	2547.151848512667	non-responder	11	138.45352846378088	47.0	0.709090909090909	0.027472527472527472	Step4_TH17_cell	other	0.09958791208791208	False
tip:Step4_TH22_cell	responder	5	-3179.214911341276	non-responder	11	-3978.2102286121954	32.0	0.16363636363636358	0.6611721611721613	Step4_TH22_cell	other	0.7826119458772521	False
tip:Step4_Th2_cell	responder	5	-6241.39676994739	non-responder	11	-6641.747535419937	38.0	0.38181818181818183	0.26739926739926745	Step4_Th2_cell	other	0.43080993080993085	False
tip:Step4_Treg_cell	responder	5	-4170.791886262969	non-responder	11	-4652.71896434495	40.0	0.4545454545454546	0.18040293040293043	Step4_Treg_cell	other	0.3487789987789988	False
quantiseq_style:B.cells	responder	5	0.0004756216012997	non-responder	11	0.0004129934040044	27.0	-0.018181818181818188	1.0	B.cells	other	1.0	False
quantiseq_style:Macrophages.M1	responder	5	0.0017202835917134	non-responder	11	0.0006252854294815	45.0	0.6363636363636365	0.05173992673992674	Macrophages.M1	other	0.16671754171754172	False
quantiseq_style:Macrophages.M2	responder	5	9.188613663474424e-05	non-responder	11	0.0003242375273432	26.0	-0.054545454545454564	0.9095367216432657	Macrophages.M2	other	0.9591478155510802	False
quantiseq_style:Monocytes	responder	5	0.0	non-responder	11	0.0	22.0	-0.19999999999999996	0.5151193698252083	Monocytes	other	0.6639316322191574	False
quantiseq_style:Neutrophils	responder	5	0.0033740176863427	non-responder	11	0.0023605719139953	31.0	0.1272727272727272	0.7426739926739928	Neutrophils	other	0.844609638727286	False
quantiseq_style:NK.cells	responder	5	0.0001087734499173	non-responder	11	0.0001501006351146	25.0	-0.09090909090909094	0.8269230769230771	NK.cells	other	0.8881766381766384	False
quantiseq_style:T.cells.CD4	responder	5	0.0	non-responder	11	0.0	30.0	0.09090909090909083	0.6936602076370353	T.cells.CD4	other	0.804645840858961	False
quantiseq_style:T.cells.CD8	responder	5	0.0006192887217742	non-responder	11	8.66338326719254e-05	53.0	0.9272727272727272	0.004592752854289571	T.cells.CD8	inflamed	0.00896471949103528	True
quantiseq_style:Tregs	responder	5	0.0001787260301977	non-responder	11	0.000178010332423	30.0	0.09090909090909083	0.8269230769230771	Tregs	other	0.8881766381766384	False
quantiseq_style:Dendritic.cells	responder	5	0.0	non-responder	11	0.0	25.0	-0.09090909090909094	0.5896385516265671	Dendritic.cells	other	0.7276390637093807	False
quantiseq_style:Other	responder	5	0.9906164518484674	non-responder	11	0.9944402217726268	12.0	-0.5636363636363637	0.08974358974358976	Other	other	0.2263099219620959	False
mcp:T cells	responder	5	2.999088576034197	non-responder	11	2.208224548361419	49.0	0.7818181818181817	0.01327838827838828	T cells	inflamed	0.019601430315716033	True
mcp:CD8 T cells	responder	5	2.262595072750008	non-responder	11	0.7360346238400259	55.0	1.0	0.0004578754578754579	CD8 T cells	inflamed	0.0028388278388278387	True
mcp:Cytotoxic lymphocytes	responder	5	2.58937313684913	non-responder	11	1.4713080647593662	53.0	0.9272727272727272	0.0018315018315018315	Cytotoxic lymphocytes	inflamed	0.005161505161505161	True
mcp:B lineage	responder	5	2.8395684804232597	non-responder	11	1.5798382337548855	38.0	0.38181818181818183	0.26739926739926745	B lineage	inflamed	0.27631257631257633	False
mcp:NK cells	responder	5	0.9341054196855976	non-responder	11	0.7930866001208589	38.0	0.38181818181818183	0.26739926739926745	NK cells	inflamed	0.27631257631257633	False
mcp:Monocytic lineage	responder	5	5.385505652627174	non-responder	11	4.565168651341003	42.0	0.5272727272727273	0.11492673992673993	Monocytic lineage	other	0.2563750352211891	False
mcp:Myeloid dendritic cells	responder	5	1.7844740570668705	non-responder	11	1.694264976781901	39.0	0.4181818181818182	0.22115384615384617	Myeloid dendritic cells	other	0.3664835164835165	False
mcp:Neutrophils	responder	5	3.767684212355447	non-responder	11	3.1923950542289625	42.0	0.5272727272727273	0.11492673992673993	Neutrophils	other	0.2563750352211891	False
mcp:Endothelial cells	responder	5	3.748420688008434	non-responder	11	3.565680596186712	28.0	0.018181818181818077	1.0	Endothelial cells	exclusion	1.0	False
mcp:Fibroblasts	responder	5	7.929748305926689	non-responder	11	8.006744350651893	32.0	0.16363636363636358	0.6611721611721613	Fibroblasts	exclusion	0.864609749225134	False
