cohort	axis	a	b	n	spearman_r	p
GSE126044	CD8_cytotoxic	tide:CTL	ssgsea:CYT	16	0.9794117647058824	3.9820097897552534e-11
GSE126044	CD8_cytotoxic	tide:CTL	ssgsea:IFNG_Ayers6	16	0.6676470588235294	0.004711981947989977
GSE126044	CD8_cytotoxic	tide:CTL	quantiseq_style:T.cells.CD8	16	0.7991172141348908	0.00020427312802269703
GSE126044	CD8_cytotoxic	tide:CTL	tip:Step4_CD8_T_cell	16	0.7529411764705882	0.0007610810731946066
GSE126044	CD8_cytotoxic	tide:CTL	tip:Step7_killing_of_cancer_cells	16	0.8764705882352942	8.439118583861077e-06
GSE126044	CD8_cytotoxic	ssgsea:CD8_Teffector_Mariathasan	ssgsea:CYT	16	0.9205882352941176	4.3204104274523157e-07
GSE126044	CD8_cytotoxic	ssgsea:CD8_Teffector_Mariathasan	ssgsea:IFNG_Ayers6	16	0.8294117647058824	7.088454064639912e-05
GSE126044	CD8_cytotoxic	ssgsea:CD8_Teffector_Mariathasan	quantiseq_style:T.cells.CD8	16	0.6519501397085756	0.006206337707389487
GSE126044	CD8_cytotoxic	ssgsea:CD8_Teffector_Mariathasan	tip:Step4_CD8_T_cell	16	0.8323529411764706	6.328124573232546e-05
GSE126044	CD8_cytotoxic	ssgsea:CD8_Teffector_Mariathasan	tip:Step7_killing_of_cancer_cells	16	0.911764705882353	8.818985741384046e-07
GSE126044	CD8_cytotoxic	ssgsea:CYT	ssgsea:IFNG_Ayers6	16	0.7176470588235294	0.0017475350604702388
GSE126044	CD8_cytotoxic	ssgsea:CYT	quantiseq_style:T.cells.CD8	16	0.7740988114824171	0.0004323907220275007
GSE126044	CD8_cytotoxic	ssgsea:CYT	tip:Step4_CD8_T_cell	16	0.8117647058823528	0.00013432237477471035
GSE126044	CD8_cytotoxic	ssgsea:CYT	tip:Step7_killing_of_cancer_cells	16	0.8323529411764706	6.328124573232546e-05
GSE126044	CD8_cytotoxic	ssgsea:IFNG_Ayers6	quantiseq_style:T.cells.CD8	16	0.46357628444289245	0.07051632094003653
GSE126044	CD8_cytotoxic	ssgsea:IFNG_Ayers6	tip:Step4_CD8_T_cell	16	0.911764705882353	8.818985741384046e-07
GSE126044	CD8_cytotoxic	ssgsea:IFNG_Ayers6	tip:Step7_killing_of_cancer_cells	16	0.6647058823529411	0.0049673859374819995
GSE126044	CD8_cytotoxic	quantiseq_style:T.cells.CD8	tip:Step4_CD8_T_cell	16	0.5047830652822607	0.046131209817013547
GSE126044	CD8_cytotoxic	quantiseq_style:T.cells.CD8	tip:Step7_killing_of_cancer_cells	16	0.5430465046331027	0.02972044980058276
GSE126044	CD8_cytotoxic	tip:Step4_CD8_T_cell	tip:Step7_killing_of_cancer_cells	16	0.6794117647058824	0.003793432669159745
GSE126044	IFN_inflamed	ssgsea:IFNG_Ayers6	ssgsea:TcellInflamed_GEP18	16	0.8323529411764706	6.328124573232546e-05
GSE126044	IFN_inflamed	ssgsea:IFNG_Ayers6	ssgsea:ExpandedImmune_Ayers18	16	0.7852941176470588	0.00031285391788601164
GSE126044	IFN_inflamed	ssgsea:IFNG_Ayers6	ssgsea:HALLMARK_INTERFERON_GAMMA_RESPONSE	16	0.7000000000000001	0.002535094604431934
GSE126044	IFN_inflamed	ssgsea:IFNG_Ayers6	tide:IFNG	16	0.9411764705882352	5.588937633072706e-08
GSE126044	IFN_inflamed	ssgsea:IFNG_Ayers6	estimate:ImmuneScore	16	0.6852941176470588	0.0033915617452165985
GSE126044	IFN_inflamed	ssgsea:TcellInflamed_GEP18	ssgsea:ExpandedImmune_Ayers18	16	0.9323529411764706	1.451754439048121e-07
GSE126044	IFN_inflamed	ssgsea:TcellInflamed_GEP18	ssgsea:HALLMARK_INTERFERON_GAMMA_RESPONSE	16	0.911764705882353	8.818985741384046e-07
GSE126044	IFN_inflamed	ssgsea:TcellInflamed_GEP18	tide:IFNG	16	0.8382352941176471	5.010342100683488e-05
GSE126044	IFN_inflamed	ssgsea:TcellInflamed_GEP18	estimate:ImmuneScore	16	0.9264705882352942	2.561397065047752e-07
GSE126044	IFN_inflamed	ssgsea:ExpandedImmune_Ayers18	ssgsea:HALLMARK_INTERFERON_GAMMA_RESPONSE	16	0.9294117647058824	1.9401189481036708e-07
GSE126044	IFN_inflamed	ssgsea:ExpandedImmune_Ayers18	tide:IFNG	16	0.8058823529411765	0.00016384666473672616
GSE126044	IFN_inflamed	ssgsea:ExpandedImmune_Ayers18	estimate:ImmuneScore	16	0.9588235294117649	4.825540771378691e-09
GSE126044	IFN_inflamed	ssgsea:HALLMARK_INTERFERON_GAMMA_RESPONSE	tide:IFNG	16	0.711764705882353	0.0019840432477699634
GSE126044	IFN_inflamed	ssgsea:HALLMARK_INTERFERON_GAMMA_RESPONSE	estimate:ImmuneScore	16	0.9235294117647058	3.3439000100406933e-07
GSE126044	IFN_inflamed	tide:IFNG	estimate:ImmuneScore	16	0.7235294117647059	0.001534481189823956
GSE126044	exclusion_stroma	tide:Exclusion	tide:CAF	16	0.2058823529411765	0.4442846410521442
GSE126044	exclusion_stroma	tide:Exclusion	tide:MDSC	16	0.8823529411764707	6.095619569194933e-06
GSE126044	exclusion_stroma	tide:Exclusion	mcp:Fibroblasts	16	0.10882352941176471	0.6882882939574141
GSE126044	exclusion_stroma	tide:Exclusion	xcell:Fibroblasts	16	-0.10588235294117648	0.6963341050381158
GSE126044	exclusion_stroma	tide:Exclusion	estimate:StromalScore	16	-0.6352941176470589	0.008182064616334002
GSE126044	exclusion_stroma	tide:Exclusion	ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	16	-0.09117647058823529	0.7370049501736591
GSE126044	exclusion_stroma	tide:Exclusion	ssgsea:HALLMARK_TGF_BETA_SIGNALING	16	-0.19411764705882353	0.47128972836210753
GSE126044	exclusion_stroma	tide:CAF	tide:MDSC	16	-0.15882352941176472	0.5568612810855391
GSE126044	exclusion_stroma	tide:CAF	mcp:Fibroblasts	16	0.9029411764705882	1.6777243705941578e-06
GSE126044	exclusion_stroma	tide:CAF	xcell:Fibroblasts	16	0.5558823529411765	0.025362176320607912
GSE126044	exclusion_stroma	tide:CAF	estimate:StromalScore	16	0.5411764705882353	0.030400218888170166
GSE126044	exclusion_stroma	tide:CAF	ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	16	0.8205882352941177	9.841270416875375e-05
GSE126044	exclusion_stroma	tide:CAF	ssgsea:HALLMARK_TGF_BETA_SIGNALING	16	0.4823529411764706	0.05845897677471954
GSE126044	exclusion_stroma	tide:MDSC	mcp:Fibroblasts	16	-0.24705882352941175	0.35627504151257744
GSE126044	exclusion_stroma	tide:MDSC	xcell:Fibroblasts	16	-0.2764705882352941	0.29994212849237334
GSE126044	exclusion_stroma	tide:MDSC	estimate:StromalScore	16	-0.8529411764705882	2.679074057724726e-05
GSE126044	exclusion_stroma	tide:MDSC	ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	16	-0.42352941176470593	0.10210932208599749
GSE126044	exclusion_stroma	tide:MDSC	ssgsea:HALLMARK_TGF_BETA_SIGNALING	16	-0.2676470588235294	0.31625441854830927
GSE126044	exclusion_stroma	mcp:Fibroblasts	xcell:Fibroblasts	16	0.3911764705882353	0.13407128619725525
GSE126044	exclusion_stroma	mcp:Fibroblasts	estimate:StromalScore	16	0.5735294117647058	0.0201910380465231
GSE126044	exclusion_stroma	mcp:Fibroblasts	ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	16	0.8294117647058824	7.088454064639912e-05
GSE126044	exclusion_stroma	mcp:Fibroblasts	ssgsea:HALLMARK_TGF_BETA_SIGNALING	16	0.4441176470588235	0.08482274417741573
GSE126044	exclusion_stroma	xcell:Fibroblasts	estimate:StromalScore	16	0.3558823529411765	0.17610373809159305
GSE126044	exclusion_stroma	xcell:Fibroblasts	ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	16	0.3323529411764706	0.2084998279822082
GSE126044	exclusion_stroma	xcell:Fibroblasts	ssgsea:HALLMARK_TGF_BETA_SIGNALING	16	0.0058823529411764705	0.9827505044191351
GSE126044	exclusion_stroma	estimate:StromalScore	ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	16	0.7441176470588236	0.0009482827857378677
GSE126044	exclusion_stroma	estimate:StromalScore	ssgsea:HALLMARK_TGF_BETA_SIGNALING	16	0.5735294117647058	0.0201910380465231
GSE126044	exclusion_stroma	ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	ssgsea:HALLMARK_TGF_BETA_SIGNALING	16	0.6764705882352942	0.004008252390209358
GSE126044	TLS_Bcell	ssgsea:TLS_12chemokine_Coppola	ssgsea:TLS_Cabrita9	16	0.6764705882352942	0.004008252390209358
GSE126044	TLS_Bcell	ssgsea:TLS_12chemokine_Coppola	ssgsea:TLS_Cabrita9_noY	16	0.7617647058823529	0.0006053428380705889
GSE126044	TLS_Bcell	ssgsea:TLS_12chemokine_Coppola	ssgsea:Bcell_follicular	16	0.4705882352941176	0.06581947250108111
GSE126044	TLS_Bcell	ssgsea:TLS_12chemokine_Coppola	xcell:B-cells	16	0.5882352941176471	0.016539722195378175
GSE126044	TLS_Bcell	ssgsea:TLS_12chemokine_Coppola	mcp:B lineage	16	0.35000000000000003	0.18386882202619312
GSE126044	TLS_Bcell	ssgsea:TLS_Cabrita9	ssgsea:TLS_Cabrita9_noY	16	0.9058823529411765	1.3635133553269886e-06
GSE126044	TLS_Bcell	ssgsea:TLS_Cabrita9	ssgsea:Bcell_follicular	16	0.7852941176470588	0.00031285391788601164
GSE126044	TLS_Bcell	ssgsea:TLS_Cabrita9	xcell:B-cells	16	0.7970588235294117	0.0002180980699057476
GSE126044	TLS_Bcell	ssgsea:TLS_Cabrita9	mcp:B lineage	16	0.7235294117647059	0.001534481189823956
GSE126044	TLS_Bcell	ssgsea:TLS_Cabrita9_noY	ssgsea:Bcell_follicular	16	0.6852941176470588	0.0033915617452165985
GSE126044	TLS_Bcell	ssgsea:TLS_Cabrita9_noY	xcell:B-cells	16	0.7794117647058825	0.00037168023647875443
GSE126044	TLS_Bcell	ssgsea:TLS_Cabrita9_noY	mcp:B lineage	16	0.6176470588235293	0.010787984601948842
GSE126044	TLS_Bcell	ssgsea:Bcell_follicular	xcell:B-cells	16	0.8176470588235294	0.00010936308081986552
GSE126044	TLS_Bcell	ssgsea:Bcell_follicular	mcp:B lineage	16	0.8794117647058824	7.187273041770846e-06
GSE126044	TLS_Bcell	xcell:B-cells	mcp:B lineage	16	0.8676470588235294	1.334868129916697e-05
GSE135222	CD8_cytotoxic	mcp:CD8 T cells	xcell:CD8+ T-cells	27	0.6225003888737385	0.0005255375815852957
GSE135222	CD8_cytotoxic	mcp:CD8 T cells	tide:CD8	27	0.9232178400952353	7.025662593970702e-12
GSE135222	CD8_cytotoxic	mcp:CD8 T cells	tide:CTL	27	0.805678531749777	3.9687680482980683e-07
GSE135222	CD8_cytotoxic	mcp:CD8 T cells	ssgsea:CD8_Teffector_Mariathasan	27	0.7229430705507662	2.048022859899322e-05
GSE135222	CD8_cytotoxic	mcp:CD8 T cells	ssgsea:CYT	27	0.7745382474608505	2.120254149847366e-06
GSE135222	CD8_cytotoxic	mcp:CD8 T cells	ssgsea:IFNG_Ayers6	27	0.6243321703024988	0.0005003131329897192
GSE135222	CD8_cytotoxic	mcp:CD8 T cells	quantiseq_style:T.cells.CD8	27	0.7915019650620043	8.810932255402584e-07
GSE135222	CD8_cytotoxic	mcp:CD8 T cells	tip:Step4_CD8_T_cell	27	0.6737902688790292	0.00011679117544448143
GSE135222	CD8_cytotoxic	mcp:CD8 T cells	tip:Step7_killing_of_cancer_cells	27	0.5596092264862984	0.0024051428311807543
GSE135222	CD8_cytotoxic	xcell:CD8+ T-cells	tide:CD8	27	0.7344322344322345	1.2926544937145455e-05
GSE135222	CD8_cytotoxic	xcell:CD8+ T-cells	tide:CTL	27	0.768009768009768	2.9147651207592423e-06
GSE135222	CD8_cytotoxic	xcell:CD8+ T-cells	ssgsea:CD8_Teffector_Mariathasan	27	0.7301587301587301	1.5380842260575305e-05
GSE135222	CD8_cytotoxic	xcell:CD8+ T-cells	ssgsea:CYT	27	0.7344322344322345	1.2926544937145455e-05
GSE135222	CD8_cytotoxic	xcell:CD8+ T-cells	ssgsea:IFNG_Ayers6	27	0.48473748473748474	0.010391915487853624
GSE135222	CD8_cytotoxic	xcell:CD8+ T-cells	quantiseq_style:T.cells.CD8	27	0.755983912675209	5.104853805933994e-06
GSE135222	CD8_cytotoxic	xcell:CD8+ T-cells	tip:Step4_CD8_T_cell	27	0.4682539682539682	0.01376577127047259
GSE135222	CD8_cytotoxic	xcell:CD8+ T-cells	tip:Step7_killing_of_cancer_cells	27	0.641025641025641	0.0003149543642849765
GSE135222	CD8_cytotoxic	tide:CD8	tide:CTL	27	0.8821733821733821	1.1813671013280266e-09
GSE135222	CD8_cytotoxic	tide:CD8	ssgsea:CD8_Teffector_Mariathasan	27	0.8608058608058607	8.409769748188336e-09
GSE135222	CD8_cytotoxic	tide:CD8	ssgsea:CYT	27	0.8644688644688645	6.151996422460425e-09
GSE135222	CD8_cytotoxic	tide:CD8	ssgsea:IFNG_Ayers6	27	0.7649572649572649	3.370705561996014e-06
GSE135222	CD8_cytotoxic	tide:CD8	quantiseq_style:T.cells.CD8	27	0.8830347207418621	1.083060358101012e-09
GSE135222	CD8_cytotoxic	tide:CD8	tip:Step4_CD8_T_cell	27	0.7295482295482296	1.57634572771032e-05
GSE135222	CD8_cytotoxic	tide:CD8	tip:Step7_killing_of_cancer_cells	27	0.6721611721611721	0.0001230479287716123
GSE135222	CD8_cytotoxic	tide:CTL	ssgsea:CD8_Teffector_Mariathasan	27	0.9139194139194139	2.7858645194423065e-11
GSE135222	CD8_cytotoxic	tide:CTL	ssgsea:CYT	27	0.9645909645909645	5.532456527410171e-16
GSE135222	CD8_cytotoxic	tide:CTL	ssgsea:IFNG_Ayers6	27	0.7521367521367521	6.066754396277e-06
GSE135222	CD8_cytotoxic	tide:CTL	quantiseq_style:T.cells.CD8	27	0.8160328020599454	2.1255491399362808e-07
GSE135222	CD8_cytotoxic	tide:CTL	tip:Step4_CD8_T_cell	27	0.7368742368742369	1.1686983674455248e-05
GSE135222	CD8_cytotoxic	tide:CTL	tip:Step7_killing_of_cancer_cells	27	0.8766788766788767	2.0249088980612308e-09
GSE135222	CD8_cytotoxic	ssgsea:CD8_Teffector_Mariathasan	ssgsea:CYT	27	0.9126984126984127	3.2998020333846034e-11
GSE135222	CD8_cytotoxic	ssgsea:CD8_Teffector_Mariathasan	ssgsea:IFNG_Ayers6	27	0.8742368742368741	2.5520256182626856e-09
GSE135222	CD8_cytotoxic	ssgsea:CD8_Teffector_Mariathasan	quantiseq_style:T.cells.CD8	27	0.762936941972389	3.706672337067902e-06
GSE135222	CD8_cytotoxic	ssgsea:CD8_Teffector_Mariathasan	tip:Step4_CD8_T_cell	27	0.8308913308913308	8.081331353493467e-08
GSE135222	CD8_cytotoxic	ssgsea:CD8_Teffector_Mariathasan	tip:Step7_killing_of_cancer_cells	27	0.865079365079365	5.83454167661018e-09
GSE135222	CD8_cytotoxic	ssgsea:CYT	ssgsea:IFNG_Ayers6	27	0.7631257631257632	3.674046957893926e-06
GSE135222	CD8_cytotoxic	ssgsea:CYT	quantiseq_style:T.cells.CD8	27	0.7736825327043945	2.211877191936553e-06
GSE135222	CD8_cytotoxic	ssgsea:CYT	tip:Step4_CD8_T_cell	27	0.7619047619047619	3.889654983766605e-06
GSE135222	CD8_cytotoxic	ssgsea:CYT	tip:Step7_killing_of_cancer_cells	27	0.8504273504273504	1.947947456488936e-08
GSE135222	CD8_cytotoxic	ssgsea:IFNG_Ayers6	quantiseq_style:T.cells.CD8	27	0.6074419231445451	0.0007785840485425725
GSE135222	CD8_cytotoxic	ssgsea:IFNG_Ayers6	tip:Step4_CD8_T_cell	27	0.8925518925518925	3.9541822972592217e-10
GSE135222	CD8_cytotoxic	ssgsea:IFNG_Ayers6	tip:Step7_killing_of_cancer_cells	27	0.6672771672771672	0.00014361592456699175
GSE135222	CD8_cytotoxic	quantiseq_style:T.cells.CD8	tip:Step4_CD8_T_cell	27	0.5612990923541685	0.0023177712639755664
GSE135222	CD8_cytotoxic	quantiseq_style:T.cells.CD8	tip:Step7_killing_of_cancer_cells	27	0.6384145081956196	0.000339202299168718
GSE135222	CD8_cytotoxic	tip:Step4_CD8_T_cell	tip:Step7_killing_of_cancer_cells	27	0.5842490842490842	0.001374609876618133
GSE135222	IFN_inflamed	ssgsea:IFNG_Ayers6	ssgsea:TcellInflamed_GEP18	27	0.8663003663003663	5.243875486528801e-09
GSE135222	IFN_inflamed	ssgsea:IFNG_Ayers6	ssgsea:ExpandedImmune_Ayers18	27	0.7673992673992673	3.0012510381296465e-06
GSE135222	IFN_inflamed	ssgsea:IFNG_Ayers6	ssgsea:HALLMARK_INTERFERON_GAMMA_RESPONSE	27	0.8076923076923076	3.525204464551868e-07
GSE135222	IFN_inflamed	ssgsea:IFNG_Ayers6	tide:IFNG	27	0.6422466422466423	0.0003041472045829059
GSE135222	IFN_inflamed	ssgsea:IFNG_Ayers6	estimate:ImmuneScore	27	0.6221001221001221	0.00053119496119428
GSE135222	IFN_inflamed	ssgsea:TcellInflamed_GEP18	ssgsea:ExpandedImmune_Ayers18	27	0.9609279609279608	1.8565580023501605e-15
GSE135222	IFN_inflamed	ssgsea:TcellInflamed_GEP18	ssgsea:HALLMARK_INTERFERON_GAMMA_RESPONSE	27	0.8632478632478632	6.834456837327876e-09
GSE135222	IFN_inflamed	ssgsea:TcellInflamed_GEP18	tide:IFNG	27	0.6343101343101343	0.00038062875512990255
GSE135222	IFN_inflamed	ssgsea:TcellInflamed_GEP18	estimate:ImmuneScore	27	0.8211233211233211	1.5413773427562115e-07
GSE135222	IFN_inflamed	ssgsea:ExpandedImmune_Ayers18	ssgsea:HALLMARK_INTERFERON_GAMMA_RESPONSE	27	0.8437118437118436	3.246181075454535e-08
GSE135222	IFN_inflamed	ssgsea:ExpandedImmune_Ayers18	tide:IFNG	27	0.5347985347985348	0.004052519928953318
GSE135222	IFN_inflamed	ssgsea:ExpandedImmune_Ayers18	estimate:ImmuneScore	27	0.8931623931623932	3.694914272437681e-10
GSE135222	IFN_inflamed	ssgsea:HALLMARK_INTERFERON_GAMMA_RESPONSE	tide:IFNG	27	0.7106227106227105	3.2741619185489154e-05
GSE135222	IFN_inflamed	ssgsea:HALLMARK_INTERFERON_GAMMA_RESPONSE	estimate:ImmuneScore	27	0.8388278388278387	4.637638442024792e-08
GSE135222	IFN_inflamed	tide:IFNG	estimate:ImmuneScore	27	0.5659340659340658	0.0020919767487976044
GSE135222	exclusion_stroma	tide:Exclusion	tide:CAF	27	0.6068376068376069	0.0007906396829428781
GSE135222	exclusion_stroma	tide:Exclusion	tide:MDSC	27	0.7576312576312576	4.736573776741501e-06
GSE135222	exclusion_stroma	tide:Exclusion	mcp:Fibroblasts	27	0.6733821733821733	0.00011833153737582865
GSE135222	exclusion_stroma	tide:Exclusion	xcell:Fibroblasts	27	0.5537240537240538	0.002731845654016364
GSE135222	exclusion_stroma	tide:Exclusion	estimate:StromalScore	27	0.029914529914529916	0.8822496211455558
GSE135222	exclusion_stroma	tide:Exclusion	ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	27	0.5421245421245421	0.0034881536028684296
GSE135222	exclusion_stroma	tide:Exclusion	ssgsea:HALLMARK_TGF_BETA_SIGNALING	27	0.5946275946275946	0.0010715306842470273
GSE135222	exclusion_stroma	tide:CAF	tide:MDSC	27	0.2698412698412698	0.17345134446699473
GSE135222	exclusion_stroma	tide:CAF	mcp:Fibroblasts	27	0.738095238095238	1.1107973789216017e-05
GSE135222	exclusion_stroma	tide:CAF	xcell:Fibroblasts	27	0.44017094017094016	0.021579237528711062
GSE135222	exclusion_stroma	tide:CAF	estimate:StromalScore	27	0.3669108669108669	0.059758323568759264
GSE135222	exclusion_stroma	tide:CAF	ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	27	0.7374847374847374	1.1394192509755434e-05
GSE135222	exclusion_stroma	tide:CAF	ssgsea:HALLMARK_TGF_BETA_SIGNALING	27	0.6758241758241758	0.00010937521441739239
GSE135222	exclusion_stroma	tide:MDSC	mcp:Fibroblasts	27	0.29181929181929184	0.13968802514901776
GSE135222	exclusion_stroma	tide:MDSC	xcell:Fibroblasts	27	0.2771672771672771	0.16161718584924395
GSE135222	exclusion_stroma	tide:MDSC	estimate:StromalScore	27	-0.4188034188034188	0.029685493006801553
GSE135222	exclusion_stroma	tide:MDSC	ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	27	0.16361416361416362	0.41481347756533854
GSE135222	exclusion_stroma	tide:MDSC	ssgsea:HALLMARK_TGF_BETA_SIGNALING	27	0.30219780219780223	0.1255130544269988
GSE135222	exclusion_stroma	mcp:Fibroblasts	xcell:Fibroblasts	27	0.641025641025641	0.0003149543642849765
GSE135222	exclusion_stroma	mcp:Fibroblasts	estimate:StromalScore	27	0.5036630036630036	0.007398195160065774
GSE135222	exclusion_stroma	mcp:Fibroblasts	ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	27	0.9145299145299145	2.5573358102830775e-11
GSE135222	exclusion_stroma	mcp:Fibroblasts	ssgsea:HALLMARK_TGF_BETA_SIGNALING	27	0.8052503052503053	4.0693480905283456e-07
GSE135222	exclusion_stroma	xcell:Fibroblasts	estimate:StromalScore	27	0.44688644688644685	0.019442613480390305
GSE135222	exclusion_stroma	xcell:Fibroblasts	ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	27	0.5842490842490842	0.001374609876618133
GSE135222	exclusion_stroma	xcell:Fibroblasts	ssgsea:HALLMARK_TGF_BETA_SIGNALING	27	0.3339438339438339	0.088684041026132
GSE135222	exclusion_stroma	estimate:StromalScore	ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	27	0.6306471306471306	0.00042127521964595044
GSE135222	exclusion_stroma	estimate:StromalScore	ssgsea:HALLMARK_TGF_BETA_SIGNALING	27	0.3626373626373626	0.06302604476453273
GSE135222	exclusion_stroma	ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	ssgsea:HALLMARK_TGF_BETA_SIGNALING	27	0.8485958485958486	2.244488403110073e-08
GSE135222	TLS_Bcell	ssgsea:TLS_12chemokine_Coppola	ssgsea:TLS_Cabrita9	27	0.3339438339438339	0.088684041026132
GSE135222	TLS_Bcell	ssgsea:TLS_12chemokine_Coppola	ssgsea:TLS_Cabrita9_noY	27	0.434065934065934	0.02368442384938175
GSE135222	TLS_Bcell	ssgsea:TLS_12chemokine_Coppola	ssgsea:Bcell_follicular	27	0.7094017094017093	3.425576415476247e-05
GSE135222	TLS_Bcell	ssgsea:TLS_12chemokine_Coppola	xcell:B-cells	27	0.5317460317460317	0.0043096289274127475
GSE135222	TLS_Bcell	ssgsea:TLS_12chemokine_Coppola	mcp:B lineage	27	0.6007326007326006	0.000921832245679866
GSE135222	TLS_Bcell	ssgsea:TLS_Cabrita9	ssgsea:TLS_Cabrita9_noY	27	0.9133089133089132	3.0329046482424237e-11
GSE135222	TLS_Bcell	ssgsea:TLS_Cabrita9	ssgsea:Bcell_follicular	27	0.7332112332112332	1.3589298193821276e-05
GSE135222	TLS_Bcell	ssgsea:TLS_Cabrita9	xcell:B-cells	27	0.6501831501831502	0.00024149592523859447
GSE135222	TLS_Bcell	ssgsea:TLS_Cabrita9	mcp:B lineage	27	0.619047619047619	0.0005761166219163816
GSE135222	TLS_Bcell	ssgsea:TLS_Cabrita9_noY	ssgsea:Bcell_follicular	27	0.7905982905982906	9.251319318281472e-07
GSE135222	TLS_Bcell	ssgsea:TLS_Cabrita9_noY	xcell:B-cells	27	0.5811965811965812	0.001476779321734643
GSE135222	TLS_Bcell	ssgsea:TLS_Cabrita9_noY	mcp:B lineage	27	0.6660561660561661	0.00014920922584540604
GSE135222	TLS_Bcell	ssgsea:Bcell_follicular	xcell:B-cells	27	0.7985347985347986	5.978419615346283e-07
GSE135222	TLS_Bcell	ssgsea:Bcell_follicular	mcp:B lineage	27	0.9096459096459096	4.985602473130869e-11
GSE135222	TLS_Bcell	xcell:B-cells	mcp:B lineage	27	0.7686202686202686	2.8305234606154853e-06
