	TACSTD2	CLDN4	TACSTD2_CLDN4_mean
TCGA-44-5644-01	10.5455	12.2472	11.39635
TCGA-55-6978-01	12.0893	13.3122	12.70075
TCGA-NJ-A55R-01	10.9331	12.5318	11.73245
TCGA-91-6840-01	12.0501	13.0328	12.541450000000001
TCGA-55-8094-01	12.0425	13.6028	12.82265
TCGA-44-7661-01	11.5523	13.1095	12.3309
TCGA-NJ-A4YF-01	11.805	12.5822	12.1936
TCGA-67-6217-01	13.0594	13.1887	13.12405
TCGA-86-A4D0-01	11.0578	11.9008	11.4793
TCGA-50-5939-01	14.0456	11.7306	12.888100000000001
TCGA-05-4410-01	13.0412	13.7489	13.395050000000001
TCGA-55-7816-01	9.5296	10.4825	10.00605
TCGA-50-5051-01	12.6437	13.4833	13.063500000000001
TCGA-86-8279-01	13.589	14.4039	13.99645
TCGA-55-6970-01	11.9137	11.7718	11.84275
TCGA-49-4488-01	14.9461	14.2491	14.5976
TCGA-97-7552-01	12.8728	12.5684	12.720600000000001
TCGA-95-7947-01	13.6667	14.0832	13.87495
TCGA-05-4425-01	12.7918	12.2492	12.5205
TCGA-78-7633-01	12.0656	12.593	12.3293
TCGA-64-1678-01	11.4207	12.9673	12.193999999999999
TCGA-80-5608-01	12.804	13.6778	13.2409
TCGA-64-5775-01	9.3315	10.5857	9.9586
TCGA-55-8508-01	12.781	13.7315	13.256250000000001
TCGA-44-2656-01	13.4953	13.5818	13.53855
TCGA-55-7281-01	14.8254	14.6259	14.72565
TCGA-J2-8194-01	11.8649	12.2557	12.0603
TCGA-78-7150-01	12.5137	12.0061	12.2599
TCGA-44-A47G-01	13.1484	12.7558	12.952100000000002
TCGA-99-8025-01	12.6583	14.0076	13.33295
TCGA-50-6592-01	13.2669	13.6928	13.479849999999999
TCGA-05-4249-01	12.3143	13.9391	13.1267
TCGA-97-7553-01	12.6811	13.1758	12.928450000000002
TCGA-75-5125-01	11.9758	13.3007	12.63825
TCGA-67-3772-01	14.1049	13.9398	14.02235
TCGA-78-7147-01	14.1194	13.6936	13.906500000000001
TCGA-38-4628-01	13.3303	14.2623	13.796299999999999
TCGA-99-8032-01	11.0996	12.4488	11.7742
TCGA-78-8648-01	10.7487	11.7257	11.2372
TCGA-62-A46S-01	11.7863	12.7215	12.253900000000002
TCGA-NJ-A55O-01	12.3804	12.9395	12.65995
TCGA-44-6779-01	13.8397	12.3705	13.1051
TCGA-97-7938-01	13.0081	13.319	13.16355
TCGA-MP-A4SW-01	13.1321	13.5644	13.34825
TCGA-49-AARN-01	12.8839	13.4552	13.169550000000001
TCGA-55-8097-01	12.7093	13.5792	13.14425
TCGA-93-A4JQ-01	13.455	13.6969	13.575949999999999
TCGA-55-8299-01	11.6779	11.3939	11.5359
TCGA-4B-A93V-01	10.5247	12.8136	11.669149999999998
TCGA-75-6207-01	13.5965	14.5601	14.0783
TCGA-05-4417-01	11.3582	12.169	11.7636
TCGA-78-7143-01	13.7315	14.0954	13.913450000000001
TCGA-44-3396-01	12.9135	14.0732	13.49335
TCGA-53-7624-01	12.8674	12.3371	12.60225
TCGA-75-5147-01	12.9557	13.4697	13.2127
TCGA-55-1596-01	14.2265	13.5284	13.87745
TCGA-44-5645-01	13.5647	12.9091	13.2369
TCGA-05-4244-01	12.9704	13.9765	13.47345
TCGA-55-6971-01	11.0112	12.1784	11.5948
TCGA-73-7498-01	12.2025	13.2693	12.7359
TCGA-49-AARO-01	14.1131	13.9747	14.0439
TCGA-05-4396-01	12.5302	12.9442	12.737200000000001
TCGA-69-8254-01	12.172	13.6928	12.932400000000001
TCGA-J2-A4AG-01	12.5697	14.3633	13.4665
TCGA-78-7146-01	12.2421	13.3372	12.78965
TCGA-73-4677-01	12.3872	12.4689	12.428049999999999
TCGA-97-7554-01	11.5565	14.0828	12.81965
TCGA-L9-A443-01	11.6673	13.0695	12.3684
TCGA-55-6987-01	12.0301	12.335	12.182549999999999
TCGA-78-7220-01	11.1167	12.2959	11.706299999999999
TCGA-64-1677-01	11.7776	13.1946	12.4861
TCGA-73-4666-01	12.3287	14.6697	13.4992
TCGA-49-4486-01	12.8275	13.6094	13.21845
TCGA-MN-A4N5-01	14.4471	13.8016	14.12435
TCGA-78-7152-01	11.3077	13.2431	12.275400000000001
TCGA-83-5908-01	12.2372	13.1045	12.67085
TCGA-50-6593-01	13.0819	13.1307	13.1063
TCGA-MP-A4TC-01	13.6289	13.5378	13.58335
TCGA-78-7542-01	13.7613	12.8545	13.3079
TCGA-55-8615-01	11.5145	12.1794	11.84695
TCGA-55-A493-01	11.9355	14.1584	13.046949999999999
TCGA-71-6725-01	13.325	14.4992	13.912099999999999
TCGA-73-4668-01	13.6097	14.1461	13.8779
TCGA-78-7158-01	12.2912	13.264	12.7776
TCGA-44-7659-01	12.0081	13.439	12.72355
TCGA-05-5425-01	11.8696	13.4637	12.66665
TCGA-64-1679-01	13.9183	13.4903	13.7043
TCGA-55-8506-01	7.32	13.2701	10.29505
