ModelID	CellLineName	sample	group	OncotreePrimaryDisease	OncotreeSubtype	CLDN4	ATMPS1981	RAD17PS645	CGAS	IRF3	HLADQA1	CHK1PS345	CHK2PT68	HLADRDPDQDX	PDL1	IRF1	ATM	X53BP1	RAD51	RAD50	HISTONEH3PS10	CLAUDIN7
ACH-000667	HCC-44	HCC44_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	5.751410160064371	0.0578	0.0101	3.7803100990433753	5.556429415449573	-3.66	0.325	0.368	0.177	3.29	4.43895814789755	3.848998430400023	0.784	2.2141248053528475	3.5147534984397533	-0.346	0.434
ACH-000562	HCC-78	HCC78_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	8.728600810643192	-0.732	0.637	3.496973580998276	6.55964476258667	-3.66	0.103	0.102	-0.106	2.72	5.81992359556066	3.4776773275653072	0.699	4.471837762422287	4.85598969730848	-0.409	2.03
ACH-000012	HCC-827	HCC827_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	8.083532513265412	-0.147	0.0843	2.669026765509631	6.493134922305505	-3.56	-0.0927	0.106	-0.44	1.28	5.402585758232587	3.726831217032493	0.557	4.118525848935668	3.266036893995317	-0.834	4.8
ACH-000150	HCC2935	HCC2935_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	9.901002620158811	0.0639	0.742	2.0250287944915226	6.035843815994525	-3.62	-0.132	0.0871	-0.334	0.783	6.546740152700914	3.871843648509318	-0.063	4.556429415449573	4.362469888750209	-0.582	3.76
ACH-000066	HCC4006	HCC4006_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	7.705701496845794	-0.109	-0.0443	2.4276061727818994	6.09887428674445	-3.16	-0.139	0.218	0.752	1.9	5.621465834460144	3.8268026842858265	-0.183	4.84197311892718	4.866907978143166	-0.799	4.25
ACH-000861	HOP-62	HOP62_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	4.627606838129649	-0.245	-0.348	3.828834649468056	5.72328550477764	-3.56	-0.027	-0.0834	-0.301	0.736	5.257764968571387	3.75595576955096	0.426	4.267535798068735	4.41886457739032	-0.0578	-0.426
ACH-000787	LXF-289	LXF289_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	5.530757457461217	0.325	0.354	3.773996325111173	5.904002316283692	-3.37	0.323	-0.195	-0.356	0.639	6.157650096861711	5.185470146066942	0.304	2.8318772411916733	4.83541884047548	-0.425	-0.557
ACH-000851	MOR/CPR	MORCPR_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	7.696202521253611	-0.654	0.992	2.5777309314900805	5.58766502110098	-3.69	1.09	0.433	0.328	-0.0839	3.975446765640962	3.414135532984451	-1.34	4.104336659814735	4.060047383669939	-0.473	3.49
ACH-000666	NCI-H1355	NCIH1355_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	1.263034405833794	-0.0921	-0.378	3.6217588567097327	6.715893370547605	-3.56	-0.119	0.0505	-0.369	0.52	4.959770155211468	4.564378168565064	-0.5	4.803227036434928	4.1034976397033365	-0.595	-0.381
ACH-000845	NCI-H1373	NCIH1373_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	7.982594354827899	-0.0961	-0.0277	3.768713657030485	6.191799501065075	-2.96	-0.0994	-0.21	0.495	1.3	4.653633311386255	4.725741156503952	0.71	4.2645364309990255	2.996388746447621	-0.253	1.53
ACH-000327	NCI-H1395	NCIH1395_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	3.016139702655253	-0.442	-0.684	1.2387868595871168	5.728192635498048	-3.62	-0.0209	-0.24	0.396	1.28	3.690417095532466	2.726831217032493	-1.25	3.550900664647523	3.919340082442013	-0.618	4.68
ACH-000852	NCI-H1435	NCIH1435_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	9.144556281982275	-0.154	0.0838	0.0426443374084937	6.395234212223879	-3.54	0.185	0.219	-0.41	-0.148	4.37920505996061	3.661065479806948	-0.369	5.185073637876762	4.277240898332067	-0.213	2.65
ACH-000589	NCI-H1437	NCIH1437_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	7.278356528010724	-0.277	0.359	1.5753123306874368	5.846744023244868	-3.62	-0.196	-0.183	0.104	-0.196	3.782408564927373	4.713695814843359	0.0912	4.974529312483882	3.8268026842858265	-0.777	3.51
ACH-000892	NCI-H1563	NCIH1563_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	0.8399595874895318	0.697	-0.535	0.8559896973084807	5.869131119644294	-3.65	-0.34	-0.258	-0.533	0.182	4.200849574637213	4.033863451866284	0.182	3.656496370553495	4.192983169973992	-0.0964	0.167
ACH-000869	NCI-H1568	NCIH1568_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	8.339627347580395	0.221	0.702	2.060047383669939	6.493775408460703	-3.69	0.292	-0.0557	0.021	-0.0773	5.263410058756341	4.498889086976805	0.209	5.081936081719432	4.821710215034674	-0.24	2.77
ACH-000916	NCI-H1573	NCIH1573_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	8.778898476008376	-0.0775	-0.681	1.7048719644563528	5.985500430304885	-3.66	-0.801	0.0926	-0.19	0.574	5.640389560054945	4.196134880765161	-0.134	3.873813198359087	4.668459556915382	-0.751	2.46
ACH-000744	NCI-H1623	NCIH1623_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	8.588864518190148	0.16	0.619	2.5993177936982264	7.046141781644721	-3.63	0.146	0.0986	-0.512	0.0949	3.795974694206668	4.161081482277184	0.114	4.695437110405369	4.150559676575382	-0.746	2.69
ACH-000766	NCI-H1648	NCIH1648_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	8.380677507222886	0.163	-0.215	3.71699089440494	6.651338766105931	-3.13	0.0118	0.0589	0.332	-0.182	6.963358518779032	3.9476661567960094	-0.0607	5.188638294561388	3.488000770834068	0.279	1.8
ACH-000448	NCI-H1666	NCIH1666_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	6.976478203534362	0.417	-1.06	2.472487771462744	6.067595696940041	-3.55	-0.0781	0.159	-0.0418	0.384	5.0522419811811385	3.298658315564515	0.535	3.673556423990145	4.614709844115208	-0.889	2.1
ACH-000021	NCI-H1693	NCIH1693_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	6.397118409042582	1.14	-0.431	3.740927560318628	6.013015535839256	-3.58	-0.329	0.111	-0.224	0.673	4.708187236020708	5.229587922740652	0.295	3.9476661567960094	4.863938450423972	-0.251	2.37
ACH-000675	NCI-H1734	NCIH1734_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	7.9066501263953795	-0.0362	0.431	0.2016338611696504	7.388189537156084	-3.57	-0.112	-0.0177	-0.547	0.55	5.006746832440585	4.642701571833233	-0.646	4.580748491763774	4.494415610397496	-0.667	1.09
ACH-000282	NCI-H1755	NCIH1755_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	7.779325391448742	0.144	1.3	3.364572432295856	6.914444931746792	-3.55	-0.00249	0.275	-0.358	-0.00425	5.331633567171029	4.476381687567235	0.784	4.23342794374847	5.346956889378885	-0.11	0.0589
ACH-000379	NCI-H1781	NCIH1781_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	9.610046680169242	-0.225	0.0719	4.377817853083645	5.431288654291593	-3.44	0.406	-0.0796	0.297	-0.221	5.323370069061268	3.833902076669163	-0.477	4.531693360861466	4.038260575175349	-0.293	2.89
ACH-000496	NCI-H1792	NCIH1792_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	7.153298682854903	0.0914	0.133	4.00539998774259	5.490570130446201	-3.68	0.178	-0.0313	0.109	0.345	5.098032082960526	4.7349805234358895	0.436	4.159467729266766	3.673556423990145	-0.439	-0.303
ACH-000888	NCI-H1793	NCIH1793_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	7.454587186925478	-0.44	0.338	2.8619553641448694	6.001577085389535	-3.58	0.177	-0.148	0.063	-0.12	3.852997587613317	4.279471295644468	-0.251	3.651912744645783	5.076815597050831	-0.051	0.0183
ACH-000733	NCI-H1838	NCIH1838_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	8.839707698350368	0.462	0.434	4.180307019969433	5.678916986679839	-3.54	0.596	0.212	0.149	1.58	5.0895828931247085	5.283551423174307	-0.139	4.872828759534886	4.553974808237472	0.35	1.75
ACH-000414	NCI-H1944	NCIH1944_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	5.127633279725874	-0.0384	-0.991	3.2735158897021166	6.457298788825798	-3.53	0.00989	-0.0264	-0.427	0.324	4.178714641175443	4.220329954879555	-1.16	4.082361969557474	4.257010618206024	-0.837	0.343
ACH-000587	NCI-H1975	NCIH1975_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	7.45022149589718	0.266	0.15	3.017921907997262	5.910732661902912	-3.55	-0.425	-0.235	-0.608	0.337	5.271649772457207	4.341274183692175	-0.305	4.016139702655253	4.220329954879555	-0.733	0.287
ACH-000886	NCI-H2009	NCIH2009_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	7.349612971824522	-0.375	-0.251	4.009884588931844	6.349966746971192	-3.82	-0.00273	0.151	-0.445	0.566	5.135863165368679	3.77082904603249	0.246	3.889473542531109	3.682573297347578	-0.372	2.97
ACH-000781	NCI-H2023	NCIH2023_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	1.599317793698226	-0.131	-1.03	2.8639384504239715	6.423241995973661	-3.42	-0.264	-0.146	-0.0976	0.37	4.714245517666122	3.8063240573900288	-0.368	4.174725987706133	4.547819956577703	-0.888	-0.0348
ACH-000521	NCI-H2030	NCIH2030_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	1.070389327891398	0.808	-0.0403	3.37851162325373	6.57198012018773	-3.68	0.525	0.883	-0.0148	0.286	4.566206293465506	5.049630767724601	1.24	5.259272487037594	4.552745936748446	-0.0649	-0.112
ACH-000590	NCI-H2073	NCIH2073_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	6.471187460386985	-0.237	-0.691	3.049630767724601	5.360013042204331	-3.55	-0.123	-0.0455	-0.122	0.0268	3.512226886513957	3.4208865749755315	-0.297	3.215678596607928	4.150559676575382	-0.6	3.18
ACH-000451	NCI-H2085	NCIH2085_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	8.717950543348598	0.366	0.247	0.1110313123887439	6.307246355226617	-3.63	-0.0772	0.00225	0.136	0.709	5.547203024756931	3.877744249949002	0.526	4.759688488427289	4.604071323668861	-0.333	0.735
ACH-000841	NCI-H2087	NCIH2087_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	8.3387809438947	-0.426	0.718	3.565597175854225	5.677226328235317	-3.57	-0.219	-0.0555	-0.289	1.48	4.863442934348041	4.565597175854225	-0.37	4.388189537156084	4.955591791753994	-0.348	1.79
ACH-000311	NCI-H2122	NCIH2122_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	8.631649992945023	-0.808	-0.568	0.0285691521967709	5.8376910004285625	-3.91	-0.768	-0.484	0.365	0.593	3.995484518877507	3.2479275134435857	-2.46	3.853995647176393	4.556429415449573	-0.631	5.15
ACH-000785	NCI-H2126	NCIH2126_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	7.608365723163637	-0.216	-0.659	1.9373443921502325	7.24412594328373	-3.53	0.043	0.206	0.0758	0.621	6.21003812347289	5.713145902490259	-0.427	3.782408564927373	4.455491620628468	-0.128	3.42
ACH-000447	NCI-H2228	NCIH2228_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	6.435461914479276	0.448	-0.344	3.0669502439246266	5.614415386508126	-2.68	0.127	-0.15	0.391	0.538	6.142004915984876	4.632268215499513	-0.129	3.19377174339668	5.701549056943071	-0.208	-0.113
ACH-000718	NCI-H2291	NCIH2291_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	9.779932707234156	-0.0349	0.613	3.636914580355878	6.44857062600553	-3.63	0.0545	0.00378	-0.438	1.6	4.555202633878297	3.127633279725874	-0.543	4.371558862611963	4.008092420948722	-0.982	2.08
ACH-000900	NCI-H23	NCIH23_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	1.292781749227846	-0.0138	0.97	4.865423978313134	5.721919445551544	-3.52	-0.03	0.468	-0.324	-0.0666	4.587364990936461	3.759155833800272	0.844	4.354028938054387	4.465974464504069	-0.272	-0.441
ACH-000951	NCI-H2342	NCIH2342_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	8.997687581487513	-0.0038	-0.864	1.6780719051126378	6.314515271175127	-3.51	-0.0967	0.255	-0.148	0.596	3.742006210866737	2.908812907739548	-0.075	4.2502036564992975	2.666756591884804	-0.274	2.88
ACH-000875	NCI-H2347	NCIH2347_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	8.640027973286244	-0.465	0.657	4.269033146455237	5.884597920990064	-3.74	-0.0181	-0.26	0.0294	2.53	4.695437110405369	2.9891390073682333	-1.09	3.78345665436024	4.583759753639499	-0.326	1.79
ACH-000121	NCI-H2405	NCIH2405_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	7.188737187185129	0.182	0.13	3.12267271882414	6.1661128574014255	-3.45	0.0852	-0.203	-0.0456	-0.26	5.464994927265429	4.689858236319245	0.497	4.234194722953812	4.615298579092115	0.0784	-0.1
ACH-000837	NCI-H322	NCIH322_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	7.851686585733419	0.126	-0.627	4.048759311919856	5.907852071845964	-3.57	-0.0787	0.0347	0.267	0.306	4.639232163249277	3.9240998856407416	0.603	5.1039172107520665	4.399171093819823	-0.677	3.97
ACH-000109	NCI-H3255	NCIH3255_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	10.91513244895065	-0.147	0.681	1.9068905956085185	6.527789751572327	-3.58	0.147	-0.0399	0.148	-0.00119	5.138323004056484	2.978195629681652	0.273	4.614709844115208	4.018812185742817	-0.763	2.08
ACH-000860	NCI-H358	NCIH358_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	7.9341036373619165	0.131	0.124	3.742006210866737	6.2511509905939375	-3.57	0.183	-0.185	-0.309	1.15	5.277240898332067	4.645009884391095	1.08	5.03738222200308	4.2509615735332185	-0.00422	2.17
ACH-000638	NCI-H441	NCIH441_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	8.106484424292539	-0.157	0.491	3.382667252745041	6.070389327891398	-3.66	-0.225	0.172	0.0202	2.3	3.602884408718418	4.678071905112637	-0.165	4.618238655595454	3.452858964713811	-0.139	1.9
ACH-000343	NCI-H522	NCIH522_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	1.6461626571578936	2.13	-0.217	3.699329525673156	6.131548329729257	-3.51	0.048	1.07	0.0496	-0.409	3.3175935046234715	5.559491813205038	0.534	3.736604875314249	4.377817853083645	-0.734	-0.0579
ACH-000945	NCI-H650	NCIH650_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	1.15704371014558	-0.541	-1.62	3.500802053057157	6.761950079161545	-3.49	0.137	0.667	0.523	3.32	4.372255648445787	6.2471680003747725	0.382	3.1747259877061333	3.602884408718418	-0.873	-0.611
ACH-000030	PC-14	PC14_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	9.117279460053922	-0.495	-0.155	3.9240998856407416	6.615887073916057	-3.67	0.135	-0.234	-0.0391	0.214	4.152994605492435	2.9726926540042644	0.178	3.871843648509318	4.350497247084133	0.981	3.36
ACH-000791	RERF-LC-Ad1	RERFLCAD1_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	9.783653086390071	0.387	0.981	3.7980505147675134	6.584511588062105	-3.27	0.139	-0.0843	0.476	1.48	5.992768430768924	4.523561956057013	0.244	5.1622906135458	5.174725987706133	-0.174	2.14
ACH-000774	RERF-LC-Ad2	RERFLCAD2_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	8.132319783167718	0.0398	0.204	3.38404980679516	6.230933093039401	-3.4	-0.355	0.21	-0.141	1.35	5.718909554379232	4.1001366712854495	0.325	4.947198584262056	4.709290635723358	-0.638	2.84
ACH-000482	RERF-LC-KJ	RERFLCKJ_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	7.835734632321086	0.119	-0.697	2.575312330687437	6.1580542131223055	-3.66	0.0201	0.125	0.324	3.47	3.5459683691052923	4.901108243014512	-0.268	4.175524601089875	4.153805336079035	-1.07	4.35
ACH-000062	RERF-LC-MS	RERFLCMS_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	5.811471030529836	-0.223	0.156	3.016139702655253	6.150153455246247	-3.66	-0.262	0.0603	-0.172	-0.0192	5.336283387864432	4.223422549934937	0.69	3.5147534984397533	4.871350840634026	-0.159	-0.133
ACH-000677	SW 1573	SW1573_LUNG	LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	3.056583528366368	0.582	-0.962	4.37851162325373	5.048759311919856	-3.55	-0.312	-0.437	0.00919	-0.00392	5.746581499785813	4.968090752045256	-0.604	4.460742563789644	5.286881147788161	-0.542	-0.257
ACH-000511	Calu-1	CALU1_LUNG	LUSC	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	6.3466023752989855	-0.172	-0.398	2.82781902461732	5.432625411432297	-3.43	0.194	0.42	0.0457	1.78	4.480265122054463	4.729552770453971	-2.76	4.71259578044703	4.8283269264148165	-0.926	0.543
ACH-000563	EBC-1	EBC1_LUNG	LUSC	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	8.451087446957397	-0.0422	-0.253	4.166715444966423	6.821199978056451	-3.68	-0.114	0.259	-0.338	0.527	5.315783574589461	3.625270489374693	-0.366	4.687060688339892	5.615887073916057	-0.357	1.67
ACH-000585	EPLC-272H	EPLC272H_LUNG	LUSC	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	7.23035674505615	0.028	-0.0262	5.588564737401351	5.319762427669248	-3.41	-0.0923	0.218	-0.471	2.01	5.20163386116965	3.2809563138310565	0.327	5.619119511453218	2.104336659814736	-0.076	2.27
ACH-000843	HARA	HARA_LUNG	LUSC	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	3.2078928516413328	0.189	0.0267	3.921245888585589	5.966015097404102	-3.57	0.0248	0.48	-0.219	-0.226	2.5459683691052923	4.809928865721431	0.381	5.299024807384316	4.876762490781555	-0.483	0.873
ACH-000878	HCC-15	HCC15_LUNG	LUSC	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	7.320755428706466	0.516	0.45	4.448900951145128	6.282254452010578	-3.66	0.171	-0.0796	0.17	0.52	5.176322772640463	5.195741293246449	-0.169	5.208283138412519	4.621172752683435	-0.267	0.0502
ACH-000454	HCC-95	HCC95_LUNG	LUSC	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	7.283273598920621	0.427	0.278	0.0565835283663675	5.656210320182598	-3.68	0.236	-0.211	-0.145	-0.253	4.396433531250992	3.5993177936982264	0.242	5.279842693520347	3.685940148445977	0.19	2.27
ACH-000858	KNS-62	KNS62_LUNG	LUSC	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	7.26463025566923	-0.373	-0.121	3.6814492653149578	4.496334513417112	-3.64	-0.342	-0.327	0.218	-0.457	3.05484847699562	3.41006969175638	1.12	3.62760683812965	3.411426245726465	-0.381	2.49
ACH-000705	LC-1F	LC1F_LUNG	LUSC	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	8.272769732436512	-0.753	-0.0225	0.0565835283663675	6.40667271575583	-3.58	0.271	0.538	0.223	-0.317	2.6322682154995127	3.507160349117523	0.553	4.434961760187254	3.8923910259134034	-0.305	-0.059
ACH-000769	LK-2	LK2_LUNG	LUSC	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	2.541019153133559	0.249	0.419	0.1890338243900171	5.560409266362118	-3.61	0.0642	0.106	-0.918	0.889	2.2016338611696504	3.9523335663696857	0.398	5.119771161952904	2.4436066514756147	-1.09	2.76
ACH-000176	LOU-NH91	LOUNH91_LUNG	LUSC	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	7.581953750848818	-0.0342	-0.0121	3.642701571833233	6.150153455246247	-3.52	-0.137	-0.399	-0.0707	0.572	6.149950301681046	4.1626934322112366	-0.0108	4.00539998774259	5.497931651896279	0.0886	-0.562
ACH-000390	LUDLU-1	LUDLU1_LUNG	LUSC	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	8.913009056991898	-0.428	0.336	1.903038270112912	6.2918613695852175	-3.55	0.129	0.157	-0.0994	-0.137	4.396433531250992	3.8982083525087177	0.727	4.918386234446348	4.672990993827748	-0.026	1.28
ACH-000737	NCI-H1385	NCIH1385_LUNG	LUSC	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	7.925584109389362	0.672	0.519	0.2387868595871165	5.411426245726465	-3.42	-0.681	-0.0336	-0.724	2.4	4.614120868789254	3.38404980679516	1.7	3.845991770664573	3.1473066987802936	-0.955	4.27
ACH-000747	NCI-H1703	NCIH1703_LUNG	LUSC	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	0.8718436485093178	-0.259	0.512	4.6904170955324656	6.344473459456363	-3.66	0.403	0.913	0.0934	-0.411	5.548744859937229	4.48155728070859	0.69	5.158256228811341	5.131342539123261	0.326	-0.294
ACH-000894	NCI-H1869	NCIH1869_LUNG	LUSC	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	8.397845735630698	-0.265	0.919	2.992768430768924	5.471187460386985	-3.53	-0.131	0.00618	-0.364	1.7	4.993221467368938	2.513490745588118	-1.15	4.352617298958503	2.7398481026993275	-0.495	2.26
ACH-000481	NCI-H2170	NCIH2170_LUNG	LUSC	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	8.974787405160122	-0.0141	-0.435	2.794935662803536	6.340562269026414	-3.45	-0.234	0.701	0.0374	-0.291	3.977279923499916	4.127633279725874	-0.59	4.030336078370959	4.528571318870758	-0.767	2.54
ACH-000395	NCI-H520	NCIH520_LUNG	LUSC	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	3.063502942306158	0.0468	0.104	0.2986583155645151	5.249445341085838	-3.54	0.406	0.107	-0.194	0.0571	6.048759311919856	5.179112900678563	0.0662	5.195741293246449	4.963936452144486	-0.041	2.59
ACH-000261	RERF-LC-AI	RERFLCAI_LUNG	LUSC	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	3.125981653854716	0.689	-0.211	3.643856189774725	5.862699340976598	-3.49	-0.312	-0.0766	-0.463	1.36	4.110196177754199	4.672990993827748	-0.306	4.90977310414164	3.835924074254375	-0.966	-0.622
ACH-000665	SK-MES-1	SKMES1_LUNG	LUSC	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	7.105908508571158	0.124	0.503	3.547203024756932	6.83035674741922	-4.24	0.703	-0.131	-0.382	1.11	5.612942196304665	4.915998851738901	-0.433	4.169925001442312	5.160678213220501	0.378	-0.332
ACH-000669	SW 900	SW900_LUNG	LUSC	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	8.359793477311143	0.441	0.5	3.694880192799191	6.833775607675798	-3.57	0.0216	0.787	-0.0403	1.43	5.331275267146615	4.458119481174506	0.0422	3.685940148445977	3.9001422603598166	0.37	0.827
