ligand	pearson_NMPR	pearson_MPR
LGALS3	0.2225803683172348	0.2225803683172348
NECTIN4	0.22158397596290053	0.22158397596290053
CD55	0.2197532092195249	0.2197532092195249
HLA-DOB	0.218639098283648	0.218639098283648
NECTIN2	0.21655727647626238	0.21655727647626238
F11R	0.21474975700554724	0.21474975700554724
CDH1	0.21350352367174535	0.21350352367174535
GRN	0.2126966882564261	0.2126966882564261
TGOLN2	0.21027750010577065	0.21027750010577065
ST14	0.20830086114006957	0.20830086114006957
TGFB1	0.20640146811755222	0.20640146811755222
LAMC2	0.20478667712762888	0.20478667712762888
LAMA5	0.20474295451988708	0.20474295451988708
TIMP2	0.20457928822485086	0.20457928822485086
AGRN	0.20402998503147152	0.20402998503147152
HLA-A	0.20235430307730104	0.20235430307730104
ADAM10	0.19797224418174117	0.19797224418174117
HLA-DQA1	0.19732209833616646	0.19732209833616646
ALCAM	0.19470837291648957	0.19470837291648957
MPZL3	0.19354863153310292	0.19354863153310292
ICAM1	0.19164096077570875	0.19164096077570875
CD82	0.18954614340928863	0.18954614340928863
LYZ	0.18519018939992338	0.18519018939992338
ADAM15	0.1841360097430178	0.1841360097430178
FBLN1	0.1791329523236356	0.1791329523236356
MMP14	0.17845623501033306	0.17845623501033306
WNT7B	0.17733781250722241	0.17733781250722241
TYROBP	0.1764247215225597	0.1764247215225597
ANGPTL4	0.17580132392630027	0.17580132392630027
CFH	0.1752791729218785	0.1752791729218785
MMP7	0.16896299103186316	0.16896299103186316
HLA-DMA	0.16877679445832153	0.16877679445832153
HLA-E	0.16736157573969881	0.16736157573969881
COL1A1	0.16557531349162763	0.16557531349162763
NUCB2	0.1650509738782235	0.1650509738782235
CCL4	0.16350936923678566	0.16350936923678566
LAMC1	0.16199998543343588	0.16199998543343588
SLPI	0.159673268560727	0.159673268560727
JAG2	0.15921595275651787	0.15921595275651787
LGALS3BP	0.15550454771612393	0.15550454771612393
CCL18	0.15488632449183223	0.15488632449183223
COL4A5	0.1510870492269065	0.1510870492269065
COPA	0.14977778848366477	0.14977778848366477
NPNT	0.14522995618117043	0.14522995618117043
S100A9	0.14197501333090295	0.14197501333090295
SECTM1	0.14013901214257973	0.14013901214257973
FAM3C	0.1399657406715001	0.1399657406715001
CTF1	0.13322421225168368	0.13322421225168368
S100A8	0.1326974887693651	0.1326974887693651
TGFBI	0.13225486012954904	0.13225486012954904
LGALS9	0.1308935781882497	0.1308935781882497
CD59	0.12789918651558713	0.12789918651558713
HBEGF	0.11686359891898045	0.11686359891898045
FURIN	0.11237145771465591	0.11237145771465591
TNC	0.10950355320804407	0.10950355320804407
TIMP1	0.10562416527298817	0.10562416527298817
PSEN1	0.10391531737394723	0.10391531737394723
B2M	0.10346174788457659	0.10346174788457659
HLA-DQB1	0.10171519765220442	0.10171519765220442
THBS1	0.08961574670006513	0.08961574670006513
NAMPT	0.08696245497577201	0.08696245497577201
APP	0.08528511663449911	0.08528511663449911
PRNP	0.07825225453736673	0.07825225453736673
CD47	0.07796657404781958	0.07796657404781958
TNFSF9	0.07505802900178325	0.07505802900178325
BACE1	0.07277985647076618	0.07277985647076618
PDGFA	0.07219179611240638	0.07219179611240638
CCL20	0.06879557310980969	0.06879557310980969
CXCL16	0.05609493445688925	0.05609493445688925
JAG1	0.04365566305129994	0.04365566305129994
LTF	0.041301643308403	0.041301643308403
CCL5	0.04127155905369544	0.04127155905369544
CD99	0.033450202696783664	0.033450202696783664
PLAU	0.0271869824162757	0.0271869824162757
CALR	0.007524968027654162	0.007524968027654162
CD9	0.005806309425700653	0.005806309425700653
ADAM17	-0.007608826864514871	-0.007608826864514871
