accession	model	genotype	contrast	gene	n_naive	n_icb	mean_naive	mean_icb	median_naive	median_icb	delta_mean	delta_median	direction_mean
GSE182228	LKB1-deficient LUAD s.c.	KL	aPD1+palbo vs palbo	Cldn4	3	3	0.4692021997192917	0.16609861200481005	0.13712974911947565	0.0	-0.30310358771448165	-0.13712974911947565	-1
GSE182228	LKB1-deficient LUAD s.c.	KL	aPD1+palbo vs palbo	Cldn3	3	3	0.04880568798251997	0.1774496999254275	0.0	0.0	0.12864401194290753	0.0	1
GSE182228	LKB1-deficient LUAD s.c.	KL	aPD1+palbo vs palbo	Cldn6	3	3	0.05638968721070947	0.0	0.057905206880925174	0.0	-0.05638968721070947	-0.057905206880925174	-1
GSE182228	LKB1-deficient LUAD s.c.	KL	aPD1+palbo vs palbo	Cldn7	3	3	0.0	0.06032533089793274	0.0	0.0	0.06032533089793274	0.0	1
GSE182228	LKB1-deficient LUAD s.c.	KL	aPD1+palbo vs palbo	Cdh1	3	3	0.6934607296618848	0.3132503612688713	0.19626526491117557	0.19637455507373497	-0.3802103683930135	0.0001092901625593945	-1
GSE182228	LKB1-deficient LUAD s.c.	KL	aPD1+palbo vs palbo	F11r	3	3	1.936333119338556	1.3617598993689952	1.923582961135752	1.3109228127446173	-0.5745732199695608	-0.6126601483911347	-1
GSE182228	LKB1-deficient LUAD s.c.	KL	aPD1+palbo vs palbo	Ocln	3	3	1.0085771845327927	0.9789064868998496	0.9869838319233983	0.919833897367373	-0.029670697632943055	-0.06714993455602536	-1
GSE182228	LKB1-deficient LUAD s.c.	KL	aPD1+palbo vs palbo	TJ	3	3	0.6018240869208221	0.43682719862369807	0.5178170449415315	0.3798137011401	-0.16499688829712406	-0.13800334380143148	-1
GSE114601	KP GEMM lung nodules	KP	aPD1 vs vehicle	Tacstd2	2	2	7.197412545692382	6.042121029356367	7.197412545692382	6.042121029356367	-1.155291516336015	-1.155291516336015	-1
GSE114601	KP GEMM lung nodules	KP	aPD1 vs vehicle	Cldn4	2	2	6.167477623650712	4.844519558241576	6.167477623650712	4.844519558241576	-1.3229580654091366	-1.3229580654091366	-1
GSE114601	KP GEMM lung nodules	KP	aPD1 vs vehicle	Cldn3	2	2	7.524463115677541	7.286502276417753	7.524463115677541	7.286502276417753	-0.23796083925978806	-0.23796083925978806	-1
GSE114601	KP GEMM lung nodules	KP	aPD1 vs vehicle	Cldn6	2	2	5.75720287988609	5.118581074512608	5.75720287988609	5.118581074512608	-0.6386218053734813	-0.6386218053734813	-1
GSE114601	KP GEMM lung nodules	KP	aPD1 vs vehicle	Cldn7	2	2	7.9597353957597825	7.8716853165051095	7.9597353957597825	7.8716853165051095	-0.08805007925467301	-0.08805007925467301	-1
GSE114601	KP GEMM lung nodules	KP	aPD1 vs vehicle	Cdh1	2	2	10.091150704655245	9.902844268410927	10.091150704655245	9.902844268410927	-0.18830643624431787	-0.18830643624431787	-1
GSE114601	KP GEMM lung nodules	KP	aPD1 vs vehicle	F11r	2	2	7.531450167044487	7.204416886622952	7.531450167044487	7.204416886622952	-0.327033280421535	-0.327033280421535	-1
GSE114601	KP GEMM lung nodules	KP	aPD1 vs vehicle	Ocln	2	2	8.418023480703003	8.55676818763685	8.418023480703003	8.55676818763685	0.13874470693384744	0.13874470693384744	1
GSE114601	KP GEMM lung nodules	KP	aPD1 vs vehicle	TJ	2	2	7.635643338196694	7.255045366906826	7.635643338196694	7.255045366906826	-0.38059797128986794	-0.38059797128986794	-1
GSE157880	HKP1 orthotopic lung (0 Gy)	KP	aPD1 vs IgG (0 Gy)	Tacstd2	3	2	2.3577925573984087	2.7055842841467967	2.3764570950111645	2.7055842841467967	0.3477917267483881	0.3291271891356322	1
GSE157880	HKP1 orthotopic lung (0 Gy)	KP	aPD1 vs IgG (0 Gy)	Cldn4	3	2	2.5564071672511357	2.232176077619101	2.779799710526931	2.232176077619101	-0.32423108963203484	-0.5476236329078303	-1
GSE157880	HKP1 orthotopic lung (0 Gy)	KP	aPD1 vs IgG (0 Gy)	Cldn3	3	2	4.597294884606954	4.9173147009651315	5.0114822208528045	4.9173147009651315	0.3200198163581778	-0.09416751988767302	1
GSE157880	HKP1 orthotopic lung (0 Gy)	KP	aPD1 vs IgG (0 Gy)	Cldn6	3	2	0.10363315086552766	0.16837981521167514	0.07931734681806965	0.16837981521167514	0.06474666434614748	0.08906246839360549	1
GSE157880	HKP1 orthotopic lung (0 Gy)	KP	aPD1 vs IgG (0 Gy)	Cldn7	3	2	2.77552309131073	3.2882628456013325	3.2045038495144444	3.2882628456013325	0.5127397542906027	0.08375899608688808	1
GSE157880	HKP1 orthotopic lung (0 Gy)	KP	aPD1 vs IgG (0 Gy)	Cdh1	3	2	9.414645832809585	9.700630870179356	9.640501633554221	9.700630870179356	0.28598503736977143	0.06012923662513536	1
GSE157880	HKP1 orthotopic lung (0 Gy)	KP	aPD1 vs IgG (0 Gy)	F11r	3	2	7.878748412053114	8.04276441217569	7.8501805854327	8.04276441217569	0.164016000122575	0.19258382674298957	1
GSE157880	HKP1 orthotopic lung (0 Gy)	KP	aPD1 vs IgG (0 Gy)	Ocln	3	2	3.1059203418755246	3.479004712710597	3.1113001228783395	3.479004712710597	0.3730843708350724	0.3677045898322575	1
GSE157880	HKP1 orthotopic lung (0 Gy)	KP	aPD1 vs IgG (0 Gy)	TJ	3	2	4.347453268681797	4.546933347780412	4.317701340513928	4.546933347780412	0.1994800790986151	0.22923200726648396	1
GSE169194	KPM total viable cells	KPM	A2V+aPD1 vs A2V (no PD-1 mono)	Tacstd2	3	3	4.104272605787147	4.32900022807059	3.55038428989042	4.2205832166176	0.22472762228344312	0.67019892672718	1
GSE169194	KPM total viable cells	KPM	A2V+aPD1 vs A2V (no PD-1 mono)	Cldn4	3	3	4.6825221811905235	3.871278689993877	4.63323050307039	4.13569431903108	-0.8112434911966466	-0.4975361840393102	-1
GSE169194	KPM total viable cells	KPM	A2V+aPD1 vs A2V (no PD-1 mono)	Cldn3	3	3	5.790273448464163	4.870871760785359	5.97151732279601	4.83530477482465	-0.9194016876788034	-1.1362125479713603	-1
GSE169194	KPM total viable cells	KPM	A2V+aPD1 vs A2V (no PD-1 mono)	Cldn7	3	3	3.9033618981971236	3.3955167778116633	4.05152833151282	3.20305685663069	-0.5078451203854604	-0.84847147488213	-1
GSE169194	KPM total viable cells	KPM	A2V+aPD1 vs A2V (no PD-1 mono)	Cdh1	3	3	8.258286990505653	7.85686168610989	8.0638116056373	7.87240767173483	-0.4014253043957625	-0.19140393390246935	-1
GSE169194	KPM total viable cells	KPM	A2V+aPD1 vs A2V (no PD-1 mono)	F11r	3	3	6.836826332907157	6.569274509850376	6.87461190528977	6.72121719848948	-0.26755182305678105	-0.15339470680028988	-1
GSE169194	KPM total viable cells	KPM	A2V+aPD1 vs A2V (no PD-1 mono)	Ocln	3	3	5.2426356959170795	4.60233499274213	5.30755740847866	4.80649792676427	-0.6403007031749492	-0.5010594817143899	-1
GSE169194	KPM total viable cells	KPM	A2V+aPD1 vs A2V (no PD-1 mono)	TJ	3	3	5.78565109119695	5.1943564028822165	5.823166412451471	5.2982600047593085	-0.5912946883147336	-0.5249064076921623	-1
