term	es	nes	nom_p	n_set	mean_stat	lead_genes	n_genes_ranked	df	n	scale	contrast	n_high	n_low	fdr
IFN_HALLMARK_UNION	0.40733662993240893	1.9394846322516084	0.000999000999000999	221	0.641322068296836	VAMP8,CD47,PELI1,TRIM5,ICAM1,PLA2G4A,PTGS2,ST3GAL5,BANK1,LAMP3,HLA-DMA,CD74,PARP14,CASP4,MX2,IRF5,LY6E,NCOA7,MYD88,MVP	16419	59	64	percent_positive	continuous			0.001332001332001332
MHC_I_APM	0.2997252018977302	0.9071257572485232	0.2957042957042957	21	0.24005172396491087	HLA-E,TAPBP,ERAP2,PDIA3,HLA-B,CANX,HLA-F,B2M,TAPBPL,ERAP1	16419	59	64	percent_positive	continuous			0.2957042957042957
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.6070379209710786	3.05080159325223	0.000999000999000999	198	1.3588114694287334	VAMP8,ICAM1,MYD88,PELI1,PARP14,XAF1,NFKB1,STAT2,CD74,TNFSF10,IFITM3,PLA2G4A,LY6E,CASP1,CD38,PTGS2,CASP4,HLA-DMA,MX2,NMI	16419	58	64	percent_positive	continuous_resid_CLDN4			0.000999000999000999
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.6428181291069669	2.893777757941324	0.000999000999000999	95	1.5812031706983816	TRIM5,ELF1,CD47,PARP14,STAT2,CD74,IFITM3,LY6E,CASP1,NMI,OASL,TRIM21,GBP4,RSAD2,IL4R,HERC6,TRIM25,IFIT2,IFI27,ISG15	16419	58	64	percent_positive	continuous_resid_CLDN4			0.000999000999000999
IFN_HALLMARK_UNION	0.6073854836053773	3.066551761540855	0.000999000999000999	221	1.3816883964010427	VAMP8,TRIM5,ELF1,ICAM1,MYD88,CD47,PELI1,PARP14,XAF1,NFKB1,STAT2,CD74,TNFSF10,IFITM3,PLA2G4A,LY6E,CASP1,CD38,PTGS2,CASP4	16419	58	64	percent_positive	continuous_resid_CLDN4			0.000999000999000999
MHC_I_APM	0.6184471361932768	1.9595925854313765	0.000999000999000999	21	1.3518917034698241	HLA-E,TAPBP,HLA-F,HLA-B,ERAP1,TAP2,B2M,ERAP2,TAP1	16419	58	64	percent_positive	continuous_resid_CLDN4			0.000999000999000999
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.16137529806285242	-0.8453837406478756	0.19080919080919082	198	-0.021683813681268562	IL6,ST8SIA4,IDO1,SOD2,PSMA3,ADAR,SELP,ISG20,PSMB2,BTG1,SERPING1,IL15RA,IL4R,PSMB8,JAK2,RAPGEF6,RBCK1,CCL5,IFNAR2,PIM1	16419	29	34	percent_positive	CLDN4_low_continuous			0.2570762570762571
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.15940340928321542	0.6543449658311575	0.7212787212787213	95	0.1142375551643757	CD47,LAMP3,CSF1,TXNIP,ELF1,IRF7,TRAFD1,IFI27,CNP,TRIM26,TDRD7,HERC6,IFIT2,CCRL2,DDX60,NCOA7,IRF2,LGALS3BP,IL7,PARP14	16419	29	34	percent_positive	CLDN4_low_continuous			0.7212787212787213
IFN_HALLMARK_UNION	-0.1390340671330284	-0.735099359305219	0.1928071928071928	221	0.023395357236599305	IL6,ST8SIA4,GBP2,IDO1,SOD2,PSMA3,ADAR,SELP,ISG20,PROCR,PSMB2,BTG1,SERPING1,IL15RA,IL4R,PSMB8,JAK2,RAPGEF6,RBCK1,CCL5	16419	29	34	percent_positive	CLDN4_low_continuous			0.2570762570762571
MHC_I_APM	-0.34241508200327114	-1.128613852503808	0.1088911088911089	21	-0.2175058260089716	HLA-C,HLA-G,IRF1,PSMB10,PSMB8,TAP2,TAPBP,TAP1,PSMB9,ERAP1	16419	29	34	percent_positive	CLDN4_low_continuous			0.2570762570762571
