term	es	nes	nom_p	n_set	mean_stat	lead_genes	n_genes_ranked	df	n	scale	contrast	n_high	n_low	dropped	ab	c	c_prime	a	b
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.545993022895439	2.3547612642962763	0.005994005994005994	95.0	0.9819888772488845		16419.0	38.0	43	pseudobulk	continuous_resid_CLDN4			GSE131907					
MHC_I_APM	0.5920924780295596	1.9859193152144217	0.002997002997002997	21.0	0.9609941218068394		16419.0	38.0	43	pseudobulk	continuous_resid_CLDN4			GSE131907					
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.4681862670664601	1.6271161927886617	0.016983016983016984	198.0	0.7076769571351306		16419.0	19.0	23	pseudobulk	CLDN4_low_continuous			GSE131907					
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.47370364015802563	2.070493564947971	0.005994005994005994	95.0	0.6888747385704963		16419.0	19.0	23	pseudobulk	CLDN4_low_continuous			GSE131907					
MHC_I_APM	0.5639646080978672	1.9156703755556805	0.002997002997002997	21.0	0.7237134712916992		16419.0	19.0	23	pseudobulk	CLDN4_low_continuous			GSE131907					
HALLMARK_INTERFERON_GAMMA_RESPONSE									43	pseudobulk	mediation_ab			GSE131907	-0.011853096231279038	0.137643079637556	0.1494961758688399	0.21713001287070946	-0.0545898564393168
HALLMARK_INTERFERON_ALPHA_RESPONSE									43	pseudobulk	mediation_ab			GSE131907	-0.005188123171778568	0.13137128168100398	0.13655940485279072	0.21713001287070946	-0.02389408586673758
MHC_I_APM									43	pseudobulk	mediation_ab			GSE131907	-0.026697394715971524	0.0988886759091718	0.12558607062515936	0.21713001287070946	-0.12295580128698536
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.403592283529254	2.0009954265689704	0.000999000999000999	198.0	0.5249075674344221		16419.0	19.0	23	pseudobulk	Q4_vs_Q1	10.0	13.0	GSE205335					
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.3969044183620235	1.7717566910397922	0.000999000999000999	95.0	0.47601450994175587		16419.0	19.0	23	pseudobulk	Q4_vs_Q1	10.0	13.0	GSE205335					
MHC_I_APM	0.22229633663672943	0.7124109811954439	0.47652347652347654	21.0	0.18170435391537437		16419.0	19.0	23	pseudobulk	Q4_vs_Q1	10.0	13.0	GSE205335					
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.37902908537863317	1.8990055495007472	0.000999000999000999	198.0	0.4528924479015421		16419.0	18.0	23	pseudobulk	Q4_vs_Q1_resid_CLDN4	10.0	13.0	GSE205335					
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.36917505126094674	1.6649284233685862	0.001998001998001998	95.0	0.4193043390816176		16419.0	18.0	23	pseudobulk	Q4_vs_Q1_resid_CLDN4	10.0	13.0	GSE205335					
MHC_I_APM	0.23762286675757238	0.7636072003439446	0.39760239760239763	21.0	0.19516393808950067		16419.0	18.0	23	pseudobulk	Q4_vs_Q1_resid_CLDN4	10.0	13.0	GSE205335					
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.40701825887303955	1.726568017696478	0.016983016983016984	198.0	0.4735278811630271		16419.0	39.0	43	pseudobulk	continuous			GSE205335					
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.37966560017082235	1.5731040288940328	0.006993006993006993	95.0	0.4369171850018448		16419.0	39.0	43	pseudobulk	continuous			GSE205335					
MHC_I_APM	0.18477863154046853	0.5724805686847495	0.48451548451548454	21.0	-0.03437877401488632		16419.0	39.0	43	pseudobulk	continuous			GSE205335					
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.4194182815566984	1.6920857864845291	0.016983016983016984	198.0	0.54301606841742		16419.0	38.0	43	pseudobulk	continuous_resid_CLDN4			GSE205335					
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.4380170299976711	1.9399039379536263	0.005994005994005994	95.0	0.5439305065597632		16419.0	38.0	43	pseudobulk	continuous_resid_CLDN4			GSE205335					
MHC_I_APM	0.2376382735110758	0.7866913664596228	0.3166833166833167	21.0	0.1531870612672957		16419.0	38.0	43	pseudobulk	continuous_resid_CLDN4			GSE205335					
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.26503069261503226	1.1220437367616405	0.04495504495504495	198.0	0.2731678846823956		16419.0	19.0	23	pseudobulk	CLDN4_low_continuous			GSE205335					
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.24166135921582493	0.9992240609564218	0.1918081918081918	95.0	0.21477378206298373		16419.0	19.0	23	pseudobulk	CLDN4_low_continuous			GSE205335					
MHC_I_APM	-0.19605646206581853	-0.5867485319145707	0.4725274725274725	21.0	-0.11413886540122938		16419.0	19.0	23	pseudobulk	CLDN4_low_continuous			GSE205335					
HALLMARK_INTERFERON_GAMMA_RESPONSE									43	pseudobulk	mediation_ab			GSE205335	-0.018280419801698485	0.03951324945643818	0.057793669258147384	0.5483332839970352	-0.03333815461364065
HALLMARK_INTERFERON_ALPHA_RESPONSE									43	pseudobulk	mediation_ab			GSE205335	-0.02649640311394817	0.034997780648424875	0.06149418376238441	0.5483332839970352	-0.04832171215433903
MHC_I_APM									43	pseudobulk	mediation_ab			GSE205335	-0.023199273273878038	0.0022122120405658956	0.025411485314457694	0.5483332839970352	-0.04230870886547072
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5231786849811872	2.582783201439497	0.000999000999000999	198.0	0.7737395161670372		16419.0	25.0	29	pseudobulk	Q4_vs_Q1	13.0	16.0	GSE189357					
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.5313948409183723	2.3684228667588836	0.000999000999000999	95.0	0.784876980507381		16419.0	25.0	29	pseudobulk	Q4_vs_Q1	13.0	16.0	GSE189357					
MHC_I_APM	0.4522764699026152	1.4480032891281303	0.03496503496503497	21.0	0.45762883401000615		16419.0	25.0	29	pseudobulk	Q4_vs_Q1	13.0	16.0	GSE189357					
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5815331158313217	2.908786359562785	0.000999000999000999	198.0	0.7804778457429832		16419.0	24.0	29	pseudobulk	Q4_vs_Q1_resid_CLDN4	13.0	16.0	GSE189357					
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.556949740489154	2.5040641283490848	0.000999000999000999	95.0	0.7641906635531949		16419.0	24.0	29	pseudobulk	Q4_vs_Q1_resid_CLDN4	13.0	16.0	GSE189357					
MHC_I_APM	0.5854006975527457	1.8914867873853312	0.000999000999000999	21.0	0.5723527052894719		16419.0	24.0	29	pseudobulk	Q4_vs_Q1_resid_CLDN4	13.0	16.0	GSE189357					
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5575892377443296	2.3640607675831693	0.016983016983016984	198.0	0.87890854976004		16419.0	51.0	55	pseudobulk	continuous			GSE189357					
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.6096068441203607	2.6014604995934354	0.005994005994005994	95.0	0.9330436880209827		16419.0	51.0	55	pseudobulk	continuous			GSE189357					
MHC_I_APM	0.5000651276883006	1.590001029580959	0.012987012987012988	21.0	0.6623542605195093		16419.0	51.0	55	pseudobulk	continuous			GSE189357					
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.6051613559088808	2.2503817024543613	0.016983016983016984	198.0	1.0640405807089852		16419.0	50.0	55	pseudobulk	continuous_resid_CLDN4			GSE189357					
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.6306004809809485	2.7455370255056826	0.005994005994005994	95.0	1.0700257217915181		16419.0	50.0	55	pseudobulk	continuous_resid_CLDN4			GSE189357					
MHC_I_APM	0.6477314057561844	2.1744822500675114	0.002997002997002997	21.0	1.0156249397916999		16419.0	50.0	55	pseudobulk	continuous_resid_CLDN4			GSE189357					
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.4392059826356639	1.8463043204514795	0.016983016983016984	198.0	0.5594327578314746		16419.0	25.0	29	pseudobulk	CLDN4_low_continuous			GSE189357					
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.4747889478363283	2.0119417611488077	0.005994005994005994	95.0	0.5851237153944123		16419.0	25.0	29	pseudobulk	CLDN4_low_continuous			GSE189357					
MHC_I_APM	0.4636828198143181	1.4610594651637894	0.023976023976023976	21.0	0.4254373629961271		16419.0	25.0	29	pseudobulk	CLDN4_low_continuous			GSE189357					
HALLMARK_INTERFERON_GAMMA_RESPONSE									55	pseudobulk	mediation_ab			GSE189357	-0.03573644110422754	0.07897607386628636	0.1147125149705387	0.4550969173245196	-0.0785249025950766
HALLMARK_INTERFERON_ALPHA_RESPONSE									55	pseudobulk	mediation_ab			GSE189357	-0.03699476737752722	0.07983286111557852	0.11682762849313297	0.4550969173245196	-0.08128986589277876
MHC_I_APM									55	pseudobulk	mediation_ab			GSE189357	-0.051854506033571425	0.056489879651817176	0.10834438568543	0.4550969173245196	-0.11394167716718484
