dataset	unit_id	unit_type	tissue	mal_CLDN4_pct	cldn4_quartile	locked_n_cells	locked_n_malignant	locked_n_tnk	locked_frac_tnk	n_cells	n_T	n_NK	n_myeloid	n_B	n_malignant	n_tnk_locked_gate	n_tnk_split	n_rest	label_source	n_mast	frac_T	frac_NK	frac_myeloid	frac_rest	frac_tnk_split	focus_n
GSE205335	P1027	patient	LN	78.0728376327769	Q3	4600	1318	2619	0.569347826086957	4600	2222	397	343	99	1318	2619	2619	1638	author_lineage	8.0	0.4830434782608696	0.08630434782608695	0.07456521739130435	0.3560869565217391	0.5693478260869566	2962
GSE205335	P1030	patient	LN	61.6915422885572	Q3	861	603	140	0.16260162601626	861	119	21	57	44	603	140	140	664	author_lineage	1.0	0.13821138211382114	0.024390243902439025	0.06620209059233449	0.7711962833914053	0.16260162601626016	197
GSE205335	P1037	patient	LN	86.0528466357941	Q4	4983	3671	611	0.122616897451335	4983	586	25	98	91	3671	611	611	4274	author_lineage	9.0	0.1175998394541441	0.0050170579971904475	0.019666867348986556	0.8577162351996789	0.12261689745133454	709
GSE205335	P1056	patient	Liver,LN	49.7066219614417	Q2	5103	2386	1354	0.265334117185969	5103	1238	116	528	133	2386	1354	1354	3221	author_lineage	23.0	0.2426023907505389	0.02273172643543014	0.10346854791299236	0.6311973349010386	0.26533411718596905	1882
GSE205335	P1062	patient	LN	45.2127659574468	Q1	3057	188	1934	0.63264638534511	3057	1856	78	432	486	188	1934	1934	691	author_lineage	1.0	0.6071311743539418	0.02551521099116781	0.14131501472031405	0.2260385999345764	0.6326463853451095	2366
GSE205335	P1063	patient	Bronchus,LN	35.1145038167939	Q1	4297	131	3144	0.731673260414243	4297	2893	251	227	754	131	3144	3144	926	author_lineage	12.0	0.6732604142424947	0.05841284617174773	0.05282755410751687	0.21549918547824062	0.7316732604142425	3371
GSE205335	P1072	patient	LN	58.8669950738916	Q2	1273	406	586	0.460329929300864	1273	398	188	140	107	406	586	586	547	author_lineage	2.0	0.3126472898664572	0.1476826394344069	0.10997643362136685	0.42969363707776903	0.4603299293008641	726
GSE205335	P1076	patient	LN	59.3639575971731	Q2	6975	849	2089	0.299498207885305	6975	1846	243	1345	2060	849	2089	2089	3541	author_lineage	47.0	0.2646594982078853	0.03483870967741935	0.192831541218638	0.5076702508960573	0.2994982078853047	3434
GSE205335	P1079	patient	LN	51.3812154696133	Q2	1277	543	501	0.392325763508222	1277	428	73	98	94	543	501	501	678	author_lineage	1.0	0.3351605324980423	0.05716523101018011	0.07674236491777604	0.5309318715740016	0.3923257635082224	599
GSE205335	P1084	patient	LN	86.734693877551	Q4	3534	196	2350	0.664968873797397	3534	2106	244	443	404	196	2350	2350	741	author_lineage	11.0	0.5959252971137521	0.0690435766836446	0.12535370684776456	0.20967741935483872	0.6649688737973967	2793
GSE205335	P1089	patient	LN	87.7704609595484	Q4	1609	1063	272	0.169049098819142	1609	224	48	181	66	1063	272	272	1156	author_lineage	2.0	0.13921690490988192	0.02983219390926041	0.1124922311995028	0.7184586699813549	0.16904909881914232	453
GSE205335	P1090	patient	LN	38.1625441696113	Q1	976	566	247	0.253073770491803	976	239	8	127	12	566	247	247	602	author_lineage	0.0	0.24487704918032788	0.00819672131147541	0.13012295081967212	0.6168032786885246	0.2530737704918033	374
GSE205335	P1115	patient	Liver	88.8829928362961	Q4	4397	3769	271	0.0616329315442347	4397	267	4	189	101	3769	271	271	3937	author_lineage	10.0	0.060723220377530134	0.0009097111667045713	0.042983852626791	0.8953832158289743	0.06163293154423471	460
GSE205335	P1119	patient	LN	36.088379705401	Q1	2386	1222	621	0.260268231349539	2386	570	51	287	42	1222	621	621	1478	author_lineage	3.0	0.23889354568315171	0.02137468566638726	0.12028499580888516	0.6194467728415759	0.26026823134953897	908
GSE205335	P4001	patient	Lung	48.1481481481481	Q1	2308	27	1801	0.780329289428076	2308	1660	141	106	214	27	1801	1801	401	author_lineage	8.0	0.7192374350086655	0.06109185441941074	0.04592720970537262	0.17374350086655113	0.7803292894280762	1907
GSE189357	TD1	patient	TUMOR	56.1299176578225	Q3	15216	2186	9915	0.651616719242902	15216	9612	882	896	610	2186	9915	10494	3826	marker		0.6317034700315457	0.05796529968454259	0.058885383806519455	0.2514458464773922	0.6896687697160884	11390
GSE189357	TD2	patient	TUMOR	35.6255178127589	Q1	18064	1207	11334	0.627435783879539	18064	11795	689	2655	781	1207	11334	12484	2925	marker		0.6529561558901683	0.03814216120460585	0.14697741364038971	0.16192426926483613	0.6910983170947741	15139
GSE189357	TD3	patient	TUMOR	48.0421686746988	Q3	12658	664	6525	0.515484278717017	12658	6194	1188	1985	1209	664	6525	7382	3291	marker		0.4893348080265445	0.0938536893664086	0.15681782272080896	0.25999367988623795	0.5831884973929531	9367
GSE189357	TD4	patient	TUMOR	30.3462321792261	Q1	11756	491	7096	0.603606668935012	11756	7492	840	1979	346	491	7096	8332	1445	marker		0.6372915957808778	0.07145287512759442	0.16833957128274923	0.1229159578087785	0.7087444709084723	10311
GSE189357	TD5	patient	TUMOR	36.8663594470046	Q2	19079	1736	11055	0.579432884323078	19079	10900	1212	2157	1692	1736	11055	12112	4810	marker		0.5713087688033964	0.06352534199905656	0.1130562398448556	0.2521096493526914	0.634834110802453	14269
GSE189357	TD6	patient	TUMOR	63.5012386457473	Q4	8999	1211	3392	0.376930770085565	8999	4536	490	2382	14	1211	3392	5026	1591	marker		0.5040560062229137	0.054450494499388824	0.2646960773419269	0.17679742193577064	0.5585065007223025	7408
GSE189357	TD7	patient	TUMOR	36.6313309776207	Q1	3507	849	1851	0.527801539777588	3507	1518	496	526	22	849	1851	2014	967	marker		0.4328485885372113	0.14143142286854862	0.14998574280011406	0.27573424579412603	0.5742800114057599	2540
GSE189357	TD8	patient	TUMOR	45.3385672227674	Q2	15521	1019	7257	0.46756007989176	15521	7809	1495	3110	140	1019	7257	9304	3107	marker		0.5031247986598801	0.09632111333032665	0.20037368726241866	0.20018040074737453	0.5994459119902068	12414
GSE189357	TD9	patient	TUMOR	78.5641235426468	Q4	17573	4889	4345	0.24725431059011	17573	5360	667	3439	2128	4889	4345	6027	8107	marker		0.30501337278779944	0.03795595515848176	0.19569794571217208	0.4613327263415467	0.3429693279462812	9466
