scope	cohort	pathway	pair	ligand	receptor	n_q1_detected	n_q4_detected	n_compared	median_score_q1	median_score_q4	delta_median	mwu_u	p	r_rb	q_bh	bh_family	weaker_in_q4	recovery_q05
winpair	GSE131907+GSE205335	MHC_I	HLA-E–KLRK1	HLA-E	KLRK1	6	4	10	0.9112521633505821	0.517348438501358	-0.3939037248492241	6.0	0.2571428571428571	-0.5	0.6796697626418988	winpair:GSE131907+GSE205335:focus_MHCI_Trecruit	True	False
winpair	GSE131907+GSE205335	MHC_I	HLA-B–CD8A	HLA-B	CD8A	12	7	19	1.6135543137788773	1.376034677028656	-0.23751963675022125	28.0	0.2614114471699611	-0.33333333333333337	0.6796697626418988	winpair:GSE131907+GSE205335:focus_MHCI_Trecruit	True	False
winpair	GSE131907+GSE205335	MHC_I	HLA-B–CD8B	HLA-B	CD8B	11	5	16	1.5575237274169922	1.3045065253973007	-0.25301720201969147	19.0	0.37728937728937734	-0.3090909090909091	0.7664399092970522	winpair:GSE131907+GSE205335:focus_MHCI_Trecruit	True	False
winpair	GSE131907+GSE205335	MHC_I	HLA-E–KLRC2	HLA-E	KLRC2	3	3	6	0.8527260571718216	0.5831390470266342	-0.2695870101451874	3.0	0.7	-0.33333333333333337	0.9654761904761906	winpair:GSE131907+GSE205335:focus_MHCI_Trecruit	True	False
winpair	GSE131907+GSE205335	MHC_I	HLA-E–KLRC2+KLRD1	HLA-E	KLRC2+KLRD1	3	3	6	0.8527260571718216	0.5831390470266342	-0.2695870101451874	3.0	0.7	-0.33333333333333337	0.9654761904761906	winpair:GSE131907+GSE205335:focus_MHCI_Trecruit	True	False
winpair	GSE131907+GSE205335	MHC_I	HLA-A–CD8B	HLA-A	CD8B	11	5	16	1.4277686476707458	1.4043899029493332	-0.02337874472141266	24.0	0.7426739926739928	-0.12727272727272732	0.9654761904761906	winpair:GSE131907+GSE205335:focus_MHCI_Trecruit	True	False
winpair	GSE131907+GSE205335	MHC_I	HLA-A–CD8A	HLA-A	CD8A	12	7	19	1.4704995155334473	1.4726400077342987	0.0021404922008514404	41.0	0.967135032150512	-0.023809523809523836	1.0	winpair:GSE131907+GSE205335:focus_MHCI_Trecruit	False	False
winpair	GSE131907+GSE205335	MHC_I	HLA-C–CD8A	HLA-C	CD8A	12	7	19	1.3327699303627014	1.3492310494184494	0.016461119055747986	43.0	0.967135032150512	0.023809523809523725	1.0	winpair:GSE131907+GSE205335:focus_MHCI_Trecruit	False	False
winpair	GSE131907+GSE205335	MHC_I	HLA-C–CD8B	HLA-C	CD8B	11	5	16	1.3353560268878937	1.315270334482193	-0.020085692405700684	28.0	1.0	0.018181818181818077	1.0	winpair:GSE131907+GSE205335:focus_MHCI_Trecruit	True	False
winpair	GSE131907+GSE205335	T_recruit	CXCL16–CXCR6	CXCL16	CXCR6	5	4	9	0.4234704524278641	0.3080855831503868	-0.11538486927747726	6.0	0.4126984126984127	-0.4	0.7664399092970522	winpair:GSE131907+GSE205335:focus_MHCI_Trecruit	True	False
