nhood	n_cells	n_TNK	n_epithelial	n_malignant_like	frac_TNK	frac_epithelial	mean_TACSTD2_log1p_all	mean_TACSTD2_log1p_epi	mean_TACSTD2_log1p_tnk	index_lineage	index_cell	kth_distance	embedding	n_cells_da	n_samples_nonzero	testable	logFC	logCPM	F	PValue	FDR_BH	SpatialFDR	dispersion	ql_dispersion	ref_level	alt_level	n_samples	n_ref	n_alt	is_interface	tacstd2_high_epi_nhood	tnk_depleted_nhood	kept_composition	kept_da_enriched	tnk_rich_depleted_in_alt	keep_reason	contrast	epi_tacstd2_threshold	tnk_depleted_threshold
4982	56	2	54	36	0.03571428571428571	0.9642857142857143	2.4631426956974622	2.5286980851469996	0.6931471805599453	epithelial	BD_immune07_451997	7.451472282409668	harmony	56.0	6	True	3.3172545932568975	5.556437645539672	6.329251885485801	0.03604377585809772	0.4212658799829842	0.4519194453252452	0.21204753572645427	3.4462169034732466	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4983	62	0	62	41	0.0	1.0	3.1408520654772305	3.1408520654772305		epithelial	BD_immune07_245012	8.769075393676758	harmony	62.0	4	True	5.658369428199135	3.756513983271603	7.374258553936472	0.026429737774561424	0.4212658799829842	0.4519194453252452	0.4739604455560953	3.317224331528034	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4984	66	0	66	49	0.0	1.0	2.8125345586560684	2.8125345586560684		epithelial	BD_immune07_444904	8.981942176818848	harmony	66.0	5	True	3.8458416378079496	5.174857452959676	6.200005639126942	0.037523340412390555	0.4212658799829842	0.4519194453252452	0.32199478500396395	4.141554255399483	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4985	61	0	61	30	0.0	1.0	2.3068884073312295	2.3068884073312295		epithelial	BD_immune07_871092	6.786224842071533	harmony	61.0	2	False		1.9634098494644774					0.4178093030761775	4.382205812437291	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4986	42	0	42	28	0.0	1.0	2.278246048002073	2.278246048002073		epithelial	BD_immune07_405773	7.942434787750244	harmony	42.0	5	True	2.2128909943498223	4.741407222119067	2.2912814715332313	0.16856147537030994	0.5634051040277098	0.5892301194133962	0.42239667232084604	3.240585734626677	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4987	79	0	79	56	0.0	1.0	2.5739628120628795	2.5739628120628795		epithelial	BD_immune07_98135	5.330904960632324	harmony	79.0	2	False		2.0987684315326383					0.4178093030761775	4.931854927814885	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4988	82	0	81	53	0.0	0.9878048780487805	1.9422319109095363	1.9576527100496548		epithelial	BD_immune07_837862	6.838874816894531	harmony	82.0	6	True	3.1285019122974873	5.876199559990204	4.57545633838997	0.06487416489307288	0.44271731025879774	0.4718926578008306	0.4325347366050799	3.3941441378756876	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4989	47	0	47	30	0.0	1.0	2.8588487529044992	2.8588487529044992		epithelial	BD_immune07_157058	9.399001121520996	harmony	47.0	3	True	5.33642038689861	2.8550144333386647	6.7981271294543095	0.03126011008639499	0.4212658799829842	0.4519194453252452	0.45940058914038834	3.1409919811751905	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4990	46	0	46	33	0.0	1.0	2.6923427535282256	2.6923427535282256		epithelial	BD_immune07_335046	7.534019947052002	harmony	46.0	2	False		2.180931856522183					0.4178093030761775	5.064765457715383	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4991	59	0	56	39	0.0	0.9491525423728814	2.715822324681352	2.722778766925857		epithelial	BD_immune07_229329	8.374265670776367	harmony	59.0	6	True	1.1156663229988903	6.182394883062194	1.1057818764580634	0.3237244257589208	0.710033907603684	0.7305654796951563	0.5621360619169515	1.7658396593092514	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
