n_set	n_measured	n_missing	mean_log2FC	median_log2FC	n_pos	n_neg	sign_p	mw_p	ora_up_p	ora_down_p	direction	mapped_genes	missing_genes	source	contrast	set	family	set_source	nes	gsea_p	gsea_fdr
200	118	82	-0.181988	-0.0916413	46	72	0.02097	0.0148594	0.513131	7.83778e-05	down	STAT1,ISG15,IFIT1,IFI35,SEC14L2,EIF2AK2,IRF1,OAS3,TNFSF10,IFI44,BST2,SP110,IFI44L,IFITM3,LGALS3BP,PML,IFIH1,UBE2L6,ADAR,STAT2,TRIM21,USP18,DDX58,NMI,PSMB10,ITGB7,SAMHD1,HERC6,PTPN2,PARP14,TNFAIP2,IFITM2,PLSCR1,ICAM1,WARS,PSME1,ISG20,IRF2,TRIM14,FCGR1A,SOCS3,JAK2,PARP12,CD274,NAMPT,SEPP1,HELZ2,PSME2,RNF31,SOD2,TRIM25,LAP3,PSMA3,RNF213,PELI1,TXNIP,GCH1,PNP,PTPN6,SPPL2A,IL4R,PNPT1,BTG1,CASP8,IFI30,CASP7,IL15RA,TRAFD1,HLA-DRB1,MT2A,RIPK1,TDRD7,HIF1A,EIF4E3,VAMP8,PFKP,BANK1,TOR1B,RBCK1,IL7,BPGM,CMTR1,AUTS2,RIPK2,MYD88,PSMA2,PIM1,NOD1,SLC25A28,PTPN1,TNFAIP3,SSPN,NUP93,MTHFD2,CDKN1A,NFKB1,LATS2,IRF5,ISOC1,STAT3,NCOA3,IFNAR2,RAPGEF6,CASP4,FAS,OGFR,ARL4A,SRI,LYSMD2,ST3GAL5,CASP3,NFKBIA,METTL7B,ST8SIA4,VAMP5,IL18BP,ZNFX1,ARID5B	MX1,IFIT3,IRF7,IFIT2,OAS2,RSAD2,MX2,IRF9,CXCL10,XAF1,OASL,PSMB8,DDX60,GBP4,IRF8,PSMB9,IFI27,LY6E,CXCL9,IL10RA,PLA2G4A,PTGS2,EPSTI1,C1S,IL15,NLRC5,IDO1,CXCL11,CMPK2,SAMD9L,RTP4,SOCS1,CASP1,MARCHF1,HLA-DMA,TNFAIP6,TRIM26,VCAM1,CIITA,GPR18	cufflinks_group_mean_FPKM	T47D	hallmark_IFNg_2023.1	sting_ifn	MSigDB 2023.1	-1.52378	0.00799201	0.0188902
150	135	15	-0.0431315	0.00428524	69	66	0.863415	0.979853	0.999943	0.953276	mixed_or_flat	POLR2H,POLR2A,POLR2G,POLR2E,POLR2J,POLR2F,POLR2C,POLR2K,GTF2H3,POLR2D,ERCC3,DDB2,POLR1C,XPC,PCNA,POLR2I,SUPT4H1,POLD3,POLR3GL,GTF2B,POLR1D,NCBP2,GTF2F1,LIG1,ERCC1,ERCC4,POLD4,NELFB,RFC2,ELL,TAF10,RRM2B,SUPT5H,RPA3,SNAPC5,SSRP1,RFC3,RPA2,TCEB3,TAF12,NELFCD,TAF13,TAF6,GTF2A2,VPS37D,RNMT,ERCC2,POLE4,VPS37B,NT5C3A,SNAPC4,AAAS,RFC4,ITPA,POM121,BRF2,RFC5,SAC3D1,CLP1,NME4,PRIM1,VPS28,TSG101,USP11,TAF1C,TARBP2,POLH,CETN2,POLD1,CANT1,DGCR8,RAD51,SURF1,PNP,ADA,NME3,GTF3C5,NT5C,GTF2H1,APRT,ERCC8,IMPDH2,POLB,SDCBP,SF3A3,DAD1,UPF3B,GUK1,TP53,ADRM1,SEC61A1,POLA2,FEN1,NUDT9,TYMS,BCAP31,DDB1,NFX1,RAD52,ADCY6,ARL6IP1,DGUOK,POLL,SMAD5,MPG,DUT,POLA1,AGO4,RALA,ZWINT,BCAM,TK2,CSTF3,GTF2H5,HPRT1,GPX4,MPC2,ALYREF,MRPL40,NPRL2,REV3L,EDF1,TMED2,STX3,RAE1,UMPS,EIF1B,AK3,NUDT21,RBX1,SRSF6,GMPR2,DCTN4,COX17,CCNO	POLR3C,NELFE,ERCC5,TAF9,NME1,POLR1H,PDE4B,AK1,HCLS1,ZNF707,PDE6G,BOLA2,CDA,GSDME,CMPK2	cufflinks_group_mean_FPKM	T47D	hallmark_DNA_REPAIR_2023.1	damage	MSigDB 2023.1	-0.836928	0.565435	0.610909
97	63	34	-0.318518	-0.216097	19	44	0.00222753	0.000303541	0.885957	0.00036041	down	ADAR,BST2,CASP8,CD47,CMTR1,CNP,EIF2AK2,ELF1,GBP2,GMPR,HELZ2,HERC6,HLA-C,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFITM1,IFITM2,IFITM3,IL4R,IL7,IRF1,IRF2,ISG15,ISG20,LAP3,LGALS3BP,MOV10,MVB12A,NCOA7,NMI,NUB1,OAS1,OGFR,PARP12,PARP14,PARP9,PLSCR1,PNPT1,PROCR,PSMA3,PSME1,PSME2,RIPK2,RNF31,SLC25A28,SP110,STAT2,SEC14L2,TDRD7,FAM46A,TMEM140,TRAFD1,TRIM14,TRIM21,TRIM25,TRIM5,TXNIP,UBE2L6,USP18,WARS	B2M,BATF2,C1S,CASP1,CCRL2,CD74,CMPK2,CSF1,CXCL10,CXCL11,DDX60,DHX58,EPSTI1,GBP4,IFI27,IFIT2,IFIT3,IL15,IRF7,IRF9,LAMP3,LPAR6,LY6E,MX1,OASL,PSMB8,PSMB9,RSAD2,RTP4,SAMD9,SAMD9L,SELL,TRIM26,UBA7	cufflinks_group_mean_FPKM	T47D	hallmark_IFNa_2023.2	sting_ifn	MSigDB 2023.2	-1.78912	0.000999001	0.00519481
200	118	82	-0.181988	-0.0916413	46	72	0.02097	0.0148594	0.513131	7.83778e-05	down	ADAR,ARID5B,ARL4A,AUTS2,BANK1,BPGM,BST2,BTG1,CASP3,CASP4,CASP7,CASP8,CD274,CDKN1A,CMTR1,EIF2AK2,EIF4E3,FAS,FCGR1A,GCH1,HELZ2,HERC6,HIF1A,HLA-DRB1,ICAM1,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT1,IFITM2,IFITM3,IFNAR2,IL15RA,IL18BP,IL4R,IL7,IRF1,IRF2,IRF5,ISG15,ISG20,ISOC1,ITGB7,JAK2,LAP3,LATS2,LGALS3BP,LYSMD2,METTL7B,MT2A,MTHFD2,MYD88,NAMPT,NCOA3,NFKB1,NFKBIA,NMI,NOD1,NUP93,OAS3,OGFR,PARP12,PARP14,PELI1,PFKP,PIM1,PLSCR1,PML,PNP,PNPT1,PSMA2,PSMA3,PSMB10,PSME1,PSME2,PTPN1,PTPN2,PTPN6,RAPGEF6,RBCK1,DDX58,RIPK1,RIPK2,RNF213,RNF31,SAMHD1,SEPP1,SLC25A28,SOCS3,SOD2,SP110,SPPL2A,SRI,SSPN,ST3GAL5,ST8SIA4,STAT1,STAT2,STAT3,SEC14L2,TDRD7,TNFAIP2,TNFAIP3,TNFSF10,TOR1B,TRAFD1,TRIM14,TRIM21,TRIM25,TXNIP,UBE2L6,USP18,VAMP5,VAMP8,WARS,ZNFX1	APOL6,B2M,BATF2,C1R,C1S,CASP1,CCL2,CCL5,CCL7,CD38,CD40,CD69,CD74,CD86,CFB,CFH,CIITA,CMKLR1,CMPK2,CSF2RB,CXCL10,CXCL11,CXCL9,DDX60,DHX58,EPSTI1,FGL2,FPR1,GBP4,GBP6,GPR18,GZMA,HLA-A,HLA-B,HLA-DMA,HLA-DQA1,HLA-G,IDO1,IFI27,IFIT2	cufflinks_group_mean_FPKM	T47D	hallmark_IFNg_2023.2	sting_ifn	MSigDB 2023.2	-1.53874	0.002997	0.0111317
150	135	15	-0.0431315	0.00428524	69	66	0.863415	0.979853	0.999943	0.953276	mixed_or_flat	AAAS,ADA,ADCY6,ADRM1,AGO4,AK3,ALYREF,APRT,ARL6IP1,BCAM,BCAP31,BRF2,CANT1,CCNO,CETN2,CLP1,COX17,CSTF3,DAD1,DCTN4,DDB1,DDB2,DGCR8,DGUOK,DUT,EDF1,EIF1B,ELL,TCEB3,ERCC1,ERCC2,ERCC3,ERCC4,ERCC8,FEN1,GMPR2,GPX4,GTF2A2,GTF2B,GTF2F1,GTF2H1,GTF2H3,GTF2H5,GTF3C5,GUK1,HPRT1,IMPDH2,ITPA,LIG1,MPC2,MPG,MRPL40,NCBP2,NELFB,NELFCD,NFX1,NME3,NME4,NPRL2,NT5C,NT5C3A,NUDT21,NUDT9,PCNA,PNP,POLA1,POLA2,POLB,POLD1,POLD3,POLD4,POLE4,POLH,POLL,POLR1C,POLR1D,POLR2A,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR3GL,POM121,PRIM1,RAD51,RAD52,RAE1,RALA,RBX1,REV3L,RFC2,RFC3,RFC4,RFC5,RNMT,RPA2,RPA3,RRM2B,SAC3D1,SDCBP,SEC61A1,SF3A3,SMAD5,SNAPC4,SNAPC5,SRSF6,SSRP1,STX3,SUPT4H1,SUPT5H,SURF1,TAF10,TAF12,TAF13,TAF1C,TAF6,TARBP2,TK2,TMED2,TP53,TSG101,TYMS,UMPS,UPF3B,USP11,VPS28,VPS37B,VPS37D,XPC,ZWINT	AK1,BOLA2,CDA,CMPK2,ERCC5,GSDME,HCLS1,NELFE,NME1,PDE4B,PDE6G,POLR1H,POLR3C,TAF9,ZNF707	cufflinks_group_mean_FPKM	T47D	hallmark_DNA_REPAIR_2023.2	damage	MSigDB 2023.2	-0.851575	0.565435	0.610909
97	63	34	-0.318518	-0.216097	19	44	0.00222753	0.000303541	0.885957	0.00036041	down	ADAR,BST2,CASP8,CD47,CMTR1,CNP,EIF2AK2,ELF1,GBP2,GMPR,HELZ2,HERC6,HLA-C,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFITM1,IFITM2,IFITM3,IL4R,IL7,IRF1,IRF2,ISG15,ISG20,LAP3,LGALS3BP,MOV10,MVB12A,NCOA7,NMI,NUB1,OAS1,OGFR,PARP12,PARP14,PARP9,PLSCR1,PNPT1,PROCR,PSMA3,PSME1,PSME2,RIPK2,RNF31,SLC25A28,SP110,STAT2,SEC14L2,TDRD7,FAM46A,TMEM140,TRAFD1,TRIM14,TRIM21,TRIM25,TRIM5,TXNIP,UBE2L6,USP18,WARS	B2M,BATF2,C1S,CASP1,CCRL2,CD74,CMPK2,CSF1,CXCL10,CXCL11,DDX60,DHX58,EPSTI1,GBP4,IFI27,IFIT2,IFIT3,IL15,IRF7,IRF9,LAMP3,LPAR6,LY6E,MX1,OASL,PSMB8,PSMB9,RSAD2,RTP4,SAMD9,SAMD9L,SELL,TRIM26,UBA7	cufflinks_group_mean_FPKM	T47D	hallmark_IFNa_2024.1	sting_ifn	MSigDB 2024.1	-1.82668	0.000999001	0.00519481
200	118	82	-0.181988	-0.0916413	46	72	0.02097	0.0148594	0.513131	7.83778e-05	down	ADAR,ARID5B,ARL4A,AUTS2,BANK1,BPGM,BST2,BTG1,CASP3,CASP4,CASP7,CASP8,CD274,CDKN1A,CMTR1,EIF2AK2,EIF4E3,FAS,FCGR1A,GCH1,HELZ2,HERC6,HIF1A,HLA-DRB1,ICAM1,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT1,IFITM2,IFITM3,IFNAR2,IL15RA,IL18BP,IL4R,IL7,IRF1,IRF2,IRF5,ISG15,ISG20,ISOC1,ITGB7,JAK2,LAP3,LATS2,LGALS3BP,LYSMD2,MT2A,MTHFD2,MYD88,NAMPT,NCOA3,NFKB1,NFKBIA,NMI,NOD1,NUP93,OAS3,OGFR,PARP12,PARP14,PELI1,PFKP,PIM1,PLSCR1,PML,PNP,PNPT1,PSMA2,PSMA3,PSMB10,PSME1,PSME2,PTPN1,PTPN2,PTPN6,RAPGEF6,RBCK1,DDX58,RIPK1,RIPK2,RNF213,RNF31,SAMHD1,SEPP1,SLC25A28,SOCS3,SOD2,SP110,SPPL2A,SRI,SSPN,ST3GAL5,ST8SIA4,STAT1,STAT2,STAT3,SEC14L2,TDRD7,METTL7B,TNFAIP2,TNFAIP3,TNFSF10,TOR1B,TRAFD1,TRIM14,TRIM21,TRIM25,TXNIP,UBE2L6,USP18,VAMP5,VAMP8,WARS,ZNFX1	APOL6,B2M,BATF2,C1R,C1S,CASP1,CCL2,CCL5,CCL7,CD38,CD40,CD69,CD74,CD86,CFB,CFH,CIITA,CMKLR1,CMPK2,CSF2RB,CXCL10,CXCL11,CXCL9,DDX60,DHX58,EPSTI1,FGL2,FPR1,GBP4,GBP6,GPR18,GZMA,HLA-A,HLA-B,HLA-DMA,HLA-DQA1,HLA-G,IDO1,IFI27,IFIT2	cufflinks_group_mean_FPKM	T47D	hallmark_IFNg_2024.1	sting_ifn	MSigDB 2024.1	-1.51968	0.00699301	0.0188902
150	135	15	-0.0431315	0.00428524	69	66	0.863415	0.979853	0.999943	0.953276	mixed_or_flat	AAAS,ADA,ADCY6,ADRM1,AGO4,AK3,ALYREF,APRT,ARL6IP1,BCAM,BCAP31,BRF2,CANT1,CCNO,CETN2,CLP1,COX17,CSTF3,DAD1,DCTN4,DDB1,DDB2,DGCR8,DGUOK,DUT,EDF1,EIF1B,ELL,TCEB3,ERCC1,ERCC2,ERCC3,ERCC4,ERCC8,FEN1,GMPR2,GPX4,GTF2A2,GTF2B,GTF2F1,GTF2H1,GTF2H3,GTF2H5,GTF3C5,GUK1,HPRT1,IMPDH2,ITPA,LIG1,MPC2,MPG,MRPL40,NCBP2,NELFB,NELFCD,NFX1,NME3,NME4,NPRL2,NT5C,NT5C3A,NUDT21,NUDT9,PCNA,PNP,POLA1,POLA2,POLB,POLD1,POLD3,POLD4,POLE4,POLH,POLL,POLR1C,POLR1D,POLR2A,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR3GL,POM121,PRIM1,RAD51,RAD52,RAE1,RALA,RBX1,REV3L,RFC2,RFC3,RFC4,RFC5,RNMT,RPA2,RPA3,RRM2B,SAC3D1,SDCBP,SEC61A1,SF3A3,SMAD5,SNAPC4,SNAPC5,SRSF6,SSRP1,STX3,SUPT4H1,SUPT5H,SURF1,TAF10,TAF12,TAF13,TAF1C,TAF6,TARBP2,TK2,TMED2,TP53,TSG101,TYMS,UMPS,UPF3B,USP11,VPS28,VPS37B,VPS37D,XPC,ZWINT	AK1,BOLA2,CDA,CMPK2,ERCC5,GSDME,HCLS1,NELFE,NME1,PDE4B,PDE6G,POLR1H,POLR3C,TAF9,ZNF707	cufflinks_group_mean_FPKM	T47D	hallmark_DNA_REPAIR_2024.1	damage	MSigDB 2024.1	-0.844213	0.587413	0.610909
97	63	34	-0.318518	-0.216097	19	44	0.00222753	0.000303541	0.885957	0.00036041	down	ADAR,BST2,CASP8,CD47,CMTR1,CNP,EIF2AK2,ELF1,GBP2,GMPR,HELZ2,HERC6,HLA-C,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFITM1,IFITM2,IFITM3,IL4R,IL7,IRF1,IRF2,ISG15,ISG20,LAP3,LGALS3BP,MOV10,MVB12A,NCOA7,NMI,NUB1,OAS1,OGFR,PARP12,PARP14,PARP9,PLSCR1,PNPT1,PROCR,PSMA3,PSME1,PSME2,RIPK2,RNF31,SLC25A28,SP110,STAT2,SEC14L2,TDRD7,FAM46A,TMEM140,TRAFD1,TRIM14,TRIM21,TRIM25,TRIM5,TXNIP,UBE2L6,USP18,WARS	B2M,BATF2,C1S,CASP1,CCRL2,CD74,CMPK2,CSF1,CXCL10,CXCL11,DDX60,DHX58,EPSTI1,GBP4,IFI27,IFIT2,IFIT3,IL15,IRF7,IRF9,LAMP3,LPAR6,LY6E,MX1,OASL,PSMB8,PSMB9,RSAD2,RTP4,SAMD9,SAMD9L,SELL,TRIM26,UBA7	cufflinks_group_mean_FPKM	T47D	hallmark_IFNa_2025.1	sting_ifn	MSigDB 2025.1	-1.81944	0.001998	0.00865801
200	118	82	-0.181988	-0.0916413	46	72	0.02097	0.0148594	0.513131	7.83778e-05	down	ADAR,ARID5B,ARL4A,AUTS2,BANK1,BPGM,BST2,BTG1,CASP3,CASP4,CASP7,CASP8,CD274,CDKN1A,CMTR1,EIF2AK2,EIF4E3,FAS,FCGR1A,GCH1,HELZ2,HERC6,HIF1A,HLA-DRB1,ICAM1,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT1,IFITM2,IFITM3,IFNAR2,IL15RA,IL18BP,IL4R,IL7,IRF1,IRF2,IRF5,ISG15,ISG20,ISOC1,ITGB7,JAK2,LAP3,LATS2,LGALS3BP,LYSMD2,MT2A,MTHFD2,MYD88,NAMPT,NCOA3,NFKB1,NFKBIA,NMI,NOD1,NUP93,OAS3,OGFR,PARP12,PARP14,PELI1,PFKP,PIM1,PLSCR1,PML,PNP,PNPT1,PSMA2,PSMA3,PSMB10,PSME1,PSME2,PTPN1,PTPN2,PTPN6,RAPGEF6,RBCK1,DDX58,RIPK1,RIPK2,RNF213,RNF31,SAMHD1,SEPP1,SLC25A28,SOCS3,SOD2,SP110,SPPL2A,SRI,SSPN,ST3GAL5,ST8SIA4,STAT1,STAT2,STAT3,SEC14L2,TDRD7,METTL7B,TNFAIP2,TNFAIP3,TNFSF10,TOR1B,TRAFD1,TRIM14,TRIM21,TRIM25,TXNIP,UBE2L6,USP18,VAMP5,VAMP8,WARS,ZNFX1	APOL6,B2M,BATF2,C1R,C1S,CASP1,CCL2,CCL5,CCL7,CD38,CD40,CD69,CD74,CD86,CFB,CFH,CIITA,CMKLR1,CMPK2,CSF2RB,CXCL10,CXCL11,CXCL9,DDX60,DHX58,EPSTI1,FGL2,FPR1,GBP4,GBP6,GPR18,GZMA,HLA-A,HLA-B,HLA-DMA,HLA-DQA1,HLA-G,IDO1,IFI27,IFIT2	cufflinks_group_mean_FPKM	T47D	hallmark_IFNg_2025.1	sting_ifn	MSigDB 2025.1	-1.52251	0.00799201	0.0188902
150	135	15	-0.0431315	0.00428524	69	66	0.863415	0.979853	0.999943	0.953276	mixed_or_flat	AAAS,ADA,ADCY6,ADRM1,AGO4,AK3,ALYREF,APRT,ARL6IP1,BCAM,BCAP31,BRF2,CANT1,CCNO,CETN2,CLP1,COX17,CSTF3,DAD1,DCTN4,DDB1,DDB2,DGCR8,DGUOK,DUT,EDF1,EIF1B,ELL,TCEB3,ERCC1,ERCC2,ERCC3,ERCC4,ERCC8,FEN1,GMPR2,GPX4,GTF2A2,GTF2B,GTF2F1,GTF2H1,GTF2H3,GTF2H5,GTF3C5,GUK1,HPRT1,IMPDH2,ITPA,LIG1,MPC2,MPG,MRPL40,NCBP2,NELFB,NELFCD,NFX1,NME3,NME4,NPRL2,NT5C,NT5C3A,NUDT21,NUDT9,PCNA,PNP,POLA1,POLA2,POLB,POLD1,POLD3,POLD4,POLE4,POLH,POLL,POLR1C,POLR1D,POLR2A,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR3GL,POM121,PRIM1,RAD51,RAD52,RAE1,RALA,RBX1,REV3L,RFC2,RFC3,RFC4,RFC5,RNMT,RPA2,RPA3,RRM2B,SAC3D1,SDCBP,SEC61A1,SF3A3,SMAD5,SNAPC4,SNAPC5,SRSF6,SSRP1,STX3,SUPT4H1,SUPT5H,SURF1,TAF10,TAF12,TAF13,TAF1C,TAF6,TARBP2,TK2,TMED2,TP53,TSG101,TYMS,UMPS,UPF3B,USP11,VPS28,VPS37B,VPS37D,XPC,ZWINT	AK1,BOLA2,CDA,CMPK2,ERCC5,GSDME,HCLS1,NELFE,NME1,PDE4B,PDE6G,POLR1H,POLR3C,TAF9,ZNF707	cufflinks_group_mean_FPKM	T47D	hallmark_DNA_REPAIR_2025.1	damage	MSigDB 2025.1	-0.838898	0.628372	0.628372
51	43	8	0.0432823	0.0318169	26	17	0.222053	0.26926	0.491859	0.929006	sign_up_below_bar	FAM175A,ARTN,ATM,BABAM1,BRE,BARD1,BRCA1,DEPDC1B,DCLRE1C,H2AFX,HIST1H2BJ,HIST1H2BK,HIST1H2BL,HIST1H2BN,HIST2H2BE,HIST3H2BB,HIST1H2BB,HIST1H2BC,HIST1H2BD,HERC2,KAT5,LIG4,LRIF1,MRE11A,NHEJ1,WHSC1,PAXIP1,PIAS4,POLL,POLM,PRKDC,RAD50,RNF168,RNF8,TDP1,TDP2,TP53BP1,UBE2N,UBE2V2,UIMC1,XRCC4,XRCC5,XRCC6	H2BC1,H2BC12L,H2BC14,H2BC17,H2BC9,H3-4,H4C15,MDC1	cufflinks_group_mean_FPKM	T47D	reactome_NHEJ	nhej	Enrichr Reactome_2022	0.830675	0.282717	0.432391
12	12	0	0.0485238	0.0426404	10	2	0.0385742	0.380296	1	1	sign_up_below_bar	ARTN,BRCA2,FEN1,LRIG3,MRE11A,PARP1,PARP2,POLK,RAD50,RAD52,RBBP8,XRCC1		cufflinks_group_mean_FPKM	T47D	reactome_altNHEJ_MMEJ	damage	Enrichr Reactome_2022	0.674767	0.357642	0.464935
16	9	7	-0.00622026	0.00559987	6	3	0.507812	0.634097	0.487569	0.889583	mixed_or_flat	MB21D1,DTX4,IRF3,MRE11A,PRKDC,TBK1,TRIM21,XRCC5,XRCC6	DDX41,IFI16,NLRC3,NLRP4,STAT6,STING1,TREX1	cufflinks_group_mean_FPKM	T47D	reactome_STING	sting_ifn	Enrichr Reactome_2022	-0.753417	0.427572	0.507674
