gene	T47D_WT_rep1	T47D_WT_rep2	T47D_KO_rep1	T47D_KO_rep2	MCF7_WT_rep1	MCF7_WT_rep2	MCF7_KO_rep1	MCF7_KO_rep2
ABCA5	909.1756678	872.4730500000001	1278.471853	1281.76354	561.24829	521.82618	709.00005	696.62994
ABCA6	18.623739999999998	14.351959999999998	23.29959	27.170749	39.28711	29.57965	31.10705	36.05426
ABCA7	153.999969268596	112.00006719769999	168.9999845	164.99993526	114.00001400000001	114.0000235	99.999961	104.000028
ABCA8	12.5092	7.39331	11.20801	15.7696	7.794226825	10.426	5.81303	8.91167
ABCA9	51.018969999999996	45.43284	68.7576	50.01868	46.48751	35.5754	47.68036	46.15006
ABCB1	24.99998	36.183255	6.9999972	3.1083369999999997	1.05327	0.0	4.0	3.0
ABCB10	365.81832	365.0003	415.782	359.0	350.9997	376.99955	360.99964	324.0004356395
ABCB10P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCB10P3	0.0545326	0.0	0.0449988	0.0	0.0	0.0	0.0	0.0
ABCB10P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCB11	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0
ABCB4	18.00002	28.816769999999998	3.0	10.89165	48.946690000000004	50.0000674	24.0	17.00004
ABCB5	15.44084	26.18661	14.85186	21.973100000000002	22.90065	23.916400000000003	28.4568	23.82011
ABCB6	162.425	175.2862401519035	118.03403	76.85505	619.86529	646.4715244209842	1012.14891	997.8891
ABCB7	453.99986049143	446.9993400157256	517.9999497	474.9999885	486.0003122	490.99949014683403	639.0000251856011	583.0003
ABCB8	298.44773404	287.9447	188.6703853	218.68453940937002	521.172	516.36330559	614.3653400000001	608.95268
ABCB9	349.6021109	353.3336877188474	322.404080528608	309.2642828	521.6738592461478	526.2929206	523.58736777151	519.6575911596149
ABCC1	119.24516743880001	84.99999173229	106.0104932673021	118.99987499999999	282.42486626396	281.9997960680972	417.00118000000003	338.1147216515922
ABCC10	114.383255	117.66564	173.19196	133.48406	259.00855	238.96161	290.73900000000003	297.7192
ABCC11	39.272297	38.669886552506995	46.04612899999999	35.624400171501	32.69724	40.993609133	65.7427200253907	71.5145
ABCC12	0.0	0.0	0.0	2.999996	0.0	1.0	0.0	0.0
ABCC13	8.13327	8.21454	12.37222	14.13152	4.06605	10.27834	4.022077	4.1788
ABCC2	13.015791	16.11736	5.05131	6.214288	80.23445	77.13373	22.0	35.99997
ABCC3	17.899967	12.193788999999999	7.82675	22.7295	104.487928	119.4872566607	93.920830742988	80.434166
ABCC4	663.87924	687.17242	726.56449	744.91053	495.97679999999997	504.29748	414.6969	389.301568198
ABCC5	2259.6923800580003	2430.007450477284	3090.34868296599	2987.090320027784	2877.0131000294623	2885.16731138299	1651.1781	1568.6127452722178
ABCC6	36.2847	21.87162	43.902684	46.52878	37.751239999999996	38.21626	25.89434	34.98708
ABCC6P1	11.0127223	0.0	22.921372	10.552	8.50206	1.44632	0.0	7.47435
ABCC6P2	1.1211609543149998	9.36894522129	0.0	4.375661121789999	9.69748195685	17.559103557780002	0.0	4.605510978123999
ABCC8	7.999995999999999	9.0	31.000051	26.999996	22.000006	17.999995	29.999966999999998	33.999994303278996
ABCC9	118.28	83.2622	135.89	174.628	86.7833	104.037	73.1781	78.0974
ABCD1	104.0	111.00049999999999	89.0	80.0	247.99958	257.99971	209.0005	196.8913
ABCD1P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCD1P3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCD1P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCD1P5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.10884
ABCD2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCD3	890.2404	898.2297199999999	1313.33538	1268.14204	1303.07774	1345.18372	1965.47302	1833.2647701541
ABCD4	266.21963	244.21798280000002	261.070084	255.27704	261.92518	324.0743804	352.22070059	308.96116
ABCE1	4127.05376	4329.05007	5274.94481	4835.4006	4023.11266	3956.78384	5145.71339	5156.86173
ABCF1	1184.217827865	1157.41829193891	1333.811809678358	1274.423446897898	1962.66197089695	1890.2412973654202	2341.5405	2239.7199468513722
ABCF2	1179.3455999999999	1159.6163999999999	1055.18623	969.8266	2042.283290872831	2028.714	2349.4922	2259.3946
ABCF2P1	0.0	0.0	0.0	0.0	1.10221	2.20494	0.0	0.0
ABCF2P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCF3	799.9995182	798.0	958.9999	800.00056982	1052.00047	1033.99960667	1143.00089	1081.99949
ABCG1	117.67920000000001	107.815253200696	156.00182	150.5738	457.35264178299997	464.22596999999996	250.69516021048202	240.20337
ABCG2	751.9999	768.0000900000001	719.99967	733.00035	1212.003688	1249.00280117619	840.9999310000001	775.0004
ABCG4	0.0	1.999997	4.0	0.0	0.0	0.0	1.999997	1.0
ABCG5	4.0583	4.42493	4.0	7.5115	10.9405	4.37042	4.39441	3.01982
ABCG8	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
ABHD1	65.16310757891401	57.12801	55.86169486535	51.0553	79.0378	66.0629	92.41676000000001	86.36232000000001
ABHD10	911.99956	884.9997	1010.9999	946.0004	929.00002	949.9995	954.0004999999999	864.0003
ABHD11	810.820549	748.463265639	455.629168	474.835434	938.5572836	984.89111	1267.2955852	1168.68368182
ABHD11-AS1	9.0	12.00002	4.0	4.0	3.0	5.0	6.0	3.0
ABHD12	840.9996408260521	755.00024	554.00036	500.00034999999997	633.99964	664.0005	705.00048	665.9996199999999
ABHD12B	17.93917	21.07622	28.519849999999998	32.58806	17.40848	21.21921	20.416240000000002	22.45038
ABHD13	208.0	262.0	266.0	285.0	273.0	226.0	291.0	261.0
ABHD14A	30.12554	26.550404999999998	18.8161	13.68395	35.36878	37.57952	21.63847	28.38609
ABHD14A-ACY1	41.514314999999996	17.2564390286698	72.32249951	48.324	43.5838639	52.698487066	35.89176	14.759077
ABHD14B	467.08684999999997	487.99919	337.0002	348.00001	523.99928	519.46963806	547.00025	493.6039
ABHD15	225.368	202.964	257.882	194.13	208.175	200.08	231.488	210.059
ABHD16A	602.00067901822	511.2960232782087	587.0007160940594	496.00024247908	828.0005739313195	790.9991825668108	753.1457659319909	766.999700273565
ABHD16B	56.0	49.0	34.0	36.0	62.0	68.0	86.0	68.0
ABHD17A	824.5758	789.90968	653.0265	625.6600999999999	655.66391	652.53815	674.7488000000001	617.5756
ABHD17AP1	3.99729	0.0	7.97322	0.0	12.9544	5.65366	12.3801	6.07207
ABHD17AP3	1.4264	0.0	0.0	1.34053	1.38105	2.80762	2.87085	1.35186
ABHD17AP4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17AP5	0.0	2.08918	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17AP6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17AP7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17AP8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17AP9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17B	180.561	181.2766	218.64000000000001	179.1282	200.2446	165.4032	248.8982	249.6558
ABHD17C	343.9997128	336.00009	220.99969000000002	241.99981	238.00022	214.00003	295.99958	275.00005
ABHD18	371.51040010458297	389.6015	372.3924000269357	315.8904000225698	432.3185	437.04380000000003	404.3685	448.38530000000003
ABHD2	1532.62332	1531.17698	909.90788	860.0172199999998	1050.0666700000002	954.2961690000001	1838.30726	1818.1254199999998
ABHD3	133.25081	153.83864	150.77914109002	117.135	236.3201209	221.03717	282.61077	228.40928
ABHD4	62.00005	47.9999803148	75.00003000000001	58.00004	228.00026	223.99971	176.000354	171.99997
ABHD5	288.99986	314.99975	383.0002	321.00004	484.09277	563.7297299999999	442.21916	435.50505
ABHD6	49.09856	27.000030000000002	53.119537	28.0	65.141262	54.00582	74.00597950000001	49.000006
ABHD8	28.51206	21.5488	21.1396	21.5566	36.828269999999996	46.11246	73.8602	67.79013
ABI1	1238.00065	1227.998439	1286.00005	1217.52725	1930.9996500142115	1875.99903	1986.0001939493	1857.000233756
ABI1P1	0.0	1.00183	0.0	0.0	0.0	0.0	0.0	0.0
ABI2	559.06971632	595.2060187	662.592813	589.143090460737	1085.81477	1078.00164	1493.1248728136566	1432.147204
ABI3	1.0	1.0	1.0	2.0	0.0	1.0	2.0	0.0
ABI3BP	14.61278	14.04271	10.852026	19.20959	16.12963	7.515204000000001	13.23891	12.12992
ABL1	702.0003999999999	659.00025	704.0001	616.00023	786.9999	815.9999	940.9991	896.0000699999999
ABL2	387.046580643764	363.03355058	406.20828776508205	366.467127366	399.6419437178729	425.311014386	362.77351	394.9597919
ABLIM1	738.6336	865.0223299999999	638.83918	579.45860425	401.86892	398.63935200000003	491.3631	534.4991
ABLIM2	37.999956999999995	44.000077000000005	29.999999000000003	35.0	37.99994285	30.999994	33.00003008031	28.99998324
ABLIM3	14.000023	21.0	1.0	5.999998	245.999883112	231.999970757441	194.9999295098	183.99994
ABO	14.3681	11.5241	12.521	26.436	12.1261	13.3435	19.3955	10.0885
ABR	833.010580411	737.989671758	822.58586651004	707.0633663000185	845.933662464874	844.4499278969	938.58009592616	872.7961538728479
ABRA	7.05411	5.01663	6.00791	9.1352	6.06451	4.00559	2.00064	1.01911
ABRACL	750.0	782.0	1160.0	1084.00232	965.0	896.0	1155.0	1098.0
ABRAXAS1	442.60051000000004	522.79756	413.13824	472.32950033147	334.34963	347.05103	350.76321	372.95918
ABRAXAS2	533.0	600.0	540.0	515.0	698.0	738.0	819.0	811.0
ABT1	883.723	914.813	930.923	930.679	829.948	850.395	978.0	973.893
ABT1P1	0.0	0.0	3.0132	2.01608	4.0203	1.01261	0.0	1.00407
ABTB1	56.999970000000005	50.999930000000006	47.000017	55.0	46.99999	48.999933999999996	41.000072	46.0
ABTB2	98.0	108.999978	114.0	119.0	201.0	199.0004	249.0	268.0
AC000041.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000041.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000077.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000078.1	4.0	3.0	1.0	0.0	4.0	0.0	4.0	0.0
AC000081.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
AC000089.1	13.6396	16.754	16.8625	9.62684	28.2589	12.0932	11.6463	6.83349
AC000095.1	1.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0
AC000095.2	0.0	3.0	1.0	3.0	3.0	1.0	2.0	1.0
AC000111.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000111.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000362.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000367.1	59.2689	71.8757	47.7009	54.7874	32.8626	25.654	31.0	24.0
AC000374.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC001226.2	35.19882	26.86923	49.601530000000004	33.939220000000006	42.241386999999996	53.8329	36.43298	35.28348
AC002056.1	0.0	0.0	0.0	0.0	0.753757	0.0	1.5587	0.0
AC002056.3	0.0	0.0	0.0	0.0	0.753757	0.0	1.5587	0.0
AC002069.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002069.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002075.1	1.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
AC002075.2	1.00539	4.01918	1.00454	2.01042	2.00947	4.02146	1.00531	1.00515
AC002076.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002094.3	0.0	0.0	0.0	0.0	0.0	4.10326	0.0	0.0
AC002115.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002127.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002310.3	1.48136	1.15452	0.0	1.13627	0.0	4.67774	3.46515	5.83699
AC002310.4	4.47292	0.0	0.0	0.0	5.21814	0.0	7.6849	9.79255
AC002310.5	1.38528	0.0	1.28823	0.0	0.0	2.02318	0.0	2.25586
AC002350.1	6.86298	0.0	1.00085	1.00088	1.00135	1.00087	5.00662	1.00054
AC002366.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002367.1	0.0	0.0	0.0	0.0	0.0	0.0	1.18333	0.0
AC002381.1	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.5
AC002400.1	2.0	4.0	3.0	6.0	5.0	6.0	4.0	8.0
AC002429.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002429.2	14.47131	13.999981	10.2905348	10.82677	7.55862	4.93583	7.450371	6.3379
AC002456.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002472.2	10.0	5.0	9.0	8.0	3.0	0.0	1.0	1.0
AC002472.3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002472.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002486.1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
AC002486.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002487.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002504.1	0.0	0.0	0.0	1.04256	0.0	0.0	0.0	0.0
AC002511.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002519.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002524.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21618
AC002542.1	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
AC002543.1	19.0	13.2154	7.92922	7.0	19.823	14.5369	21.0	19.0
AC002545.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002553.2	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
AC002553.3	0.0	0.0	3.20468	1.8855	2.0828	0.511027	0.0	2.89511
AC002558.1	9.00061	6.85399	10.0	7.00104	9.00045	4.00039	16.0084	16.0013
AC002984.1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
AC002985.1	0.0	2.20731	2.64306	2.29881	6.16171	0.0	0.0	6.6916
AC002996.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003001.2	0.0	1.24461	0.0	1.0	0.0	2.0	0.0	1.0
AC003002.1	110.6865	112.87169	96.09049999999999	119.1739	116.4827	83.2004	124.16730000000001	102.3167
AC003002.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003002.3	13.7626	0.0	24.7009	20.9424	10.1445	29.0396	37.2822	32.4135
AC003002.4	0.0	2.49723	11.83972	1.28131	1.26516	0.0	1.26742	7.73334
AC003005.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003006.1	20.384279999999997	27.5004	18.12449	18.68801	10.106100000000001	16.083190000000002	28.621969999999997	33.821419999999996
AC003029.1	1.0	0.0	1.0	2.0	1.0	3.0	4.0	3.0
AC003042.2	3.12482	2.07935	3.12032	3.38315	8.31308	4.15961	3.64356	3.64827
AC003045.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003071.1	6.10083	3.30044	10.3547	6.60546	2.52245	1.01622	7.36929	3.04696
AC003071.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003072.1	6.27966	1.85833	2.82161	3.11353	4.0	2.0	6.47939	3.44905
AC003080.1	2.00028	2.00066	2.00048	2.08775	3.13396	3.0005	2.00039	2.00051
AC003102.2	12.381	13.278	26.8354	10.9198	30.172	11.5903	16.585	11.3329
AC003669.1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
AC003685.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003686.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003688.1	3.72473	13.8443	7.11446	0.0	3.26519	9.17656	22.0171	7.54293
AC003958.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003958.3	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0
AC003958.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003976.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003982.1	4.0014199999999995	0.0	2.00042	1.0	0.0	0.0	0.0	1.0
AC003989.1	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0
AC003989.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004004.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004006.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004022.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004022.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004024.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004057.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004062.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004066.1	0.0	2.1655	0.0	0.0	0.0	0.0	1.09583	0.0
AC004069.2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004074.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004076.1	0.0	2.07667	0.0	0.0	0.0	0.0	1.52681	2.03692829
AC004080.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004099.1	0.5	0.5	0.0	0.0	0.0	1.0	1.5	0.0
AC004129.1	1.1611	0.0	0.0	0.0	2.00024	1.00012	0.0	1.00016
AC004129.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004134.1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
AC004217.1	7.46725	8.18387	4.30462	1.19008	4.12532	4.20327	7.64302	9.2083
AC004217.3	0.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0
AC004223.1	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
AC004223.3	0.0	7.03837	0.0	0.0	7.90212	2.09507	0.0	30.0579
AC004224.1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AC004232.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004233.2	9.0	5.0	3.0	2.0	12.0	15.0	5.0	7.0
AC004263.1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AC004381.2	1.0	0.0	1.0	1.0	2.0	1.0	2.0	0.0
AC004383.1	0.0	1.0	1.0	1.0	1.0	0.0	0.0	2.0
AC004386.1	5.00759	1.48722	1.00139	4.00662	1.00125	2.00274	1.00092	2.00215
AC004386.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004448.1	41.217	32.1177	18.8083	9.75184	39.797	27.4699	31.2995	32.8194
AC004448.2	1.256	1.25919	2.58194	0.0	3.40543	3.78177	2.54283	1.25957
AC004453.1	21.5644	19.0372	14.8614	9.47615	10.7729	14.868	12.7961	12.1417
AC004461.1	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004467.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004486.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004522.1	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
AC004534.1	0.0	0.0	1.00008	0.0	0.0	1.0	0.0	0.0
AC004552.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004554.1	0.0	0.0	0.0	0.0	0.0	1.0	2.01358	0.0
AC004556.1	45.8531	49.7189	59.2622	47.7928	15.2514	31.5871	29.8663	20.5217
AC004584.2	0.0	1.0	4.0	2.0	7.0	2.0	3.0	5.0
AC004674.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004675.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004678.1	1.8737	1.0	5.0	5.0	1.0	4.46334	1.1694	2.48938
AC004686.1	25.417	15.2784	22.2252	15.3402	44.6625	56.831	74.2131	61.1801
AC004690.1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AC004691.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004692.1	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0
AC004696.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004706.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004706.3	29.009234	24.498089999999998	33.583369	24.850849999999998	43.30122	43.78154	37.96646	47.093
AC004706.4	14.0	21.0	16.0	20.0	24.0	19.0	27.0	20.0
AC004754.1	2.90196	7.583	0.0	0.0	0.0	3.19708	2.61158	0.0
AC004790.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004801.1	1.0	0.0	0.0	1.0	0.0	2.0	3.0	0.0
AC004801.2	4.0	10.0	8.0	12.99998	6.0	8.0	3.0000039999999997	7.0
AC004805.1	0.0	0.0	0.0	3.31373e-08	8.89882	1.39879	0.0	0.0
AC004805.2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.00415
AC004805.3	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0
AC004812.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004815.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004825.1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AC004832.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004832.3	22.1258000789444	12.4078	0.0	10.4997000712002	28.2979	9.550971590809999	7.37588	14.0487
AC004835.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004837.1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AC004840.1	1.0	0.0	0.0	0.0	1.0	1.0	2.0	2.0
AC004840.2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AC004852.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004852.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004853.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004853.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
