gene	T47D	MCF7
AC004987.1	overlap	overlap
AC004987.2	overlap	overlap
AC004987.3	overlap	overlap
AC004987.4	both_KO_below_both_WT	both_KO_above_both_WT
AC004997.1	both_KO_above_both_WT	overlap
AC005000.1	overlap	overlap
AC005000.2	overlap	overlap
AC005002.1	overlap	overlap
AC005002.2	overlap	overlap
AC005005.1	overlap	overlap
AC005005.2	overlap	overlap
AC005008.1	overlap	overlap
AC005011.1	overlap	overlap
AC005014.1	overlap	overlap
AC005017.1	overlap	overlap
AC005019.1	overlap	overlap
AC005020.1	overlap	overlap
AC005020.2	overlap	overlap
AC005033.1	overlap	overlap
AC005034.1	overlap	overlap
AC005040.1	overlap	overlap
AC005041.1	both_KO_below_both_WT	both_KO_below_both_WT
AC005041.2	overlap	both_KO_above_both_WT
AC005042.1	overlap	overlap
AC005042.3	overlap	overlap
AC005066.1	overlap	overlap
AC005070.1	overlap	both_KO_above_both_WT
AC005070.2	overlap	overlap
AC005077.1	overlap	overlap
AC005077.2	overlap	overlap
AC005077.3	overlap	overlap
AC005077.4	overlap	overlap
AC005084.1	overlap	overlap
AC005086.2	overlap	overlap
AC005086.3	overlap	both_KO_below_both_WT
AC005086.4	overlap	both_KO_below_both_WT
AC005088.1	overlap	overlap
AC005094.1	overlap	overlap
AC005099.1	overlap	overlap
AC005102.1	overlap	overlap
AC005104.2	overlap	overlap
AC005105.1	overlap	overlap
AC005154.2	both_KO_below_both_WT	overlap
AC005154.3	both_KO_below_both_WT	overlap
AC005154.6	overlap	overlap
AC005156.1	overlap	overlap
AC005165.2	overlap	overlap
AC005176.1	overlap	overlap
AC005176.2	overlap	overlap
AC005178.1	overlap	overlap
AC005181.1	overlap	overlap
AC005183.1	both_KO_below_both_WT	both_KO_below_both_WT
AC005185.1	overlap	overlap
AC005189.1	overlap	overlap
AC005191.1	overlap	overlap
AC005225.4	overlap	overlap
AC005229.1	overlap	overlap
AC005229.2	overlap	overlap
AC005229.3	overlap	overlap
AC005230.1	overlap	overlap
AC005237.2	overlap	overlap
AC005242.1	both_KO_above_both_WT	overlap
AC005244.1	both_KO_above_both_WT	both_KO_below_both_WT
AC005252.1	overlap	overlap
AC005255.1	overlap	overlap
AC005258.1	overlap	overlap
AC005261.5	overlap	overlap
AC005262.1	overlap	overlap
AC005294.1	overlap	overlap
AC005296.1	overlap	overlap
AC005297.1	overlap	overlap
AC005297.2	overlap	overlap
AC005297.3	overlap	overlap
AC005300.1	overlap	overlap
AC005324.3	both_KO_above_both_WT	overlap
AC005324.4	overlap	overlap
AC005324.6	overlap	overlap
AC005326.1	overlap	overlap
AC005332.2	both_KO_below_both_WT	overlap
AC005332.3	both_KO_below_both_WT	both_KO_above_both_WT
AC005332.4	overlap	overlap
AC005336.1	overlap	overlap
AC005336.2	both_KO_below_both_WT	both_KO_above_both_WT
AC005341.1	overlap	overlap
AC005345.1	overlap	overlap
AC005351.1	overlap	both_KO_below_both_WT
AC005357.1	overlap	overlap
AC005357.2	overlap	overlap
AC005363.1	overlap	both_KO_above_both_WT
AC005377.1	overlap	overlap
AC005410.1	overlap	both_KO_above_both_WT
AC005412.1	overlap	both_KO_above_both_WT
AC005412.2	overlap	overlap
AC005412.3	overlap	overlap
AC005476.1	overlap	both_KO_below_both_WT
AC005479.1	overlap	both_KO_above_both_WT
AC005480.2	overlap	overlap
AC005495.1	overlap	overlap
AC005517.1	overlap	overlap
AC005517.2	overlap	overlap
AC005518.2	both_KO_above_both_WT	overlap
AC005519.1	overlap	overlap
AC005520.1	overlap	both_KO_below_both_WT
AC005520.4	overlap	overlap
AC005521.1	overlap	overlap
AC005522.1	overlap	overlap
AC005524.1	overlap	overlap
AC005531.1	both_KO_above_both_WT	overlap
AC005532.2	overlap	overlap
AC005534.2	both_KO_below_both_WT	overlap
AC005539.1	overlap	overlap
AC005550.2	overlap	overlap
AC005551.1	overlap	overlap
AC005559.1	overlap	overlap
AC005562.2	overlap	overlap
AC005587.1	overlap	overlap
AC005588.1	overlap	overlap
AC005618.2	overlap	overlap
AC005622.1	overlap	overlap
AC005632.1	overlap	overlap
AC005632.3	overlap	overlap
AC005668.1	overlap	overlap
AC005670.2	overlap	overlap
AC005682.1	both_KO_below_both_WT	overlap
AC005697.1	overlap	overlap
AC005702.2	overlap	both_KO_above_both_WT
AC005702.3	overlap	both_KO_above_both_WT
AC005702.4	overlap	overlap
AC005702.5	overlap	both_KO_above_both_WT
AC005722.1	overlap	overlap
AC005726.1	overlap	both_KO_below_both_WT
AC005726.2	overlap	both_KO_below_both_WT
AC005730.1	overlap	overlap
AC005740.1	overlap	both_KO_below_both_WT
AC005740.2	overlap	overlap
AC005741.1	overlap	overlap
AC005758.1	overlap	overlap
AC005771.1	overlap	overlap
AC005776.1	overlap	overlap
AC005777.1	overlap	overlap
AC005779.2	both_KO_below_both_WT	overlap
AC005786.1	overlap	overlap
AC005798.1	overlap	overlap
AC005822.1	overlap	overlap
AC005828.6	overlap	overlap
AC005828.7	both_KO_above_both_WT	overlap
AC005829.1	both_KO_below_both_WT	overlap
AC005829.2	overlap	overlap
AC005832.2	overlap	overlap
AC005832.3	overlap	overlap
AC005832.4	overlap	both_KO_below_both_WT
AC005833.1	both_KO_above_both_WT	overlap
AC005833.3	both_KO_above_both_WT	overlap
AC005837.2	both_KO_below_both_WT	overlap
AC005838.1	overlap	overlap
AC005840.1	overlap	overlap
AC005840.2	overlap	overlap
AC005840.4	overlap	overlap
AC005841.2	overlap	overlap
AC005865.2	both_KO_above_both_WT	overlap
AC005868.1	overlap	overlap
AC005885.1	overlap	overlap
AC005899.2	overlap	overlap
AC005906.1	overlap	overlap
AC005908.1	overlap	overlap
AC005912.1	both_KO_above_both_WT	overlap
AC005921.1	overlap	overlap
AC005943.1	overlap	overlap
AC005951.1	overlap	overlap
AC005951.2	overlap	overlap
AC005962.1	overlap	overlap
AC005972.2	overlap	overlap
AC005972.3	overlap	overlap
AC005996.1	both_KO_below_both_WT	overlap
AC006001.1	overlap	overlap
AC006001.3	both_KO_below_both_WT	both_KO_above_both_WT
AC006001.4	overlap	both_KO_below_both_WT
AC006006.1	overlap	overlap
AC006011.1	overlap	overlap
AC006011.2	overlap	both_KO_below_both_WT
AC006015.1	overlap	overlap
AC006020.1	overlap	overlap
AC006022.1	overlap	overlap
AC006023.1	overlap	overlap
AC006023.2	overlap	overlap
AC006026.1	both_KO_below_both_WT	both_KO_above_both_WT
AC006026.2	overlap	overlap
AC006028.1	overlap	overlap
AC006030.1	overlap	both_KO_above_both_WT
AC006033.1	overlap	overlap
AC006042.3	overlap	overlap
AC006065.1	overlap	overlap
AC006065.2	overlap	overlap
AC006070.1	overlap	overlap
AC006077.1	overlap	overlap
AC006115.2	overlap	overlap
AC006116.1	overlap	both_KO_below_both_WT
AC006116.2	overlap	overlap
AC006116.3	overlap	overlap
AC006116.7	overlap	overlap
AC006120.1	overlap	overlap
AC006122.1	overlap	overlap
AC006130.2	overlap	overlap
AC006133.1	overlap	overlap
AC006144.1	overlap	overlap
AC006158.1	overlap	overlap
AC006160.2	overlap	overlap
AC006195.1	both_KO_below_both_WT	both_KO_above_both_WT
AC006197.1	overlap	overlap
AC006199.1	overlap	overlap
AC006210.1	overlap	overlap
AC006210.2	overlap	overlap
AC006236.1	overlap	overlap
AC006254.1	both_KO_below_both_WT	both_KO_above_both_WT
AC006254.2	overlap	overlap
AC006254.3	both_KO_below_both_WT	both_KO_below_both_WT
AC006262.4	overlap	overlap
AC006269.1	overlap	overlap
AC006270.2	overlap	both_KO_below_both_WT
AC006270.3	overlap	both_KO_below_both_WT
AC006272.2	overlap	overlap
AC006326.1	overlap	overlap
AC006328.1	overlap	overlap
AC006328.2	overlap	overlap
AC006329.2	overlap	overlap
AC006335.1	overlap	overlap
AC006335.2	overlap	overlap
AC006335.3	overlap	overlap
AC006338.1	overlap	overlap
AC006338.2	overlap	overlap
AC006349.1	overlap	overlap
AC006355.1	overlap	overlap
AC006362.1	overlap	overlap
AC006363.1	overlap	overlap
AC006366.1	overlap	overlap
AC006380.1	overlap	overlap
AC006386.1	overlap	overlap
AC006386.2	overlap	overlap
AC006390.1	overlap	overlap
AC006427.1	overlap	overlap
AC006441.2	overlap	overlap
AC006441.5	overlap	overlap
AC006445.1	overlap	overlap
AC006445.2	overlap	both_KO_below_both_WT
AC006449.4	overlap	both_KO_below_both_WT
AC006453.1	overlap	overlap
AC006453.3	overlap	overlap
AC006453.4	overlap	overlap
AC006453.5	overlap	overlap
AC006455.2	overlap	overlap
AC006455.3	overlap	overlap
AC006455.6	overlap	overlap
AC006455.7	overlap	overlap
AC006457.1	overlap	overlap
AC006461.1	overlap	overlap
AC006463.1	overlap	overlap
AC006463.2	overlap	overlap
AC006466.1	overlap	overlap
AC006480.1	overlap	overlap
AC006483.1	overlap	overlap
AC006484.1	overlap	overlap
AC006486.1	overlap	overlap
AC006499.1	overlap	overlap
AC006499.2	overlap	overlap
AC006499.3	overlap	overlap
AC006499.4	overlap	overlap
AC006499.5	overlap	overlap
AC006499.6	overlap	overlap
AC006499.7	overlap	overlap
AC006499.8	overlap	overlap
AC006504.3	overlap	overlap
AC006504.4	overlap	overlap
AC006504.6	overlap	overlap
AC006509.1	overlap	both_KO_above_both_WT
AC006509.2	overlap	overlap
AC006511.1	overlap	overlap
AC006511.2	both_KO_below_both_WT	overlap
AC006512.1	overlap	overlap
AC006512.2	overlap	overlap
AC006517.1	overlap	overlap
AC006518.1	overlap	both_KO_below_both_WT
AC006518.2	both_KO_above_both_WT	both_KO_below_both_WT
AC006518.3	overlap	both_KO_below_both_WT
AC006518.4	both_KO_above_both_WT	both_KO_below_both_WT
AC006518.5	overlap	both_KO_below_both_WT
AC006518.6	both_KO_above_both_WT	both_KO_below_both_WT
AC006529.1	overlap	overlap
AC006530.1	overlap	overlap
AC006534.1	both_KO_below_both_WT	overlap
AC006538.2	overlap	overlap
AC006539.1	both_KO_below_both_WT	both_KO_above_both_WT
AC006539.2	overlap	overlap
AC006539.3	overlap	overlap
AC006548.1	overlap	overlap
AC006548.2	overlap	overlap
AC006557.2	overlap	overlap
AC006557.4	overlap	overlap
AC006557.5	both_KO_above_both_WT	overlap
AC006600.1	overlap	overlap
AC006924.1	overlap	overlap
AC006927.1	overlap	overlap
AC006927.2	overlap	overlap
AC006927.3	overlap	overlap
AC006927.4	overlap	overlap
AC006946.1	overlap	overlap
AC006960.1	overlap	overlap
AC006965.1	overlap	overlap
AC006967.1	overlap	overlap
AC006970.1	overlap	overlap
AC006970.2	both_KO_above_both_WT	overlap
AC006971.1	both_KO_below_both_WT	overlap
AC006978.1	both_KO_below_both_WT	both_KO_above_both_WT
AC006978.2	both_KO_below_both_WT	overlap
AC006986.1	overlap	overlap
AC006987.1	both_KO_below_both_WT	both_KO_below_both_WT
AC006987.2	overlap	both_KO_above_both_WT
AC006987.3	overlap	overlap
AC006987.4	overlap	overlap
AC006989.1	overlap	overlap
AC006994.1	overlap	overlap
AC007000.1	both_KO_below_both_WT	overlap
AC007000.2	overlap	overlap
AC007012.1	overlap	overlap
AC007016.1	overlap	overlap
AC007040.2	overlap	overlap
AC007041.1	overlap	both_KO_below_both_WT
AC007064.1	overlap	overlap
AC007064.3	overlap	overlap
AC007064.4	overlap	overlap
AC007066.1	overlap	overlap
AC007068.1	both_KO_above_both_WT	both_KO_below_both_WT
AC007068.2	overlap	overlap
AC007098.1	overlap	overlap
AC007115.1	overlap	overlap
AC007136.1	overlap	overlap
AC007151.1	overlap	overlap
AC007160.1	overlap	overlap
AC007161.1	overlap	both_KO_below_both_WT
AC007161.2	overlap	overlap
AC007179.3	overlap	overlap
AC007182.2	overlap	overlap
AC007192.1	overlap	overlap
AC007204.1	both_KO_above_both_WT	overlap
AC007204.2	overlap	overlap
AC007207.1	overlap	overlap
AC007215.1	overlap	overlap
AC007216.5	overlap	overlap
AC007224.1	overlap	overlap
AC007225.1	overlap	both_KO_above_both_WT
AC007225.2	overlap	overlap
AC007228.1	overlap	overlap
AC007229.1	overlap	overlap
AC007237.1	overlap	overlap
AC007238.1	overlap	both_KO_below_both_WT
AC007240.1	overlap	overlap
AC007241.1	overlap	overlap
AC007253.1	overlap	overlap
AC007255.2	overlap	overlap
AC007256.1	both_KO_above_both_WT	overlap
AC007262.1	overlap	overlap
AC007274.1	overlap	overlap
AC007274.2	overlap	overlap
AC007274.3	overlap	overlap
AC007275.1	overlap	overlap
AC007279.1	overlap	both_KO_above_both_WT
AC007283.2	overlap	overlap
AC007312.1	overlap	overlap
AC007318.1	both_KO_above_both_WT	both_KO_below_both_WT
AC007318.2	overlap	both_KO_below_both_WT
AC007322.1	overlap	overlap
AC007322.2	overlap	overlap
AC007322.3	overlap	overlap
AC007322.4	overlap	overlap
AC007325.1	both_KO_below_both_WT	overlap
AC007325.2	overlap	overlap
AC007325.3	overlap	overlap
AC007325.4	overlap	overlap
AC007326.1	overlap	overlap
AC007326.3	overlap	overlap
AC007326.4	both_KO_above_both_WT	both_KO_below_both_WT
AC007327.1	overlap	overlap
AC007342.2	overlap	overlap
AC007342.3	both_KO_above_both_WT	overlap
AC007346.1	overlap	overlap
AC007346.2	overlap	overlap
AC007347.2	overlap	overlap
AC007363.1	overlap	overlap
AC007365.2	overlap	overlap
AC007375.1	overlap	overlap
AC007375.2	overlap	overlap
AC007376.1	overlap	overlap
AC007383.1	overlap	overlap
AC007383.6	both_KO_below_both_WT	both_KO_below_both_WT
AC007386.1	overlap	overlap
AC007387.1	overlap	overlap
AC007389.2	overlap	overlap
AC007389.4	overlap	overlap
AC007390.1	overlap	overlap
AC007394.1	overlap	both_KO_below_both_WT
AC007395.1	overlap	overlap
AC007424.1	overlap	overlap
AC007435.1	overlap	overlap
AC007448.1	overlap	overlap
AC007450.2	overlap	overlap
AC007450.3	overlap	overlap
AC007450.4	overlap	both_KO_above_both_WT
AC007458.1	overlap	overlap
AC007494.1	both_KO_above_both_WT	overlap
AC007536.1	overlap	overlap
AC007537.1	overlap	overlap
AC007537.2	overlap	both_KO_below_both_WT
AC007537.3	overlap	both_KO_below_both_WT
AC007537.4	overlap	overlap
AC007537.5	overlap	overlap
