cohort,n,events,endpoint,feature,model,hr,hr_lo,hr_hi,p,cindex,logrank_p_median,hr_median_hi_vs_lo,n_hi,n_lo
Yale_LUAD,25,16,PFS,cd8_cytotoxic,continuous_z,0.7878025411448945,0.48518429529092144,1.2791692762071274,0.3348412648223299,0.5785123966942148,0.7026419510790498,0.824486531316595,12,13
Yale_LUAD,25,12,OS,ayers_ifng,continuous_z,0.6783842922815545,0.3636044647275132,1.2656754596212823,0.22264888044617628,0.5869565217391305,0.3978434467696417,0.6102202612160955,12,13
Yale_LUAD,25,16,PFS,ayers_ifng,continuous_z,0.5204445344427863,0.2852170866646983,0.9496714120419967,0.03331659178473132,0.6446280991735537,0.2675923139344378,0.5650592068110961,12,13
Yale_LUAD,25,12,OS,tcell,continuous_z,0.886718740370328,0.518670296971502,1.5159343596788661,0.6603594917091493,0.5597826086956522,0.9644922101218417,0.9745130776200687,12,13
Yale_LUAD,25,16,PFS,tcell,continuous_z,0.8614987583709935,0.5492479353585661,1.35126609113286,0.5162458526600502,0.5330578512396694,0.8319129522330453,0.8980111651545565,12,13
Yale_LUAD,25,12,OS,CXCL9,continuous_z,0.7138502495606183,0.3629623162055162,1.403953402449696,0.3286781213677353,0.5869565217391305,0.3078908564669116,0.5495674645891878,12,13
Yale_LUAD,25,16,PFS,CXCL9,continuous_z,0.5050421113114544,0.25911188276726604,0.9843914971164515,0.04483870333513857,0.628099173553719,0.2256334054659481,0.5365094896685685,12,13
UQ,30,15,OS,TACSTD2,continuous_z,1.3698702599076078,0.8668033778068941,2.1649021877685763,0.1777233542951095,0.6447368421052632,0.06243363131574632,2.6755395206348647,15,15
UQ,30,26,PFS,TACSTD2,continuous_z,1.2471411647326398,0.8397079608159197,1.8522643077712238,0.2738125547899957,0.5289672544080605,0.22714332796280334,1.7007924688956035,15,15
UQ,30,15,OS,CD8A,continuous_z,0.5199271976322506,0.3124362791778312,0.8652141535838203,0.011831384573035775,0.6973684210526315,0.01995781385096392,0.30023263620529533,15,15
UQ,30,26,PFS,CD8A,continuous_z,0.7557460234987936,0.526281675351195,1.0852592419318068,0.1293136007763539,0.5843828715365239,0.05078254840531162,0.44447068505606496,15,15
UQ,30,15,OS,cd8_cytotoxic,continuous_z,0.47135101902018484,0.2342436610608015,0.9484644413651757,0.03500740209334732,0.6710526315789473,0.010748716273740746,0.23939636385647053,15,15
UQ,30,26,PFS,cd8_cytotoxic,continuous_z,0.8484499242072411,0.5460700978540814,1.3182689854584073,0.46480193641665235,0.5491183879093199,0.36314822428190763,0.7214573916934287,15,15
UQ,30,15,OS,ayers_ifng,continuous_z,0.8720167631449657,0.5463836807538804,1.3917202544494602,0.5658624133857731,0.5745614035087719,0.3971968489904658,0.6435629682079157,15,15
UQ,30,26,PFS,ayers_ifng,continuous_z,1.204576280461398,0.7780681773736606,1.8648802992406464,0.40390928095861234,0.4811083123425693,0.6286137499394138,1.2342621255228636,15,15
UQ,30,15,OS,tcell,continuous_z,0.5417051173939947,0.25923499928432375,1.1319630259068438,0.10303410315058342,0.5745614035087719,0.23044802977775986,0.5350720342331209,15,15
UQ,30,26,PFS,tcell,continuous_z,0.9467999198650138,0.6309980547335289,1.4206542817869061,0.7917437250444916,0.5566750629722922,0.8091623116400761,1.1257627706545692,15,15
UQ,30,15,OS,CXCL9,continuous_z,0.8764208913073539,0.5378972338283092,1.4279931749289305,0.5963935438845687,0.6271929824561403,0.1795064653546254,0.4979288668683633,15,15
UQ,30,26,PFS,CXCL9,continuous_z,1.2467210333598338,0.81224487724879,1.9136018934173302,0.3131104605321239,0.49622166246851385,0.9303136089445558,1.044529381438965,15,15
UQ_1st,10,3,OS,TACSTD2,continuous_z,,,,,,1.0,1.0,5,5
UQ_1st,10,8,PFS,TACSTD2,continuous_z,0.7864558442291177,0.40493361049853205,1.5274424717687802,0.4781597125982706,0.6578947368421053,0.38993730194455156,0.5768888360370321,5,5
UQ_1st,10,3,OS,CD8A,continuous_z,,,,,,0.8083651559145104,0.618034551497923,5,5
UQ_1st,10,8,PFS,CD8A,continuous_z,0.8913129988380246,0.5080997186765414,1.563549107972201,0.6882321104232738,0.5526315789473685,0.4995125185180048,0.5741844866475819,5,5
UQ_1st,10,3,OS,cd8_cytotoxic,continuous_z,,,,,,0.8964169676673137,0.7675680697039879,5,5
UQ_1st,10,8,PFS,cd8_cytotoxic,continuous_z,1.026925247497601,0.4920791877198861,2.1431011314144857,0.9435698292857185,0.5263157894736842,0.8962124918344346,1.1023756195249295,5,5
UQ_1st,10,3,OS,ayers_ifng,continuous_z,,,,,,0.15212149388422505,18480671.04178367,5,5
UQ_1st,10,8,PFS,ayers_ifng,continuous_z,0.8530571361494296,0.43510907908349966,1.672469071590703,0.6435887751322662,0.6052631578947368,0.6842365265845113,0.8167540697805984,5,5
UQ_1st,10,3,OS,tcell,continuous_z,,,,,,0.8083651559145104,0.618034551497923,5,5
UQ_1st,10,8,PFS,tcell,continuous_z,0.6765887960870214,0.2672979525627591,1.7125922387415375,0.40963808667671875,0.5789473684210527,0.4995125185180048,0.5741844866475819,5,5
UQ_1st,10,3,OS,CXCL9,continuous_z,,,,,,0.15212149388422505,18480671.04178367,5,5
UQ_1st,10,8,PFS,CXCL9,continuous_z,1.0416769042934293,0.43227147507973934,2.510206746207762,0.9275003859873485,0.5263157894736842,0.41396263235082875,1.9100324563468452,5,5
Greek,61,33,OS,TACSTD2,continuous_z,0.9230458809146915,0.6924499779415505,1.230433569810146,0.5850590222000018,0.5358931552587646,0.9423781748642711,1.0271918164554192,30,31
Greek,61,45,PFS,TACSTD2,continuous_z,1.045539984921702,0.8211505595964309,1.3312465628804087,0.7178741257081852,0.5106124924196482,0.6401233651681509,1.1500112593359435,30,31
Greek,61,33,OS,CLDN4,continuous_z,1.1045803464477972,0.7543629592851361,1.6173881905799672,0.609203463655926,0.4065108514190317,0.44998938593740634,0.7631145044429992,30,31
Greek,61,45,PFS,CLDN4,continuous_z,1.190528669847179,0.8869868685446497,1.5979475728357366,0.24549787925321834,0.46634323832625835,0.9880761883920073,1.0057410255391084,30,31
Greek,61,33,OS,CD8A,continuous_z,1.183633255948575,0.8775198726962467,1.5965310053694663,0.2695032417299232,0.6277128547579299,0.07363894820623827,1.9032242150091079,30,31
Greek,61,45,PFS,CD8A,continuous_z,1.0866935967245719,0.8606062221426216,1.372175732383311,0.4848105808296883,0.5876288659793815,0.06945475452372543,1.7274975666172119,30,31
Greek,61,33,OS,cd8_cytotoxic,continuous_z,1.38915169247568,0.867826627425957,2.223649705738825,0.17088509067113444,0.5959933222036727,0.16654629715998534,1.648661276022955,30,31
Greek,61,45,PFS,cd8_cytotoxic,continuous_z,1.1361587561656796,0.8416435542579799,1.533733268295514,0.40437067728193254,0.5633717404487568,0.44960678354777706,1.2576833595644377,30,31
Greek,61,33,OS,ayers_ifng,continuous_z,1.2098585571824392,0.7335377239574009,1.9954770976067469,0.4555507406651278,0.5592654424040067,0.46468168343247895,1.2999335158218803,30,31
Greek,61,45,PFS,ayers_ifng,continuous_z,1.5476872333169822,0.9811331271660875,2.441397304656384,0.060372692147261264,0.572468162522741,0.03438936315397628,1.8945752480698457,30,31
Greek,61,33,OS,tcell,continuous_z,1.1836332559485752,0.8775198726962468,1.5965310053694666,0.269503241729923,0.6277128547579299,0.07363894820623827,1.9032242150091079,30,31
Greek,61,45,PFS,tcell,continuous_z,1.086693596724572,0.8606062221426217,1.3721757323833117,0.4848105808296881,0.5876288659793815,0.06945475452372543,1.7274975666172119,30,31
Greek,61,33,OS,CXCL9,continuous_z,1.15585238912296,0.707680641522113,1.8878497828734353,0.5628371018892391,0.5692821368948247,0.4679462280511809,1.2926972459991957,30,31
Greek,61,45,PFS,CXCL9,continuous_z,1.2830334498798555,0.8684980951130632,1.8954271089060943,0.21064036236636838,0.5700424499696786,0.028074316901007423,1.9416314904020675,30,31
Greek_LUAD,42,26,OS,TACSTD2,continuous_z,0.9618905476726174,0.6406256040540055,1.4442654490342999,0.8513781090082013,0.48705501618122976,0.23539559115705316,1.6687528534092904,21,21
Greek_LUAD,42,32,PFS,TACSTD2,continuous_z,0.9716955179842761,0.7079106758064452,1.3337730478426755,0.8589733389666296,0.48180677540777916,0.5202195748845275,1.2591689715066121,21,21
Greek_LUAD,42,26,OS,CLDN4,continuous_z,1.065808547233378,0.6838063227461838,1.6612128633056913,0.7783579256818148,0.4255663430420712,0.5494196383454092,0.7853454334473935,21,21
Greek_LUAD,42,32,PFS,CLDN4,continuous_z,1.0541684166694996,0.7611621173671925,1.459966313808798,0.7508757689107912,0.45420326223337515,0.8132193372208317,0.9219100448257057,21,21
Greek_LUAD,42,26,OS,CD8A,continuous_z,1.6124274757227652,1.0585039446719875,2.4562235951528364,0.026099222183050188,0.6796116504854369,0.044481543217364077,2.4004897200496327,21,21
Greek_LUAD,42,32,PFS,CD8A,continuous_z,1.2884927638377615,0.9341812331966648,1.7771857788035479,0.12235290138796594,0.6198243412797992,0.10464547657566287,1.7962168742822617,21,21
Greek_LUAD,42,26,OS,cd8_cytotoxic,continuous_z,1.3899673593389241,0.9561886661511138,2.0205314373829775,0.08448463347322598,0.6472491909385113,0.07391422379200989,2.158914636879534,21,21
Greek_LUAD,42,32,PFS,cd8_cytotoxic,continuous_z,1.0865480266085634,0.8033045412391462,1.4696625669585244,0.5901253482967062,0.5997490589711418,0.3262605341134681,1.4240346936923254,21,21
Greek_LUAD,42,26,OS,ayers_ifng,continuous_z,0.9935082027266436,0.6518955787163875,1.514135976851829,0.975831538216313,0.4482200647249191,0.5835752059834569,1.2592360597014556,21,21
Greek_LUAD,42,32,PFS,ayers_ifng,continuous_z,1.2065749115871722,0.8217437982655509,1.771626412446785,0.3379661380697741,0.5558343789209536,0.16427656289334897,1.6495386969301455,21,21
Greek_LUAD,42,26,OS,tcell,continuous_z,1.6124274757227652,1.0585039446719875,2.4562235951528364,0.02609922218305018,0.6796116504854369,0.044481543217364077,2.4004897200496327,21,21
Greek_LUAD,42,32,PFS,tcell,continuous_z,1.2884927638377615,0.9341812331966646,1.7771857788035479,0.12235290138796634,0.6198243412797992,0.10464547657566287,1.7962168742822617,21,21
Greek_LUAD,42,26,OS,CXCL9,continuous_z,1.1777857020019868,0.7867854670366169,1.763097080408774,0.4266286549179199,0.6148867313915858,0.10362616539200055,1.954672064679789,21,21
Greek_LUAD,42,32,PFS,CXCL9,continuous_z,1.3342341616522968,0.9015383054150736,1.9746036163160048,0.14938045458990434,0.6122961104140527,0.0012372720950630987,3.398938358688214,21,21
