cohort,group,n,target,feature,spearman_rho,p,q_BH
LUSC,EGFR_ALK_wt,449,TACSTD2,TIGIT,-0.22540805710467907,1.39839355603398e-06,2.5387971368336256e-06
LUSC,EGFR_ALK_wt,449,TACSTD2,FOXP3,-0.22283660193407986,1.8537040686953627e-06,3.0134925808603955e-06
LUSC,EGFR_ALK_wt,449,TACSTD2,CD4,-0.2099452487008166,7.2451690177488435e-06,1.0433043385558335e-05
LUSC,EGFR_ALK_wt,449,TACSTD2,CD3D,-0.22790513310001057,1.0601560754067694e-06,2.120312150813539e-06
LUSC,EGFR_ALK_wt,449,TACSTD2,CD3E,-0.2313914519037013,7.164194986130089e-07,1.61194387187927e-06
LUSC,EGFR_ALK_wt,449,TACSTD2,GZMK,-0.2525338072970949,5.816791073183948e-08,1.7450373219551844e-07
LUSC,EGFR_ALK_wt,449,TACSTD2,NKG7,-0.25126100328772927,6.810866500226108e-08,1.8860861077549223e-07
LUSC,EGFR_ALK_wt,449,TACSTD2,CCL5,-0.22533023120161202,1.4104428537964587e-06,2.5387971368336256e-06
LUSC,EGFR_ALK_wt,449,TACSTD2,CCR5,-0.25667780252412764,3.459511223925012e-08,1.383804489570005e-07
LUSC,EGFR_ALK_wt,449,TACSTD2,ITGAX,-0.04605724513658811,0.33018968709469826,0.33018968709469826
LUSC,EGFR_ALK_wt,449,TACSTD2,CD68,0.05503312695635629,0.24452026543090444,0.2515065587289303
LUSC,EGFR_ALK_wt,449,TACSTD2,CD163,-0.17805559974546606,0.00014898031347413302,0.00018494107879547548
LUSC,EGFR_ALK_wt,449,TACSTD2,MRC1,-0.12655795948668996,0.007252027822128981,0.008158531299895104
LUSC,EGFR_ALK_wt,449,TACSTD2,sig_IFNG_6gene,-0.25874310637395265,2.6611026989440812e-08,1.1974962145248365e-07
LUSC,EGFR_ALK_wt,449,TACSTD2,sig_CYT,-0.19710361650228017,2.596522932564097e-05,3.462030576752129e-05
LUSC,EGFR_ALK_wt,449,TACSTD2,sig_CD8_effector,-0.26752068087814185,8.504567876658346e-09,6.123288871194009e-08
LUSC,EGFR_ALK_wt,449,TACSTD2,sig_Checkpoint,-0.25979053982394734,2.3275058534377056e-08,1.1970030103393913e-07
LUSC,EGFR_ALK_wt,449,TACSTD2,sig_Broad_immune,-0.2548944744935836,4.331266420994286e-08,1.5592559115579428e-07
LUSC,EGFR_ALK_wt,449,CLDN4,CD8A,-0.06293615441722346,0.18312461384002401,0.2866298303582985
LUSC,EGFR_ALK_wt,449,CLDN4,CD8B,-0.056405706888701654,0.23293453554830082,0.33542573118955316
LUSC,EGFR_ALK_wt,449,CLDN4,GZMA,-0.10966314031180399,0.020111740982145236,0.07804972405379637
LUSC,EGFR_ALK_wt,449,CLDN4,GZMB,-0.10576293880581185,0.02501841138433837,0.08187843725783467
LUSC,EGFR_ALK_wt,449,CLDN4,PRF1,-0.08812228232050057,0.0620828540881726,0.1279945476553574
LUSC,EGFR_ALK_wt,449,CLDN4,IFNG,-0.11369911906537516,0.01593738691014743,0.07804972405379637
LUSC,EGFR_ALK_wt,449,CLDN4,TBX21,-0.08011879044557957,0.08994628204292697,0.1704245343971248
LUSC,EGFR_ALK_wt,449,CLDN4,CXCL9,-0.11929685014317529,0.01141116845423146,0.07804972405379637
LUSC,EGFR_ALK_wt,449,CLDN4,CXCL10,-0.13002028316894684,0.005795695558429583,0.07804972405379637
LUSC,EGFR_ALK_wt,449,CLDN4,CXCL11,-0.11628035846855443,0.013684629919090112,0.07804972405379637
LUSC,EGFR_ALK_wt,449,CLDN4,STAT1,0.0019703839219429417,0.9667893982016833,0.9944119524360171
LUSC,EGFR_ALK_wt,449,CLDN4,IDO1,-0.02468236292289744,0.6019269549026282,0.7223123458831537
LUSC,EGFR_ALK_wt,449,CLDN4,HLA-DRA,-0.036776566974228445,0.4369392026136494,0.5617789747889778
LUSC,EGFR_ALK_wt,449,CLDN4,CD274,0.013919689717881335,0.7686471088546043,0.8456699514198379
LUSC,EGFR_ALK_wt,449,CLDN4,PDCD1,-0.030764066668127157,0.5155529236024083,0.6399967327478172
LUSC,EGFR_ALK_wt,449,CLDN4,CTLA4,-0.11034667350549751,0.019344094860748888,0.07804972405379637
LUSC,EGFR_ALK_wt,449,CLDN4,LAG3,-0.10142347085532243,0.031659976185168345,0.08767378020508157
LUSC,EGFR_ALK_wt,449,CLDN4,HAVCR2,-0.013620148399225415,0.7734886440047761,0.8456699514198379
LUSC,EGFR_ALK_wt,449,CLDN4,TIGIT,-0.1161114684786122,0.013822958675058838,0.07804972405379637
LUSC,EGFR_ALK_wt,449,CLDN4,FOXP3,-0.10833406605731213,0.021680478903832328,0.07804972405379637
LUSC,EGFR_ALK_wt,449,CLDN4,CD4,-0.038528210838901254,0.4154016159438268,0.5538688212584357
LUSC,EGFR_ALK_wt,449,CLDN4,CD3D,-0.07744180188779295,0.10124449685368456,0.17159960302245428
LUSC,EGFR_ALK_wt,449,CLDN4,CD3E,-0.11049448509916214,0.019181490844176897,0.07804972405379637
LUSC,EGFR_ALK_wt,449,CLDN4,GZMK,-0.08995592583197708,0.056821480364161646,0.12787022272195245
LUSC,EGFR_ALK_wt,449,CLDN4,NKG7,-0.07663405451267366,0.10486642406927761,0.17159960302245428
LUSC,EGFR_ALK_wt,449,CLDN4,CCL5,-0.11085878672181565,0.018785805763366775,0.07804972405379637
LUSC,EGFR_ALK_wt,449,CLDN4,CCR5,-0.06168151447661469,0.1920266977578222,0.28804004663673327
LUSC,EGFR_ALK_wt,449,CLDN4,ITGAX,-0.00030583838111936535,0.9948436795148229,0.994843679514823
LUSC,EGFR_ALK_wt,449,CLDN4,CD68,-0.0051060009403602735,0.914080309675276,0.9678497396561747
LUSC,EGFR_ALK_wt,449,CLDN4,CD163,-0.013514556156538337,0.7751974554681847,0.8456699514198379
LUSC,EGFR_ALK_wt,449,CLDN4,MRC1,-0.04059974546611517,0.3907549894883359,0.5410453700607728
LUSC,EGFR_ALK_wt,449,CLDN4,sig_IFNG_6gene,-0.08748687559656378,0.0639972738276787,0.1279945476553574
LUSC,EGFR_ALK_wt,449,CLDN4,sig_CYT,-0.09784812811538868,0.03821317802020658,0.0982624577662455
LUSC,EGFR_ALK_wt,449,CLDN4,sig_CD8_effector,-0.10205681938699754,0.030605431981290437,0.08767378020508157
LUSC,EGFR_ALK_wt,449,CLDN4,sig_Checkpoint,-0.07680586488492946,0.10408756728439779,0.17159960302245428
LUSC,EGFR_ALK_wt,449,CLDN4,sig_Broad_immune,-0.08995240746632727,0.056831210098645536,0.12787022272195245
LUSC,ALK_driven,24,TACSTD2,CD8A,-0.11739130434782606,0.5848655143600633,0.6738079892687963
LUSC,ALK_driven,24,TACSTD2,CD8B,-0.007826086956521738,0.9710483085120961,0.9710483085120961
LUSC,ALK_driven,24,TACSTD2,GZMA,-0.2643478260869565,0.2119392787870507,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,GZMB,-0.20434782608695648,0.338157248513176,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,PRF1,-0.21565217391304345,0.31151444912851095,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,IFNG,-0.2291802619952848,0.28137655403786893,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,TBX21,-0.2452173913043478,0.24812129907550173,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,CXCL9,-0.28521739130434776,0.17671396904879352,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,CXCL10,-0.2417391304347826,0.25510646621773336,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,CXCL11,-0.19913043478260867,0.3508987130768878,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,STAT1,-0.029565217391304344,0.8909226043767047,0.936089917795495
LUSC,ALK_driven,24,TACSTD2,IDO1,-0.19043478260869565,0.3727527778427132,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,HLA-DRA,-0.26608695652173914,0.2088362148101018,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,CD274,0.248695652173913,0.24126176688795448,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,PDCD1,-0.2121739130434782,0.31957122228868073,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,CTLA4,-0.30347826086956514,0.14940850037488204,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,LAG3,-0.02434782608695652,0.9100874200789536,0.936089917795495
LUSC,ALK_driven,24,TACSTD2,HAVCR2,-0.2791304347826086,0.1865379607570456,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,TIGIT,-0.10434782608695652,0.6275085807240485,0.6845548153353256
LUSC,ALK_driven,24,TACSTD2,FOXP3,-0.19478260869565217,0.36172956198490885,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,CD4,-0.21826086956521737,0.3055543915844942,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,CD3D,-0.2026086956521739,0.34237332678092114,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,CD3E,-0.11565217391304347,0.5904783168868414,0.6738079892687963
LUSC,ALK_driven,24,TACSTD2,GZMK,-0.285714292468505,0.1759281485336431,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,NKG7,-0.11304347826086956,0.5989404349055967,0.6738079892687963
LUSC,ALK_driven,24,TACSTD2,CCL5,-0.1843478260869565,0.38850589974170086,0.5180078663222678
LUSC,ALK_driven,24,TACSTD2,CCR5,-0.2939130434782608,0.1633105777659175,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,ITGAX,-0.3852173913043478,0.06304015267072925,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,CD68,-0.1580801098459551,0.46066805451958265,0.5922874986680348
LUSC,ALK_driven,24,TACSTD2,CD163,-0.308695652173913,0.1421899144300473,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,MRC1,-0.37652173913043474,0.06975342004393094,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,sig_IFNG_6gene,-0.23304347826086955,0.27312047592983013,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,sig_CYT,-0.2504347826086956,0.23787902276971334,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,sig_CD8_effector,-0.20869565217391303,0.32775348376704777,0.5161192308591414
LUSC,ALK_driven,24,TACSTD2,sig_Checkpoint,-0.1443478260869565,0.5009827163280625,0.6219095788900085
LUSC,ALK_driven,24,TACSTD2,sig_Broad_immune,-0.26347826086956516,0.21350236658523816,0.5161192308591414
LUSC,ALK_driven,24,CLDN4,CD8A,-0.02869565217391304,0.8941129145750657,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,CD8B,-0.07652173913043478,0.7222991032128188,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,GZMA,-0.11913043478260868,0.5792759020081251,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,GZMB,-0.06173913043478261,0.7744295754905792,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,PRF1,-0.06173913043478261,0.7744295754905792,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,IFNG,-0.026092629449178537,0.9036723695678553,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,TBX21,-0.040869565217391296,0.8496151500324183,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,CXCL9,-0.11478260869565216,0.5932933336915412,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,CXCL10,-0.0608695652173913,0.7775281884531549,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,CXCL11,-0.11217391304347826,0.6017724532672231,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,STAT1,0.010434782608695651,0.9614038727773804,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,IDO1,-0.11478260869565216,0.5932933336915412,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,HLA-DRA,-0.20173913043478262,0.34449303140739784,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,CD274,0.3208695652173913,0.1263216392307609,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,PDCD1,-0.11391304347826085,0.5961140506694134,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,CTLA4,-0.1443478260869565,0.5009827163280625,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,LAG3,0.009565217391304347,0.9646181660759277,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,HAVCR2,-0.20347826086956516,0.3402613966398865,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,TIGIT,0.011304347826086955,0.9581901628011082,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,FOXP3,-0.11652173913043477,0.5876690329511151,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,CD4,-0.16,0.455169720215426,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,CD3D,-0.08695652173913042,0.6861953252985288,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,CD3E,-0.11478260869565216,0.5932933336915412,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,GZMK,-0.21352468432577767,0.3164274800373605,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,NKG7,-0.02869565217391304,0.8941129145750657,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,CCL5,0.09652173913043478,0.6536731719946907,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,CCR5,-0.14782608695652172,0.4906100707429602,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,ITGAX,-0.2773913043478261,0.1894123670698223,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,CD68,-0.14934640211965924,0.4861102648075685,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,CD163,-0.16086956521739126,0.4526907477656741,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,MRC1,-0.24260869565217388,0.25334838197246123,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,sig_IFNG_6gene,-0.0626086956521739,0.7713343005112614,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,sig_CYT,-0.09304347826086956,0.6654325452454303,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,sig_CD8_effector,-0.11043478260869564,0.6074532587517109,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,sig_Checkpoint,-0.013043478260869565,0.9517646868003004,0.9646181660759277
LUSC,ALK_driven,24,CLDN4,sig_Broad_immune,-0.1434782608695652,0.5035926462175364,0.9646181660759277
