sample,Tacstd2,Cldn4,Actb,Epcam,Krt8,Cldn3,Cldn7,Cd8a,Ifng,Gzmb,Cd274
SRX3453189,0.16720859652247758,0.33821988812504866,11.713836429417258,1.221650619632774,7.188505372617293,0.5496047477656456,0.155993757553597,0.14707075959634314,0.0,0.8496335050061865,1.345967797859361
SRX3453190,0.0875042689346473,0.12161236759798716,11.713836429417258,1.1151275706132382,7.181953143223453,0.206930627829784,0.0883440352769845,0.22067075478535286,0.06572743869093738,0.6817374645116164,1.3637168849142667
SRX3453191,0.11856461292500585,0.16219368715916402,11.713836429417258,1.0281270823171393,7.276501351152591,0.20967456965246153,0.0,0.1404134637085098,0.08858346361985711,0.2833182719413731,1.770285408177278
SRX3453192,4.550358319801518,2.475530138394929,11.713836429417258,3.5755473829663265,6.512274419246383,0.14735326116551056,0.016262571042143632,0.10419431068876109,0.2438988133118769,1.7999670764555133,2.666718427274305
SRX3453193,0.3474075968749056,0.8388592866716317,11.713836429417258,2.1633995778500488,7.152962539710491,1.1237681970348234,0.39766116084466246,0.2883335027725421,0.23583740350826993,1.72753873101503,1.6984866546713777
SRX3453194,0.013667577164441419,0.029333406569890547,11.713836429417258,0.6114730755402058,6.9005732980190695,0.046322733352492186,0.05306417535250721,0.4415789538754601,0.2642253909167517,1.420545804540037,2.012178866105704
SRX3453195,0.061514551437198396,0.13121726394891486,11.713836429417258,0.6814215504513922,7.1256311326964745,0.0,0.0,0.28577354108238634,0.8473631070448715,1.8063913097704392,2.1855146089303297
SRX3453196,0.26728568502411243,1.0888839630910978,11.713836429417258,2.1355044043320097,7.251180418130945,0.9047550058068305,1.0043688880890578,0.16570822179356937,0.10768245661610677,2.3168473553343953,1.6251988578050576
SRX3453197,0.9262393577228916,2.219673739070106,11.713836429417258,3.5173645496570822,6.272220215553761,2.4682868060389485,1.6641906696355877,0.14890434294576188,0.0,1.0185261444739306,0.938465653513199
SRX3453198,0.7105978558933935,1.2577298342326888,11.713836429417258,2.586260955677431,7.163988236537786,1.9555715402059575,1.1858235977624303,0.06972503828281355,0.4170110065155416,1.1895674932193776,1.1088170837713425
SRX3453199,0.10971329916059334,0.4325393388326747,11.713836429417258,1.0477553952142882,6.651634605149915,0.20204960705786096,0.32222848797143916,0.15908738988376242,0.24533600041209586,1.4000125082838193,1.2511163718487053
SRX3453200,0.04941327198602516,0.06895703099687639,11.713836429417258,0.9557736868190793,7.351846301139152,0.03634084159029389,0.0,0.1863739932714588,0.1404134637085098,1.8607159694401942,1.9398465204342854
SRX3453201,0.39814487192922193,1.1792988349652818,11.713836429417258,2.099465341988145,7.228876886821484,1.457584590817128,0.645421240545457,0.14085875456046,0.06187412621834916,1.6016607937989782,1.5273820297947551
SRX3591526,0.005155145990914952,0.0,13.470968288146201,0.0,0.4022303629032545,0.010205365386476947,0.0,0.0,0.0,0.007582184816286033,0.9602684978392634
SRX3591527,0.0020016382809721874,0.001831163143574927,13.470968288146201,0.031088241378343217,0.6195240914359673,0.11301724459714421,0.0034947715135196893,0.5785162368016064,1.9577749834064435,3.5248466780381347,3.5304077306027324
SRX3591528,0.0,0.0,13.470968288146201,0.0031955058745170477,0.14286785841782845,0.0632573361807844,0.1548774181470127,0.008945619785834118,0.0,0.0,0.9764772564778287
