Samples,geneID,value,group,Responder,Baseline,GSE_ID,Mouse_treatment
SRX8918396,Cldn4,0.885952793621292,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918397,Cldn4,0.390182040177505,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918398,Cldn4,0.462286193374902,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918399,Cldn4,0.377823029258018,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918400,Cldn4,0.111047793787244,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918401,Cldn4,0.0635297562150905,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918402,Cldn4,0.0,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918403,Cldn4,0.14879626337465,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918405,Cldn4,0.338420863109539,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918409,Cldn4,0.267350204228935,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918406,Cldn4,0.204211216476845,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918404,Cldn4,0.197203974269461,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918408,Cldn4,0.154896211959193,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918407,Cldn4,0.0902861431680663,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918410,Cldn4,0.0634753889886228,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918411,Cldn4,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918412,Cldn4,0.129060937445687,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918413,Cldn4,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918414,Cldn4,0.0567997405770547,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918415,Cldn4,0.402556382350944,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918416,Cldn4,0.122498701218259,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918417,Cldn4,0.235199290949439,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918418,Cldn4,0.270755190768309,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918419,Cldn4,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918387,Actb,11.9308044640575,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918391,Actb,11.6099499480269,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918392,Actb,11.4073610708262,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918389,Actb,11.3846286335495,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918390,Actb,11.3631651808578,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918393,Actb,11.3174585293168,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918388,Actb,10.0804113897775,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918394,Actb,11.8707097180849,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918395,Actb,11.6902459322307,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918396,Actb,11.9666025344471,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918397,Actb,11.9666025344471,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918398,Actb,11.7539078888708,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918399,Actb,12.0004066583888,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918400,Actb,11.7850865747363,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918401,Actb,12.0311960944389,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918402,Actb,10.4928981572483,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918403,Actb,10.339588948532,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918407,Actb,11.6902459322307,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918405,Actb,11.2383060622573,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918409,Actb,11.1838648930393,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918408,Actb,11.0035481951833,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918406,Actb,10.9393221862717,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918404,Actb,10.1710422073281,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918410,Actb,11.9308044640575,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918411,Actb,12.1518927926732,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918412,Actb,11.9666025344471,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918413,Actb,11.8707097180849,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918414,Actb,11.9666025344471,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918415,Actb,11.8707097180849,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918416,Actb,11.3631651808578,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918417,Actb,11.8963942404988,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918418,Actb,10.0252980637754,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918419,Actb,11.7850865747363,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918393,Epcam,3.81607858722277,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918387,Epcam,0.701289941757962,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918390,Epcam,0.488831437450877,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918389,Epcam,0.31508511569607,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918391,Epcam,0.26670525136642,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918392,Epcam,0.183095304275695,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918388,Epcam,0.148642241786347,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918394,Epcam,0.109398702388425,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918395,Epcam,0.311665532524393,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918396,Epcam,1.9937774078984,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918397,Epcam,0.287304284047941,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918398,Epcam,0.475419942815864,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918399,Epcam,0.568656046884283,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918400,Epcam,0.484713249640033,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918401,Epcam,0.548646169311998,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918402,Epcam,0.237722423449587,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918403,Epcam,0.450248325763585,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918404,Epcam,0.597109417348039,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918408,Epcam,0.277432952859672,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918405,Epcam,0.199106163180186,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918407,Epcam,0.180434459893046,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918406,Epcam,0.123633268735824,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918409,Epcam,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918410,Epcam,0.190778636627198,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918411,Epcam,0.147232812261342,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918412,Epcam,0.312920030115235,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918413,Epcam,0.0571990726121608,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918414,Epcam,0.123042652296971,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918415,Epcam,0.520107951230064,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918416,Epcam,0.213635281537686,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918417,Epcam,0.301707844887521,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918418,Epcam,0.512365046384395,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918419,Epcam,0.0781785742200804,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918389,Krt8,7.02483956939782,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918391,Krt8,6.99546331685654,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918390,Krt8,6.66386220122992,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918388,Krt8,6.39341408786856,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918387,Krt8,3.29073015475935,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918392,Krt8,0.293212759960217,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918393,Krt8,0.212383333029723,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918394,Krt8,7.3213168735908,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918395,Krt8,7.21889263358274,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918396,Krt8,7.14953089150974,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918397,Krt8,7.21404647308901,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918398,Krt8,7.53727452816832,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918399,Krt8,7.32467770753389,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918400,Krt8,7.69059501635253,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918401,Krt8,6.98066952295222,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918402,Krt8,6.80437911412265,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918403,Krt8,6.71510434730866,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918406,Krt8,6.54001190977847,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918405,Krt8,6.51309809190765,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918404,Krt8,5.99515332712745,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918409,Krt8,5.74452470473176,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918408,Krt8,5.47461526275383,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918407,Krt8,4.91448767059616,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918410,Krt8,6.72548841910685,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918411,Krt8,6.28737960689756,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918412,Krt8,6.37721102026005,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918413,Krt8,6.7520803319335,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918414,Krt8,6.27420273517334,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918415,Krt8,6.74008172818001,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918416,Krt8,6.91835444147278,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918417,Krt8,6.88348047619947,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918418,Krt8,5.94231713865807,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918419,Krt8,6.44990104287816,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918393,Cldn3,0.563635215992894,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918388,Cldn3,0.371740506870423,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918387,Cldn3,0.0,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918389,Cldn3,0.0,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918390,Cldn3,0.0,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918391,Cldn3,0.0,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918392,Cldn3,0.0,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918394,Cldn3,0.152894302058345,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918395,Cldn3,0.0,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918396,Cldn3,1.25516148492567,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918397,Cldn3,0.0,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918398,Cldn3,0.0,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918399,Cldn3,0.0637128708065281,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918400,Cldn3,0.0,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918401,Cldn3,0.0,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918402,Cldn3,0.0,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918403,Cldn3,0.0,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918405,Cldn3,0.133739242027003,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918407,Cldn3,0.0708247799667463,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918404,Cldn3,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918406,Cldn3,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918408,Cldn3,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918409,Cldn3,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918410,Cldn3,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918411,Cldn3,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918412,Cldn3,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918413,Cldn3,0.0887421153257356,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918414,Cldn3,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918415,Cldn3,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918416,Cldn3,0.169932759011691,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918417,Cldn3,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
