dataset	contrast	gene_set	human_symbol	assayed_symbol	log2FC	pvalue	FDR	n	note
GSE207704	T47D KO vs WT	MHC_APM	PDIA3	PDIA3	0.027750652073629214	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	MHC_APM	PSMB10	PSMB10	-0.04271464119670246	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	MHC_APM	PSMB8	PSMB8	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	MHC_APM	PSMB9	PSMB9	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	MHC_APM	PSME1	PSME1	-0.23388980741409118	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	MHC_APM	PSME2	PSME2	-0.31970095270705534	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	MHC_APM	TAP1	TAP1	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	MHC_APM	TAP2	TAP2	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	MHC_APM	TAPBP	TAPBP	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	IFN_ISG	ADAR	ADAR	0.046088105434245734	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	MCF-7 KO vs WT	IFN_ISG	BST2	BST2	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	IFN_ISG	CMPK2	CMPK2	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	IFN_ISG	CXCL10	CXCL10	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	IFN_ISG	CXCL11	CXCL11	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	IFN_ISG	CXCL9	CXCL9	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	IFN_ISG	DDX58	DDX58	0.3419534182261384	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	MCF-7 KO vs WT	IFN_ISG	DHX58	DHX58	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	IFN_ISG	EIF2AK2	EIF2AK2	-0.06504684084738485	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	MCF-7 KO vs WT	IFN_ISG	IFI27	IFI27	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	IFN_ISG	IFI35	IFI35	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	IFN_ISG	IFI44	IFI44	-1.1404582912734096	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	MCF-7 KO vs WT	IFN_ISG	IFI44L	IFI44L	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	IFN_ISG	IFI6	IFI6	-0.46812815052046775	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	MCF-7 KO vs WT	IFN_ISG	IFIH1	IFIH1	1.122797192203231	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
