tf	n_r10	n_top	mean_r_top	n_high_specific	det_high
APEX1	811	50	0.2449650651761842	4	0.5197072072072072
ATF4	625	50	0.23984458323557895	4	0.7211586586586587
HEXIM1	258	50	0.23552236651877045	4	0.3622372372372372
SSB	1026	50	0.22558802302027137	4	0.5969719719719719
EGR2	208	50	0.21532815795529564	4	0.05155155155155155
MESP1	301	50	0.19231698019360466	4	0.2991741741741742
CNBP	831	50	0.18856442639918014	4	0.7393643643643644
MTF2	301	50	0.18425612385780238	4	0.2794044044044044
LITAF	413	50	0.1739485124654346	4	0.6133633633633634
BHLHE40	268	50	0.16626727098295163	4	0.40878378378378377
GABPB1	206	50	0.15958391793649693	4	0.28372122122122123
HDAC7	195	50	0.15762931004170158	4	0.3288913913913914
GRHL1	117	50	0.14520038936438237	4	0.17392392392392392
NCOR1	100	50	0.13467067061848292	4	0.4557682682682683
RXRB	81	50	0.13241329337584545	4	0.21846846846846846
SIX5	74	50	0.13176189043211656	4	0.10792042042042042
HOPX	666	50	0.32359615118354895	3	0.6218718718718719
CEBPD	1139	50	0.3228610176929738	3	0.7062687687687688
BTG2	504	50	0.2828201462834527	3	0.3183808808808809
KLF4	612	50	0.2781847365050716	3	0.46452702702702703
MTA1	554	50	0.2596796968994412	3	0.3961461461461461
DEK	1072	50	0.22170994682791112	3	0.6667917917917918
KLF2	414	50	0.22132167841452066	3	0.24824824824824826
ELK3	359	50	0.2193123566206445	3	0.24424424424424424
HES1	295	50	0.21151629830053603	3	0.6064814814814815
HLF	234	50	0.1986288658968748	3	0.067505005005005
GTF2I	391	50	0.1861163660664247	3	0.7360485485485485
MYC	228	50	0.17001519556172287	3	0.32288538538538536
NR2F2	137	50	0.14703105217591347	3	0.2605730730730731
USF2	126	50	0.13660862783780975	3	0.325513013013013
OVOL1	60	50	0.12687084734645548	3	0.12537537537537538
NELFCD	91	50	0.12542441013381211	3	0.38038038038038036
NCOA1	55	50	0.12262060686214916	3	0.2296046046046046
MAML2	64	50	0.12217071991731063	3	0.17229729729729729
PBX2	60	50	0.11972185219061089	3	0.24455705705705705
LDB1	31	31	0.1195359126347919	3	0.0934059059059059
TRPS1	856	50	0.4140772914684683	2	0.16472722722722724
NKX2-8	475	50	0.3832629320543816	2	0.08195695695695696
TOX3	892	50	0.35572312538167256	2	0.2388013013013013
PITX2	586	50	0.34899176674352056	2	0.05818318318318318
NPM1	866	50	0.3182608046352106	2	0.9198573573573574
NDN	597	50	0.3075396430265205	2	0.12743993993993993
PAX9	310	50	0.27710951159237035	2	0.11211211211211211
HOXB9	668	50	0.2718099109723265	2	0.1042917917917918
IFI16	700	50	0.25480487603561547	2	0.42842842842842843
CEBPA	263	50	0.22626198527047628	2	0.11067317317317317
HOXB4	346	50	0.2049296356518893	2	0.10685685685685686
MAFB	245	50	0.19887345508759202	2	0.18287037037037038
TOB1	257	50	0.19418308460477657	2	0.4438188188188188
STAT1	367	50	0.18964944049094684	2	0.3655530530530531
IRF1	220	50	0.18725076978558156	2	0.40965965965965967
LMO4	282	50	0.15475406799532093	2	0.30655655655655656
DDIT3	104	50	0.14422246566542862	2	0.4179804804804805
TFAP2A	89	50	0.14291990189857606	2	0.22272272272272273
TCF7L1	94	50	0.1383490072523191	2	0.10260260260260261
KHDRBS1	237	50	0.13592199154294218	2	0.6158658658658659
EHMT2	65	50	0.12973888228748584	2	0.23986486486486486
ATF6B	79	50	0.12904226340334995	2	0.35929679679679677
SP5	37	37	0.12283265895471107	2	0.06131131131131131
CREM	42	42	0.11998234369628523	2	0.234984984984985
PTTG1	352	50	0.36972466443205954	1	0.21352602602602602
KLF6	1109	50	0.3462709671763313	1	0.7733358358358359
SMARCD3	684	50	0.32609949218656	1	0.243993993993994
PTMA	772	50	0.32598283423352226	1	0.9836086086086087
ZFP36L1	1030	50	0.29981916266407116	1	0.8325825825825826
TRIP6	718	50	0.2557533171546652	1	0.610985985985986
ETV1	372	50	0.24807960821396932	1	0.17980480480480482
NFKBIZ	544	50	0.23457136478484575	1	0.5192067067067067
AES	871	50	0.23211705419881606	1	0.6814314314314315
PARK7	1258	50	0.22963168358287336	1	0.8293293293293293
HOXD1	303	50	0.2290972949036796	1	0.20326576576576577
CITED2	490	50	0.22073997747216229	1	0.5658158158158159
MXD4	566	50	0.21076903647391948	1	0.3993993993993994
SON	536	50	0.20996657993944587	1	0.7243493493493494
TNFAIP3	371	50	0.20433460555823654	1	0.19031531531531531
SOX9	380	50	0.19969272260313478	1	0.299486986986987
ZNF503	281	50	0.19523710269736838	1	0.2779029029029029
MECOM	300	50	0.18909834574055315	1	0.16697947947947947
STAT3	326	50	0.1840497936039604	1	0.5180180180180181
SOX11	201	50	0.1787737579824047	1	0.06387637637637637
MAFK	237	50	0.1699594007827878	1	0.26676676676676675
ARNTL2	161	50	0.16752370544538717	1	0.09684684684684684
PPP1R13L	161	50	0.1640194296840485	1	0.24737237237237236
ETS2	196	50	0.16107764570116742	1	0.3793793793793794
MDM2	155	50	0.15870667984045939	1	0.27765265265265265
ATOH8	124	50	0.15656752712383404	1	0.11117367367367367
NOTCH3	167	50	0.1537454835132457	1	0.2022022022022022
NR4A3	87	50	0.15028746866070816	1	0.05067567567567568
CTBP2	328	50	0.149946792026042	1	0.42042042042042044
FOSL2	206	50	0.1482429550271098	1	0.34459459459459457
TRIM8	205	50	0.1481399188514821	1	0.30405405405405406
NFYA	101	50	0.14421745707547157	1	0.14114114114114115
MLLT3	172	50	0.14106067295729618	1	0.15590590590590592
SMAD3	130	50	0.13725776546911508	1	0.28484734734734735
JARID2	96	50	0.13518773898576164	1	0.17154654654654655
TGIF1	115	50	0.13368112673582	1	0.46953203203203203
ZNF224	64	50	0.1317131364703896	1	0.1253128128128128
URI1	108	50	0.1263893433552821	1	0.3146896896896897
MLLT10	77	50	0.1256416928181752	1	0.22822822822822822
SIRT1	64	50	0.12270300834510703	1	0.17167167167167166
HOXA3	37	37	0.12182247764453845	1	0.06744244244244245
NFKBIB	54	50	0.12130739942285061	1	0.2456831831831832
ZSCAN26	19	19	0.11691569408407708	1	0.05392892892892893
BCL11A	37	37	0.11665896681798894	1	0.07207207207207207
TSHZ1	35	35	0.11464607155748543	1	0.1361986986986987
BTF3	1175	50	0.3578715392421642	0	0.9257382382382382
HMGB2	406	50	0.35523176137892826	0	0.34653403403403404
NEAT1	1254	50	0.3518694751403136	0	0.9005880880880881
GATA3	596	50	0.3223355632019535	0	0.0787037037037037
SPDEF	736	50	0.30569451106910284	0	0.26476476476476474
MYBL2	348	50	0.29500270680852975	0	0.07832832832832833
JUND	787	50	0.29468266699831697	0	0.7116491491491491
NUPR1	555	50	0.29187126678136066	0	0.4065940940940941
SCAND1	987	50	0.2856534128628808	0	0.7115865865865866
FOXM1	145	50	0.2672755942113185	0	0.06875625625625625
SMAD1	418	50	0.2560218016232364	0	0.17242242242242242
FOXA1	657	50	0.25580838203823497	0	0.2822197197197197
NFIX	240	50	0.24073414700345114	0	0.1661036036036036
NFIC	805	50	0.2398463755402206	0	0.5887762762762763
HMGB1	852	50	0.23846741587751677	0	0.8352102102102102
HOXB2	596	50	0.23284524103321594	0	0.21283783783783783
PAX7	314	50	0.23236087355733404	0	0.0802052052052052
PCBD1	842	50	0.22437249609865156	0	0.7667042042042042
EAPP	614	50	0.22053942508775115	0	0.44682182182182184
FHL2	595	50	0.2199764795070452	0	0.36373873873873874
HOXB6	492	50	0.21669063518822226	0	0.1188063063063063
DDX5	390	50	0.2163048643420457	0	0.8512887887887888
IRX3	312	50	0.21629843604086096	0	0.38044294294294295
GTF3A	790	50	0.21567978469580099	0	0.6599099099099099
NUCKS1	721	50	0.21498359216535448	0	0.8086211211211212
HES6	559	50	0.21457056142430722	0	0.2411161161161161
ARX	407	50	0.21422344500006052	0	0.1198073073073073
SNW1	474	50	0.21310130836781344	0	0.40628128128128127
ILF2	945	50	0.21153845623575943	0	0.5958458458458459
LMO3	325	50	0.21122614890551908	0	0.35954704704704704
HOXA10	362	50	0.20779426624162756	0	0.11993243243243243
CEBPB	554	50	0.20717145256833377	0	0.6563438438438438
YBX3	665	50	0.20352214392385298	0	0.6717342342342343
COPS5	467	50	0.2005734396900708	0	0.47015765765765766
PITX1	463	50	0.20002950087551113	0	0.22804054054054054
BPTF	494	50	0.19990295236282507	0	0.5264014014014013
EID1	677	50	0.19809144879788168	0	0.6988863863863863
HMGN1	866	50	0.1964259777043368	0	0.8629254254254254
CNOT7	392	50	0.19609977533032974	0	0.47453703703703703
AHR	451	50	0.19543577828173928	0	0.5087587587587588
RBCK1	526	50	0.18990963225733096	0	0.6092967967967968
LRRFIP1	495	50	0.1883737128921622	0	0.6271896896896897
PLSCR1	229	50	0.18781050581066158	0	0.41622872872872874
FOXA2	271	50	0.1870051342768356	0	0.2157157157157157
BATF	303	50	0.18662733397298528	0	0.26213713713713716
KLF5	387	50	0.18454552470714297	0	0.5396646646646647
HIF1A	402	50	0.18407953599052507	0	0.4383133133133133
HTATIP2	591	50	0.18303122033433397	0	0.494994994994995
KLF7	223	50	0.18294688777819354	0	0.1758008008008008
WWP1	247	50	0.17904803897860055	0	0.25763263263263264
NFIB	311	50	0.17839166945330265	0	0.3497872872872873
KDM5B	373	50	0.17666432463310158	0	0.3681181181181181
XRCC5	547	50	0.17645704891642655	0	0.5734484484484484
BDP1	330	50	0.17613882211832368	0	0.41766766766766766
REL	255	50	0.1747593917804366	0	0.516016016016016
HIPK2	306	50	0.17352080028970587	0	0.4040915915915916
KAT6A	210	50	0.17127870671454154	0	0.24793543543543545
SFPQ	295	50	0.171081015990248	0	0.6034159159159159
HDGF	567	50	0.16934784695989444	0	0.577515015015015
HSF1	275	50	0.16876435389392458	0	0.46208708708708707
MAFG	294	50	0.16756819852795657	0	0.4072197197197197
NKX2-1	199	50	0.16733668366819754	0	0.6097972972972973
TCF19	85	50	0.16696052308016107	0	0.06431431431431431
NFE2L3	257	50	0.16693847646023305	0	0.14345595595595595
TOX	132	50	0.1660165076014043	0	0.05286536536536537
HOXB7	347	50	0.16564479016141567	0	0.2302927927927928
HAX1	660	50	0.1655082790564153	0	0.6311936936936937
ASH1L	248	50	0.1650234112040536	0	0.4958083083083083
NR4A2	127	50	0.16472993354940463	0	0.3029904904904905
YAP1	252	50	0.16444037969643713	0	0.3937062062062062
HOXB3	185	50	0.1643528205520969	0	0.15521771771771772
FOSL1	197	50	0.1642494092519157	0	0.10923423423423423
PARP14	274	50	0.1641116641015258	0	0.38707457457457456
RUNX1	284	50	0.16322160430522875	0	0.4878003003003003
UHRF1	79	50	0.16214798357742577	0	0.06275025025025024
FUS	164	50	0.16153136075414742	0	0.7667667667667668
E2F1	134	50	0.16152806404957606	0	0.08896396396396396
NR2F6	397	50	0.16147192221720214	0	0.48923923923923923
ARID4B	279	50	0.1605852711974459	0	0.5482357357357357
ZNF395	135	50	0.16050584079097446	0	0.19288038038038038
RB1CC1	242	50	0.16015742509269087	0	0.41679179179179177
BCL3	237	50	0.1595619374279328	0	0.30036286286286284
HNRNPD	418	50	0.15843857372724496	0	0.599974974974975
IRF7	182	50	0.15820533380980897	0	0.4002127127127127
CTNNB1	144	50	0.15795196657664823	0	0.6489614614614615
SIX1	182	50	0.15776096637658857	0	0.23335835835835836
KMT2C	228	50	0.1567793003370749	0	0.4650900900900901
CREB5	134	50	0.15677392556062023	0	0.13732482482482483
PRMT5	180	50	0.15651314783404138	0	0.19694694694694695
SMARCA4	279	50	0.15641816933672026	0	0.4540790790790791
DNMT1	178	50	0.15627991074992945	0	0.3076826826826827
NONO	423	50	0.15625472130378149	0	0.5915915915915916
ELK4	136	50	0.15614732062262032	0	0.3109984984984985
BRCA1	75	50	0.15611945343465294	0	0.062062062062062065
PHB2	280	50	0.15593349715114624	0	0.5630630630630631
MBD2	181	50	0.15508094098226122	0	0.2805930930930931
FOXP1	173	50	0.1538527244109947	0	0.43975225225225223
DRAP1	425	50	0.1537074555602646	0	0.647022022022022
SMARCB1	385	50	0.153320248490412	0	0.43318318318318316
SLC2A4RG	269	50	0.15311510906185233	0	0.41047297297297297
UPF2	168	50	0.1529796173117788	0	0.37737737737737737
DEAF1	181	50	0.15288074498874019	0	0.2418043043043043
PA2G4	399	50	0.15277048899317255	0	0.6040415415415415
RBBP7	299	50	0.15179118488891385	0	0.4039039039039039
WWTR1	155	50	0.15130879641987133	0	0.3340840840840841
ATF7	166	50	0.14980060650713503	0	0.31037287287287285
CREG1	303	50	0.14907210570067264	0	0.3960835835835836
REST	187	50	0.14896990979453067	0	0.3126876876876877
HMBOX1	146	50	0.1483930252280372	0	0.20714464464464463
TLE4	134	50	0.14810515565082752	0	0.18480980980980982
HHEX	93	50	0.14772340932907588	0	0.06181181181181181
ZBTB7A	187	50	0.14673894333298718	0	0.3664289289289289
PRRX2	142	50	0.14602987108170093	0	0.07301051051051051
ZNF292	138	50	0.14574130328717877	0	0.3477852852852853
ZNRD1	296	50	0.14554880895452463	0	0.36768018018018017
MCM5	112	50	0.14549843522943653	0	0.11298798798798798
TRIB3	127	50	0.14470484361301097	0	0.2362987987987988
NFKB1	178	50	0.14440867759283688	0	0.29585835835835833
TFCP2L1	121	50	0.14414803329231377	0	0.17160910910910912
CTNNBIP1	288	50	0.1436637271737575	0	0.4675925925925926
SMAD5	153	50	0.14336284742474992	0	0.33064314314314314
PIAS3	150	50	0.143196319376211	0	0.2668918918918919
CREB3L2	163	50	0.1430473984092057	0	0.4523898898898899
XRCC6	271	50	0.14260666586869766	0	0.5519894894894894
CHD4	134	50	0.142122369665176	0	0.5154529529529529
YEATS4	88	50	0.1419746032335598	0	0.21590340340340342
GLIS3	111	50	0.14099751197489346	0	0.15903403403403404
TP53	119	50	0.14069693385822035	0	0.21452702702702703
IRX5	123	50	0.1404547361336036	0	0.16654154154154155
IRF2BPL	151	50	0.14028510845835257	0	0.38475975975975973
NRIP1	154	50	0.13994289269124346	0	0.2254129129129129
SRSF2	105	50	0.13971286763114468	0	0.694944944944945
RORC	98	50	0.13970732025398278	0	0.1572197197197197
TGFB1I1	44	44	0.13941045715591302	0	0.12293543543543543
PHF20	147	50	0.13922365924960953	0	0.3853228228228228
PARP1	319	50	0.13916410942821947	0	0.48767517517517517
KLF9	121	50	0.1378700101186389	0	0.2284784784784785
ZBTB20	128	50	0.13779126641412634	0	0.24036536536536537
KMT2E	117	50	0.13774235933247062	0	0.6250625625625625
CEBPG	165	50	0.13766227553785476	0	0.2869744744744745
KLF10	114	50	0.13748121282086934	0	0.3433433433433433
NFE2L2	144	50	0.13731767268256417	0	0.5577452452452453
ETV5	72	50	0.13643252193532704	0	0.20095095095095095
EZH2	61	50	0.1362399113307361	0	0.13682432432432431
HNRNPR	153	50	0.13590740003655982	0	0.49818568568568566
CREB3	155	50	0.1358634472425359	0	0.38626126126126126
THAP7	115	50	0.13538893375581812	0	0.33883883883883886
ARID4A	96	50	0.13532268029614156	0	0.28716216216216217
BARD1	74	50	0.13460918676724007	0	0.16234984984984985
FOXJ1	67	50	0.13442642958896436	0	0.14045295295295296
ARID1A	242	50	0.13388775497681032	0	0.44431931931931934
TRIM22	83	50	0.13366574507566753	0	0.1808058058058058
PPARD	103	50	0.13363118765446785	0	0.18380880880880882
ZNF281	116	50	0.13362411515050918	0	0.32764014014014015
PIN1	231	50	0.13351910509429843	0	0.5036286286286287
BRD7	193	50	0.13350146446898736	0	0.4141016016016016
KDM2A	138	50	0.13343922937007183	0	0.41234984984984985
KMT2A	137	50	0.1331860095686266	0	0.4095970970970971
BCL6	96	50	0.13306489712357744	0	0.2351101101101101
SF1	134	50	0.13215565282169645	0	0.6346346346346347
GATA6	62	50	0.132014659978239	0	0.06969469469469469
VDR	94	50	0.13198693565315325	0	0.21158658658658658
HDAC1	142	50	0.13187029152175747	0	0.3836961961961962
SMARCC1	156	50	0.13171518160685686	0	0.3374624624624625
FOXP2	33	33	0.1315844925409462	0	0.08883883883883884
DNAJC2	106	50	0.13137992623541786	0	0.4811061061061061
MLXIP	94	50	0.1310341921864291	0	0.42267267267267267
IKBKB	80	50	0.13093350763241296	0	0.23561061061061062
RUVBL1	175	50	0.13069373928364197	0	0.26626626626626626
MCM2	43	43	0.1302564758320634	0	0.08489739739739739
BRD4	135	50	0.12998117955278637	0	0.4709084084084084
SCX	67	50	0.12991317627057175	0	0.08252002002002003
MXD1	89	50	0.1299044892023805	0	0.17354854854854854
RARA	101	50	0.12958220180454605	0	0.2533158158158158
FOXP4	131	50	0.12944898437214572	0	0.23917667667667666
CDC5L	146	50	0.12843695207564318	0	0.3450950950950951
ZBTB44	119	50	0.12828863742922877	0	0.2963588588588589
ASCL2	59	50	0.12781041150522446	0	0.08101851851851852
ZMYND8	75	50	0.1274698553067714	0	0.4083458458458458
ELF5	60	50	0.12744950983107922	0	0.06687937937937938
TBX15	68	50	0.1272735380699974	0	0.05568068068068068
ZNF24	118	50	0.12681874156178632	0	0.3477227227227227
TRIM28	117	50	0.12620423324535682	0	0.4423173173173173
ZNF322	114	50	0.12605641862221412	0	0.22866616616616617
SSRP1	141	50	0.12584437159637984	0	0.4650900900900901
RORA	54	50	0.12579967375822693	0	0.14451951951951952
YY1	140	50	0.12574200522582077	0	0.581519019019019
RARG	80	50	0.12551977667858552	0	0.15828328328328328
PURB	76	50	0.12510709817266327	0	0.34797297297297297
SP100	58	50	0.12472515278404889	0	0.3716216216216216
ATRX	124	50	0.12470191820451568	0	0.5346596596596597
ARHGAP35	75	50	0.12464290641956435	0	0.2669544544544545
EIF2AK2	31	31	0.12447423648033623	0	0.386011011011011
ZNF260	59	50	0.12437908071445732	0	0.11186186186186187
ARID3B	47	47	0.12437856222592533	0	0.06662912912912913
ZBTB18	72	50	0.12432048258782641	0	0.13688688688688688
CHD8	78	50	0.12422424713453008	0	0.21283783783783783
EPAS1	78	50	0.12412305677136766	0	0.3352102102102102
SIRT2	79	50	0.12405366512519768	0	0.2710835835835836
RBMX	101	50	0.12401956722294187	0	0.5714464464464465
DDB2	25	25	0.12390821978940397	0	0.16622872872872874
KAT8	41	41	0.12354245344444538	0	0.26626626626626626
SMURF2	86	50	0.12350815962484608	0	0.28146896896896895
PARP9	65	50	0.12349213823242382	0	0.2862862862862863
PIR	77	50	0.1233333977204164	0	0.14201701701701702
TFDP1	79	50	0.12310452464146421	0	0.3008008008008008
NR3C1	97	50	0.12302738706721217	0	0.32426176176176175
CREB3L4	54	50	0.12299714992998105	0	0.17573823823823823
ZBED1	19	19	0.12281435548180974	0	0.18274524524524524
NR1H2	95	50	0.12268314873228793	0	0.4122247247247247
BCLAF1	81	50	0.12241197719797096	0	0.45326576576576577
BBX	83	50	0.12224626976200068	0	0.46953203203203203
WHSC1	23	23	0.12205049060519697	0	0.20814564564564564
RBBP8	78	50	0.12166939543227398	0	0.22691441441441443
ESRRA	80	50	0.12154722006967553	0	0.3210085085085085
ETV7	34	34	0.12150120505938886	0	0.11843093093093093
EWSR1	86	50	0.12147263476092107	0	0.4500125125125125
BCOR	28	28	0.12131660106845467	0	0.16184934934934936
SREBF1	44	44	0.12123590167158084	0	0.2698948948948949
PAWR	89	50	0.12107785861933548	0	0.4083458458458458
TBL1XR1	77	50	0.12087195478466653	0	0.4754754754754755
MYRF	14	14	0.12071496270287829	0	0.051113613613613613
MDM4	28	28	0.12021958455201483	0	0.3489114114114114
NCOR2	67	50	0.11962271090190683	0	0.3966466466466467
IRF5	32	32	0.119578753164732	0	0.07738988988988989
BIN1	66	50	0.1195774820785318	0	0.3253253253253253
PRDM16	13	13	0.11949179641173968	0	0.08358358358358359
DNMT3A	58	50	0.11944216408885332	0	0.20026276276276275
ZNF148	81	50	0.11924232890329184	0	0.3697447447447447
RBFOX2	86	50	0.11923747612950476	0	0.2883508508508508
OVOL2	27	27	0.11900918476052748	0	0.14595845845845845
CREBRF	54	50	0.11888144352540973	0	0.2891016016016016
MAZ	60	50	0.11878690250247086	0	0.4523898898898899
TSG101	116	50	0.11846378330562189	0	0.43818818818818817
NSD1	65	50	0.11840017763548172	0	0.30011261261261263
ETV6	62	50	0.11823820732560764	0	0.27896646646646645
ZNF195	20	20	0.11819197403748075	0	0.16891891891891891
NFKB2	46	46	0.11790402022795396	0	0.17836586586586586
PER1	44	44	0.11786634387769511	0	0.18437187187187187
ING1	62	50	0.1175621317635449	0	0.2441816816816817
LIMD1	16	16	0.11751968671882834	0	0.12424924924924925
PML	46	46	0.11751398599117059	0	0.22516266266266266
KHSRP	55	50	0.11749946690801215	0	0.32507507507507505
ETV4	52	50	0.11716260713145762	0	0.20983483483483484
NFKBIE	35	35	0.11689468346902773	0	0.18912662662662663
SATB1	18	18	0.11672748358809322	0	0.10216466466466466
NFATC3	62	50	0.11662121589265544	0	0.47678928928928926
TEAD2	24	24	0.11657777250591095	0	0.18230730730730732
NFAT5	12	12	0.1165704546652841	0	0.29535785785785784
TOP2B	37	37	0.11647086542726608	0	0.24537037037037038
SMARCA1	36	36	0.11643201318136977	0	0.2362987987987988
CLOCK	10	10	0.11640961211443986	0	0.23048048048048048
NME2	22	22	0.11621169273147826	0	0.11524024024024024
ZBTB38	77	50	0.11614911070266834	0	0.3427802802802803
SKIL	50	50	0.11603179879518953	0	0.3163163163163163
ZFHX3	50	50	0.11571205413878001	0	0.3480355355355355
ZMYND11	66	50	0.11569493754811797	0	0.2092092092092092
PBX3	56	50	0.115574983493972	0	0.16166166166166165
NF1	35	35	0.11552388312541077	0	0.3539164164164164
ZSCAN18	40	40	0.11531172733686026	0	0.2040165165165165
ZNF431	15	15	0.11524704778573648	0	0.20633133133133133
ZNF217	62	50	0.11524232519093143	0	0.2602602602602603
STAT2	18	18	0.11517460757116577	0	0.24806056056056056
SRF	11	11	0.11513998996699737	0	0.185497997997998
ZSCAN21	13	13	0.11485627698584636	0	0.0802052052052052
ZNF750	35	35	0.11483815220000575	0	0.11255005005005005
ATF5	32	32	0.11480185429379583	0	0.206519019019019
KDM5A	24	24	0.11479810386414384	0	0.35097597597597596
TLE1	47	47	0.11415610824988644	0	0.2493118118118118
FOXN3	23	23	0.11410880460833839	0	0.18731231231231232
CTBP1	46	46	0.1139489583045008	0	0.43512262262262263
NELFB	43	43	0.11393919193401957	0	0.3123123123123123
DDB1	65	50	0.11392349803295096	0	0.4507007007007007
PRDM1	44	44	0.1138938308897838	0	0.06587837837837837
PER2	27	27	0.11384710105806407	0	0.18380880880880882
RYBP	45	45	0.11380481437651857	0	0.3163163163163163
KLF3	44	44	0.11378276548988983	0	0.3703078078078078
FOXO3	29	29	0.11371810720924136	0	0.3158783783783784
RFX5	24	24	0.11365586026553591	0	0.17060810810810811
TRIM27	63	50	0.11350582773323793	0	0.3105605605605606
ARID5B	22	22	0.11347461545165824	0	0.3582957957957958
TTF2	41	41	0.11347414489704327	0	0.08402152152152152
CUX1	42	42	0.11347259008585416	0	0.47153403403403404
NFE2L1	53	50	0.11343711233669261	0	0.3586086086086086
ERF	26	26	0.11342248617405988	0	0.16604104104104103
RELB	23	23	0.1133295192027294	0	0.1768018018018018
TEAD4	32	32	0.11325247897478627	0	0.09146646646646647
SUPT3H	36	36	0.11297072752470336	0	0.10967217217217218
TRIM24	40	40	0.11291575353491512	0	0.28034284284284283
JDP2	36	36	0.11290581045805786	0	0.1387012012012012
CASZ1	38	38	0.11285811091536468	0	0.13544794794794796
HSF4	12	12	0.11283018819179884	0	0.11655405405405406
ILF3	39	39	0.11267350496550961	0	0.44481981981981983
ATM	11	11	0.1126629256284113	0	0.1913788788788789
RBPJ	56	50	0.1126543356650598	0	0.4543918918918919
SMG6	27	27	0.11252310213742706	0	0.11805555555555555
PIAS2	45	45	0.11232748079351185	0	0.2042042042042042
MED12	12	12	0.1122418938483447	0	0.09534534534534535
SMARCC2	48	48	0.11222595080150288	0	0.2762137137137137
